NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
1008,5.1991,6,0,0.477650575136405,9.7811e-05,2
854,5.1991,6,0.1,0.336219780486276,9.7811e-05,2
296,4.5926,6,0,0.0932896570674375,0.00010014,2
855,4.5926,6,0.05,0.0928399873098815,3.1823e-06,2
294,7.0185,6,0,0.378877859703832,8.5015e-05,2
859,7.0185,6,0.05,0.322946282409654,6.4588e-07,2
195,7.0185,6,0.1,0.239359580618205,8.5015e-05,2
1006,7.625,6,0,0.0588162772683086,7.9344e-05,2
292,9.4444,6,0,0.27930084221677,6.2951e-05,2
863,9.4444,6,0.05,0.273633207228301,1.5324e-06,2
197,9.4444,6,0.1,0.258499304594214,6.2951e-05,2
1005,8.838,6,0,0.188566645960715,6.8317e-05,2
1003,11.264,6,0,0.385822296918272,4.843e-05,2
864,11.264,6,0.1,0.329413601644891,4.843e-05,2
291,10.657,6,0,0.142832633622114,5.2968e-05,2
865,10.657,6,0.05,0.141931467814723,1.4524e-06,2
1000,14.903,6,0,0.259221118189761,2.5169e-05,2
287,15.509,6,0,0.24915427864841,2.1962e-05,2
873,15.509,6,0.05,0.245955135628734,9.4002e-07,2
870,14.903,6,0.1,0.245669467533095,2.5169e-05,2
998,17.329,6,0,0.320221184183293,1.3986e-05,2
874,17.329,6,0.1,0.293461151079869,1.3986e-05,2
286,16.722,6,0,0.193996431687762,1.6354e-05,2
875,16.722,6,0.05,0.192321233049076,8.0255e-07,2
995,20.968,6,0,0.317108424977302,3.5844e-06,2
880,20.968,6,0.1,0.291208304646406,3.5844e-06,2
282,21.574,6,0,0.196708969504634,2.4996e-06,2
883,21.574,6,0.05,0.194974300871658,2.6642e-07,2
859,5.0568,6,0,0.641452983963407,9.9128e-05,2.02
983,5.0568,6,0.1,0.254385300718799,9.9128e-05,2.02
196,5.6309,6,0,0.0521958351991316,9.8784e-05,2.02
862,5.6309,6,0.05,0.0519658801186625,3.9065e-06,2.02
863,7.353,6,0,0.286005115532961,8.1911e-05,2.02
985,7.353,6,0.1,0.265981881728705,8.1911e-05,2.02
197,6.7789,6,0,0.225348160167671,8.6523e-05,2.02
864,6.7789,6,0.05,0.222664842570663,6.95e-07,2.02
199,9.0751,6,0,0.334771650845553,6.6125e-05,2.02
868,9.0751,6,0.05,0.310793340840844,1.4193e-06,2.02
269,9.0751,6,0.1,0.261331068900089,6.6125e-05,2.02
867,9.6491,6,0,0.0931039394135136,6.1333e-05,2.02
201,11.371,6,0,0.262057444801626,4.7566e-05,2.02
872,11.371,6,0.05,0.257707843714358,1.3434e-06,2.02
