NodeIndex,X,Y,Z,Weight,Deformation,CutLocation,TotalWeight
30822,5.0769,6,0,0.546608284966501,0.13418,0,1
8881,5.1692,6,0,0.182466060444015,0.13921,0,1
29927,5.1692,6,0.05,0.147898898611923,0.13918,0,1
29924,5.0769,6,0.1,0.123026755977561,0.13418,0,1
30811,7.1077,6,0,0.802329051097058,0.26336,0,1
8871,7.0154,6,0,0.0730252209627413,0.25669,0,1
29947,7.0154,6,0.05,0.0628663910057218,0.25666,0,1
8870,7.2,6,0,0.0617793369344788,0.2701,0,1
8859,9.2308,6,0,0.426220582529697,0.43587,0,1
29971,9.2308,6,0.05,0.223543066529537,0.43584,0,1
30800,9.1385,6,0,0.213456812063665,0.42765,0,1
9109,9.2308,5.9091,0,0.136779538877101,0.43649,0,1
8849,11.077,6,0,0.500868019870043,0.61252,0,1
29991,11.077,6,0.05,0.209315554487818,0.6125,0,1
30789,11.169,6,0,0.166956006623344,0.62194,0,1
9149,11.077,5.9091,0,0.122860419018795,0.61306,0,1
30767,15.231,6,0,0.457601967187947,1.0816,0,1
8827,15.138,6,0,0.22880098359398,1.0703,0,1
30035,15.138,6,0.05,0.178101669074334,1.0703,0,1
30034,15.231,6,0.1,0.135495380143739,1.0816,0,1
30757,17.077,6,0,0.547226272941242,1.3142,0,1
8816,17.169,6,0,0.182408757647081,1.3261,0,1
30057,17.169,6,0.05,0.147705462825908,1.3261,0,1
30054,17.077,6,0.1,0.122659506585769,1.3142,0,1
8794,21.231,6,0,0.425582695727963,1.8709,0,1
30101,21.231,6,0.05,0.224256404760164,1.8709,0,1
30735,21.138,6,0,0.212791347864006,1.8582,0,1
9369,21.231,5.9091,0,0.137369551647867,1.8711,0,1
30971,5.1421,6,0,0.351412057657197,0.21851,0.1,1
8906,5.0501,6,0,0.296481916380123,0.21183,0.1,1
30046,5.0501,6,0.05,0.209434414416839,0.21179,0.1,1
9153,5.0501,5.9091,0,0.142671611545841,0.21257,0.1,1
8895,7.0739,6,0,0.468432303084473,0.37701,0.1,1
30068,7.0739,6,0.05,0.21676600529845,0.37698,0.1,1
30960,7.1659,6,0,0.185524781646503,0.38539,0.1,1
9197,7.0739,5.9091,0,0.129276909970575,0.37771,0.1,1
30949,9.1897,6,0,0.748468984367663,0.58693,0.1,1
8883,9.2817,6,0,0.0943602269153747,0.59683,0.1,1
30092,9.2817,6,0.05,0.0804841941602737,0.5968,0.1,1
30089,9.1897,6,0.1,0.0766865945566885,0.58693,0.1,1
8873,11.121,6,0,0.524081140026288,0.80704,0.1,1
30112,11.121,6,0.05,0.202941241856035,0.80701,0.1,1
30939,11.029,6,0,0.155009914655669,0.79601,0.1,1
9285,11.121,5.9091,0,0.117967703462008,0.80758,0.1,1
8851,15.169,6,0,0.424103261226517,1.3378,0.1,1
30156,15.169,6,0.05,0.223476832033851,1.3378,0.1,1
30916,15.261,6,0,0.215527886852812,1.3508,0.1,1
9373,15.169,5.9091,0,0.13689201988682,1.3382,0.1,1
30906,17.101,6,0,0.969235308987239,1.6163,0.1,1
8841,17.009,6,0,0.0106509374613733,1.6028,0.1,1
8840,17.193,6,0,0.0104218850428493,1.6299,0.1,1
30175,17.101,6,0.1,0.0096918685085386,1.6163,0.1,1
8818,21.24,6,0,0.357564505494234,2.2468,0.1,1
30884,21.148,6,0,0.275049619610945,2.2325,0.1,1
30222,21.24,6,0.05,0.223368775763492,2.2468,0.1,1
9505,21.24,5.9091,0,0.144017099131329,2.247,0.1,1
30972,5.0749,6,0,0.521750797549058,0.22335,0.2,1
8906,5.1672,6,0,0.194880134203584,0.2303,0.2,1
30068,5.1672,6,0.05,0.156349682986062,0.23026,0.2,1
30065,5.0749,6,0.1,0.127019385261296,0.22335,0.2,1
30961,7.1059,6,0,0.842217328637117,0.39462,0.2,1
8896,7.0135,6,0,0.0574460374446171,0.38604,0.2,1
8895,7.1982,6,0,0.0506016521278958,0.40328,0.2,1
30088,7.0135,6,0.05,0.0497349817903701,0.386,0.2,1
8884,9.2292,6,0,0.440108793548765,0.61108,0.2,1
30112,9.2292,6,0.05,0.221947080339391,0.61105,0.2,1
30950,9.1368,6,0,0.203341404614311,0.60095,0.2,1
9320,9.2292,5.9091,0,0.134602721497532,0.6117,0.2,1
8874,11.076,6,0,0.489967713911476,0.82595,0.2,1
30132,11.076,6,0.05,0.212024251922976,0.82592,0.2,1
30939,11.168,6,0,0.172929781380516,0.83727,0.2,1
9360,11.076,5.9091,0,0.125078252785032,0.82649,0.2,1
30917,15.23,6,0,0.468047984153996,1.381,0.2,1
8852,15.137,6,0,0.222879992454296,1.3678,0.2,1
30176,15.137,6,0.05,0.174579424801462,1.3677,0.2,1
30175,15.23,6,0.1,0.134492598590246,1.381,0.2,1
30907,17.076,6,0,0.534570244723964,1.6518,0.2,1
8841,17.168,6,0,0.188671851079059,1.6656,0.2,1
30198,17.168,6,0.05,0.152003667880284,1.6656,0.2,1
30195,17.076,6,0.1,0.124754236316693,1.6518,0.2,1
8819,21.23,6,0,0.432568527377827,2.2946,0.2,1
30242,21.23,6,0.05,0.222554671267434,2.2945,0.2,1
30885,21.138,6,0,0.209307351957029,2.2799,0.2,1
9580,21.23,5.9091,0,0.135569449397711,2.2947,0.2,1
8907,5.063,6,0,0.377957343298525,0.23014,0.3,1
30972,5.1549,6,0,0.254725349764033,0.23724,0.3,1
30066,5.063,6,0.05,0.224825282004585,0.2301,0.3,1
11614,5.063,5.9091,0,0.142492024932858,0.23089,0.3,1
8896,7.0854,6,0,0.614343844093651,0.40465,0.3,1
30088,7.0854,6,0.05,0.172197429362093,0.40461,0.3,1
30961,7.1773,6,0,0.11603389552092,0.41344,0.3,1
12681,7.0854,5.9091,0,0.0974248310233361,0.40535,0.3,1
30950,9.1997,6,0,0.990564555412897,0.62421,0.3,1
8884,9.2917,6,0,0.00324066921072162,0.63453,0.3,1
8885,9.1078,6,0,0.00322309508268087,0.61395,0.3,1
30109,9.1997,6,0.1,0.00297168029370053,0.62421,0.3,1
8874,11.13,6,0,0.432568527377829,0.85306,0.3,1
30132,11.13,6,0.05,0.222554671267435,0.85304,0.3,1
30940,11.038,6,0,0.209307351957024,0.84161,0.3,1
14815,11.13,5.9091,0,0.135569449397711,0.8536,0.3,1
8852,15.175,6,0,0.479494637094075,1.402,0.3,1
30176,15.175,6,0.05,0.214436520677779,1.402,0.3,1
30917,15.267,6,0,0.17891590936345,1.4154,0.3,1
16949,15.175,5.9091,0,0.127152932864697,1.4024,0.3,1
30907,17.105,6,0,0.862107632253194,1.6891,0.3,1
8842,17.014,6,0,0.0501225367588955,1.6752,0.3,1
8841,17.197,6,0,0.0444385377450022,1.7031,0.3,1
30196,17.014,6,0.05,0.043331293242908,1.6751,0.3,1
8819,21.242,6,0,0.344515122161422,2.338,0.3,1
30885,21.15,6,0,0.289392702615601,2.3233,0.3,1
30242,21.242,6,0.05,0.221589400227379,2.338,0.3,1
20150,21.242,5.9091,0,0.144502774995598,2.3381,0.3,1
30973,5.0873,6,0,0.703747885037378,0.23913,0.4,1
8907,5.1795,6,0,0.112422618112886,0.24647,0.4,1
30066,5.1795,6,0.05,0.0951656846064828,0.24643,0.4,1
30063,5.0873,6,0.1,0.0886638122432532,0.23913,0.4,1
30962,7.1169,6,0,0.633696186292182,0.41889,0.4,1
8897,7.0247,6,0,0.142223978065582,0.40992,0.4,1
30086,7.0247,6,0.05,0.11848254595741,0.40989,0.4,1
30085,7.1169,6,0.1,0.105597289684826,0.41889,0.4,1
8885,9.2388,6,0,0.36600106063447,0.64412,0.4,1
30951,9.1466,6,0,0.265933354917931,0.63362,0.4,1
30110,9.2388,6,0.05,0.224382485414513,0.64409,0.4,1
9453,9.2388,5.9091,0,0.143683099033086,0.64475,0.4,1
8875,11.084,6,0,0.592187376571803,0.86656,0.4,1
30130,11.084,6,0.05,0.180484338276354,0.86653,0.4,1
30940,11.176,6,0,0.124671026646695,0.87826,0.4,1
9493,11.084,5.9091,0,0.102657258505148,0.8671,0.4,1
30918,15.236,6,0,0.40898229076717,1.4385,0.4,1
8853,15.143,6,0,0.258304604695071,1.4249,0.4,1
30174,15.143,6,0.05,0.19418284047613,1.4248,0.4,1
30173,15.236,6,0.1,0.138530264061628,1.4385,0.4,1
30908,17.081,6,0,0.601804773786946,1.7167,0.4,1
8842,17.173,6,0,0.156634119204844,1.7309,0.4,1
30196,17.173,6,0.05,0.1292278392736,1.7309,0.4,1
30193,17.081,6,0.1,0.112333267734609,1.7167,0.4,1
8820,21.232,6,0,0.415896023006644,2.3762,0.4,1
30240,21.232,6,0.05,0.22419028852951,2.3761,0.4,1
30886,21.14,6,0,0.221811212270215,2.3612,0.4,1
9713,21.232,5.9091,0,0.138102476193631,2.3763,0.4,1
8908,5.0761,6,0,0.490913597395003,0.24306,0.5,1
30064,5.0761,6,0.05,0.211713331278483,0.24302,0.5,1
30973,5.168,6,0,0.17254169084912,0.25051,0.5,1
9291,5.0761,5.9091,0,0.124831380477394,0.24382,0.5,1
8897,7.0971,6,0,0.89096866630653,0.42498,0.5,1
30086,7.0971,6,0.05,0.0515894819910919,0.42495,0.5,1
30962,7.189,6,0,0.0290315632841398,0.43411,0.5,1
9335,7.0971,5.9091,0,0.0284102884182381,0.42569,0.5,1
30951,9.21,6,0,0.754251363002891,0.65219,0.5,1
8886,9.1181,6,0,0.0920941835168519,0.6416,0.5,1
30108,9.1181,6,0.05,0.0786036377847999,0.64157,0.5,1
30107,9.21,6,0.1,0.0750508156954568,0.65219,0.5,1
8875,11.139,6,0,0.364276673275191,0.88794,0.5,1
30941,11.047,6,0,0.268052646372313,0.87617,0.5,1
30130,11.139,6,0.05,0.224041737586662,0.88791,0.5,1
9423,11.139,5.9091,0,0.143628942765834,0.88848,0.5,1
8853,15.181,6,0,0.549423087087723,1.4512,0.5,1
30174,15.181,6,0.05,0.195164838630192,1.4512,0.5,1
30918,15.273,6,0,0.143000529515983,1.4649,0.5,1
9511,15.181,5.9091,0,0.112411544766102,1.4516,0.5,1
30908,17.11,6,0,0.754388794457882,1.7451,0.5,1
8843,17.018,6,0,0.0919986334704543,1.7308,0.5,1
30194,17.018,6,0.05,0.0785480814353513,1.7308,0.5,1
30193,17.11,6,0.1,0.0750644906363124,1.7451,0.5,1
8820,21.244,6,0,0.331896784868884,2.4084,0.5,1
30886,21.152,6,0,0.304238719463158,2.3933,0.5,1
30240,21.244,6,0.05,0.219260274309364,2.4084,0.5,1
9643,21.244,5.9091,0,0.144604221358594,2.4085,0.5,1
30974,5.0999,6,0,0.996840812646116,0.24902,0.6,1
8908,5.1921,6,0,0.00108234615922236,0.25665,0.6,1
8909,5.0077,6,0,0.00108000088043748,0.24148,0.6,1
30061,5.0999,6,0.1,0.00099684031422376,0.24902,0.6,1
30963,7.1282,6,0,0.485610703060967,0.43502,0.6,1
8898,7.036,6,0,0.213972216036238,0.42577,0.6,1
30084,7.036,6,0.05,0.168615321536414,0.42573,0.6,1
30083,7.1282,6,0.1,0.131801759366381,0.43502,0.6,1
30952,9.1565,6,0,0.340335298215646,0.65587,0.6,1
8886,9.2487,6,0,0.30399559491541,0.66666,0.6,1
30108,9.2487,6,0.05,0.212107697286116,0.66663,0.6,1
9546,9.2487,5.9091,0,0.143561409582828,0.66728,0.6,1
