Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	23.7	2.1818	0.	8.6009e-005
2	23.7	2.3636	0.	3.1814e-005
3	23.7	2.5455	0.	1.7248e-005
4	23.7	2.7273	0.	1.3161e-005
5	23.7	2.9091	0.	1.2228e-005
6	23.7	3.0909	0.	1.2228e-005
7	23.7	3.2727	0.	1.3161e-005
8	23.7	3.4545	0.	1.7248e-005
9	23.7	3.6364	0.	3.1814e-005
10	23.7	3.8182	0.	8.6009e-005
11	23.516	5.8182	0.	4.1252e-006
12	23.516	5.6364	0.	6.8671e-006
13	23.516	5.4545	0.	1.0429e-005
14	23.516	5.2727	0.	1.4582e-005
15	23.516	5.0909	0.	1.9332e-005
16	23.516	4.9091	0.	2.4818e-005
17	23.516	4.7273	0.	3.1319e-005
18	23.516	4.5455	0.	3.9548e-005
19	23.516	4.3636	0.	5.0469e-005
20	23.516	4.1818	0.	6.9373e-005
21	23.516	4.	0.	7.4567e-005
22	23.516	3.8182	0.	5.6858e-005
23	23.516	3.6364	0.	3.129e-005
24	23.516	3.4545	0.	2.1399e-005
25	23.516	3.2727	0.	1.8028e-005
26	23.516	3.0909	0.	1.7143e-005
27	23.516	2.9091	0.	1.7143e-005
28	23.516	2.7273	0.	1.8029e-005
29	23.516	2.5455	0.	2.1399e-005
30	23.516	2.3636	0.	3.129e-005
31	23.516	2.1818	0.	5.6858e-005
32	23.516	2.	0.	7.4567e-005
33	23.516	1.8182	0.	6.9373e-005
34	23.516	1.6364	0.	5.0469e-005
35	23.516	1.4545	0.	3.9548e-005
36	23.516	1.2727	0.	3.1319e-005
37	23.516	1.0909	0.	2.4818e-005
38	23.516	0.90909	0.	1.9332e-005
39	23.516	0.72727	0.	1.4582e-005
40	23.516	0.54545	0.	1.0429e-005
41	23.516	0.36364	0.	6.8671e-006
42	23.516	0.18182	0.	4.1252e-006
43	23.333	5.8182	0.	7.55e-006
44	23.333	5.6364	0.	9.6413e-006
45	23.333	5.4545	0.	1.2577e-005
46	23.333	5.2727	0.	1.6224e-005
47	23.333	5.0909	0.	2.0527e-005
48	23.333	4.9091	0.	2.5534e-005
49	23.333	4.7273	0.	3.142e-005
50	23.333	4.5455	0.	3.8326e-005
51	23.333	4.3636	0.	4.68e-005
52	23.333	4.1818	0.	5.38e-005
53	23.333	4.	0.	5.4389e-005
54	23.333	3.8182	0.	4.5289e-005
55	23.333	3.6364	0.	3.3615e-005
56	23.333	3.4545	0.	2.5894e-005
57	23.333	3.2727	0.	2.2671e-005
58	23.333	3.0909	0.	2.1607e-005
59	23.333	2.9091	0.	2.1607e-005
60	23.333	2.7273	0.	2.2671e-005
61	23.333	2.5455	0.	2.5894e-005
62	23.333	2.3636	0.	3.3615e-005
63	23.333	2.1818	0.	4.5289e-005
64	23.333	2.	0.	5.4389e-005
65	23.333	1.8182	0.	5.38e-005
66	23.333	1.6364	0.	4.68e-005
67	23.333	1.4545	0.	3.8326e-005
68	23.333	1.2727	0.	3.142e-005
69	23.333	1.0909	0.	2.5534e-005
70	23.333	0.90909	0.	2.0527e-005
71	23.333	0.72727	0.	1.6224e-005
72	23.333	0.54545	0.	1.2577e-005
73	23.333	0.36364	0.	9.6413e-006
74	23.333	0.18182	0.	7.55e-006
75	23.149	5.8182	0.	1.1597e-005
76	23.149	5.6364	0.	1.3469e-005
77	23.149	5.4545	0.	1.6025e-005
78	23.149	5.2727	0.	1.9247e-005
79	23.149	5.0909	0.	2.3094e-005
80	23.149	4.9091	0.	2.7544e-005
81	23.149	4.7273	0.	3.2574e-005
82	23.149	4.5455	0.	3.8077e-005
83	23.149	4.3636	0.	4.3412e-005
84	23.149	4.1818	0.	4.694e-005
85	23.149	4.	0.	4.6393e-005
86	23.149	3.8182	0.	4.1601e-005
87	23.149	3.6364	0.	3.512e-005
88	23.149	3.4545	0.	2.9961e-005
89	23.149	3.2727	0.	2.7085e-005
90	23.149	3.0909	0.	2.5941e-005
91	23.149	2.9091	0.	2.5941e-005
92	23.149	2.7273	0.	2.7085e-005
93	23.149	2.5455	0.	2.9961e-005
94	23.149	2.3636	0.	3.512e-005
95	23.149	2.1818	0.	4.1601e-005
96	23.149	2.	0.	4.6393e-005
97	23.149	1.8182	0.	4.694e-005
98	23.149	1.6364	0.	4.3412e-005
99	23.149	1.4545	0.	3.8077e-005
100	23.149	1.2727	0.	3.2574e-005
101	23.149	1.0909	0.	2.7544e-005
102	23.149	0.90909	0.	2.3093e-005
103	23.149	0.72727	0.	1.9247e-005
104	23.149	0.54545	0.	1.6025e-005
105	23.149	0.36364	0.	1.3469e-005
106	23.149	0.18182	0.	1.1597e-005
107	22.965	5.8182	0.	1.5942e-005
108	22.965	5.6364	0.	1.767e-005
109	22.965	5.4545	0.	1.9956e-005
110	22.965	5.2727	0.	2.2798e-005
111	22.965	5.0909	0.	2.616e-005
112	22.965	4.9091	0.	2.9973e-005
113	22.965	4.7273	0.	3.4104e-005
114	22.965	4.5455	0.	3.8263e-005
115	22.965	4.3636	0.	4.1839e-005
116	22.965	4.1818	0.	4.3825e-005
117	22.965	4.	0.	4.3424e-005
118	22.965	3.8182	0.	4.0721e-005
119	22.965	3.6364	0.	3.6904e-005
120	22.965	3.4545	0.	3.3463e-005
121	22.965	3.2727	0.	3.1207e-005
122	22.965	3.0909	0.	3.0166e-005
123	22.965	2.9091	0.	3.0166e-005
124	22.965	2.7273	0.	3.1207e-005
125	22.965	2.5455	0.	3.3463e-005
126	22.965	2.3636	0.	3.6904e-005
127	22.965	2.1818	0.	4.0721e-005
128	22.965	2.	0.	4.3424e-005
129	22.965	1.8182	0.	4.3825e-005
130	22.965	1.6364	0.	4.1839e-005
131	22.965	1.4545	0.	3.8263e-005
132	22.965	1.2727	0.	3.4104e-005
133	22.965	1.0909	0.	2.9973e-005
134	22.965	0.90909	0.	2.616e-005
135	22.965	0.72727	0.	2.2798e-005
136	22.965	0.54545	0.	1.9956e-005
137	22.965	0.36364	0.	1.767e-005
138	22.965	0.18182	0.	1.5942e-005
139	22.781	5.8182	0.	2.0449e-005
140	22.781	5.6364	0.	2.2036e-005
141	22.781	5.4545	0.	2.4096e-005
142	22.781	5.2727	0.	2.6596e-005
143	22.781	5.0909	0.	2.9492e-005
144	22.781	4.9091	0.	3.2688e-005
145	22.781	4.7273	0.	3.6009e-005
146	22.781	4.5455	0.	3.9157e-005
147	22.781	4.3636	0.	4.1667e-005
148	22.781	4.1818	0.	4.3009e-005
149	22.781	4.	0.	4.2832e-005
150	22.781	3.8182	0.	4.1269e-005
151	22.781	3.6364	0.	3.8958e-005
152	22.781	3.4545	0.	3.6698e-005
153	22.781	3.2727	0.	3.5048e-005
154	22.781	3.0909	0.	3.4216e-005
155	22.781	2.9091	0.	3.4216e-005
156	22.781	2.7273	0.	3.5048e-005
157	22.781	2.5455	0.	3.6698e-005
158	22.781	2.3636	0.	3.8958e-005
159	22.781	2.1818	0.	4.1269e-005
160	22.781	2.	0.	4.2832e-005
161	22.781	1.8182	0.	4.3009e-005
162	22.781	1.6364	0.	4.1667e-005
163	22.781	1.4545	0.	3.9157e-005
164	22.781	1.2727	0.	3.6009e-005
165	22.781	1.0909	0.	3.2688e-005
166	22.781	0.90909	0.	2.9492e-005
167	22.781	0.72727	0.	2.6596e-005
168	22.781	0.54545	0.	2.4096e-005
169	22.781	0.36364	0.	2.2036e-005
170	22.781	0.18182	0.	2.0449e-005
171	22.598	5.8182	0.	2.5028e-005
172	22.598	5.6364	0.	2.6462e-005
173	22.598	5.4545	0.	2.8311e-005
174	22.598	5.2727	0.	3.0498e-005
175	22.598	5.0909	0.	3.2969e-005
176	22.598	4.9091	0.	3.5618e-005
177	22.598	4.7273	0.	3.8276e-005
178	22.598	4.5455	0.	4.0695e-005
179	22.598	4.3636	0.	4.2562e-005
180	22.598	4.1818	0.	4.3575e-005
181	22.598	4.	0.	4.3583e-005
182	22.598	3.8182	0.	4.27e-005
183	22.598	3.6364	0.	4.1291e-005
184	22.598	3.4545	0.	3.9823e-005
185	22.598	3.2727	0.	3.8678e-005
186	22.598	3.0909	0.	3.8067e-005
187	22.598	2.9091	0.	3.8067e-005
188	22.598	2.7273	0.	3.8678e-005
189	22.598	2.5455	0.	3.9823e-005
190	22.598	2.3636	0.	4.1291e-005
191	22.598	2.1818	0.	4.27e-005
192	22.598	2.	0.	4.3583e-005
193	22.598	1.8182	0.	4.3575e-005
194	22.598	1.6364	0.	4.2562e-005
195	22.598	1.4545	0.	4.0695e-005
196	22.598	1.2727	0.	3.8276e-005
197	22.598	1.0909	0.	3.5618e-005
198	22.598	0.90909	0.	3.2969e-005
199	22.598	0.72727	0.	3.0498e-005
200	22.598	0.54545	0.	2.8311e-005
201	22.598	0.36364	0.	2.6462e-005
202	22.598	0.18182	0.	2.5028e-005
203	22.414	5.8182	0.	2.962e-005
204	22.414	5.6364	0.	3.0887e-005
205	22.414	5.4545	0.	3.2533e-005
206	22.414	5.2727	0.	3.4435e-005
207	22.414	5.0909	0.	3.653e-005
208	22.414	4.9091	0.	3.872e-005
209	22.414	4.7273	0.	4.0858e-005
210	22.414	4.5455	0.	4.2756e-005
211	22.414	4.3636	0.	4.4205e-005
212	22.414	4.1818	0.	4.5034e-005
213	22.414	4.	0.	4.5173e-005
214	22.414	3.8182	0.	4.4709e-005
215	22.414	3.6364	0.	4.3866e-005
216	22.414	3.4545	0.	4.2932e-005
217	22.414	3.2727	0.	4.2168e-005
218	22.414	3.0909	0.	4.1747e-005
219	22.414	2.9091	0.	4.1747e-005
220	22.414	2.7273	0.	4.2168e-005
221	22.414	2.5455	0.	4.2932e-005
222	22.414	2.3636	0.	4.3866e-005
223	22.414	2.1818	0.	4.4709e-005
224	22.414	2.	0.	4.5173e-005
225	22.414	1.8182	0.	4.5034e-005
226	22.414	1.6364	0.	4.4205e-005
227	22.414	1.4545	0.	4.2756e-005
228	22.414	1.2727	0.	4.0858e-005
229	22.414	1.0909	0.	3.872e-005
230	22.414	0.90909	0.	3.653e-005
231	22.414	0.72727	0.	3.4435e-005
232	22.414	0.54545	0.	3.2533e-005
233	22.414	0.36364	0.	3.0887e-005
234	22.414	0.18182	0.	2.962e-005
235	22.23	5.8182	0.	3.4186e-005
236	22.23	5.6364	0.	3.5281e-005
237	22.23	5.4545	0.	3.6732e-005
238	22.23	5.2727	0.	3.8376e-005
239	22.23	5.0909	0.	4.015e-005
240	22.23	4.9091	0.	4.1963e-005
241	22.23	4.7273	0.	4.3699e-005
242	22.23	4.5455	0.	4.5219e-005
243	22.23	4.3636	0.	4.6386e-005
244	22.23	4.1818	0.	4.7097e-005
245	22.23	4.	0.	4.7321e-005
246	22.23	3.8182	0.	4.7122e-005
247	22.23	3.6364	0.	4.6642e-005
248	22.23	3.4545	0.	4.6069e-005
249	22.23	3.2727	0.	4.558e-005
250	22.23	3.0909	0.	4.5302e-005
251	22.23	2.9091	0.	4.5302e-005
252	22.23	2.7273	0.	4.558e-005
253	22.23	2.5455	0.	4.6069e-005
