Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	23.7	2.1818	0.	401.35
2	23.7	2.3636	0.	79.393
3	23.7	2.5455	0.	33.507
4	23.7	2.7273	0.	37.11
5	23.7	2.9091	0.	43.481
6	23.7	3.0909	0.	43.481
7	23.7	3.2727	0.	37.11
8	23.7	3.4545	0.	33.507
9	23.7	3.6364	0.	79.393
10	23.7	3.8182	0.	401.35
11	23.516	5.8182	0.	11.78
12	23.516	5.6364	0.	35.078
13	23.516	5.4545	0.	65.286
14	23.516	5.2727	0.	101.17
15	23.516	5.0909	0.	143.09
16	23.516	4.9091	0.	192.39
17	23.516	4.7273	0.	251.84
18	23.516	4.5455	0.	326.88
19	23.516	4.3636	0.	427.89
20	23.516	4.1818	0.	584.65
21	23.516	4.	0.	556.29
22	23.516	3.8182	0.	363.35
23	23.516	3.6364	0.	144.3
24	23.516	3.4545	0.	77.389
25	23.516	3.2727	0.	62.371
26	23.516	3.0909	0.	61.186
27	23.516	2.9091	0.	61.186
28	23.516	2.7273	0.	62.371
29	23.516	2.5455	0.	77.389
30	23.516	2.3636	0.	144.3
31	23.516	2.1818	0.	363.35
32	23.516	2.	0.	556.29
33	23.516	1.8182	0.	584.65
34	23.516	1.6364	0.	427.89
35	23.516	1.4545	0.	326.88
36	23.516	1.2727	0.	251.84
37	23.516	1.0909	0.	192.39
38	23.516	0.90909	0.	143.09
39	23.516	0.72727	0.	101.17
40	23.516	0.54545	0.	65.286
41	23.516	0.36364	0.	35.078
42	23.516	0.18182	0.	11.78
43	23.333	5.8182	0.	12.71
44	23.333	5.6364	0.	33.479
45	23.333	5.4545	0.	60.535
46	23.333	5.2727	0.	93.214
47	23.333	5.0909	0.	131.44
48	23.333	4.9091	0.	175.76
49	23.333	4.7273	0.	227.38
50	23.333	4.5455	0.	286.74
51	23.333	4.3636	0.	354.73
52	23.333	4.1818	0.	402.64
53	23.333	4.	0.	382.22
54	23.333	3.8182	0.	284.07
55	23.333	3.6364	0.	177.7
56	23.333	3.4545	0.	113.34
57	23.333	3.2727	0.	88.014
58	23.333	3.0909	0.	80.325
59	23.333	2.9091	0.	80.325
60	23.333	2.7273	0.	88.014
