Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	23.7	2.1818	0.	5.7539e-006
2	23.7	2.3636	0.	6.4996e-006
3	23.7	2.5455	0.	3.8344e-006
4	23.7	2.7273	0.	2.3417e-006
5	23.7	2.9091	0.	1.6821e-006
6	23.7	3.0909	0.	1.6821e-006
7	23.7	3.2727	0.	2.3417e-006
8	23.7	3.4545	0.	3.8344e-006
9	23.7	3.6364	0.	6.4996e-006
10	23.7	3.8182	0.	5.7539e-006
11	23.516	5.8182	0.	7.596e-007
12	23.516	5.6364	0.	3.1068e-007
13	23.516	5.4545	0.	-3.2804e-007
14	23.516	5.2727	0.	-1.1542e-006
15	23.516	5.0909	0.	-2.1799e-006
16	23.516	4.9091	0.	-3.4556e-006
17	23.516	4.7273	0.	-5.0208e-006
18	23.516	4.5455	0.	-7.1461e-006
19	23.516	4.3636	0.	-9.5388e-006
20	23.516	4.1818	0.	-1.3233e-005
21	23.516	4.	0.	-9.6305e-006
22	23.516	3.8182	0.	-2.069e-006
23	23.516	3.6364	0.	2.0858e-006
24	23.516	3.4545	0.	2.8222e-006
25	23.516	3.2727	0.	2.578e-006
26	23.516	3.0909	0.	2.3456e-006
27	23.516	2.9091	0.	2.3456e-006
28	23.516	2.7273	0.	2.578e-006
29	23.516	2.5455	0.	2.8222e-006
30	23.516	2.3636	0.	2.0858e-006
31	23.516	2.1818	0.	-2.069e-006
32	23.516	2.	0.	-9.6305e-006
33	23.516	1.8182	0.	-1.3233e-005
34	23.516	1.6364	0.	-9.5389e-006
35	23.516	1.4545	0.	-7.1461e-006
36	23.516	1.2727	0.	-5.0208e-006
37	23.516	1.0909	0.	-3.4556e-006
38	23.516	0.90909	0.	-2.1799e-006
39	23.516	0.72727	0.	-1.1542e-006
40	23.516	0.54545	0.	-3.2804e-007
41	23.516	0.36364	0.	3.1067e-007
42	23.516	0.18182	0.	7.5959e-007
43	23.333	5.8182	0.	1.8536e-006
44	23.333	5.6364	0.	1.3964e-006
45	23.333	5.4545	0.	7.9952e-007
46	23.333	5.2727	0.	5.3559e-008
47	23.333	5.0909	0.	-8.4574e-007
48	23.333	4.9091	0.	-1.9096e-006
49	23.333	4.7273	0.	-3.1508e-006
50	23.333	4.5455	0.	-4.5297e-006
51	23.333	4.3636	0.	-5.801e-006
