Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	23.7	2.1818	0.	-3.3666
2	23.7	2.3636	0.	2.0264
3	23.7	2.5455	0.	-1.3132
4	23.7	2.7273	0.	-0.34679
5	23.7	2.9091	0.	-3.3729e-002
6	23.7	3.0909	0.	-3.373e-002
7	23.7	3.2727	0.	-0.34679
8	23.7	3.4545	0.	-1.3132
9	23.7	3.6364	0.	2.0264
10	23.7	3.8182	0.	-3.3666
11	23.516	5.8182	0.	0.26552
12	23.516	5.6364	0.	0.16622
13	23.516	5.4545	0.	0.14408
14	23.516	5.2727	0.	0.11784
15	23.516	5.0909	0.	0.1298
16	23.516	4.9091	0.	6.934e-002
17	23.516	4.7273	0.	0.36921
18	23.516	4.5455	0.	-0.53835
19	23.516	4.3636	0.	3.1381
20	23.516	4.1818	0.	0.78455
21	23.516	4.	0.	-7.8405
22	23.516	3.8182	0.	2.9857
23	23.516	3.6364	0.	-2.4081
24	23.516	3.4545	0.	-0.54041
25	23.516	3.2727	0.	-8.8634e-002
26	23.516	3.0909	0.	-3.5014e-002
27	23.516	2.9091	0.	-3.5014e-002
28	23.516	2.7273	0.	-8.8633e-002
29	23.516	2.5455	0.	-0.5404
30	23.516	2.3636	0.	-2.4081
31	23.516	2.1818	0.	2.9857
32	23.516	2.	0.	-7.8405
33	23.516	1.8182	0.	0.78455
34	23.516	1.6364	0.	3.1381
35	23.516	1.4545	0.	-0.53835
36	23.516	1.2727	0.	0.36921
37	23.516	1.0909	0.	6.9342e-002
38	23.516	0.90909	0.	0.12981
39	23.516	0.72727	0.	0.11784
40	23.516	0.54545	0.	0.14408
41	23.516	0.36364	0.	0.16622
42	23.516	0.18182	0.	0.26552
43	23.333	5.8182	0.	0.20926
44	23.333	5.6364	0.	0.22232
45	23.333	5.4545	0.	0.27004
46	23.333	5.2727	0.	0.27698
47	23.333	5.0909	0.	0.29134
48	23.333	4.9091	0.	0.32132
49	23.333	4.7273	0.	0.34334
50	23.333	4.5455	0.	0.41439
51	23.333	4.3636	0.	1.1568
52	23.333	4.1818	0.	1.8944
53	23.333	4.	0.	-1.6532
54	23.333	3.8182	0.	0.35935
55	23.333	3.6364	0.	-0.35708
56	23.333	3.4545	0.	-0.14858
57	23.333	3.2727	0.	-0.1386
58	23.333	3.0909	0.	-7.4028e-003
59	23.333	2.9091	0.	-7.4038e-003
60	23.333	2.7273	0.	-0.1386
61	23.333	2.5455	0.	-0.14858
62	23.333	2.3636	0.	-0.35708
63	23.333	2.1818	0.	0.35935
64	23.333	2.	0.	-1.6532
65	23.333	1.8182	0.	1.8944
66	23.333	1.6364	0.	1.1568
67	23.333	1.4545	0.	0.41439
68	23.333	1.2727	0.	0.34335
69	23.333	1.0909	0.	0.32132
70	23.333	0.90909	0.	0.29134
71	23.333	0.72727	0.	0.27698
72	23.333	0.54545	0.	0.27004
73	23.333	0.36364	0.	0.22232
74	23.333	0.18182	0.	0.20926
75	23.149	5.8182	0.	-4.4428e-002
76	23.149	5.6364	0.	1.8344e-002
77	23.149	5.4545	0.	8.9946e-002
78	23.149	5.2727	0.	9.1311e-002
79	23.149	5.0909	0.	0.10233
80	23.149	4.9091	0.	0.10403
81	23.149	4.7273	0.	0.13489
82	23.149	4.5455	0.	0.26186
83	23.149	4.3636	0.	-0.17228
84	23.149	4.1818	0.	0.42351
85	23.149	4.	0.	0.78294
