Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	23.7	2.1818	0.	-585.8
2	23.7	2.3636	0.	-270.07
3	23.7	2.5455	0.	-153.6
4	23.7	2.7273	0.	-109.07
5	23.7	2.9091	0.	-94.521
6	23.7	3.0909	0.	-94.521
7	23.7	3.2727	0.	-109.07
8	23.7	3.4545	0.	-153.6
9	23.7	3.6364	0.	-270.07
10	23.7	3.8182	0.	-585.8
11	23.516	5.8182	0.	-33.977
12	23.516	5.6364	0.	-43.982
13	23.516	5.4545	0.	-54.915
14	23.516	5.2727	0.	-65.865
15	23.516	5.0909	0.	-76.686
16	23.516	4.9091	0.	-87.533
17	23.516	4.7273	0.	-98.678
18	23.516	4.5455	0.	-112.12
19	23.516	4.3636	0.	-129.52
20	23.516	4.1818	0.	-181.55
21	23.516	4.	0.	-288.42
22	23.516	3.8182	0.	-291.64
23	23.516	3.6364	0.	-214.76
24	23.516	3.4545	0.	-164.49
25	23.516	3.2727	0.	-140.71
26	23.516	3.0909	0.	-132.32
27	23.516	2.9091	0.	-132.32
28	23.516	2.7273	0.	-140.71
29	23.516	2.5455	0.	-164.49
30	23.516	2.3636	0.	-214.76
31	23.516	2.1818	0.	-291.64
32	23.516	2.	0.	-288.42
33	23.516	1.8182	0.	-181.55
34	23.516	1.6364	0.	-129.52
35	23.516	1.4545	0.	-112.12
36	23.516	1.2727	0.	-98.678
37	23.516	1.0909	0.	-87.532
38	23.516	0.90909	0.	-76.686
39	23.516	0.72727	0.	-65.865
40	23.516	0.54545	0.	-54.915
41	23.516	0.36364	0.	-43.982
42	23.516	0.18182	0.	-33.977
43	23.333	5.8182	0.	-68.207
44	23.333	5.6364	0.	-75.09
45	23.333	5.4545	0.	-83.928
46	23.333	5.2727	0.	-93.997
47	23.333	5.0909	0.	-104.95
48	23.333	4.9091	0.	-116.96
49	23.333	4.7273	0.	-130.93
50	23.333	4.5455	0.	-148.32
51	23.333	4.3636	0.	-175.56
52	23.333	4.1818	0.	-208.35
53	23.333	4.	0.	-239.71
54	23.333	3.8182	0.	-237.86
55	23.333	3.6364	0.	-209.76
56	23.333	3.4545	0.	-182.78
57	23.333	3.2727	0.	-169.36
58	23.333	3.0909	0.	-164.25
59	23.333	2.9091	0.	-164.25
60	23.333	2.7273	0.	-169.36
61	23.333	2.5455	0.	-182.78
62	23.333	2.3636	0.	-209.76
63	23.333	2.1818	0.	-237.86
64	23.333	2.	0.	-239.71
65	23.333	1.8182	0.	-208.35
66	23.333	1.6364	0.	-175.56
67	23.333	1.4545	0.	-148.32
68	23.333	1.2727	0.	-130.93
69	23.333	1.0909	0.	-116.96
70	23.333	0.90909	0.	-104.95
71	23.333	0.72727	0.	-93.996
72	23.333	0.54545	0.	-83.928
73	23.333	0.36364	0.	-75.09
74	23.333	0.18182	0.	-68.207
75	23.149	5.8182	0.	-107.85
76	23.149	5.6364	0.	-113.78
77	23.149	5.4545	0.	-121.64
78	23.149	5.2727	0.	-131.28
79	23.149	5.0909	0.	-142.49
80	23.149	4.9091	0.	-155.41
81	23.149	4.7273	0.	-170.54
82	23.149	4.5455	0.	-188.78
83	23.149	4.3636	0.	-209.93
84	23.149	4.1818	0.	-230.96
85	23.149	4.	0.	-242.84
86	23.149	3.8182	0.	-239.12
87	23.149	3.6364	0.	-224.52
88	23.149	3.4545	0.	-209.47
89	23.149	3.2727	0.	-200.07
90	23.149	3.0909	0.	-196.18
91	23.149	2.9091	0.	-196.18
92	23.149	2.7273	0.	-200.07
93	23.149	2.5455	0.	-209.47
94	23.149	2.3636	0.	-224.52
95	23.149	2.1818	0.	-239.12
96	23.149	2.	0.	-242.84
97	23.149	1.8182	0.	-230.96
98	23.149	1.6364	0.	-209.93
99	23.149	1.4545	0.	-188.78
100	23.149	1.2727	0.	-170.54
101	23.149	1.0909	0.	-155.41
102	23.149	0.90909	0.	-142.49
103	23.149	0.72727	0.	-131.28
104	23.149	0.54545	0.	-121.64
105	23.149	0.36364	0.	-113.78
106	23.149	0.18182	0.	-107.85
107	22.965	5.8182	0.	-150.28
108	22.965	5.6364	0.	-155.68
109	22.965	5.4545	0.	-162.98
110	22.965	5.2727	0.	-172.17
111	22.965	5.0909	0.	-183.13
112	22.965	4.9091	0.	-195.84
113	22.965	4.7273	0.	-210.32
114	22.965	4.5455	0.	-226.26
115	22.965	4.3636	0.	-242.44
116	22.965	4.1818	0.	-255.57
117	22.965	4.	0.	-261.69
118	22.965	3.8182	0.	-258.96
119	22.965	3.6364	0.	-250.07
