Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	23.7	2.1818	0.	2.2094
2	23.7	2.3636	0.	2.2094
3	23.7	2.5455	0.	2.2095
4	23.7	2.7273	0.	2.2095
5	23.7	2.9091	0.	2.2095
6	23.7	3.0909	0.	2.2095
7	23.7	3.2727	0.	2.2095
8	23.7	3.4545	0.	2.2095
9	23.7	3.6364	0.	2.2094
10	23.7	3.8182	0.	2.2094
11	23.516	5.8182	0.	2.182
12	23.516	5.6364	0.	2.1822
13	23.516	5.4545	0.	2.1825
14	23.516	5.2727	0.	2.1827
15	23.516	5.0909	0.	2.1829
16	23.516	4.9091	0.	2.1831
17	23.516	4.7273	0.	2.1833
18	23.516	4.5455	0.	2.1835
19	23.516	4.3636	0.	2.1836
20	23.516	4.1818	0.	2.1838
21	23.516	4.	0.	2.1839
22	23.516	3.8182	0.	2.1839
23	23.516	3.6364	0.	2.1839
24	23.516	3.4545	0.	2.184
25	23.516	3.2727	0.	2.184
26	23.516	3.0909	0.	2.184
27	23.516	2.9091	0.	2.184
28	23.516	2.7273	0.	2.184
29	23.516	2.5455	0.	2.184
30	23.516	2.3636	0.	2.1839
31	23.516	2.1818	0.	2.1839
32	23.516	2.	0.	2.1839
33	23.516	1.8182	0.	2.1838
34	23.516	1.6364	0.	2.1836
35	23.516	1.4545	0.	2.1835
36	23.516	1.2727	0.	2.1833
37	23.516	1.0909	0.	2.1831
38	23.516	0.90909	0.	2.1829
39	23.516	0.72727	0.	2.1827
40	23.516	0.54545	0.	2.1825
41	23.516	0.36364	0.	2.1822
42	23.516	0.18182	0.	2.182
43	23.333	5.8182	0.	2.1566
44	23.333	5.6364	0.	2.1568
45	23.333	5.4545	0.	2.157
46	23.333	5.2727	0.	2.1572
47	23.333	5.0909	0.	2.1574
48	23.333	4.9091	0.	2.1576
49	23.333	4.7273	0.	2.1578
50	23.333	4.5455	0.	2.158
51	23.333	4.3636	0.	2.1581
52	23.333	4.1818	0.	2.1583
53	23.333	4.	0.	2.1583
54	23.333	3.8182	0.	2.1584
55	23.333	3.6364	0.	2.1585
56	23.333	3.4545	0.	2.1585
57	23.333	3.2727	0.	2.1585
58	23.333	3.0909	0.	2.1585
59	23.333	2.9091	0.	2.1585
60	23.333	2.7273	0.	2.1585
61	23.333	2.5455	0.	2.1585
62	23.333	2.3636	0.	2.1585
63	23.333	2.1818	0.	2.1584
64	23.333	2.	0.	2.1583
65	23.333	1.8182	0.	2.1583
66	23.333	1.6364	0.	2.1581
67	23.333	1.4545	0.	2.158
68	23.333	1.2727	0.	2.1578
69	23.333	1.0909	0.	2.1576
70	23.333	0.90909	0.	2.1574
71	23.333	0.72727	0.	2.1572
72	23.333	0.54545	0.	2.157
73	23.333	0.36364	0.	2.1568
74	23.333	0.18182	0.	2.1566
75	23.149	5.8182	0.	2.1311
76	23.149	5.6364	0.	2.1313
77	23.149	5.4545	0.	2.1316
78	23.149	5.2727	0.	2.1318
79	23.149	5.0909	0.	2.132
80	23.149	4.9091	0.	2.1322
81	23.149	4.7273	0.	2.1323
82	23.149	4.5455	0.	2.1325
83	23.149	4.3636	0.	2.1326
84	23.149	4.1818	0.	2.1328
85	23.149	4.	0.	2.1329
86	23.149	3.8182	0.	2.1329
87	23.149	3.6364	0.	2.133
88	23.149	3.4545	0.	2.133
89	23.149	3.2727	0.	2.133
90	23.149	3.0909	0.	2.133
91	23.149	2.9091	0.	2.133
92	23.149	2.7273	0.	2.133
93	23.149	2.5455	0.	2.133
94	23.149	2.3636	0.	2.133
95	23.149	2.1818	0.	2.1329
96	23.149	2.	0.	2.1329
97	23.149	1.8182	0.	2.1328
98	23.149	1.6364	0.	2.1326
99	23.149	1.4545	0.	2.1325
100	23.149	1.2727	0.	2.1323
101	23.149	1.0909	0.	2.1322
102	23.149	0.90909	0.	2.132
103	23.149	0.72727	0.	2.1318
104	23.149	0.54545	0.	2.1316
105	23.149	0.36364	0.	2.1313
106	23.149	0.18182	0.	2.1311
107	22.965	5.8182	0.	2.1057
108	22.965	5.6364	0.	2.1059
109	22.965	5.4545	0.	2.1061
110	22.965	5.2727	0.	2.1063
111	22.965	5.0909	0.	2.1065
112	22.965	4.9091	0.	2.1067
113	22.965	4.7273	0.	2.1069
114	22.965	4.5455	0.	2.107
115	22.965	4.3636	0.	2.1072
116	22.965	4.1818	0.	2.1073
117	22.965	4.	0.	2.1074
118	22.965	3.8182	0.	2.1075
119	22.965	3.6364	0.	2.1075
120	22.965	3.4545	0.	2.1076
121	22.965	3.2727	0.	2.1076
122	22.965	3.0909	0.	2.1076
123	22.965	2.9091	0.	2.1076
124	22.965	2.7273	0.	2.1076
125	22.965	2.5455	0.	2.1076
126	22.965	2.3636	0.	2.1075
127	22.965	2.1818	0.	2.1075
128	22.965	2.	0.	2.1074
129	22.965	1.8182	0.	2.1073
130	22.965	1.6364	0.	2.1072
131	22.965	1.4545	0.	2.107
132	22.965	1.2727	0.	2.1069
133	22.965	1.0909	0.	2.1067
134	22.965	0.90909	0.	2.1065
135	22.965	0.72727	0.	2.1063
136	22.965	0.54545	0.	2.1061
137	22.965	0.36364	0.	2.1059
138	22.965	0.18182	0.	2.1057
139	22.781	5.8182	0.	2.0802
140	22.781	5.6364	0.	2.0805
141	22.781	5.4545	0.	2.0807
142	22.781	5.2727	0.	2.0809
143	22.781	5.0909	0.	2.0811
144	22.781	4.9091	0.	2.0813
145	22.781	4.7273	0.	2.0814
146	22.781	4.5455	0.	2.0816
147	22.781	4.3636	0.	2.0817
