Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	2.7379	2.6196	0.	7.2118e-005
2	2.8128	3.3907	0.	6.9461e-005
3	4.0824	1.5742	0.	4.343e-005
4	3.8507	3.442	0.	5.404e-005
5	0.89407	0.8172	0.	4.9593e-005
6	3.3259	0.60107	0.	3.7594e-005
7	0.94602	5.0113	0.	5.9754e-005
8	3.3029	4.7227	0.	5.9995e-005
9	2.9018	5.0646	0.	3.8661e-005
10	3.7168	2.6253	0.	5.7056e-005
11	5.0483	2.2494	0.	3.8128e-005
12	3.0874	5.4601	0.	4.1546e-005
13	5.1636	3.4753	0.	3.4828e-005
14	4.4393	0.85459	0.	3.6539e-005
15	5.4841	1.0956	0.	3.4121e-005
16	6.6314	1.1807	0.	3.0519e-005
17	7.8333	1.176	0.	2.5776e-005
18	9.0238	1.1743	0.	2.1862e-005
19	10.201	1.1728	0.	1.8611e-005
20	11.352	1.1754	0.	1.601e-005
21	12.508	1.1773	0.	1.3512e-005
22	13.653	1.1779	0.	1.1221e-005
23	14.804	1.1789	0.	9.1183e-006
24	15.949	1.1813	0.	7.2558e-006
25	17.097	1.1842	0.	5.6175e-006
26	18.243	1.1869	0.	4.2291e-006
27	19.391	1.186	0.	3.074e-006
28	20.544	1.1944	0.	2.1579e-006
29	21.69	1.1939	0.	1.477e-006
30	22.849	1.1973	0.	1.0106e-006
31	22.841	2.3978	0.	1.3558e-006
32	22.835	3.5989	0.	1.3554e-006
33	22.845	4.7973	0.	1.0152e-006
34	21.688	4.8044	0.	1.4768e-006
35	20.538	4.7926	0.	2.1622e-006
36	19.384	4.7872	0.	3.0761e-006
37	18.235	4.7539	0.	4.2337e-006
38	17.089	4.7269	0.	5.6246e-006
39	15.946	4.7105	0.	7.253e-006
40	14.8	4.7047	0.	9.1205e-006
41	13.657	4.7024	0.	1.1209e-005
42	12.506	4.7027	0.	1.3513e-005
43	11.355	4.7305	0.	1.5972e-005
44	10.184	4.7557	0.	1.8602e-005
45	8.9954	4.7431	0.	2.2065e-005
46	7.7804	4.733	0.	2.5475e-005
47	6.4949	4.7363	0.	3.2083e-005
48	4.9713	4.6878	0.	3.3987e-005
49	4.1442	5.2612	0.	3.6543e-005
50	6.4835	2.3346	0.	3.2175e-005
51	7.7476	2.3615	0.	2.6234e-005
52	8.9776	2.3492	0.	2.2096e-005
53	10.18	2.3491	0.	1.8497e-005
54	11.345	2.3571	0.	1.5945e-005
55	12.502	2.3584	0.	1.3566e-005
56	13.653	2.3617	0.	1.1335e-005
57	14.801	2.3635	0.	9.2767e-006
58	15.948	2.3675	0.	7.4322e-006
59	17.095	2.3711	0.	5.8159e-006
60	18.241	2.3755	0.	4.4347e-006
61	19.388	2.3804	0.	3.2946e-006
62	20.535	2.3895	0.	2.4037e-006
63	21.685	2.3954	0.	1.7604e-006
64	21.679	3.5933	0.	1.7597e-006
65	20.527	3.5897	0.	2.4077e-006
66	18.234	3.5598	0.	4.4407e-006
67	17.09	3.5489	0.	5.8202e-006
68	15.945	3.5402	0.	7.4377e-006
69	14.798	3.5335	0.	9.2835e-006
70	13.653	3.5311	0.	1.133e-005
71	12.5	3.528	0.	1.3577e-005
72	11.346	3.5272	0.	1.5957e-005
73	10.175	3.5206	0.	1.8452e-005
74	8.979	3.5288	0.	2.2325e-005
75	7.7093	3.5442	0.	2.6238e-005
