Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	2.5078	3.582	0.	7.107e-005
2	3.5021	3.3027	0.	6.3703e-005
3	4.3458	1.294	0.	2.8981e-005
4	4.1899	4.445	0.	3.1356e-005
5	1.7631	0.7897	0.	3.1406e-005
6	1.8539	2.2696	0.	2.3215e-005
7	3.8985	0.54841	0.	2.0136e-005
8	1.8719	4.8511	0.	2.9976e-005
9	3.9954	5.4717	0.	1.7916e-005
10	3.9871	2.3439	0.	3.6249e-005
11	0.86068	3.0578	0.	5.5352e-006
12	1.0412	4.2939	0.	8.824e-006
13	5.8841	4.118	0.	2.5154e-005
14	0.77607	2.084	0.	4.052e-006
15	0.82256	1.0312	0.	9.41e-006
16	4.8251	0.68734	0.	3.1803e-005
17	5.704	1.0132	0.	2.9487e-005
18	6.6806	1.5854	0.	2.1132e-005
19	8.36	1.4339	0.	2.1355e-005
20	9.5217	1.3607	0.	1.9517e-005
21	10.674	1.3166	0.	1.7292e-005
22	11.798	1.2916	0.	1.4281e-005
23	12.92	1.2762	0.	1.1747e-005
24	14.029	1.2631	0.	9.4242e-006
25	15.145	1.2348	0.	7.3926e-006
26	16.25	1.2227	0.	5.5983e-006
27	17.355	1.2057	0.	4.0578e-006
28	18.455	1.2066	0.	2.7555e-006
29	19.552	1.2126	0.	1.6891e-006
30	20.65	1.2129	0.	8.572e-007
31	21.772	1.2048	0.	2.6156e-007
32	22.885	1.1949	0.	-1.0364e-007
33	22.873	2.3928	0.	-2.4477e-007
34	22.874	3.6043	0.	-2.4834e-007
35	22.883	4.8002	0.	-1.0272e-007
36	21.767	4.8042	0.	2.6135e-007
37	20.658	4.8153	0.	8.5514e-007
38	19.553	4.8461	0.	1.6949e-006
39	18.444	4.8477	0.	2.7707e-006
40	17.342	4.8306	0.	4.0766e-006
41	16.245	4.8189	0.	5.6205e-006
42	15.141	4.8248	0.	7.3902e-006
43	14.031	4.8267	0.	9.4296e-006
44	12.916	4.8262	0.	1.1784e-005
45	11.787	4.8152	0.	1.4321e-005
46	10.679	4.8069	0.	1.7174e-005
47	9.5483	4.8159	0.	1.9969e-005
48	8.4199	4.8418	0.	2.2713e-005
49	7.2685	4.91	0.	2.5848e-005
50	6.0601	5.0368	0.	2.5856e-005
51	4.8365	5.3016	0.	3.4465e-005
52	4.8621	1.758	0.	2.1986e-005
53	6.9484	2.827	0.	2.2378e-005
54	8.3422	2.6359	0.	2.1179e-005
55	9.4955	2.544	0.	1.9116e-005
56	10.652	2.4997	0.	1.7025e-005
57	11.771	2.4687	0.	1.4276e-005
58	12.893	2.4652	0.	1.1679e-005
59	14.029	2.4792	0.	9.3417e-006
60	15.152	2.4501	0.	7.2615e-006
61	16.252	2.4304	0.	5.4653e-006
62	17.353	2.4255	0.	3.9475e-006
63	18.438	2.4347	0.	2.6401e-006
