Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	3.0714	2.932	0.	-11616
2	3.8144	3.1394	0.	-5372.
3	4.7627	2.4691	0.	-6223.4
4	5.1031	3.2449	0.	-6050.
5	1.945	2.5474	0.	-8929.3
6	1.9107	0.80934	0.	-4922.
7	2.0422	5.0836	0.	-5196.3
8	3.8993	5.0604	0.	-4333.3
9	4.4128	4.6508	0.	-5717.7
10	4.2661	0.57687	0.	-3587.1
11	2.341	4.4199	0.	-6879.8
12	1.1546	4.5248	0.	-5850.5
13	4.1129	5.4591	0.	-3363.6
14	5.1361	0.8591	0.	-4528.6
15	0.97967	3.229	0.	-7041.6
16	0.92297	1.0268	0.	-5651.4
17	6.2658	1.1258	0.	-4063.1
18	7.277	1.4501	0.	-4270.
19	8.4782	1.5388	0.	-3812.7
20	9.7203	1.5314	0.	-3456.8
21	10.936	1.5211	0.	-3114.8
22	12.125	1.5205	0.	-2789.7
23	13.297	1.5219	0.	-2478.2
24	14.477	1.5412	0.	-2172.5
25	15.642	1.5671	0.	-1874.3
26	16.879	1.6866	0.	-1540.4
27	18.208	1.211	0.	-1265.5
28	19.383	1.193	0.	-991.94
29	20.53	1.1861	0.	-734.17
30	21.686	1.1933	0.	-484.71
31	22.839	1.1925	0.	-242.13
32	22.84	2.3929	0.	-245.71
33	22.837	3.599	0.	-247.07
34	22.837	4.8023	0.	-242.42
35	21.676	4.8054	0.	-485.77
36	20.535	4.8006	0.	-733.75
37	19.402	4.8206	0.	-991.63
38	18.271	4.8506	0.	-1245.
39	17.127	4.8863	0.	-1526.
40	16.033	4.7151	0.	-1787.1
41	15.008	4.5922	0.	-2035.
42	13.849	4.5932	0.	-2335.3
43	12.702	4.5163	0.	-2634.2
44	11.524	4.511	0.	-2952.4
45	10.341	4.504	0.	-3282.7
46	9.1021	4.4898	0.	-3629.3
47	7.8138	4.4541	0.	-3979.6
48	6.3877	4.459	0.	-3844.4
49	5.2061	5.1743	0.	-5169.2
50	6.5374	2.8985	0.	-3987.3
51	18.356	2.4381	0.	-1183.2
52	19.413	2.4007	0.	-986.13
53	20.524	2.3921	0.	-738.6
54	21.679	2.3947	0.	-489.14
55	21.672	3.5922	0.	-490.49
56	20.541	3.6014	0.	-734.34
57	19.428	3.6218	0.	-975.79
58	18.327	3.6834	0.	-1258.
59	17.162	3.7872	0.	-1474.8
60	16.297	3.2827	0.	-1720.
61	15.281	3.0845	0.	-1971.
62	14.147	3.0455	0.	-2253.4
63	12.982	3.0383	0.	-2558.8
64	11.807	3.0314	0.	-2869.2
65	10.617	3.0257	0.	-3194.3
66	9.3638	3.0134	0.	-3535.4
67	8.0382	3.0233	0.	-3953.2
