Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	2.3906	2.8437	0.	8.8581e-004
2	4.6571	2.6629	0.	7.114e-004
3	1.4498	1.9335	0.	6.7189e-004
4	1.1275	0.77943	0.	6.2029e-004
5	2.1077	0.5278	0.	4.5765e-004
6	2.3799	4.2448	0.	8.9833e-004
7	1.9501	5.2382	0.	4.6552e-004
8	3.9417	5.0594	0.	4.9732e-004
9	4.4264	4.698	0.	6.1398e-004
10	4.9929	3.5005	0.	5.9096e-004
11	4.2934	0.60942	0.	3.6845e-004
12	2.0814	4.6338	0.	6.1491e-004
13	0.95015	4.9584	0.	5.8236e-004
14	4.1321	5.4592	0.	3.7663e-004
15	5.3329	0.91702	0.	4.4003e-004
16	1.2557	3.9035	0.	6.5597e-004
17	1.1926	2.6999	0.	7.444e-004
18	6.4868	1.1101	0.	4.4497e-004
19	7.63	1.2143	0.	4.0224e-004
20	8.8682	1.2091	0.	3.6793e-004
21	10.082	1.2006	0.	3.3433e-004
22	11.268	1.1901	0.	3.0249e-004
23	12.442	1.1821	0.	2.7118e-004
24	13.603	1.1793	0.	2.4071e-004
25	14.754	1.1788	0.	2.113e-004
26	15.912	1.179	0.	1.8249e-004
27	17.062	1.1814	0.	1.5466e-004
28	18.218	1.1842	0.	1.2751e-004
29	19.369	1.1891	0.	1.0135e-004
30	20.525	1.1918	0.	7.599e-005
31	21.678	1.1919	0.	5.1795e-005
32	22.843	1.1961	0.	2.9309e-005
33	22.838	2.3949	0.	3.2704e-005
34	22.826	3.5942	0.	3.2962e-005
35	22.839	4.8056	0.	2.9371e-005
36	21.68	4.7953	0.	5.1797e-005
37	20.523	4.7955	0.	7.6044e-005
38	19.366	4.7613	0.	1.0144e-004
39	18.214	4.7311	0.	1.2759e-004
40	17.06	4.7144	0.	1.5462e-004
41	15.91	4.7074	0.	1.824e-004
42	14.758	4.7063	0.	2.1104e-004
43	13.608	4.7067	0.	2.4036e-004
44	12.452	4.7085	0.	2.704e-004
45	11.292	4.7356	0.	3.014e-004
46	10.094	4.7669	0.	3.3369e-004
47	8.8707	4.7634	0.	3.672e-004
48	7.617	4.7526	0.	4.01e-004
49	6.2543	4.7431	0.	4.2215e-004
50	5.1588	5.2197	0.	4.955e-004
51	6.2409	3.4919	0.	4.1397e-004
52	5.8845	2.247	0.	4.3786e-004
53	7.4647	2.3652	0.	4.1485e-004
54	8.7925	2.392	0.	3.6184e-004
55	10.039	2.3814	0.	3.3555e-004
56	11.256	2.3665	0.	3.0103e-004
57	12.444	2.3647	0.	2.7003e-004
58	13.605	2.3638	0.	2.3983e-004
59	14.753	2.3632	0.	2.1075e-004
60	15.91	2.3649	0.	1.8205e-004
61	17.061	2.3679	0.	1.5429e-004
62	18.217	2.3728	0.	1.2733e-004
63	19.368	2.3773	0.	1.0144e-004
64	20.523	2.3839	0.	7.675e-005
65	21.677	2.3915	0.	5.3574e-005
66	21.671	3.5964	0.	5.3663e-005
67	20.516	3.5765	0.	7.6895e-005
68	19.363	3.5635	0.	1.0155e-004
69	18.212	3.5516	0.	1.2739e-004
70	17.059	3.542	0.	1.5428e-004
71	15.907	3.5362	0.	1.8207e-004
72	14.754	3.5334	0.	2.1062e-004
73	13.604	3.534	0.	2.3979e-004
74	12.439	3.5378	0.	2.7016e-004
75	11.264	3.5444	0.	3.0037e-004
76	10.045	3.5669	0.	3.3352e-004
77	8.7848	3.5661	0.	3.6469e-004
78	7.4738	3.5313	0.	4.1457e-004
79	4.8298	4.1641	0.	5.7272e-004
80	1.8504	1.3544	0.	6.9508e-004
81	3.6969	2.7332	0.	1.0884e-003
82	2.1424	3.6235	0.	7.8649e-004
83	4.1003	1.1498	0.	5.0599e-004
84	5.053	1.5852	0.	4.8462e-004
85	4.2485	1.9955	0.	6.1189e-004
86	3.0004	3.3442	0.	1.2533e-003
87	3.7364	3.3507	0.	7.8595e-004
88	3.887	1.5544	0.	7.6242e-004
89	2.2489	0.93047	0.	5.4478e-004
90	2.2489	0.93047	0.1	5.4478e-004
91	3.887	1.5544	0.1	7.6242e-004
92	3.7364	3.3507	0.1	7.8595e-004
93	3.0004	3.3442	0.1	1.2533e-003
94	4.2485	1.9955	0.1	6.1189e-004
95	5.053	1.5852	0.1	4.8462e-004
96	4.1003	1.1498	0.1	5.0599e-004
97	2.1424	3.6235	0.1	7.8649e-004
98	3.6969	2.7332	0.1	1.0884e-003
99	1.8504	1.3544	0.1	6.9508e-004
100	4.8298	4.1641	0.1	5.7272e-004
101	7.4738	3.5313	0.1	4.1457e-004
102	8.7848	3.5661	0.1	3.6469e-004
103	10.045	3.5669	0.1	3.3352e-004
104	11.264	3.5444	0.1	3.0037e-004
105	12.439	3.5378	0.1	2.7016e-004
106	13.604	3.534	0.1	2.3979e-004
107	14.754	3.5334	0.1	2.1062e-004
108	15.907	3.5362	0.1	1.8207e-004
109	17.059	3.542	0.1	1.5428e-004
110	18.212	3.5516	0.1	1.2739e-004
111	19.363	3.5635	0.1	1.0155e-004
112	20.516	3.5765	0.1	7.6895e-005
113	21.671	3.5964	0.1	5.3663e-005
114	21.677	2.3915	0.1	5.3574e-005
115	20.523	2.3839	0.1	7.675e-005
116	19.368	2.3773	0.1	1.0144e-004
117	18.217	2.3728	0.1	1.2733e-004
118	17.061	2.3679	0.1	1.5429e-004
119	15.91	2.3649	0.1	1.8205e-004
120	14.753	2.3632	0.1	2.1075e-004
121	13.605	2.3638	0.1	2.3983e-004
122	12.444	2.3647	0.1	2.7003e-004
123	11.256	2.3665	0.1	3.0103e-004
124	10.039	2.3814	0.1	3.3555e-004
125	8.7925	2.392	0.1	3.6184e-004
126	7.4647	2.3652	0.1	4.1485e-004
127	5.8845	2.247	0.1	4.3786e-004
128	6.2409	3.4919	0.1	4.1397e-004
129	5.1588	5.2197	0.1	4.955e-004
130	6.2543	4.7431	0.1	4.2215e-004
131	7.617	4.7526	0.1	4.01e-004
132	8.8707	4.7634	0.1	3.672e-004
133	10.094	4.7669	0.1	3.3369e-004
134	11.292	4.7356	0.1	3.014e-004
135	12.452	4.7085	0.1	2.704e-004
136	13.608	4.7067	0.1	2.4036e-004
137	14.758	4.7063	0.1	2.1104e-004
138	15.91	4.7074	0.1	1.824e-004
139	17.06	4.7144	0.1	1.5462e-004
140	18.214	4.7311	0.1	1.2759e-004
141	19.366	4.7613	0.1	1.0144e-004
142	20.523	4.7955	0.1	7.6044e-005
143	21.68	4.7953	0.1	5.1797e-005
144	22.839	4.8056	0.1	2.9371e-005
145	22.826	3.5942	0.1	3.2962e-005
