Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	3.6196	2.979	0.	11800
2	4.2482	2.3309	0.	5815.
3	5.3396	3.3744	0.	5116.5
4	2.3845	1.8552	0.	7669.2
5	2.3132	0.72206	0.	5149.
6	2.1052	5.1881	0.	5028.
7	4.2112	5.0492	0.	4015.9
8	4.5941	4.6765	0.	6428.3
9	4.6432	0.64755	0.	3797.5
10	1.0212	4.9673	0.	5894.2
11	4.4004	5.4609	0.	3958.6
12	5.7966	0.83469	0.	4467.
13	5.262	2.5501	0.	6124.4
14	1.3544	2.75	0.	6611.1
15	1.2678	1.3203	0.	5557.4
16	1.045	3.8794	0.	6663.5
17	6.8844	1.0765	0.	4124.6
18	7.9851	1.1881	0.	3952.1
19	9.1451	1.2069	0.	3596.
20	10.31	1.2118	0.	3279.3
21	11.465	1.1806	0.	2962.6
22	12.613	1.2152	0.	2658.6
23	13.744	1.2157	0.	2366.
24	14.88	1.2052	0.	2078.2
25	16.025	1.1922	0.	1794.1
26	17.162	1.1907	0.	1520.1
27	18.301	1.191	0.	1253.4
28	19.439	1.1916	0.	995.57
29	20.578	1.1915	0.	746.3
30	21.717	1.1922	0.	507.82
31	22.857	1.198	0.	289.53
32	22.854	2.4018	0.	323.45
33	22.848	3.6003	0.	324.47
34	22.855	4.7983	0.	290.
35	21.709	4.8018	0.	509.79
36	20.568	4.7897	0.	748.87
37	19.428	4.7833	0.	998.03
38	18.289	4.781	0.	1256.
39	17.151	4.7793	0.	1522.4
40	16.019	4.7924	0.	1794.9
41	14.882	4.8118	0.	2076.3
42	13.758	4.8599	0.	2361.5
43	12.596	4.8615	0.	2665.
44	11.442	4.846	0.	2969.1
45	10.266	4.8128	0.	3290.4
46	9.0759	4.7845	0.	3609.1
47	7.8258	4.752	0.	3959.4
48	6.3837	4.7144	0.	4213.1
49	5.4411	5.2374	0.	4229.6
50	6.5961	3.4899	0.	4161.8
51	6.5789	2.2541	0.	3878.9
52	7.8734	2.364	0.	3924.8
53	9.0929	2.398	0.	3555.3
54	10.292	2.4185	0.	3253.1
55	11.454	2.4406	0.	2949.3
56	12.592	2.4614	0.	2654.4
57	13.726	2.458	0.	2362.8
58	14.862	2.406	0.	2076.1
59	16.01	2.3901	0.	1793.2
60	17.154	2.388	0.	1518.2
61	18.292	2.3893	0.	1254.
62	19.431	2.3916	0.	998.72
63	20.57	2.3953	0.	755.76
64	21.711	2.3997	0.	527.41
65	21.704	3.5961	0.	529.04
66	20.563	3.5882	0.	757.2
67	19.424	3.5825	0.	1000.3
68	18.285	3.5796	0.	1255.4
69	17.146	3.5778	0.	1520.2
70	16.008	3.5923	0.	1792.9
71	14.866	3.6097	0.	2074.7
72	13.733	3.6485	0.	2361.3
73	12.595	3.6592	0.	2653.2
74	11.436	3.6428	0.	2953.3
75	10.259	3.6165	0.	3265.1
76	9.0612	3.5892	0.	3567.9
77	7.7999	3.5579	0.	3975.8
78	5.0924	4.1625	0.	4778.8
79	2.6597	1.1759	0.	5422.2
80	2.3638	2.5224	0.	6463.6
81	2.135	4.3717	0.	5956.5
82	4.3927	1.745	0.	6481.7
83	4.2371	3.1359	0.	7156.5
84	4.5528	1.186	0.	4387.5
85	2.8915	3.3998	0.	10626
86	3.1803	3.1378	0.	7212.3
87	2.3005	3.7085	0.	6446.
88	5.0938	1.9522	0.	4979.8
89	5.5515	1.5236	0.	5329.4
90	5.5515	1.5236	0.1	5329.4
91	5.0938	1.9522	0.1	4979.8
92	2.3005	3.7085	0.1	6446.
93	3.1803	3.1378	0.1	7212.3
94	2.8915	3.3998	0.1	10626
95	4.5528	1.186	0.1	4387.5
96	4.2371	3.1359	0.1	7156.5
97	4.3927	1.745	0.1	6481.7
98	2.135	4.3717	0.1	5956.5
99	2.3638	2.5224	0.1	6463.6
100	2.6597	1.1759	0.1	5422.2
101	5.0924	4.1625	0.1	4778.8
102	7.7999	3.5579	0.1	3975.8
103	9.0612	3.5892	0.1	3567.9
104	10.259	3.6165	0.1	3265.1
105	11.436	3.6428	0.1	2953.3
106	12.595	3.6592	0.1	2653.2
107	13.733	3.6485	0.1	2361.3
108	14.866	3.6097	0.1	2074.7
109	16.008	3.5923	0.1	1792.9
110	17.146	3.5778	0.1	1520.2
111	18.285	3.5796	0.1	1255.4
112	19.424	3.5825	0.1	1000.3
113	20.563	3.5882	0.1	757.2
114	21.704	3.5961	0.1	529.04
115	21.711	2.3997	0.1	527.41
116	20.57	2.3953	0.1	755.76
117	19.431	2.3916	0.1	998.72
118	18.292	2.3893	0.1	1254.
119	17.154	2.388	0.1	1518.2
120	16.01	2.3901	0.1	1793.2
121	14.862	2.406	0.1	2076.1
122	13.726	2.458	0.1	2362.8
123	12.592	2.4614	0.1	2654.4
124	11.454	2.4406	0.1	2949.3
125	10.292	2.4185	0.1	3253.1
126	9.0929	2.398	0.1	3555.3
127	7.8734	2.364	0.1	3924.8
128	6.5789	2.2541	0.1	3878.9
129	6.5961	3.4899	0.1	4161.8
130	5.4411	5.2374	0.1	4229.6
131	6.3837	4.7144	0.1	4213.1
132	7.8258	4.752	0.1	3959.4
133	9.0759	4.7845	0.1	3609.1
134	10.266	4.8128	0.1	3290.4
135	11.442	4.846	0.1	2969.1
136	12.596	4.8615	0.1	2665.
137	13.758	4.8599	0.1	2361.5
138	14.882	4.8118	0.1	2076.3
139	16.019	4.7924	0.1	1794.9
140	17.151	4.7793	0.1	1522.4
141	18.289	4.781	0.1	1256.
142	19.428	4.7833	0.1	998.03
143	20.568	4.7897	0.1	748.87
144	21.709	4.8018	0.1	509.79
145	22.855	4.7983	0.1	290.
146	22.848	3.6003	0.1	324.47
147	22.854	2.4018	0.1	323.45
148	22.857	1.198	0.1	289.53
149	21.717	1.1922	0.1	507.82
150	20.578	1.1915	0.1	746.3
151	19.439	1.1916	0.1	995.57
152	18.301	1.191	0.1	1253.4
