Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	3.2871	2.9278	0.	117.5
2	4.275	3.2722	0.	197.45
3	3.6408	3.3508	0.	-64.807
4	2.2711	0.72062	0.	-69.181
5	2.2476	1.7189	0.	-114.94
6	5.1766	1.4006	0.	5.5917
7	2.1411	5.2159	0.	-97.816
8	2.6948	4.0579	0.	-34.152
9	4.6993	4.6836	0.	-18.989
10	4.2564	5.0483	0.	-2.7835
11	2.3078	3.268	0.	-362.1
12	4.4386	5.4612	0.	10.867
13	5.1458	2.5351	0.	-136.47
14	1.2834	3.8615	0.	-316.
15	1.1855	1.2384	0.	-186.34
16	1.0533	4.9507	0.	-117.26
17	5.5628	0.79358	0.	12.742
18	6.7296	1.1622	0.	-24.226
19	7.9213	1.1934	0.	-28.181
20	9.1287	1.2095	0.	-9.9674
21	10.305	1.2123	0.	-2.7258
22	11.472	1.2108	0.	-0.63789
23	12.615	1.1857	0.	-0.90693
24	13.757	1.2173	0.	-0.5509
25	14.892	1.2112	0.	-0.5094
26	16.029	1.2015	0.	-0.63744
27	17.167	1.1951	0.	-0.64877
28	18.307	1.1935	0.	-0.5545
29	19.444	1.1947	0.	-0.57739
30	20.582	1.1917	0.	-0.60267
31	21.72	1.1928	0.	-0.6048
32	22.859	1.1956	0.	-0.61724
33	22.851	2.394	0.	-1.267
34	22.848	3.6004	0.	-1.2778
35	22.853	4.8081	0.	-0.64618
36	21.712	4.7973	0.	-0.58954
37	20.569	4.7944	0.	-0.62448
38	19.434	4.7914	0.	-0.55401
39	18.296	4.7891	0.	-0.59411
40	17.164	4.7909	0.	-0.56811
41	16.026	4.8002	0.	-0.69328
42	14.893	4.8262	0.	-0.49394
43	13.746	4.8318	0.	-0.66705
44	12.606	4.8236	0.	-0.77087
45	11.455	4.8157	0.	-0.90872
46	10.286	4.8099	0.	-2.4575
47	9.0907	4.7876	0.	-11.489
48	7.8461	4.7696	0.	-22.758
49	6.4331	4.7678	0.	-50.166
50	5.5065	5.2536	0.	-18.871
51	6.5561	3.4668	0.	-83.783
52	6.3115	2.1485	0.	-112.72
53	7.7838	2.369	0.	-44.562
54	9.0498	2.4059	0.	-17.921
55	10.271	2.4128	0.	-5.3189
56	11.457	2.4106	0.	-1.0107
57	12.608	2.4182	0.	-0.94189
58	13.738	2.4319	0.	-1.3083
59	14.868	2.4263	0.	-1.2203
60	16.01	2.4101	0.	-1.2063
61	17.161	2.3861	0.	-1.1884
62	18.295	2.387	0.	-1.3026
63	19.43	2.3895	0.	-1.2369
64	20.566	2.3928	0.	-1.2274
65	21.706	2.3912	0.	-1.2207
66	21.707	3.5987	0.	-1.1934
67	20.556	3.5904	0.	-1.295
68	19.421	3.5813	0.	-1.2711
69	18.292	3.5888	0.	-1.2824
70	17.154	3.5915	0.	-1.2131
71	16.009	3.6005	0.	-1.2883
72	14.877	3.6231	0.	-1.2007
73	13.739	3.6527	0.	-1.1338
74	12.599	3.6399	0.	-1.0405
75	11.436	3.6134	0.	-1.49
76	10.256	3.6122	0.	-6.138
77	9.0446	3.6005	0.	-20.37
78	7.7529	3.5443	0.	-35.146
79	5.1243	4.1207	0.	-167.27
80	2.5513	1.1424	0.	25.284
81	2.1759	2.4511	0.	-322.4
82	1.0714	2.5021	0.	-311.79
83	3.1579	3.6432	0.	52.75
84	3.7777	0.97356	0.	-26.582
85	5.353	3.3933	0.	-133.93
86	3.9366	2.6496	0.	103.5
87	4.5331	1.8271	0.	-214.41
88	4.1524	0.47533	0.	-39.672
89	3.7373	1.3202	0.	-186.25
90	2.3369	4.5797	0.	-79.05
91	2.3369	4.5797	0.1	79.05
92	3.7373	1.3202	0.1	186.25
93	4.1524	0.47533	0.1	39.672
