Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	5.6609	2.5065	0.	-5.0365e-004
2	5.4148	1.7984	0.	-4.8443e-004
3	3.3222	3.579	0.	-9.361e-004
4	5.425	4.1737	0.	-4.7166e-004
5	3.1444	2.4526	0.	-9.2598e-004
6	2.7621	0.82643	0.	-4.8105e-004
7	4.8441	0.49274	0.	-3.7644e-004
8	3.1181	4.6443	0.	-6.0223e-004
9	2.8549	5.2072	0.	-4.6525e-004
10	4.5995	5.0813	0.	-3.6198e-004
11	4.8364	2.6363	0.	-6.7969e-004
12	1.0269	4.7318	0.	-5.8107e-004
13	0.91955	1.1499	0.	-5.732e-004
14	4.9167	1.2716	0.	-6.2281e-004
15	5.0207	4.7058	0.	-5.692e-004
16	1.8377	1.0405	0.	-5.3642e-004
17	2.0549	4.5589	0.	-5.2273e-004
18	5.807	0.7237	0.	-3.8825e-004
19	4.8086	5.476	0.	-3.4052e-004
20	0.94869	2.3119	0.	-6.2746e-004
21	1.0014	3.5016	0.	-6.4039e-004
22	1.997	3.224	0.	-5.6721e-004
23	6.6903	1.2309	0.	-4.2164e-004
24	8.0941	1.2155	0.	-3.9372e-004
25	9.3258	1.2046	0.	-3.5549e-004
26	10.526	1.1953	0.	-3.2228e-004
27	11.679	1.1854	0.	-2.9087e-004
28	12.816	1.1747	0.	-2.6078e-004
29	13.954	1.1731	0.	-2.3122e-004
30	15.064	1.1722	0.	-2.0312e-004
31	16.186	1.1724	0.	-1.7532e-004
32	17.295	1.1745	0.	-1.486e-004
33	18.41	1.1785	0.	-1.2247e-004
34	19.521	1.1846	0.	-9.7214e-005
35	20.636	1.1888	0.	-7.2656e-005
36	21.755	1.1886	0.	-4.8833e-005
37	22.879	1.195	0.	-2.6132e-005
38	22.867	2.3931	0.	-2.8155e-005
39	22.869	3.6016	0.	-2.8128e-005
40	22.876	4.7968	0.	-2.6259e-005
41	21.753	4.7927	0.	-4.8891e-005
42	20.629	4.7911	0.	-7.2806e-005
43	19.513	4.7414	0.	-9.7448e-005
44	18.4	4.7015	0.	-1.2269e-004
45	17.29	4.6814	0.	-1.4864e-004
46	16.181	4.6744	0.	-1.7534e-004
47	15.071	4.6745	0.	-2.028e-004
48	13.96	4.6761	0.	-2.3096e-004
49	12.837	4.7174	0.	-2.6008e-004
50	11.696	4.7557	0.	-2.9035e-004
51	10.544	4.7524	0.	-3.2157e-004
52	9.3514	4.7589	0.	-3.5387e-004
53	8.1101	4.7673	0.	-3.9174e-004
54	6.6947	4.7217	0.	-4.1702e-004
55	5.817	5.26	0.	-4.2199e-004
56	6.6972	2.4107	0.	-4.4213e-004
57	7.9846	2.3906	0.	-3.9051e-004
58	9.245	2.379	0.	-3.5438e-004
59	10.465	2.3762	0.	-3.2224e-004
60	11.649	2.3552	0.	-2.9065e-004
61	12.805	2.3523	0.	-2.6041e-004
62	13.948	2.3515	0.	-2.3076e-004
63	15.061	2.3514	0.	-2.0265e-004
64	16.182	2.353	0.	-1.7498e-004
65	17.293	2.3571	0.	-1.483e-004
66	18.408	2.363	0.	-1.223e-004
67	19.52	2.37	0.	-9.7292e-005
68	20.634	2.3776	0.	-7.3193e-005
69	21.749	2.387	0.	-5.0155e-005
70	21.748	3.5906	0.	-5.0214e-005
71	20.634	3.5794	0.	-7.3211e-005
72	19.522	3.5574	0.	-9.7214e-005
73	18.401	3.533	0.	-1.2246e-004
74	17.291	3.5204	0.	-1.4832e-004
75	16.178	3.5135	0.	-1.7506e-004
76	15.064	3.511	0.	-2.0254e-004
77	13.947	3.5128	0.	-2.3079e-004
78	12.82	3.5136	0.	-2.5979e-004
79	11.654	3.5497	0.	-2.9031e-004
80	10.474	3.5525	0.	-3.2197e-004
81	9.256	3.5657	0.	-3.5434e-004
82	7.9954	3.5775	0.	-3.9233e-004
83	6.784	3.5611	0.	-4.3023e-004
84	2.8024	1.6948	0.	-6.4617e-004
85	3.4044	4.26	0.	-9.4847e-004
86	4.6212	0.91405	0.	-3.4222e-004
87	4.1249	2.6685	0.	-8.8181e-004
88	4.5594	3.3904	0.	-7.1918e-004
89	5.6633	3.4484	0.	-5.4779e-004
90	3.4388	2.62	0.	-9.5339e-004
91	1.9078	2.0963	0.	-5.7874e-004
92	3.9501	3.1271	0.	-1.0822e-003
93	2.9007	3.8295	0.	-6.931e-004
94	2.9007	3.8295	0.1	-2.6968e-004
95	3.9501	3.1271	0.1	-4.2956e-004
96	1.9078	2.0963	0.1	-2.5226e-004
97	3.4388	2.62	0.1	-3.8062e-004
98	5.6633	3.4484	0.1	-2.1322e-004
99	4.5594	3.3904	0.1	-2.7519e-004
100	4.1249	2.6685	0.1	-6.3267e-004
101	4.6212	0.91405	0.1	-1.6114e-004
102	3.4044	4.26	0.1	-5.0751e-004
103	2.8024	1.6948	0.1	-2.2847e-004
104	6.784	3.5611	0.1	-1.5384e-004
105	7.9954	3.5775	0.1	-1.3988e-004
106	9.256	3.5657	0.1	-1.2107e-004
107	10.474	3.5525	0.1	-1.0912e-004
108	11.654	3.5497	0.1	-9.6893e-005
109	12.82	3.5136	0.1	-8.6104e-005
110	13.947	3.5128	0.1	-7.6315e-005
111	15.064	3.511	0.1	-6.7504e-005
