Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
1	0.11155	8.2623e-002	0.	2.1187e-004
2	9.4635e-002	6.7658e-002	0.	2.0511e-004
3	7.4707e-002	9.842e-002	0.	1.5324e-004
4	0.1442	5.2257e-002	0.	1.0311e-004
5	0.1309	3.3828e-002	0.	1.1217e-004
6	6.3158e-002	7.0572e-002	0.	1.501e-004
7	8.8263e-002	0.13625	0.	8.9937e-005
8	9.4788e-002	0.11391	0.	2.0073e-004
9	0.13603	0.11748	0.	1.0067e-004
10	0.12565	0.12782	0.	6.8643e-005
11	8.1225e-002	1.3432e-002	0.	9.817e-005
12	7.6105e-002	3.2847e-002	0.	1.3551e-004
13	0.12696	1.5282e-002	0.	7.8424e-005
14	0.13091	0.13881	0.	7.1333e-005
15	5.7224e-002	1.9418e-002	0.	1.2369e-004
16	5.2128e-002	9.6383e-002	0.	1.3199e-004
17	2.9935e-002	6.418e-002	0.	1.5189e-004
18	2.6907e-002	9.2875e-002	0.	1.5361e-004
19	0.15244	2.2893e-002	0.	8.0601e-005
20	0.17606	3.8821e-002	0.	8.2372e-005
21	0.21325	3.885e-002	0.	7.0959e-005
22	0.24543	3.865e-002	0.	5.9416e-005
23	0.2758	3.8629e-002	0.	5.0545e-005
24	0.30549	3.9163e-002	0.	4.2221e-005
25	0.33465	4.1173e-002	0.	3.4922e-005
26	0.35999	3.689e-002	0.	2.9483e-005
27	0.3854	3.044e-002	0.	2.2911e-005
28	0.41339	2.8513e-002	0.	1.8312e-005
29	0.44007	2.8861e-002	0.	1.3871e-005
30	0.46804	2.9836e-002	0.	9.9522e-006
31	0.49633	2.9953e-002	0.	6.6842e-006
32	0.52461	3.008e-002	0.	4.1373e-006
33	0.55292	3.0227e-002	0.	2.3196e-006
34	0.58128	3.0399e-002	0.	1.2322e-006
35	2.4972e-002	0.12275	0.	1.4199e-004
36	0.58079	6.096e-002	0.	1.5827e-006
37	0.5802	9.1307e-002	0.	1.5952e-006
38	0.57991	0.12185	0.	1.2721e-006
39	0.55031	0.12174	0.	2.4521e-006
40	0.52112	0.12166	0.	4.407e-006
41	0.49181	0.12154	0.	7.1261e-006
42	0.4624	0.12144	0.	1.0648e-005
43	0.4327	0.12114	0.	1.5256e-005
44	0.40175	0.11906	0.	2.0261e-005
45	0.37122	0.11588	0.	2.6237e-005
46	0.34107	0.11521	0.	3.3201e-005
47	0.31073	0.11468	0.	4.0902e-005
48	0.28033	0.11426	0.	4.9144e-005
49	0.24921	0.11415	0.	5.8357e-005
50	0.2173	0.11405	0.	6.8978e-005
51	0.18168	0.1138	0.	7.9123e-005
52	0.15802	0.13138	0.	8.5641e-005
53	0.18075	7.6608e-002	0.	8.0806e-005
54	0.38916	5.5415e-002	0.	2.2986e-005
55	0.41083	5.8754e-002	0.	1.862e-005
56	0.43782	5.9802e-002	0.	1.4024e-005
57	0.46596	6.0154e-002	0.	1.0314e-005
58	0.49456	6.037e-002	0.	6.9894e-006
59	0.52329	6.0547e-002	0.	4.3917e-006
60	0.55199	6.0534e-002	0.	2.5858e-006
61	0.55102	9.1111e-002	0.	2.6337e-006
62	0.52204	9.1146e-002	0.	4.4846e-006
63	0.493	9.1044e-002	0.	7.1279e-006
64	0.46392	9.0908e-002	0.	1.0536e-005
65	0.43473	9.0508e-002	0.	1.4713e-005
66	0.40457	8.8948e-002	0.	2.0188e-005
67	0.37106	7.736e-002	0.	2.5631e-005
68	0.33843	7.7823e-002	0.	3.3981e-005
69	0.30785	7.7409e-002	0.	4.1389e-005
70	0.27737	7.6329e-002	0.	4.9725e-005
71	0.24605	7.6458e-002	0.	5.8878e-005
72	0.21339	7.6273e-002	0.	7.0001e-005
73	0.14387	0.10084	0.	1.0399e-004
74	8.5699e-002	2.387e-002	0.	8.9056e-005
75	6.5628e-002	4.8516e-002	0.	1.3864e-004
76	3.3412e-002	3.3722e-002	0.	1.4062e-004
77	7.0293e-002	0.12551	0.	1.142e-004
78	4.9275e-002	0.1244	0.	1.271e-004
79	9.119e-002	0.12268	0.	1.0775e-004
80	8.7033e-002	0.10549	0.	1.7e-004
81	0.12263	2.4795e-002	0.	6.4222e-005
82	0.10824	6.1782e-002	0.	2.2032e-004
83	9.1163e-002	8.7056e-002	0.	1.9188e-004
84	0.14302	7.637e-002	0.	1.1873e-004
85	8.472e-002	0.11667	0.	1.3994e-004
86	8.472e-002	0.11667	2.54e-003	1.3994e-004
87	0.14302	7.637e-002	2.54e-003	1.1873e-004
88	9.1163e-002	8.7056e-002	2.54e-003	1.9188e-004
89	0.10824	6.1782e-002	2.54e-003	2.2032e-004
90	0.12263	2.4795e-002	2.54e-003	6.4222e-005
91	8.7033e-002	0.10549	2.54e-003	1.7e-004
92	9.119e-002	0.12268	2.54e-003	1.0775e-004
93	4.9275e-002	0.1244	2.54e-003	1.271e-004
94	7.0293e-002	0.12551	2.54e-003	1.142e-004
95	3.3412e-002	3.3722e-002	2.54e-003	1.4062e-004
96	6.5628e-002	4.8516e-002	2.54e-003	1.3864e-004
97	8.5699e-002	2.387e-002	2.54e-003	8.9056e-005
98	0.14387	0.10084	2.54e-003	1.0399e-004
99	0.21339	7.6273e-002	2.54e-003	7.0001e-005
100	0.24605	7.6458e-002	2.54e-003	5.8878e-005
101	0.27737	7.6329e-002	2.54e-003	4.9725e-005
102	0.30785	7.7409e-002	2.54e-003	4.1389e-005
103	0.33843	7.7823e-002	2.54e-003	3.3981e-005
104	0.37106	7.736e-002	2.54e-003	2.5631e-005
105	0.40457	8.8948e-002	2.54e-003	2.0188e-005
106	0.43473	9.0508e-002	2.54e-003	1.4713e-005
107	0.46392	9.0908e-002	2.54e-003	1.0536e-005
108	0.493	9.1044e-002	2.54e-003	7.1279e-006
109	0.52204	9.1146e-002	2.54e-003	4.4846e-006
