Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.11155	8.2623e-002	0.	1.4598e+007
2	9.4635e-002	6.7658e-002	0.	1.4132e+007
3	7.4707e-002	9.842e-002	0.	1.0558e+007
4	0.1442	5.2257e-002	0.	7.1045e+006
5	0.1309	3.3828e-002	0.	7.7284e+006
6	6.3158e-002	7.0572e-002	0.	1.0342e+007
7	8.8263e-002	0.13625	0.	6.1967e+006
8	9.4788e-002	0.11391	0.	1.383e+007
9	0.13603	0.11748	0.	6.9363e+006
10	0.12565	0.12782	0.	4.7295e+006
11	8.1225e-002	1.3432e-002	0.	6.7639e+006
12	7.6105e-002	3.2847e-002	0.	9.3367e+006
13	0.12696	1.5282e-002	0.	5.4034e+006
14	0.13091	0.13881	0.	4.9149e+006
15	5.7224e-002	1.9418e-002	0.	8.5224e+006
16	5.2128e-002	9.6383e-002	0.	9.0941e+006
17	2.9935e-002	6.418e-002	0.	1.0465e+007
18	2.6907e-002	9.2875e-002	0.	1.0583e+007
19	0.15244	2.2893e-002	0.	5.5534e+006
20	0.17606	3.8821e-002	0.	5.6754e+006
21	0.21325	3.885e-002	0.	4.8891e+006
22	0.24543	3.865e-002	0.	4.0937e+006
23	0.2758	3.8629e-002	0.	3.4825e+006
24	0.30549	3.9163e-002	0.	2.909e+006
25	0.33465	4.1173e-002	0.	2.4061e+006
26	0.35999	3.689e-002	0.	2.0314e+006
27	0.3854	3.044e-002	0.	1.5786e+006
28	0.41339	2.8513e-002	0.	1.2617e+006
29	0.44007	2.8861e-002	0.	9.5568e+005
30	0.46804	2.9836e-002	0.	6.8571e+005
31	0.49633	2.9953e-002	0.	4.6054e+005
32	0.52461	3.008e-002	0.	2.8506e+005
33	0.55292	3.0227e-002	0.	1.5982e+005
34	0.58128	3.0399e-002	0.	84901
35	2.4972e-002	0.12275	0.	9.7832e+006
36	0.58079	6.096e-002	0.	1.0905e+005
37	0.5802	9.1307e-002	0.	1.0991e+005
38	0.57991	0.12185	0.	87649
39	0.55031	0.12174	0.	1.6895e+005
40	0.52112	0.12166	0.	3.0364e+005
41	0.49181	0.12154	0.	4.9099e+005
42	0.4624	0.12144	0.	7.3363e+005
43	0.4327	0.12114	0.	1.0511e+006
44	0.40175	0.11906	0.	1.396e+006
45	0.37122	0.11588	0.	1.8077e+006
46	0.34107	0.11521	0.	2.2876e+006
47	0.31073	0.11468	0.	2.8181e+006
48	0.28033	0.11426	0.	3.386e+006
49	0.24921	0.11415	0.	4.0208e+006
50	0.2173	0.11405	0.	4.7526e+006
51	0.18168	0.1138	0.	5.4516e+006
52	0.15802	0.13138	0.	5.9007e+006
53	0.18075	7.6608e-002	0.	5.5676e+006
54	0.38916	5.5415e-002	0.	1.5837e+006
55	0.41083	5.8754e-002	0.	1.2829e+006
56	0.43782	5.9802e-002	0.	9.6625e+005
57	0.46596	6.0154e-002	0.	7.1066e+005
58	0.49456	6.037e-002	0.	4.8157e+005
59	0.52329	6.0547e-002	0.	3.0259e+005
60	0.55199	6.0534e-002	0.	1.7816e+005
