Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Elastic Strain (m/m)
1	0.11155	8.2623e-002	0.	1.0774e-004
2	9.4635e-002	6.7658e-002	0.	1.0394e-004
3	7.4707e-002	9.842e-002	0.	5.9492e-005
4	0.1442	5.2257e-002	0.	3.8257e-005
5	0.1309	3.3828e-002	0.	5.1951e-005
6	6.3158e-002	7.0572e-002	0.	6.1848e-005
7	8.8263e-002	0.13625	0.	3.7931e-005
8	9.4788e-002	0.11391	0.	1.1379e-004
9	0.13603	0.11748	0.	4.4981e-005
10	0.12565	0.12782	0.	3.181e-005
11	8.1225e-002	1.3432e-002	0.	4.3459e-005
12	7.6105e-002	3.2847e-002	0.	6.1404e-005
13	0.12696	1.5282e-002	0.	3.5891e-005
14	0.13091	0.13881	0.	3.2679e-005
15	5.7224e-002	1.9418e-002	0.	4.103e-005
16	5.2128e-002	9.6383e-002	0.	5.4706e-005
17	2.9935e-002	6.418e-002	0.	8.8029e-005
18	2.6907e-002	9.2875e-002	0.	8.929e-005
19	0.15244	2.2893e-002	0.	2.8953e-005
20	0.17606	3.8821e-002	0.	2.9029e-005
21	0.21325	3.885e-002	0.	2.5661e-005
22	0.24543	3.865e-002	0.	1.993e-005
23	0.2758	3.8629e-002	0.	1.686e-005
24	0.30549	3.9163e-002	0.	1.406e-005
25	0.33465	4.1173e-002	0.	1.1589e-005
26	0.35999	3.689e-002	0.	1.0174e-005
27	0.3854	3.044e-002	0.	8.2307e-006
28	0.41339	2.8513e-002	0.	6.7373e-006
29	0.44007	2.8861e-002	0.	5.3291e-006
30	0.46804	2.9836e-002	0.	4.0352e-006
31	0.49633	2.9953e-002	0.	2.9684e-006
32	0.52461	3.008e-002	0.	2.1053e-006
33	0.55292	3.0227e-002	0.	1.4547e-006
34	0.58128	3.0399e-002	0.	1.0085e-006
35	2.4972e-002	0.12275	0.	7.8666e-005
36	0.58079	6.096e-002	0.	1.3588e-006
37	0.5802	9.1307e-002	0.	1.3615e-006
38	0.57991	0.12185	0.	1.0206e-006
39	0.55031	0.12174	0.	1.4958e-006
40	0.52112	0.12166	0.	2.1797e-006
41	0.49181	0.12154	0.	3.0742e-006
42	0.4624	0.12144	0.	4.1458e-006
43	0.4327	0.12114	0.	5.477e-006
44	0.40175	0.11906	0.	7.4174e-006
45	0.37122	0.11588	0.	9.4607e-006
46	0.34107	0.11521	0.	1.1376e-005
47	0.31073	0.11468	0.	1.3607e-005
48	0.28033	0.11426	0.	1.6463e-005
49	0.24921	0.11415	0.	2.0074e-005
50	0.2173	0.11405	0.	2.4945e-005
51	0.18168	0.1138	0.	2.924e-005
52	0.15802	0.13138	0.	3.0973e-005
53	0.18075	7.6608e-002	0.	2.9535e-005
54	0.38916	5.5415e-002	0.	9.3552e-006
55	0.41083	5.8754e-002	0.	6.84e-006
56	0.43782	5.9802e-002	0.	5.8251e-006
57	0.46596	6.0154e-002	0.	4.4521e-006
58	0.49456	6.037e-002	0.	3.2639e-006
59	0.52329	6.0547e-002	0.	2.3773e-006
60	0.55199	6.0534e-002	0.	1.7467e-006
61	0.55102	9.1111e-002	0.	1.7641e-006
62	0.52204	9.1146e-002	0.	2.4061e-006
63	0.493	9.1044e-002	0.	3.3005e-006
64	0.46392	9.0908e-002	0.	4.4381e-006
65	0.43473	9.0508e-002	0.	5.7652e-006
66	0.40457	8.8948e-002	0.	7.7176e-006
67	0.37106	7.736e-002	0.	8.9967e-006
68	0.33843	7.7823e-002	0.	1.1649e-005
69	0.30785	7.7409e-002	0.	1.3716e-005
70	0.27737	7.6329e-002	0.	1.6914e-005
71	0.24605	7.6458e-002	0.	2.0379e-005
72	0.21339	7.6273e-002	0.	2.579e-005
73	0.14387	0.10084	0.	3.8472e-005
74	8.5699e-002	2.387e-002	0.	4.1547e-005
75	6.5628e-002	4.8516e-002	0.	5.3722e-005
76	3.3412e-002	3.3722e-002	0.	7.5104e-005
77	7.0293e-002	0.12551	0.	4.1546e-005
78	4.9275e-002	0.1244	0.	4.7081e-005
79	9.119e-002	0.12268	0.	5.0901e-005
80	8.7033e-002	0.10549	0.	6.0148e-005
81	0.12263	2.4795e-002	0.	3.4185e-005
82	0.10824	6.1782e-002	0.	1.1611e-004
83	9.1163e-002	8.7056e-002	0.	7.3167e-005
84	0.14302	7.637e-002	0.	5.0822e-005
85	8.472e-002	0.11667	0.	7.1153e-005
86	8.472e-002	0.11667	2.54e-003	1.3136e-004
87	0.14302	7.637e-002	2.54e-003	1.2368e-004
88	9.1163e-002	8.7056e-002	2.54e-003	1.8955e-004
89	0.10824	6.1782e-002	2.54e-003	1.9892e-004
90	0.12263	2.4795e-002	2.54e-003	6.0096e-005
91	8.7033e-002	0.10549	2.54e-003	1.7612e-004
92	9.119e-002	0.12268	2.54e-003	1.0336e-004
93	4.9275e-002	0.1244	2.54e-003	1.3066e-004
94	7.0293e-002	0.12551	2.54e-003	1.1337e-004
95	3.3412e-002	3.3722e-002	2.54e-003	1.3461e-004
96	6.5628e-002	4.8516e-002	2.54e-003	1.44e-004
97	8.5699e-002	2.387e-002	2.54e-003	8.5716e-005
98	0.14387	0.10084	2.54e-003	1.0653e-004
99	0.21339	7.6273e-002	2.54e-003	7.0482e-005
100	0.24605	7.6458e-002	2.54e-003	5.9314e-005
101	0.27737	7.6329e-002	2.54e-003	4.9854e-005
102	0.30785	7.7409e-002	2.54e-003	4.1455e-005
103	0.33843	7.7823e-002	2.54e-003	3.3871e-005
104	0.37106	7.736e-002	2.54e-003	2.5497e-005
105	0.40457	8.8948e-002	2.54e-003	1.9953e-005
106	0.43473	9.0508e-002	2.54e-003	1.4545e-005
107	0.46392	9.0908e-002	2.54e-003	1.032e-005
108	0.493	9.1044e-002	2.54e-003	6.8874e-006
109	0.52204	9.1146e-002	2.54e-003	4.198e-006
110	0.55102	9.1111e-002	2.54e-003	2.2538e-006
111	0.55199	6.0534e-002	2.54e-003	2.2013e-006
112	0.52329	6.0547e-002	2.54e-003	4.0998e-006
113	0.49456	6.037e-002	2.54e-003	6.7435e-006
114	0.46596	6.0154e-002	2.54e-003	1.0058e-005
115	0.43782	5.9802e-002	2.54e-003	1.3814e-005
116	0.41083	5.8754e-002	2.54e-003	1.8398e-005
117	0.38916	5.5415e-002	2.54e-003	2.2462e-005
118	0.18075	7.6608e-002	2.54e-003	8.265e-005
119	0.15802	0.13138	2.54e-003	8.5148e-005
120	0.18168	0.1138	2.54e-003	8.0092e-005
121	0.2173	0.11405	2.54e-003	6.9401e-005
122	0.24921	0.11415	2.54e-003	5.8695e-005
123	0.28033	0.11426	2.54e-003	4.9256e-005
124	0.31073	0.11468	2.54e-003	4.0894e-005
125	0.34107	0.11521	2.54e-003	3.3112e-005
126	0.37122	0.11588	2.54e-003	2.6149e-005
127	0.40175	0.11906	2.54e-003	2.0166e-005
128	0.4327	0.12114	2.54e-003	1.5121e-005
129	0.4624	0.12144	2.54e-003	1.0517e-005
130	0.49181	0.12154	2.54e-003	6.948e-006
131	0.52112	0.12166	2.54e-003	4.1991e-006
132	0.55031	0.12174	2.54e-003	2.1949e-006
133	0.57991	0.12185	2.54e-003	9.266e-007
134	0.5802	9.1307e-002	2.54e-003	1.0439e-006
135	0.58079	6.096e-002	2.54e-003	1.024e-006
136	2.4972e-002	0.12275	2.54e-003	1.3447e-004
137	0.58128	3.0399e-002	2.54e-003	8.7317e-007
138	0.55292	3.0227e-002	2.54e-003	2.0501e-006
139	0.52461	3.008e-002	2.54e-003	3.9152e-006
140	0.49633	2.9953e-002	2.54e-003	6.4859e-006
141	0.46804	2.9836e-002	2.54e-003	9.7598e-006
142	0.44007	2.8861e-002	2.54e-003	1.3699e-005
143	0.41339	2.8513e-002	2.54e-003	1.8159e-005
144	0.3854	3.044e-002	2.54e-003	2.2841e-005
145	0.35999	3.689e-002	2.54e-003	2.943e-005
146	0.33465	4.1173e-002	2.54e-003	3.4924e-005
147	0.30549	3.9163e-002	2.54e-003	4.2241e-005
148	0.2758	3.8629e-002	2.54e-003	5.0612e-005
149	0.24543	3.865e-002	2.54e-003	5.977e-005
150	0.21325	3.885e-002	2.54e-003	7.1389e-005
151	0.17606	3.8821e-002	2.54e-003	8.3379e-005
152	0.15244	2.2893e-002	2.54e-003	8.1468e-005
153	2.6907e-002	9.2875e-002	2.54e-003	1.4382e-004
154	2.9935e-002	6.418e-002	2.54e-003	1.426e-004
155	5.2128e-002	9.6383e-002	2.54e-003	1.3701e-004
156	5.7224e-002	1.9418e-002	2.54e-003	1.2559e-004
157	0.13091	0.13881	2.54e-003	6.8706e-005
158	0.12696	1.5282e-002	2.54e-003	7.4848e-005
159	7.6105e-002	3.2847e-002	2.54e-003	1.3248e-004
160	8.1225e-002	1.3432e-002	2.54e-003	9.4796e-005
161	0.12565	0.12782	2.54e-003	6.6453e-005
162	0.13603	0.11748	2.54e-003	9.778e-005
163	9.4788e-002	0.11391	2.54e-003	1.8381e-004
164	8.8263e-002	0.13625	2.54e-003	8.7601e-005
165	6.3158e-002	7.0572e-002	2.54e-003	1.5604e-004
166	0.1309	3.3828e-002	2.54e-003	1.0751e-004
167	0.1442	5.2257e-002	2.54e-003	1.0602e-004
168	7.4707e-002	9.842e-002	2.54e-003	1.559e-004
169	9.4635e-002	6.7658e-002	2.54e-003	1.9194e-004
170	0.11155	8.2623e-002	2.54e-003	1.9737e-004
171	0.10634	1.27e-002	2.54e-003	2.9382e-005
172	0.10634	2.54e-002	2.54e-003	1.0052e-004
173	0.10634	3.81e-002	2.54e-003	1.5447e-004
174	0.10634	5.08e-002	2.54e-003	3.8422e-004
175	0.10211	5.08e-002	2.54e-003	3.4926e-004
176	0.10211	3.81e-002	2.54e-003	1.6603e-004
177	0.10211	2.54e-002	2.54e-003	1.4217e-004
178	0.10211	1.27e-002	2.54e-003	4.9887e-005
179	0.10634	0.1397	2.54e-003	4.2689e-005
180	0.10634	0.127	2.54e-003	1.1955e-004
181	0.10634	0.1143	2.54e-003	1.3799e-004
182	0.10634	0.1016	2.54e-003	3.1996e-004
183	0.10211	0.1016	2.54e-003	3.8413e-004
184	0.10211	0.1143	2.54e-003	2.0558e-004
185	0.10211	0.127	2.54e-003	7.567e-005
186	0.10211	0.1397	2.54e-003	5.1736e-005
187	0.10634	0.1524	2.54e-003	4.0916e-005
188	0.13594	0.1524	2.54e-003	6.1774e-005
189	0.16555	0.1524	2.54e-003	7.8314e-005
190	0.19515	0.1524	2.54e-003	7.6479e-005
191	0.22476	0.1524	2.54e-003	6.7051e-005
192	0.25436	0.1524	2.54e-003	5.8031e-005
193	0.28396	0.1524	2.54e-003	4.8943e-005
194	0.31357	0.1524	2.54e-003	4.0526e-005
195	0.34317	0.1524	2.54e-003	3.2604e-005
196	0.37277	0.1524	2.54e-003	2.5838e-005
197	0.40238	0.1524	2.54e-003	2.0497e-005
198	0.43198	0.1524	2.54e-003	1.506e-005
199	0.46158	0.1524	2.54e-003	1.0597e-005
200	0.49119	0.1524	2.54e-003	6.9907e-006
201	0.52079	0.1524	2.54e-003	4.152e-006
202	0.55039	0.1524	2.54e-003	2.0616e-006
203	0.58	0.1524	2.54e-003	7.2052e-007
204	0.6096	0.1524	2.54e-003	1.6873e-007
205	0.6096	0.12192	2.54e-003	4.3685e-007
206	0.6096	9.144e-002	2.54e-003	6.109e-007
207	0.6096	6.096e-002	2.54e-003	6.0396e-007
208	0.6096	3.048e-002	2.54e-003	4.2197e-007
209	2.6645e-016	3.048e-002	2.54e-003	1.3602e-004
210	5.3291e-016	6.096e-002	2.54e-003	1.417e-004
211	7.9936e-016	9.144e-002	2.54e-003	1.391e-004
212	1.0658e-015	0.12192	2.54e-003	1.3178e-004
213	1.e-015	0.1524	2.54e-003	9.3676e-005
214	2.5527e-002	0.1524	2.54e-003	1.3433e-004
215	5.1054e-002	0.1524	2.54e-003	1.2934e-004
216	7.6581e-002	0.1524	2.54e-003	9.8111e-005
217	8.9345e-002	0.1524	2.54e-003	5.4231e-005
218	0.10211	0.1524	2.54e-003	1.9842e-005
219	0.6096	0.	2.54e-003	1.6368e-007
220	0.58164	0.	2.54e-003	6.4534e-007
221	0.55368	0.	2.54e-003	1.8653e-006
222	0.52572	0.	2.54e-003	3.7398e-006
223	0.49776	0.	2.54e-003	6.2673e-006
224	0.46981	0.	2.54e-003	9.4541e-006
225	0.44185	0.	2.54e-003	1.3502e-005
226	0.41389	0.	2.54e-003	1.7905e-005
227	0.38593	0.	2.54e-003	2.3841e-005
228	0.35797	0.	2.54e-003	2.9364e-005
229	0.33001	0.	2.54e-003	3.5929e-005
230	0.30205	0.	2.54e-003	4.3578e-005
231	0.27409	0.	2.54e-003	5.1945e-005
232	0.24614	0.	2.54e-003	6.1218e-005
233	0.21818	0.	2.54e-003	6.8973e-005
234	0.19022	0.	2.54e-003	7.8885e-005
235	0.16226	0.	2.54e-003	7.8415e-005
