Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Stress (Pa)
1	0.11155	8.2623e-002	0.	9.1097e+005
2	9.4635e-002	6.7658e-002	0.	6.377e+005
3	7.4707e-002	9.842e-002	0.	-1.3868e+006
4	0.1442	5.2257e-002	0.	-1.0957e+006
5	0.1309	3.3828e-002	0.	1.3234e+005
6	6.3158e-002	7.0572e-002	0.	-2.8924e+006
7	8.8263e-002	0.13625	0.	60846
8	9.4788e-002	0.11391	0.	13160
9	0.13603	0.11748	0.	-1.0247e+005
10	0.12565	0.12782	0.	-1.3503e+005
11	8.1225e-002	1.3432e-002	0.	1.1439e+005
12	7.6105e-002	3.2847e-002	0.	-5.1471e+005
13	0.12696	1.5282e-002	0.	2.3939e+005
14	0.13091	0.13881	0.	18475
15	5.7224e-002	1.9418e-002	0.	-5.0179e+005
16	5.2128e-002	9.6383e-002	0.	-2.5209e+006
17	2.9935e-002	6.418e-002	0.	-2.4348e+006
18	2.6907e-002	9.2875e-002	0.	-2.3282e+006
19	0.15244	2.2893e-002	0.	-3.753e+005
20	0.17606	3.8821e-002	0.	-3.7652e+005
21	0.21325	3.885e-002	0.	-2.5113e+005
22	0.24543	3.865e-002	0.	-1.0866e+005
23	0.2758	3.8629e-002	0.	-26847
24	0.30549	3.9163e-002	0.	-11726
25	0.33465	4.1173e-002	0.	-3779.3
26	0.35999	3.689e-002	0.	-10836
27	0.3854	3.044e-002	0.	-20525
28	0.41339	2.8513e-002	0.	-1070.8
29	0.44007	2.8861e-002	0.	-1453.1
30	0.46804	2.9836e-002	0.	1717.3
31	0.49633	2.9953e-002	0.	-2851.
32	0.52461	3.008e-002	0.	-3795.3
33	0.55292	3.0227e-002	0.	-3959.
34	0.58128	3.0399e-002	0.	-4060.7
35	2.4972e-002	0.12275	0.	-1.581e+006
36	0.58079	6.096e-002	0.	-8470.3
37	0.5802	9.1307e-002	0.	-8889.7
38	0.57991	0.12185	0.	-4552.6
39	0.55031	0.12174	0.	-4634.2
40	0.52112	0.12166	0.	-4594.8
41	0.49181	0.12154	0.	-3860.8
42	0.4624	0.12144	0.	-5627.3
43	0.4327	0.12114	0.	9890.6
44	0.40175	0.11906	0.	-18730
45	0.37122	0.11588	0.	-24024
46	0.34107	0.11521	0.	242.47
47	0.31073	0.11468	0.	-3862.6
48	0.28033	0.11426	0.	-42027
49	0.24921	0.11415	0.	-1.3366e+005
50	0.2173	0.11405	0.	-2.4539e+005
51	0.18168	0.1138	0.	-4.6432e+005
52	0.15802	0.13138	0.	-29234
53	0.18075	7.6608e-002	0.	-6.9104e+005
54	0.38916	5.5415e-002	0.	23797
55	0.41083	5.8754e-002	0.	17611
56	0.43782	5.9802e-002	0.	-27963
57	0.46596	6.0154e-002	0.	-6180.8
58	0.49456	6.037e-002	0.	-9368.1
59	0.52329	6.0547e-002	0.	-8306.9
60	0.55199	6.0534e-002	0.	-8215.9
61	0.55102	9.1111e-002	0.	-8440.9
62	0.52204	9.1146e-002	0.	-8752.9
63	0.493	9.1044e-002	0.	-9410.9
64	0.46392	9.0908e-002	0.	-9312.6
65	0.43473	9.0508e-002	0.	-14207
66	0.40457	8.8948e-002	0.	-3470.5
67	0.37106	7.736e-002	0.	4719.9
68	0.33843	7.7823e-002	0.	4548.2
69	0.30785	7.7409e-002	0.	-20025
70	0.27737	7.6329e-002	0.	-60893
71	0.24605	7.6458e-002	0.	-1.6811e+005
72	0.21339	7.6273e-002	0.	-2.988e+005
73	0.14387	0.10084	0.	-9.7934e+005
74	8.5699e-002	2.387e-002	0.	-46514
75	6.5628e-002	4.8516e-002	0.	-2.1626e+006
76	3.3412e-002	3.3722e-002	0.	-1.471e+006
77	7.0293e-002	0.12551	0.	-9042.6
78	4.9275e-002	0.1244	0.	-1.3345e+006
79	9.119e-002	0.12268	0.	-21201
80	8.7033e-002	0.10549	0.	-1.9323e+006
81	0.12263	2.4795e-002	0.	-64855
82	0.10824	6.1782e-002	0.	2.5254e+006
83	9.1163e-002	8.7056e-002	0.	7313.2
84	0.14302	7.637e-002	0.	-2.7041e+006
85	8.472e-002	0.11667	0.	2.5737e+005
86	8.472e-002	0.11667	2.54e-003	-2.5737e+005
87	0.14302	7.637e-002	2.54e-003	2.7041e+006
88	9.1163e-002	8.7056e-002	2.54e-003	-7313.2
89	0.10824	6.1782e-002	2.54e-003	-2.5254e+006
90	0.12263	2.4795e-002	2.54e-003	64855
91	8.7033e-002	0.10549	2.54e-003	1.9323e+006
92	9.119e-002	0.12268	2.54e-003	21201
93	4.9275e-002	0.1244	2.54e-003	1.3345e+006
94	7.0293e-002	0.12551	2.54e-003	9042.7
95	3.3412e-002	3.3722e-002	2.54e-003	1.471e+006
96	6.5628e-002	4.8516e-002	2.54e-003	2.1626e+006
97	8.5699e-002	2.387e-002	2.54e-003	46514
98	0.14387	0.10084	2.54e-003	9.7934e+005
99	0.21339	7.6273e-002	2.54e-003	2.988e+005
100	0.24605	7.6458e-002	2.54e-003	1.6811e+005
101	0.27737	7.6329e-002	2.54e-003	60893
102	0.30785	7.7409e-002	2.54e-003	20025
103	0.33843	7.7823e-002	2.54e-003	-4548.2
104	0.37106	7.736e-002	2.54e-003	-4719.9
105	0.40457	8.8948e-002	2.54e-003	3470.5
106	0.43473	9.0508e-002	2.54e-003	14207
107	0.46392	9.0908e-002	2.54e-003	9312.6
108	0.493	9.1044e-002	2.54e-003	9410.9
109	0.52204	9.1146e-002	2.54e-003	8752.9
110	0.55102	9.1111e-002	2.54e-003	8440.9
111	0.55199	6.0534e-002	2.54e-003	8215.9
112	0.52329	6.0547e-002	2.54e-003	8306.9
113	0.49456	6.037e-002	2.54e-003	9368.1
114	0.46596	6.0154e-002	2.54e-003	6180.8
115	0.43782	5.9802e-002	2.54e-003	27963
116	0.41083	5.8754e-002	2.54e-003	-17611
117	0.38916	5.5415e-002	2.54e-003	-23797
118	0.18075	7.6608e-002	2.54e-003	6.9104e+005
119	0.15802	0.13138	2.54e-003	29234
120	0.18168	0.1138	2.54e-003	4.6432e+005
121	0.2173	0.11405	2.54e-003	2.4539e+005
122	0.24921	0.11415	2.54e-003	1.3366e+005
123	0.28033	0.11426	2.54e-003	42027
124	0.31073	0.11468	2.54e-003	3862.6
125	0.34107	0.11521	2.54e-003	-242.47
126	0.37122	0.11588	2.54e-003	24024
127	0.40175	0.11906	2.54e-003	18730
128	0.4327	0.12114	2.54e-003	-9890.6
129	0.4624	0.12144	2.54e-003	5627.3
130	0.49181	0.12154	2.54e-003	3860.8
131	0.52112	0.12166	2.54e-003	4594.8
132	0.55031	0.12174	2.54e-003	4634.2
133	0.57991	0.12185	2.54e-003	4552.6
134	0.5802	9.1307e-002	2.54e-003	8889.7
135	0.58079	6.096e-002	2.54e-003	8470.3
136	2.4972e-002	0.12275	2.54e-003	1.581e+006
137	0.58128	3.0399e-002	2.54e-003	4060.7
138	0.55292	3.0227e-002	2.54e-003	3959.
139	0.52461	3.008e-002	2.54e-003	3795.3
140	0.49633	2.9953e-002	2.54e-003	2851.
141	0.46804	2.9836e-002	2.54e-003	-1717.3
142	0.44007	2.8861e-002	2.54e-003	1453.1
143	0.41339	2.8513e-002	2.54e-003	1070.8
144	0.3854	3.044e-002	2.54e-003	20525
145	0.35999	3.689e-002	2.54e-003	10836
146	0.33465	4.1173e-002	2.54e-003	3779.3
147	0.30549	3.9163e-002	2.54e-003	11726
148	0.2758	3.8629e-002	2.54e-003	26847
149	0.24543	3.865e-002	2.54e-003	1.0866e+005
150	0.21325	3.885e-002	2.54e-003	2.5113e+005
151	0.17606	3.8821e-002	2.54e-003	3.7652e+005
152	0.15244	2.2893e-002	2.54e-003	3.753e+005
153	2.6907e-002	9.2875e-002	2.54e-003	2.3282e+006
154	2.9935e-002	6.418e-002	2.54e-003	2.4348e+006
155	5.2128e-002	9.6383e-002	2.54e-003	2.5209e+006
156	5.7224e-002	1.9418e-002	2.54e-003	5.0179e+005
157	0.13091	0.13881	2.54e-003	-18475
158	0.12696	1.5282e-002	2.54e-003	-2.3939e+005
159	7.6105e-002	3.2847e-002	2.54e-003	5.1471e+005
160	8.1225e-002	1.3432e-002	2.54e-003	-1.1439e+005
161	0.12565	0.12782	2.54e-003	1.3503e+005
162	0.13603	0.11748	2.54e-003	1.0247e+005
163	9.4788e-002	0.11391	2.54e-003	-13160
164	8.8263e-002	0.13625	2.54e-003	-60846
165	6.3158e-002	7.0572e-002	2.54e-003	2.8924e+006
166	0.1309	3.3828e-002	2.54e-003	-1.3234e+005
167	0.1442	5.2257e-002	2.54e-003	1.0957e+006
168	7.4707e-002	9.842e-002	2.54e-003	1.3868e+006
169	9.4635e-002	6.7658e-002	2.54e-003	-6.377e+005
170	0.11155	8.2623e-002	2.54e-003	-9.1097e+005
171	0.10634	1.27e-002	2.54e-003	1.2807e+006
172	0.10634	2.54e-002	2.54e-003	9.5718e+005
173	0.10634	3.81e-002	2.54e-003	-2.1311e+005
174	0.10634	5.08e-002	2.54e-003	6.1188e+006
175	0.10211	5.08e-002	2.54e-003	4.6545e+006
176	0.10211	3.81e-002	2.54e-003	1.712e+005
177	0.10211	2.54e-002	2.54e-003	5.4217e+005
