Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
1	0.1375	6.9458e-002	0.	-1.7933e+005
2	0.13699	5.2584e-002	0.	-3.8025e+005
3	9.67e-002	7.113e-002	0.	3.4188e+006
4	9.7341e-002	9.8667e-002	0.	3.4882e+006
5	0.13255	0.11811	0.	1.3651e+006
6	7.5725e-002	1.7591e-002	0.	4.8179e+005
7	6.3442e-002	5.0016e-002	0.	-3.1677e+005
8	0.13022	1.4819e-002	0.	9.7426e+005
9	7.6432e-002	0.13373	0.	6.0464e+005
10	8.0713e-002	0.11615	0.	8.2002e+005
11	8.9095e-002	0.10501	0.	2.1814e+006
12	0.12925	0.13915	0.	8.1715e+005
13	0.14711	0.10193	0.	-2.2405e+005
14	5.2274e-002	0.12687	0.	-3.8103e+005
15	0.16306	5.4422e-002	0.	-33577
16	7.6061e-002	8.5574e-002	0.	2.5766e+005
17	3.008e-002	5.7479e-002	0.	2.2327e+006
18	3.4898e-002	8.8118e-002	0.	1.9996e+006
19	2.9388e-002	0.12107	0.	2.0557e+006
20	5.1267e-002	2.4727e-002	0.	-1.6736e+005
21	0.15658	2.6333e-002	0.	93520
22	0.18878	2.8726e-002	0.	91532
23	0.21743	3.023e-002	0.	-11865
24	0.24586	3.0805e-002	0.	5.701
25	0.27413	3.0749e-002	0.	-7159.3
26	0.30186	2.9822e-002	0.	14514
27	0.32989	2.9947e-002	0.	31007
28	0.35754	3.0783e-002	0.	45279
29	0.38547	3.0384e-002	0.	51656
30	0.41361	3.0009e-002	0.	55591
31	0.44151	3.0023e-002	0.	58619
32	0.46943	3.e-002	0.	60014
33	0.49736	2.9958e-002	0.	59964
34	0.5253	3.0254e-002	0.	59521
35	0.55331	3.0272e-002	0.	56934
36	0.58134	3.0358e-002	0.	52900
37	0.58101	6.0782e-002	0.	73832
38	0.58101	9.1481e-002	0.	73731
39	0.58126	0.12178	0.	53059
40	0.55321	0.12188	0.	56708
41	0.52499	0.12179	0.	58480
42	0.49686	0.12179	0.	58802
43	0.46907	0.12162	0.	58605
44	0.44121	0.12151	0.	57882
45	0.41339	0.12168	0.	55932
46	0.38576	0.12199	0.	52602
47	0.3581	0.12353	0.	43710
48	0.3299	0.1228	0.	32943
49	0.30171	0.12267	0.	10247
50	0.27309	0.12253	0.	624.61
51	0.24395	0.12177	0.	-41178
52	0.21317	0.12119	0.	33868
53	0.17679	0.11889	0.	27071
54	0.15468	0.13224	0.	2.049e+005
55	0.18874	5.7406e-002	0.	29839
56	0.21647	6.0351e-002	0.	-27245
57	0.24513	6.1339e-002	0.	18660
58	0.27423	6.1895e-002	0.	-3466.6
59	0.30231	6.2339e-002	0.	8254.2
60	0.32951	6.1607e-002	0.	33808
61	0.35713	6.1437e-002	0.	48737
62	0.38514	6.0928e-002	0.	57994
63	0.41306	6.0428e-002	0.	63795
64	0.44097	6.0505e-002	0.	67962
65	0.46887	6.0649e-002	0.	70372
66	0.49678	6.0805e-002	0.	71866
67	0.52471	6.0802e-002	0.	72990
68	0.55298	6.0862e-002	0.	73869
69	0.55283	9.1399e-002	0.	73875
70	0.52478	9.1364e-002	0.	73460
71	0.49681	9.126e-002	0.	72971
72	0.4689	9.1131e-002	0.	71213
73	0.4409	9.0971e-002	0.	68688
74	0.41304	9.112e-002	0.	64969
75	0.38523	9.1576e-002	0.	57940
76	0.35726	9.2601e-002	0.	48251
77	0.3298	9.2457e-002	0.	32519
78	0.30192	9.3087e-002	0.	3250.1
79	0.27302	9.2152e-002	0.	-184.46
80	0.24363	9.1634e-002	0.	-8428.7
81	0.18547	8.8087e-002	0.	1.1238e+005
82	0.21353	9.1046e-002	0.	-21115
83	0.12439	0.12825	0.	1.0525e+006
84	8.0316e-002	2.9992e-002	0.	3.7947e+005
85	6.7555e-002	6.8505e-002	0.	-7.8522e+005
86	2.6809e-002	2.9261e-002	0.	2.0075e+006
87	0.12502	2.5807e-002	0.	8.1072e+005
88	0.13266	3.7398e-002	0.	1.2717e+006
89	0.11634	6.4848e-002	0.	2.4263e+006
90	0.10723	9.3445e-002	0.	2.6625e+006
91	0.11704	9.1765e-002	0.	2.5208e+006
92	0.10148	9.3249e-002	0.	2.9047e+006
93	9.3863e-002	8.7432e-002	0.	2.0615e+006
94	0.13285	8.5837e-002	0.	2.7241e+005
95	0.10288	7.8964e-002	0.	1.6207e+006
96	0.16128	8.0615e-002	0.	-92049
97	0.10796	8.5863e-002	0.	2.5227e+006
98	0.10031	8.9195e-002	0.	2.9709e+006
99	0.11958	7.775e-002	0.	1.1878e+006
100	0.11596	8.5048e-002	0.	1.4919e+005
101	6.028e-002	0.10365	0.	-37365
102	6.028e-002	0.10365	2.54e-003	1.0263e+007
103	0.11596	8.5048e-002	2.54e-003	1.2926e+007
104	0.11958	7.775e-002	2.54e-003	1.1605e+007
105	0.10031	8.9195e-002	2.54e-003	1.6366e+007
106	0.10796	8.5863e-002	2.54e-003	1.484e+007
107	0.16128	8.0615e-002	2.54e-003	6.5924e+006
108	0.10288	7.8964e-002	2.54e-003	1.4472e+007
109	0.13285	8.5837e-002	2.54e-003	1.0595e+007
110	9.3863e-002	8.7432e-002	2.54e-003	1.5008e+007
111	0.10148	9.3249e-002	2.54e-003	2.1498e+007
112	0.11704	9.1765e-002	2.54e-003	1.0041e+007
113	0.10723	9.3445e-002	2.54e-003	1.8671e+007
114	0.11634	6.4848e-002	2.54e-003	1.1088e+007
115	0.13266	3.7398e-002	2.54e-003	6.5103e+006
116	0.12502	2.5807e-002	2.54e-003	3.8324e+006
117	2.6809e-002	2.9261e-002	2.54e-003	9.0271e+006
118	6.7555e-002	6.8505e-002	2.54e-003	1.0498e+007
119	8.0316e-002	2.9992e-002	2.54e-003	6.4289e+006
120	0.12439	0.12825	2.54e-003	2.781e+006
121	0.21353	9.1046e-002	2.54e-003	4.9254e+006
122	0.18547	8.8087e-002	2.54e-003	5.6938e+006
123	0.24363	9.1634e-002	2.54e-003	4.1782e+006
124	0.27302	9.2152e-002	2.54e-003	3.5494e+006
125	0.30192	9.3087e-002	2.54e-003	2.9786e+006
126	0.3298	9.2457e-002	2.54e-003	2.465e+006
