Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Elastic Strain (m/m)
1	0.1375	6.9458e-002	0.	2.7068e-005
2	0.13699	5.2584e-002	0.	2.1152e-005
3	9.67e-002	7.113e-002	0.	5.4297e-005
4	9.7341e-002	9.8667e-002	0.	6.2044e-005
5	0.13255	0.11811	0.	2.5688e-005
6	7.5725e-002	1.7591e-002	0.	2.6312e-005
7	6.3442e-002	5.0016e-002	0.	3.0311e-005
8	0.13022	1.4819e-002	0.	1.9932e-005
9	7.6432e-002	0.13373	0.	3.0572e-005
10	8.0713e-002	0.11615	0.	3.3987e-005
11	8.9095e-002	0.10501	0.	4.1897e-005
12	0.12925	0.13915	0.	2.0189e-005
13	0.14711	0.10193	0.	2.0985e-005
14	5.2274e-002	0.12687	0.	3.3305e-005
15	0.16306	5.4422e-002	0.	2.433e-005
16	7.6061e-002	8.5574e-002	0.	2.2125e-005
17	3.008e-002	5.7479e-002	0.	6.6796e-006
18	3.4898e-002	8.8118e-002	0.	1.2248e-006
19	2.9388e-002	0.12107	0.	1.5236e-005
20	5.1267e-002	2.4727e-002	0.	3.7184e-005
21	0.15658	2.6333e-002	0.	2.1432e-005
22	0.18878	2.8726e-002	0.	2.3003e-005
23	0.21743	3.023e-002	0.	2.1026e-005
24	0.24586	3.0805e-002	0.	1.9015e-005
25	0.27413	3.0749e-002	0.	1.6739e-005
26	0.30186	2.9822e-002	0.	1.4143e-005
27	0.32989	2.9947e-002	0.	1.1632e-005
28	0.35754	3.0783e-002	0.	9.3622e-006
29	0.38547	3.0384e-002	0.	7.3563e-006
30	0.41361	3.0009e-002	0.	5.565e-006
31	0.44151	3.0023e-002	0.	4.0252e-006
32	0.46943	3.e-002	0.	2.726e-006
33	0.49736	2.9958e-002	0.	1.6665e-006
34	0.5253	3.0254e-002	0.	8.4162e-007
35	0.55331	3.0272e-002	0.	2.5472e-007
36	0.58134	3.0358e-002	0.	-1.0401e-007
37	0.58101	6.0782e-002	0.	-2.4952e-007
38	0.58101	9.1481e-002	0.	-2.4806e-007
39	0.58126	0.12178	0.	-1.0317e-007
40	0.55321	0.12188	0.	2.5868e-007
41	0.52499	0.12179	0.	8.5848e-007
42	0.49686	0.12179	0.	1.6914e-006
43	0.46907	0.12162	0.	2.7575e-006
44	0.44121	0.12151	0.	4.0492e-006
45	0.41339	0.12168	0.	5.5717e-006
46	0.38576	0.12199	0.	7.3194e-006
47	0.3581	0.12353	0.	9.338e-006
48	0.3299	0.1228	0.	1.162e-005
49	0.30171	0.12267	0.	1.4195e-005
50	0.27309	0.12253	0.	1.6901e-005
51	0.24395	0.12177	0.	1.9241e-005
52	0.21317	0.12119	0.	1.9993e-005
53	0.17679	0.11889	0.	2.3446e-005
54	0.15468	0.13224	0.	1.7951e-005
55	0.18874	5.7406e-002	0.	2.0985e-005
56	0.21647	6.0351e-002	0.	2.0081e-005
57	0.24513	6.1339e-002	0.	1.8238e-005
58	0.27423	6.1895e-002	0.	1.6313e-005
59	0.30231	6.2339e-002	0.	1.4112e-005
60	0.32951	6.1607e-002	0.	1.1531e-005
61	0.35713	6.1437e-002	0.	9.2961e-006
62	0.38514	6.0928e-002	0.	7.284e-006
63	0.41306	6.0428e-002	0.	5.4799e-006
64	0.44097	6.0505e-002	0.	3.9372e-006
65	0.46887	6.0649e-002	0.	2.6351e-006
66	0.49678	6.0805e-002	0.	1.569e-006
67	0.52471	6.0802e-002	0.	7.3027e-007
68	0.55298	6.0862e-002	0.	1.336e-007
69	0.55283	9.1399e-002	0.	1.315e-007
70	0.52478	9.1364e-002	0.	7.2738e-007
71	0.49681	9.126e-002	0.	1.5582e-006
72	0.4689	9.1131e-002	0.	2.6285e-006
73	0.4409	9.0971e-002	0.	3.9306e-006
74	0.41304	9.112e-002	0.	5.4767e-006
75	0.38523	9.1576e-002	0.	7.2541e-006
76	0.35726	9.2601e-002	0.	9.2892e-006
77	0.3298	9.2457e-002	0.	1.1594e-005
78	0.30192	9.3087e-002	0.	1.4143e-005
79	0.27302	9.2152e-002	0.	1.6428e-005
80	0.24363	9.1634e-002	0.	1.8258e-005
81	0.18547	8.8087e-002	0.	2.0401e-005
82	0.21353	9.1046e-002	0.	1.9728e-005
83	0.12439	0.12825	0.	9.6152e-006
84	8.0316e-002	2.9992e-002	0.	3.0535e-005
85	6.7555e-002	6.8505e-002	0.	3.1362e-005
86	2.6809e-002	2.9261e-002	0.	1.3621e-005
87	0.12502	2.5807e-002	0.	1.7695e-005
88	0.13266	3.7398e-002	0.	2.4451e-005
89	0.11634	6.4848e-002	0.	5.5945e-005
90	0.10723	9.3445e-002	0.	7.1806e-005
91	0.11704	9.1765e-002	0.	3.4469e-005
92	0.10148	9.3249e-002	0.	8.193e-005
93	9.3863e-002	8.7432e-002	0.	7.2729e-005
94	0.13285	8.5837e-002	0.	3.2791e-005
95	0.10288	7.8964e-002	0.	6.032e-005
96	0.16128	8.0615e-002	0.	2.2089e-005
97	0.10796	8.5863e-002	0.	5.6757e-005
98	0.10031	8.9195e-002	0.	6.895e-005
99	0.11958	7.775e-002	0.	4.9027e-005
100	0.11596	8.5048e-002	0.	5.7851e-005
101	6.028e-002	0.10365	0.	2.7964e-005
102	6.028e-002	0.10365	2.54e-003	-2.7964e-005
103	0.11596	8.5048e-002	2.54e-003	-5.7851e-005
