Node Number	X Location (m)	Y Location (m)	Z Location (m)	Minimum Principal Stress (Pa)
1	0.1375	6.9458e-002	0.	-9.5858e+006
2	0.13699	5.2584e-002	0.	-8.3919e+006
3	9.67e-002	7.113e-002	0.	-1.4448e+007
4	9.7341e-002	9.8667e-002	0.	-1.9138e+007
5	0.13255	0.11811	0.	-5.8277e+006
6	7.5725e-002	1.7591e-002	0.	-6.3102e+006
7	6.3442e-002	5.0016e-002	0.	-8.9319e+006
8	0.13022	1.4819e-002	0.	-4.6396e+006
9	7.6432e-002	0.13373	0.	-6.6447e+006
10	8.0713e-002	0.11615	0.	-8.0304e+006
11	8.9095e-002	0.10501	0.	-1.1226e+007
12	0.12925	0.13915	0.	-4.2365e+006
13	0.14711	0.10193	0.	-6.8591e+006
14	5.2274e-002	0.12687	0.	-9.1213e+006
15	0.16306	5.4422e-002	0.	-6.2552e+006
16	7.6061e-002	8.5574e-002	0.	-1.0951e+007
17	3.008e-002	5.7479e-002	0.	-9.7469e+006
18	3.4898e-002	8.8118e-002	0.	-9.4084e+006
19	2.9388e-002	0.12107	0.	-8.9816e+006
20	5.1267e-002	2.4727e-002	0.	-9.2162e+006
21	0.15658	2.6333e-002	0.	-5.4312e+006
22	0.18878	2.8726e-002	0.	-5.372e+006
23	0.21743	3.023e-002	0.	-4.8024e+006
24	0.24586	3.0805e-002	0.	-4.1474e+006
25	0.27413	3.0749e-002	0.	-3.5438e+006
26	0.30186	2.9822e-002	0.	-2.9855e+006
27	0.32989	2.9947e-002	0.	-2.4725e+006
28	0.35754	3.0783e-002	0.	-2.0117e+006
29	0.38547	3.0384e-002	0.	-1.5977e+006
30	0.41361	3.0009e-002	0.	-1.2289e+006
31	0.44151	3.0023e-002	0.	-9.1033e+005
32	0.46943	3.e-002	0.	-6.4068e+005
33	0.49736	2.9958e-002	0.	-4.1982e+005
34	0.5253	3.0254e-002	0.	-2.4666e+005
35	0.55331	3.0272e-002	0.	-1.2152e+005
36	0.58134	3.0358e-002	0.	-43321
37	0.58101	6.0782e-002	0.	-47534
38	0.58101	9.1481e-002	0.	-47563
39	0.58126	0.12178	0.	-43536
40	0.55321	0.12188	0.	-1.2208e+005
41	0.52499	0.12179	0.	-2.4899e+005
42	0.49686	0.12179	0.	-4.2373e+005
43	0.46907	0.12162	0.	-6.4499e+005
44	0.44121	0.12151	0.	-9.136e+005
45	0.41339	0.12168	0.	-1.2298e+006
46	0.38576	0.12199	0.	-1.5921e+006
47	0.3581	0.12353	0.	-2.0051e+006
48	0.3299	0.1228	0.	-2.4736e+006
49	0.30171	0.12267	0.	-2.9958e+006
50	0.27309	0.12253	0.	-3.5638e+006
51	0.24395	0.12177	0.	-4.1999e+006
52	0.21317	0.12119	0.	-5.033e+006
53	0.17679	0.11889	0.	-5.8756e+006
54	0.15468	0.13224	0.	-5.3297e+006
55	0.18874	5.7406e-002	0.	-5.5753e+006
56	0.21647	6.0351e-002	0.	-4.8104e+006
57	0.24513	6.1339e-002	0.	-4.1487e+006
58	0.27423	6.1895e-002	0.	-3.5262e+006
59	0.30231	6.2339e-002	0.	-2.9648e+006
60	0.32951	6.1607e-002	0.	-2.4693e+006
61	0.35713	6.1437e-002	0.	-2.0119e+006
62	0.38514	6.0928e-002	0.	-1.5998e+006
63	0.41306	6.0428e-002	0.	-1.2335e+006
64	0.44097	6.0505e-002	0.	-9.1474e+005
65	0.46887	6.0649e-002	0.	-6.4549e+005
66	0.49678	6.0805e-002	0.	-4.2432e+005
67	0.52471	6.0802e-002	0.	-2.5115e+005
68	0.55298	6.0862e-002	0.	-1.2524e+005
69	0.55283	9.1399e-002	0.	-1.2598e+005
70	0.52478	9.1364e-002	0.	-2.5081e+005
71	0.49681	9.126e-002	0.	-4.2366e+005
72	0.4689	9.1131e-002	0.	-6.4521e+005
73	0.4409	9.0971e-002	0.	-9.1542e+005
74	0.41304	9.112e-002	0.	-1.2325e+006
75	0.38523	9.1576e-002	0.	-1.5974e+006
76	0.35726	9.2601e-002	0.	-2.012e+006
77	0.3298	9.2457e-002	0.	-2.465e+006
78	0.30192	9.3087e-002	0.	-2.9786e+006
79	0.27302	9.2152e-002	0.	-3.5494e+006
80	0.24363	9.1634e-002	0.	-4.1782e+006
81	0.18547	8.8087e-002	0.	-5.6938e+006
82	0.21353	9.1046e-002	0.	-4.9254e+006
83	0.12439	0.12825	0.	-2.781e+006
84	8.0316e-002	2.9992e-002	0.	-6.4289e+006
85	6.7555e-002	6.8505e-002	0.	-1.0498e+007
86	2.6809e-002	2.9261e-002	0.	-9.0271e+006
87	0.12502	2.5807e-002	0.	-3.8324e+006
88	0.13266	3.7398e-002	0.	-6.5103e+006
89	0.11634	6.4848e-002	0.	-1.1088e+007
90	0.10723	9.3445e-002	0.	-1.8671e+007
91	0.11704	9.1765e-002	0.	-1.0041e+007
92	0.10148	9.3249e-002	0.	-2.1498e+007
93	9.3863e-002	8.7432e-002	0.	-1.5008e+007
94	0.13285	8.5837e-002	0.	-1.0595e+007
95	0.10288	7.8964e-002	0.	-1.4472e+007
96	0.16128	8.0615e-002	0.	-6.5924e+006
97	0.10796	8.5863e-002	0.	-1.484e+007
98	0.10031	8.9195e-002	0.	-1.6366e+007
99	0.11958	7.775e-002	0.	-1.1605e+007
100	0.11596	8.5048e-002	0.	-1.2926e+007
101	6.028e-002	0.10365	0.	-1.0263e+007
102	6.028e-002	0.10365	2.54e-003	37365
103	0.11596	8.5048e-002	2.54e-003	-1.4919e+005
104	0.11958	7.775e-002	2.54e-003	-1.1878e+006
105	0.10031	8.9195e-002	2.54e-003	-2.9709e+006
106	0.10796	8.5863e-002	2.54e-003	-2.5227e+006
107	0.16128	8.0615e-002	2.54e-003	92049
108	0.10288	7.8964e-002	2.54e-003	-1.6207e+006
109	0.13285	8.5837e-002	2.54e-003	-2.7241e+005
110	9.3863e-002	8.7432e-002	2.54e-003	-2.0615e+006
111	0.10148	9.3249e-002	2.54e-003	-2.9047e+006
112	0.11704	9.1765e-002	2.54e-003	-2.5208e+006
113	0.10723	9.3445e-002	2.54e-003	-2.6625e+006
114	0.11634	6.4848e-002	2.54e-003	-2.4263e+006
115	0.13266	3.7398e-002	2.54e-003	-1.2717e+006
116	0.12502	2.5807e-002	2.54e-003	-8.1072e+005
117	2.6809e-002	2.9261e-002	2.54e-003	-2.0075e+006
118	6.7555e-002	6.8505e-002	2.54e-003	7.8522e+005
119	8.0316e-002	2.9992e-002	2.54e-003	-3.7947e+005
120	0.12439	0.12825	2.54e-003	-1.0525e+006
121	0.21353	9.1046e-002	2.54e-003	21115
122	0.18547	8.8087e-002	2.54e-003	-1.1238e+005
123	0.24363	9.1634e-002	2.54e-003	8428.7
124	0.27302	9.2152e-002	2.54e-003	184.46
125	0.30192	9.3087e-002	2.54e-003	-3250.1
126	0.3298	9.2457e-002	2.54e-003	-32519
127	0.35726	9.2601e-002	2.54e-003	-48251
128	0.38523	9.1576e-002	2.54e-003	-57940
129	0.41304	9.112e-002	2.54e-003	-64969
130	0.4409	9.0971e-002	2.54e-003	-68688
131	0.4689	9.1131e-002	2.54e-003	-71213
132	0.49681	9.126e-002	2.54e-003	-72971
133	0.52478	9.1364e-002	2.54e-003	-73460
134	0.55283	9.1399e-002	2.54e-003	-73875
135	0.55298	6.0862e-002	2.54e-003	-73869
136	0.52471	6.0802e-002	2.54e-003	-72990
137	0.49678	6.0805e-002	2.54e-003	-71866
138	0.46887	6.0649e-002	2.54e-003	-70372
139	0.44097	6.0505e-002	2.54e-003	-67962
140	0.41306	6.0428e-002	2.54e-003	-63795
141	0.38514	6.0928e-002	2.54e-003	-57994
142	0.35713	6.1437e-002	2.54e-003	-48737
143	0.32951	6.1607e-002	2.54e-003	-33808
144	0.30231	6.2339e-002	2.54e-003	-8254.2
145	0.27423	6.1895e-002	2.54e-003	3466.6
146	0.24513	6.1339e-002	2.54e-003	-18660
147	0.21647	6.0351e-002	2.54e-003	27245
148	0.18874	5.7406e-002	2.54e-003	-29839
149	0.15468	0.13224	2.54e-003	-2.049e+005
150	0.17679	0.11889	2.54e-003	-27071
151	0.21317	0.12119	2.54e-003	-33868
152	0.24395	0.12177	2.54e-003	41178
153	0.27309	0.12253	2.54e-003	-624.61
154	0.30171	0.12267	2.54e-003	-10247
155	0.3299	0.1228	2.54e-003	-32943
156	0.3581	0.12353	2.54e-003	-43710
157	0.38576	0.12199	2.54e-003	-52602
158	0.41339	0.12168	2.54e-003	-55932
159	0.44121	0.12151	2.54e-003	-57882
160	0.46907	0.12162	2.54e-003	-58605
161	0.49686	0.12179	2.54e-003	-58802
162	0.52499	0.12179	2.54e-003	-58480
163	0.55321	0.12188	2.54e-003	-56708
164	0.58126	0.12178	2.54e-003	-53059
165	0.58101	9.1481e-002	2.54e-003	-73731
166	0.58101	6.0782e-002	2.54e-003	-73832
167	0.58134	3.0358e-002	2.54e-003	-52900
168	0.55331	3.0272e-002	2.54e-003	-56934
169	0.5253	3.0254e-002	2.54e-003	-59521
170	0.49736	2.9958e-002	2.54e-003	-59964
171	0.46943	3.e-002	2.54e-003	-60013
172	0.44151	3.0023e-002	2.54e-003	-58619
173	0.41361	3.0009e-002	2.54e-003	-55591
174	0.38547	3.0384e-002	2.54e-003	-51656
175	0.35754	3.0783e-002	2.54e-003	-45279
176	0.32989	2.9947e-002	2.54e-003	-31007
177	0.30186	2.9822e-002	2.54e-003	-14514
178	0.27413	3.0749e-002	2.54e-003	7159.3
179	0.24586	3.0805e-002	2.54e-003	-5.701
180	0.21743	3.023e-002	2.54e-003	11865
181	0.18878	2.8726e-002	2.54e-003	-91532
182	0.15658	2.6333e-002	2.54e-003	-93520
183	5.1267e-002	2.4727e-002	2.54e-003	1.6736e+005
184	2.9388e-002	0.12107	2.54e-003	-2.0557e+006
185	3.4898e-002	8.8118e-002	2.54e-003	-1.9996e+006
186	3.008e-002	5.7479e-002	2.54e-003	-2.2327e+006
187	7.6061e-002	8.5574e-002	2.54e-003	-2.5766e+005
188	0.16306	5.4422e-002	2.54e-003	33577
189	5.2274e-002	0.12687	2.54e-003	3.8103e+005
190	0.14711	0.10193	2.54e-003	2.2405e+005
191	0.12925	0.13915	2.54e-003	-8.1715e+005
192	8.9095e-002	0.10501	2.54e-003	-2.1814e+006
193	8.0713e-002	0.11615	2.54e-003	-8.2002e+005
194	7.6432e-002	0.13373	2.54e-003	-6.0464e+005
195	0.13022	1.4819e-002	2.54e-003	-9.7426e+005
196	6.3442e-002	5.0016e-002	2.54e-003	3.1677e+005
197	7.5725e-002	1.7591e-002	2.54e-003	-4.8179e+005
198	0.13255	0.11811	2.54e-003	-1.3651e+006
199	9.7341e-002	9.8667e-002	2.54e-003	-3.4882e+006
200	9.67e-002	7.113e-002	2.54e-003	-3.4188e+006
201	0.13699	5.2584e-002	2.54e-003	3.8025e+005
202	0.1375	6.9458e-002	2.54e-003	1.7933e+005
203	0.10685	0.1397	2.54e-003	6.062e+005
204	0.10685	0.127	2.54e-003	-1.5115e+006
205	0.10685	0.1143	2.54e-003	-3.6979e+006
206	0.10685	0.1016	2.54e-003	2.8119e+006
207	0.10262	0.1016	2.54e-003	-3.1421e+006
208	0.10262	0.1143	2.54e-003	-3.1031e+006
209	0.10262	0.127	2.54e-003	4.1128e+005
210	0.10262	0.1397	2.54e-003	9.2733e+005
211	0.10685	1.27e-002	2.54e-003	7.1168e+005
212	0.10685	2.54e-002	2.54e-003	-1.8559e+006
213	0.10685	3.81e-002	2.54e-003	-2.5e+006
214	0.10685	5.08e-002	2.54e-003	1.5353e+006
215	0.10262	5.08e-002	2.54e-003	3.869e+006
216	0.10262	3.81e-002	2.54e-003	-2.3519e+005
217	0.10262	2.54e-002	2.54e-003	-1.563e+006
218	0.10262	1.27e-002	2.54e-003	8.5174e+005
219	0.10685	0.1524	2.54e-003	1.4173e+005
220	0.13478	0.1524	2.54e-003	2.3522e+005
221	0.16271	0.1524	2.54e-003	-1.938e+005
222	0.19064	0.1524	2.54e-003	-1.9661e+005
223	0.21857	0.1524	2.54e-003	39671
224	0.2465	0.1524	2.54e-003	-10192
225	0.27443	0.1524	2.54e-003	-29038
226	0.30236	0.1524	2.54e-003	-43946
227	0.33029	0.1524	2.54e-003	-54252
228	0.35822	0.1524	2.54e-003	-60376
229	0.38616	0.1524	2.54e-003	-66600
230	0.41409	0.1524	2.54e-003	-76046
231	0.44202	0.1524	2.54e-003	-77264
232	0.46995	0.1524	2.54e-003	-77371
233	0.49788	0.1524	2.54e-003	-76477
234	0.52581	0.1524	2.54e-003	-71811
235	0.55374	0.1524	2.54e-003	-64378
236	0.58167	0.1524	2.54e-003	-52782
237	0.6096	0.1524	2.54e-003	-35662
238	0.6096	0.12192	2.54e-003	-46909
239	0.6096	9.144e-002	2.54e-003	-69781
240	0.6096	6.096e-002	2.54e-003	-69753
241	0.6096	3.048e-002	2.54e-003	-47183
242	2.6645e-016	3.048e-002	2.54e-003	6.638e+006
243	5.3291e-016	6.096e-002	2.54e-003	7.0669e+006
244	7.9936e-016	9.144e-002	2.54e-003	7.0769e+006
245	1.0658e-015	0.12192	2.54e-003	6.7977e+006
246	0.6096	0.	2.54e-003	-35577
247	0.58167	0.	2.54e-003	-52602
248	0.55374	0.	2.54e-003	-64409
249	0.52581	0.	2.54e-003	-70539
250	0.49788	0.	2.54e-003	-73414
251	0.46995	0.	2.54e-003	-74706
252	0.44202	0.	2.54e-003	-74042
253	0.41409	0.	2.54e-003	-73287
254	0.38616	0.	2.54e-003	-73513
255	0.35822	0.	2.54e-003	-64000
256	0.33029	0.	2.54e-003	-51292
257	0.30236	0.	2.54e-003	-44139
258	0.27443	0.	2.54e-003	-20509
259	0.2465	0.	2.54e-003	5978.8
260	0.21857	0.	2.54e-003	32593
261	0.19064	0.	2.54e-003	-91030
262	0.16271	0.	2.54e-003	-4.0971e+005
263	0.13478	0.	2.54e-003	32378
264	0.10685	0.	2.54e-003	1.2575e+005
265	0.10262	0.	2.54e-003	8.2658e+005
266	7.6962e-002	-3.8133e-032	2.54e-003	-5.5412e+005
267	5.1308e-002	-2.5422e-032	2.54e-003	34102
268	2.5654e-002	-1.2711e-032	2.54e-003	-1.1955e+006
269	0.	0.	2.54e-003	3.7938e+006
270	1.e-015	0.1524	2.54e-003	4.0318e+006
271	2.5654e-002	0.1524	2.54e-003	-1.3337e+006
272	5.1308e-002	0.1524	2.54e-003	43124
273	7.6962e-002	0.1524	2.54e-003	-3.8643e+005
274	0.10262	0.1524	2.54e-003	6.8749e+005
275	7.6962e-002	0.1524	0.	-5.9894e+006
276	5.1308e-002	0.1524	0.	-9.1865e+006
277	2.5654e-002	0.1524	0.	-8.8326e+006
278	0.10262	0.1524	0.	-4.4103e+006
279	1.e-015	0.1524	0.	-9.1714e+006
280	2.5654e-002	-1.2711e-032	0.	-8.8995e+006
281	5.1308e-002	-2.5422e-032	0.	-9.316e+006
282	7.6962e-002	-3.8133e-032	0.	-5.6765e+006
283	0.10262	0.	0.	-4.4405e+006
284	0.	0.	0.	-9.0116e+006
285	0.13478	0.	0.	-4.0797e+006
286	0.16271	0.	0.	-5.0675e+006
287	0.19064	0.	0.	-5.2946e+006
288	0.21857	0.	0.	-4.8274e+006
289	0.2465	0.	0.	-4.1762e+006
290	0.27443	0.	0.	-3.5629e+006
291	0.30236	0.	0.	-2.9909e+006
292	0.33029	0.	0.	-2.4717e+006
293	0.35822	0.	0.	-1.9979e+006
