Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.1375	6.9458e-002	0.	1.1349e-003
2	0.13699	5.2584e-002	0.	1.1156e-003
3	9.67e-002	7.113e-002	0.	5.304e-004
4	9.7341e-002	9.8667e-002	0.	5.2261e-004
5	0.13255	0.11811	0.	1.04e-003
6	7.5725e-002	1.7591e-002	0.	2.7668e-004
7	6.3442e-002	5.0016e-002	0.	2.2023e-004
8	0.13022	1.4819e-002	0.	9.4743e-004
9	7.6432e-002	0.13373	0.	2.8478e-004
10	8.0713e-002	0.11615	0.	3.4074e-004
11	8.9095e-002	0.10501	0.	4.2859e-004
12	0.12925	0.13915	0.	9.6057e-004
13	0.14711	0.10193	0.	1.31e-003
14	5.2274e-002	0.12687	0.	1.3818e-004
15	0.16306	5.4422e-002	0.	1.6044e-003
16	7.6061e-002	8.5574e-002	0.	3.227e-004
17	3.008e-002	5.7479e-002	0.	5.0413e-005
18	3.4898e-002	8.8118e-002	0.	6.8084e-005
19	2.9388e-002	0.12107	0.	4.497e-005
20	5.1267e-002	2.4727e-002	0.	1.3192e-004
21	0.15658	2.6333e-002	0.	1.4536e-003
22	0.18878	2.8726e-002	0.	2.1114e-003
23	0.21743	3.023e-002	0.	2.7494e-003
24	0.24586	3.0805e-002	0.	3.4255e-003
25	0.27413	3.0749e-002	0.	4.1351e-003
26	0.30186	2.9822e-002	0.	4.8617e-003
27	0.32989	2.9947e-002	0.	5.6235e-003
28	0.35754	3.0783e-002	0.	6.3973e-003
29	0.38547	3.0384e-002	0.	7.1957e-003
30	0.41361	3.0009e-002	0.	8.0146e-003
31	0.44151	3.0023e-002	0.	8.838e-003
32	0.46943	3.e-002	0.	9.6696e-003
33	0.49736	2.9958e-002	0.	1.0507e-002
34	0.5253	3.0254e-002	0.	1.1349e-002
35	0.55331	3.0272e-002	0.	1.2196e-002
36	0.58134	3.0358e-002	0.	1.3044e-002
37	0.58101	6.0782e-002	0.	1.3041e-002
38	0.58101	9.1481e-002	0.	1.3047e-002
39	0.58126	0.12178	0.	1.306e-002
40	0.55321	0.12188	0.	1.2212e-002
41	0.52499	0.12179	0.	1.1359e-002
42	0.49686	0.12179	0.	1.0512e-002
43	0.46907	0.12162	0.	9.6781e-003
44	0.44121	0.12151	0.	8.8483e-003
45	0.41339	0.12168	0.	8.0276e-003
46	0.38576	0.12199	0.	7.2232e-003
47	0.3581	0.12353	0.	6.4317e-003
48	0.3299	0.1228	0.	5.643e-003
49	0.30171	0.12267	0.	4.877e-003
50	0.27309	0.12253	0.	4.1268e-003
51	0.24395	0.12177	0.	3.3977e-003
52	0.21317	0.12119	0.	2.6715e-003
53	0.17679	0.11889	0.	1.8835e-003
54	0.15468	0.13224	0.	1.436e-003
55	0.18874	5.7406e-002	0.	2.1324e-003
56	0.21647	6.0351e-002	0.	2.7483e-003
57	0.24513	6.1339e-002	0.	3.4273e-003
58	0.27423	6.1895e-002	0.	4.1559e-003
59	0.30231	6.2339e-002	0.	4.8916e-003
60	0.32951	6.1607e-002	0.	5.6291e-003
61	0.35713	6.1437e-002	0.	6.3995e-003
62	0.38514	6.0928e-002	0.	7.1988e-003
63	0.41306	6.0428e-002	0.	8.0101e-003
64	0.44097	6.0505e-002	0.	8.8323e-003
65	0.46887	6.0649e-002	0.	9.6624e-003
66	0.49678	6.0805e-002	0.	1.0499e-002
67	0.52471	6.0802e-002	0.	1.134e-002
68	0.55298	6.0862e-002	0.	1.2193e-002
69	0.55283	9.1399e-002	0.	1.2195e-002
70	0.52478	9.1364e-002	0.	1.1348e-002
71	0.49681	9.126e-002	0.	1.0506e-002
72	0.4689	9.1131e-002	0.	9.6698e-003
73	0.4409	9.0971e-002	0.	8.8365e-003
74	0.41304	9.112e-002	0.	8.0158e-003
75	0.38523	9.1576e-002	0.	7.2079e-003
76	0.35726	9.2601e-002	0.	6.4096e-003
77	0.3298	9.2457e-002	0.	5.6432e-003
78	0.30192	9.3087e-002	0.	4.887e-003
79	0.27302	9.2152e-002	0.	4.131e-003
80	0.24363	9.1634e-002	0.	3.3969e-003
81	0.18547	8.8087e-002	0.	2.0712e-003
82	0.21353	9.1046e-002	0.	2.6875e-003
83	0.12439	0.12825	0.	8.8805e-004
84	8.0316e-002	2.9992e-002	0.	3.2765e-004
85	6.7555e-002	6.8505e-002	0.	2.5519e-004
86	2.6809e-002	2.9261e-002	0.	3.6649e-005
87	0.12502	2.5807e-002	0.	8.7375e-004
88	0.13266	3.7398e-002	0.	1.0239e-003
89	0.11634	6.4848e-002	0.	7.8672e-004
90	0.10723	9.3445e-002	0.	6.5549e-004
91	0.11704	9.1765e-002	0.	8.0054e-004
92	0.10148	9.3249e-002	0.	5.7962e-004
93	9.3863e-002	8.7432e-002	0.	4.9574e-004
94	0.13285	8.5837e-002	0.	1.0578e-003
95	0.10288	7.8964e-002	0.	6.0702e-004
96	0.16128	8.0615e-002	0.	1.5794e-003
97	0.10796	8.5863e-002	0.	6.7202e-004
98	0.10031	8.9195e-002	0.	5.6973e-004
99	0.11958	7.775e-002	0.	8.4237e-004
100	0.11596	8.5048e-002	0.	7.8721e-004
101	6.028e-002	0.10365	0.	1.9759e-004
102	6.028e-002	0.10365	2.54e-003	1.9759e-004
103	0.11596	8.5048e-002	2.54e-003	7.8721e-004
104	0.11958	7.775e-002	2.54e-003	8.4237e-004
105	0.10031	8.9195e-002	2.54e-003	5.6973e-004
106	0.10796	8.5863e-002	2.54e-003	6.7202e-004
107	0.16128	8.0615e-002	2.54e-003	1.5794e-003
108	0.10288	7.8964e-002	2.54e-003	6.0702e-004
109	0.13285	8.5837e-002	2.54e-003	1.0578e-003
110	9.3863e-002	8.7432e-002	2.54e-003	4.9574e-004
111	0.10148	9.3249e-002	2.54e-003	5.7962e-004
112	0.11704	9.1765e-002	2.54e-003	8.0054e-004
113	0.10723	9.3445e-002	2.54e-003	6.5549e-004
114	0.11634	6.4848e-002	2.54e-003	7.8672e-004
115	0.13266	3.7398e-002	2.54e-003	1.0239e-003
116	0.12502	2.5807e-002	2.54e-003	8.7375e-004
117	2.6809e-002	2.9261e-002	2.54e-003	3.6649e-005
118	6.7555e-002	6.8505e-002	2.54e-003	2.5519e-004
119	8.0316e-002	2.9992e-002	2.54e-003	3.2765e-004
120	0.12439	0.12825	2.54e-003	8.8805e-004
121	0.21353	9.1046e-002	2.54e-003	2.6875e-003
122	0.18547	8.8087e-002	2.54e-003	2.0712e-003
123	0.24363	9.1634e-002	2.54e-003	3.3969e-003
124	0.27302	9.2152e-002	2.54e-003	4.131e-003
125	0.30192	9.3087e-002	2.54e-003	4.887e-003
126	0.3298	9.2457e-002	2.54e-003	5.6432e-003
127	0.35726	9.2601e-002	2.54e-003	6.4096e-003
128	0.38523	9.1576e-002	2.54e-003	7.2079e-003
129	0.41304	9.112e-002	2.54e-003	8.0158e-003
130	0.4409	9.0971e-002	2.54e-003	8.8365e-003
131	0.4689	9.1131e-002	2.54e-003	9.6698e-003
132	0.49681	9.126e-002	2.54e-003	1.0506e-002
133	0.52478	9.1364e-002	2.54e-003	1.1348e-002
134	0.55283	9.1399e-002	2.54e-003	1.2195e-002
135	0.55298	6.0862e-002	2.54e-003	1.2193e-002
136	0.52471	6.0802e-002	2.54e-003	1.134e-002
137	0.49678	6.0805e-002	2.54e-003	1.0499e-002
138	0.46887	6.0649e-002	2.54e-003	9.6624e-003
139	0.44097	6.0505e-002	2.54e-003	8.8323e-003
140	0.41306	6.0428e-002	2.54e-003	8.0101e-003
141	0.38514	6.0928e-002	2.54e-003	7.1988e-003
142	0.35713	6.1437e-002	2.54e-003	6.3995e-003
143	0.32951	6.1607e-002	2.54e-003	5.6291e-003
144	0.30231	6.2339e-002	2.54e-003	4.8916e-003
145	0.27423	6.1895e-002	2.54e-003	4.1559e-003
146	0.24513	6.1339e-002	2.54e-003	3.4273e-003
147	0.21647	6.0351e-002	2.54e-003	2.7483e-003
148	0.18874	5.7406e-002	2.54e-003	2.1324e-003
149	0.15468	0.13224	2.54e-003	1.436e-003
150	0.17679	0.11889	2.54e-003	1.8835e-003
151	0.21317	0.12119	2.54e-003	2.6715e-003
152	0.24395	0.12177	2.54e-003	3.3977e-003
153	0.27309	0.12253	2.54e-003	4.1268e-003
154	0.30171	0.12267	2.54e-003	4.877e-003
155	0.3299	0.1228	2.54e-003	5.643e-003
156	0.3581	0.12353	2.54e-003	6.4317e-003
157	0.38576	0.12199	2.54e-003	7.2232e-003
158	0.41339	0.12168	2.54e-003	8.0276e-003
159	0.44121	0.12151	2.54e-003	8.8483e-003
160	0.46907	0.12162	2.54e-003	9.6781e-003
161	0.49686	0.12179	2.54e-003	1.0512e-002
162	0.52499	0.12179	2.54e-003	1.1359e-002
163	0.55321	0.12188	2.54e-003	1.2212e-002
164	0.58126	0.12178	2.54e-003	1.306e-002
165	0.58101	9.1481e-002	2.54e-003	1.3047e-002
166	0.58101	6.0782e-002	2.54e-003	1.3041e-002
167	0.58134	3.0358e-002	2.54e-003	1.3044e-002
168	0.55331	3.0272e-002	2.54e-003	1.2196e-002
169	0.5253	3.0254e-002	2.54e-003	1.1349e-002
170	0.49736	2.9958e-002	2.54e-003	1.0507e-002
171	0.46943	3.e-002	2.54e-003	9.6696e-003
172	0.44151	3.0023e-002	2.54e-003	8.838e-003
173	0.41361	3.0009e-002	2.54e-003	8.0146e-003
174	0.38547	3.0384e-002	2.54e-003	7.1957e-003
175	0.35754	3.0783e-002	2.54e-003	6.3973e-003
176	0.32989	2.9947e-002	2.54e-003	5.6235e-003
177	0.30186	2.9822e-002	2.54e-003	4.8617e-003
178	0.27413	3.0749e-002	2.54e-003	4.1351e-003
179	0.24586	3.0805e-002	2.54e-003	3.4255e-003
180	0.21743	3.023e-002	2.54e-003	2.7494e-003
181	0.18878	2.8726e-002	2.54e-003	2.1114e-003
182	0.15658	2.6333e-002	2.54e-003	1.4536e-003
183	5.1267e-002	2.4727e-002	2.54e-003	1.3192e-004
184	2.9388e-002	0.12107	2.54e-003	4.497e-005
185	3.4898e-002	8.8118e-002	2.54e-003	6.8084e-005
186	3.008e-002	5.7479e-002	2.54e-003	5.0413e-005
187	7.6061e-002	8.5574e-002	2.54e-003	3.227e-004
188	0.16306	5.4422e-002	2.54e-003	1.6044e-003
189	5.2274e-002	0.12687	2.54e-003	1.3818e-004
190	0.14711	0.10193	2.54e-003	1.31e-003
191	0.12925	0.13915	2.54e-003	9.6057e-004
192	8.9095e-002	0.10501	2.54e-003	4.2859e-004
193	8.0713e-002	0.11615	2.54e-003	3.4074e-004
194	7.6432e-002	0.13373	2.54e-003	2.8478e-004
195	0.13022	1.4819e-002	2.54e-003	9.4743e-004
196	6.3442e-002	5.0016e-002	2.54e-003	2.2023e-004
197	7.5725e-002	1.7591e-002	2.54e-003	2.7668e-004
198	0.13255	0.11811	2.54e-003	1.04e-003
199	9.7341e-002	9.8667e-002	2.54e-003	5.2261e-004
200	9.67e-002	7.113e-002	2.54e-003	5.304e-004
201	0.13699	5.2584e-002	2.54e-003	1.1156e-003
202	0.1375	6.9458e-002	2.54e-003	1.1349e-003
203	0.10685	0.1397	2.54e-003	5.6817e-004
204	0.10685	0.127	2.54e-003	5.8944e-004
205	0.10685	0.1143	2.54e-003	6.1258e-004
206	0.10685	0.1016	2.54e-003	6.3644e-004
207	0.10262	0.1016	2.54e-003	5.7863e-004
208	0.10262	0.1143	2.54e-003	5.4225e-004
209	0.10262	0.127	2.54e-003	5.0961e-004
210	0.10262	0.1397	2.54e-003	4.8026e-004
211	0.10685	1.27e-002	2.54e-003	5.3332e-004
212	0.10685	2.54e-002	2.54e-003	5.6283e-004
213	0.10685	3.81e-002	2.54e-003	5.9471e-004
214	0.10685	5.08e-002	2.54e-003	6.2681e-004
215	0.10262	5.08e-002	2.54e-003	5.7195e-004
216	0.10262	3.81e-002	2.54e-003	5.4038e-004
217	0.10262	2.54e-002	2.54e-003	5.0875e-004
218	0.10262	1.27e-002	2.54e-003	4.7797e-004
219	0.10685	0.1524	2.54e-003	5.4796e-004
220	0.13478	0.1524	2.54e-003	1.0436e-003
221	0.16271	0.1524	2.54e-003	1.5723e-003
222	0.19064	0.1524	2.54e-003	2.1481e-003
223	0.21857	0.1524	2.54e-003	2.7722e-003
224	0.2465	0.1524	2.54e-003	3.4392e-003
225	0.27443	0.1524	2.54e-003	4.1439e-003
226	0.30236	0.1524	2.54e-003	4.88e-003
227	0.33029	0.1524	2.54e-003	5.6426e-003
228	0.35822	0.1524	2.54e-003	6.4269e-003
229	0.38616	0.1524	2.54e-003	7.2288e-003
230	0.41409	0.1524	2.54e-003	8.0446e-003
231	0.44202	0.1524	2.54e-003	8.8709e-003
232	0.46995	0.1524	2.54e-003	9.705e-003
233	0.49788	0.1524	2.54e-003	1.0544e-002
234	0.52581	0.1524	2.54e-003	1.1387e-002
235	0.55374	0.1524	2.54e-003	1.2232e-002
236	0.58167	0.1524	2.54e-003	1.3077e-002
237	0.6096	0.1524	2.54e-003	1.3923e-002
238	0.6096	0.12192	2.54e-003	1.3918e-002
239	0.6096	9.144e-002	2.54e-003	1.3913e-002
240	0.6096	6.096e-002	2.54e-003	1.3906e-002
241	0.6096	3.048e-002	2.54e-003	1.3899e-002
242	2.6645e-016	3.048e-002	2.54e-003	0.
243	5.3291e-016	6.096e-002	2.54e-003	0.
244	7.9936e-016	9.144e-002	2.54e-003	0.
245	1.0658e-015	0.12192	2.54e-003	0.
246	0.6096	0.	2.54e-003	1.3891e-002
247	0.58167	0.	2.54e-003	1.3046e-002
248	0.55374	0.	2.54e-003	1.22e-002
249	0.52581	0.	2.54e-003	1.1356e-002
250	0.49788	0.	2.54e-003	1.0513e-002
251	0.46995	0.	2.54e-003	9.6733e-003
252	0.44202	0.	2.54e-003	8.8392e-003
253	0.41409	0.	2.54e-003	8.0129e-003
254	0.38616	0.	2.54e-003	7.1971e-003
255	0.35822	0.	2.54e-003	6.3952e-003
256	0.33029	0.	2.54e-003	5.6109e-003
257	0.30236	0.	2.54e-003	4.8483e-003
258	0.27443	0.	2.54e-003	4.1122e-003
259	0.2465	0.	2.54e-003	3.4075e-003
260	0.21857	0.	2.54e-003	2.7398e-003
261	0.19064	0.	2.54e-003	2.1146e-003
262	0.16271	0.	2.54e-003	1.5365e-003
263	0.13478	0.	2.54e-003	1.0039e-003
264	0.10685	0.	2.54e-003	5.0563e-004
265	0.10262	0.	2.54e-003	4.4941e-004
266	7.6962e-002	-3.8133e-032	2.54e-003	2.5612e-004
267	5.1308e-002	-2.5422e-032	2.54e-003	1.0668e-004
268	2.5654e-002	-1.2711e-032	2.54e-003	2.2794e-005
269	0.	0.	2.54e-003	0.
270	1.e-015	0.1524	2.54e-003	0.
271	2.5654e-002	0.1524	2.54e-003	2.316e-005
272	5.1308e-002	0.1524	2.54e-003	1.0807e-004
273	7.6962e-002	0.1524	2.54e-003	2.583e-004
274	0.10262	0.1524	2.54e-003	4.5263e-004
275	7.6962e-002	0.1524	0.	2.583e-004
276	5.1308e-002	0.1524	0.	1.0807e-004
277	2.5654e-002	0.1524	0.	2.316e-005
278	0.10262	0.1524	0.	4.5263e-004
279	1.e-015	0.1524	0.	0.
280	2.5654e-002	-1.2711e-032	0.	2.2794e-005
281	5.1308e-002	-2.5422e-032	0.	1.0668e-004
282	7.6962e-002	-3.8133e-032	0.	2.5612e-004
283	0.10262	0.	0.	4.4941e-004
284	0.	0.	0.	0.
285	0.13478	0.	0.	1.0039e-003
286	0.16271	0.	0.	1.5365e-003
