Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	4.4767	2.6011	0.	350.45
2	5.2869	3.3812	0.	206.06
3	5.6719	1.3304	0.	104.58
4	4.4889	3.2432	0.	140.93
5	6.4891	3.5808	0.	-0.42751
6	3.3022	0.65788	0.	185.83
7	3.3303	1.7247	0.	187.64
8	5.5906	0.51676	0.	71.443
9	3.2407	5.0612	0.	74.761
10	3.9118	3.76	0.	390.55
11	4.3104	3.6475	0.	785.37
12	5.7211	4.6911	0.	140.46
13	5.3188	5.0552	0.	92.43
14	5.5735	2.8768	0.	226.29
15	2.2585	2.583	0.	-60.671
16	2.2414	3.7345	0.	-29.275
17	2.2894	1.2804	0.	2.9652
18	5.4829	5.4606	0.	123.1
19	2.222	4.9326	0.	-21.425
20	1.116	4.8406	0.	262.12
21	1.133	3.6761	0.	293.7
22	1.1387	1.2412	0.	261.95
23	6.4894	0.7763	0.	74.906
24	7.364	1.3623	0.	5.6913
25	8.8784	1.2273	0.	9.1761
26	10.173	1.2098	0.	-3.0919
27	11.378	1.2056	0.	-0.7505
28	12.545	1.1982	0.	1.9246
29	13.712	1.1814	0.	4.6481
30	14.855	1.1783	0.	6.3442
31	15.994	1.1789	0.	7.4241
32	17.135	1.181	0.	8.0301
33	18.274	1.1842	0.	8.3629
34	19.416	1.1853	0.	8.4998
35	20.558	1.1842	0.	8.3853
36	21.705	1.1963	0.	8.2118
37	22.854	1.1957	0.	7.6142
38	1.1349	2.472	0.	293.31
39	22.847	2.3943	0.	10.612
40	22.847	3.6016	0.	10.622
41	22.849	4.8073	0.	7.5766
42	21.703	4.7973	0.	8.2214
43	20.554	4.7997	0.	8.3736
44	19.411	4.7815	0.	8.4259
45	18.269	4.7459	0.	8.3433
46	17.127	4.7179	0.	8.0095
47	15.989	4.7024	0.	7.3843
48	14.851	4.7342	0.	6.2899
49	13.709	4.7682	0.	4.5401
50	12.547	4.778	0.	1.6723
51	11.374	4.7844	0.	-0.38332
52	10.178	4.7803	0.	-3.9497
53	8.954	4.7821	0.	8.4657
54	7.5804	4.7445	0.	-14.612
55	6.5825	5.2591	0.	4.1882
56	7.6683	3.5926	0.	-26.865
57	7.5032	2.4747	0.	-13.682
58	8.8309	2.4027	0.	10.222
59	10.124	2.3877	0.	-2.1903
60	11.345	2.3926	0.	-0.33895
61	12.527	2.3792	0.	0.36433
62	13.701	2.3657	0.	4.7774
63	14.854	2.3625	0.	7.3971
64	15.993	2.3635	0.	8.8265
65	17.133	2.366	0.	9.6868
66	18.273	2.3694	0.	10.187
67	19.413	2.3739	0.	10.399
68	20.553	2.3895	0.	10.552
69	21.693	2.4005	0.	10.664
70	21.691	3.5983	0.	10.617
71	20.546	3.5896	0.	10.543
72	19.411	3.5773	0.	10.348
73	18.266	3.5536	0.	10.083
74	17.127	3.5426	0.	9.585
75	15.989	3.534	0.	8.6744
76	14.841	3.5395	0.	7.0273
77	13.69	3.5594	0.	4.6318
78	12.545	3.5644	0.	0.20355
79	11.34	3.5828	0.	-0.19094
80	8.8928	3.5858	0.	9.1395
81	10.126	3.5803	0.	-4.9675
82	6.1958	4.1939	0.	-38.798
83	3.6026	1.1123	0.	137.65
84	3.4988	2.6367	0.	-4.1273
85	3.2686	3.9955	0.	79.507
86	5.3035	0.94394	0.	163.92
87	5.6719	1.8468	0.	-109.2
88	4.8253	3.4282	0.	381.78
89	4.9075	2.3079	0.	413.95
90	5.2903	2.3206	0.	30.58
91	4.0206	3.0596	0.	72.898
92	6.1478	2.8872	0.	-91.755
93	5.0563	3.0245	0.	76.961
94	4.8068	2.8356	0.	53.116
95	4.8068	2.8356	0.1	1992.4
96	5.0563	3.0245	0.1	1436.1
97	6.1478	2.8872	0.1	1159.1
98	4.0206	3.0596	0.1	2038.2
99	5.2903	2.3206	0.1	1693.9
100	4.9075	2.3079	0.1	1412.6
101	4.8253	3.4282	0.1	1754.3
102	5.6719	1.8468	0.1	1188.8
103	5.3035	0.94394	0.1	471.09
104	3.2686	3.9955	0.1	1199.1
105	3.4988	2.6367	0.1	1474.
106	3.6026	1.1123	0.1	766.61
107	6.1958	4.1939	0.1	1078.8
108	10.126	3.5803	0.1	569.27
109	8.8928	3.5858	0.1	671.33
110	11.34	3.5828	0.1	471.21
111	12.545	3.5644	0.1	387.08
112	13.69	3.5594	0.1	314.03
113	14.841	3.5395	0.1	248.86
114	15.989	3.534	0.1	191.33
115	17.127	3.5426	0.1	141.91
116	18.266	3.5536	0.1	100.03
117	19.411	3.5773	0.1	65.56
118	20.546	3.5896	0.1	38.794
