Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	5.398	3.2309	0.	4.0699e-002
2	5.2552	2.6154	0.	3.8397e-002
3	3.6157	2.7662	0.	1.7869e-002
4	6.4383	3.4407	0.	5.8889e-002
5	5.6564	1.5941	0.	4.4255e-002
6	3.977	5.3201	0.	1.9343e-002
7	3.4825	4.2169	0.	1.6134e-002
8	5.834	4.7178	0.	4.6791e-002
9	5.5866	5.045	0.	4.1902e-002
10	3.8617	0.39712	0.	1.7991e-002
11	6.0036	0.5522	0.	4.9461e-002
12	8.0145	3.3769	0.	9.0901e-002
13	3.4841	1.6184	0.	1.6134e-002
14	3.1271	5.1049	0.	1.2312e-002
15	7.6817	1.8267	0.	8.3731e-002
16	5.8594	5.4536	0.	4.631e-002
17	2.25	3.9464	0.	6.8986e-003
18	2.691	2.1227	0.	9.8995e-003
19	6.9846	0.69626	0.	6.8642e-002
20	8.0905	0.91977	0.	9.1972e-002
21	9.1259	1.0809	0.	0.11531
22	10.287	1.1535	0.	0.14301
23	11.469	1.1658	0.	0.17267
24	12.638	1.1635	0.	0.20328
25	13.774	1.1825	0.	0.23402
26	14.913	1.1829	0.	0.26564
27	16.06	1.1773	0.	0.29813
28	17.187	1.1838	0.	0.33054
29	18.318	1.1869	0.	0.36342
30	19.458	1.1903	0.	0.39681
31	20.591	1.1927	0.	0.43018
32	21.728	1.1957	0.	0.46373
33	22.869	1.1889	0.	0.49749
34	1.1114	4.8829	0.	1.5661e-003
35	1.1113	3.7359	0.	1.706e-003
36	1.226	2.5568	0.	2.1186e-003
37	1.5283	1.3259	0.	3.1319e-003
38	22.845	2.4004	0.	0.49667
39	22.825	3.5989	0.	0.49594
40	22.809	4.7989	0.	0.49527
41	21.625	4.8018	0.	0.46025
42	20.447	4.7968	0.	0.42549
43	19.258	4.7951	0.	0.39051
44	18.084	4.7929	0.	0.35616
45	16.911	4.7916	0.	0.32213
46	15.731	4.7902	0.	0.28834
47	14.546	4.7858	0.	0.25496
48	13.347	4.7586	0.	0.22193
49	12.096	4.7597	0.	0.18852
50	10.811	4.736	0.	0.15558
51	9.3907	4.672	0.	0.1212
52	7.6544	4.6685	0.	8.2606e-002
53	6.7956	5.1957	0.	6.4594e-002
54	2.3427	2.9655	0.	7.6265e-003
55	8.7218	2.1993	0.	0.10653
56	9.8966	2.3441	0.	0.1339
57	11.175	2.3587	0.	0.16546
58	12.413	2.3666	0.	0.19754
59	13.607	2.3779	0.	0.22962
60	14.78	2.3793	0.	0.26203
61	15.934	2.3799	0.	0.29462
62	17.084	2.3833	0.	0.3276
63	18.235	2.3865	0.	0.36098
64	19.386	2.3906	0.	0.39464
65	20.538	2.3949	0.	0.42853
66	21.693	2.3974	0.	0.46261
67	21.654	3.5935	0.	0.46132
68	20.487	3.5998	0.	0.42689
69	19.322	3.5966	0.	0.39261
70	18.156	3.5929	0.	0.35854
71	16.993	3.5907	0.	0.32482
72	15.829	3.5889	0.	0.29146
73	14.654	3.5834	0.	0.25836
74	13.45	3.5756	0.	0.22519
75	12.216	3.5663	0.	0.1922
76	10.911	3.5474	0.	0.15868
77	6.3453	4.1028	0.	5.683e-002
78	3.0253	0.87129	0.	1.1699e-002
79	4.0879	2.2187	0.	2.2562e-002
80	2.2181	4.9749	0.	6.2492e-003
81	4.0656	4.872	0.	2.0907e-002
82	3.5058	3.449	0.	1.6759e-002
83	5.8613	1.0872	0.	4.7434e-002
84	5.3847	2.2352	0.	4.0192e-002
85	4.4754	3.1574	0.	2.7415e-002
86	9.5222	3.5007	0.	0.12489
87	4.587	2.6698	0.	2.8828e-002
88	6.7515	1.3539	0.	6.4532e-002
89	6.3064	1.8139	0.	5.6237e-002
90	7.2537	2.4708	0.	7.499e-002
91	6.1291	2.2647	0.	5.3128e-002
92	6.4723	2.7963	0.	5.9613e-002
93	6.4723	2.7963	0.1	5.9613e-002
94	6.1291	2.2647	0.1	5.3128e-002
95	7.2537	2.4708	0.1	7.499e-002
96	6.3064	1.8139	0.1	5.6237e-002
97	6.7515	1.3539	0.1	6.4532e-002
98	4.587	2.6698	0.1	2.8828e-002
99	9.5222	3.5007	0.1	0.12489
100	4.4754	3.1574	0.1	2.7415e-002
101	5.3847	2.2352	0.1	4.0192e-002
102	5.8613	1.0872	0.1	4.7434e-002
103	3.5058	3.449	0.1	1.6759e-002
104	4.0656	4.872	0.1	2.0907e-002
