nodeNumbers,xLocations,yLocations,zLocations,elasticStrains,equivalentStress,maxPrincipalElasticStrain,maxPrincipalStress,middlePrincipalElasticStrain,middlePrincipalStress,minPrincipalElasticStrain,minPrincipalStress,totalDeformation
1,0.15681,0.06607,0,0.00014314,9862200,5.563e-05,162410,3.4649e-05,-924460,-0.00014436,-10198000,0.0013461
2,0.14586,0.079814,0,0.00014985,10325000,6.932e-05,792930,2.3828e-05,-1563700,-0.0001488,-10507000,0.0011637
3,0.16139,0.046338,0,9.6946e-05,6679500,3.5275e-05,-651630,1.7177e-05,-1589200,-0.00010176,-7750400,0.0014145
4,0.12419,0.095188,0,0.00027267,18787000,0.00013922,4075000,5.6159e-05,-227680,-0.00025777,-16490000,0.00082435
5,0.15952,0.11662,0,8.9894e-05,6193700,3.8713e-05,887530,2.5822e-05,219700,-8.6769e-05,-5613000,0.0013918
6,0.10612,0.013436,0,7.5227e-05,5183200,3.0847e-05,500790,2.1068e-05,-5790.5,-7.3736e-05,-4917100,0.00054761
7,0.099903,0.034255,0,0.00011617,8004400,4.796e-05,788760,3.2159e-05,-29812,-0.00011385,-7593500,0.0005154
8,0.15181,0.0152,0,6.5571e-05,4517800,3.1218e-05,846380,1.6037e-05,59981,-6.2585e-05,-4013000,0.0011996
9,0.10252,0.13562,0,8.8878e-05,6123700,3.5473e-05,522530,2.5692e-05,15787,-8.7321e-05,-5838800,0.00051327
10,0.10765,0.12054,0,0.00010985,7568900,5.2534e-05,1335500,2.5206e-05,-80260,-0.00010531,-6841400,0.00058939
11,0.11501,0.10754,0,0.00014615,10070000,8.0533e-05,2637000,2.4618e-05,-259640,-0.00013568,-8563800,0.0006905
12,0.15452,0.13879,0,6.4407e-05,4437700,2.774e-05,695370,1.9328e-05,259580,-6.1818e-05,-3944100,0.0012816
13,0.17667,0.099057,0,8.3508e-05,5753700,3.1295e-05,-35933,2.0515e-05,-594380,-8.4768e-05,-6048500,0.0017228
14,0.090676,0.10794,0,0.00014025,9663500,5.4165e-05,563960,4.0206e-05,-159150,-0.00013896,-9440800,0.00043401
15,0.074429,0.086078,0,0.0001178,8116100,4.5578e-05,-596020,1.848e-05,-1999800,-0.00012287,-9322400,0.0003029
16,0.085667,0.019569,0,0.0001091,7516700,4.0021e-05,296590,3.3071e-05,-63418,-0.00010843,-7393700,0.00036669
17,0.080173,0.12808,0,0.00011102,7649400,3.8577e-05,101010,3.4678e-05,-100970,-0.00011099,-7647400,0.00032524
18,0.059476,0.12265,0,0.00012551,8647500,3.9958e-05,-626750,3.5539e-05,-855680,-0.00012913,-9386400,0.00018322
19,0.031274,0.11938,0,0.00014246,9815400,7.761e-05,1961200,1.6343e-05,-1212800,-0.00013491,-9048400,5.1439e-05
20,0.032186,0.030988,0,0.0001422,9797300,7.9277e-05,1982700,1.2621e-05,-1470400,-0.00013415,-9073500,5.2578e-05
21,0.061336,0.025758,0,0.00013384,9221700,4.3532e-05,-391230,4.0036e-05,-572370,-0.0001362,-9702200,0.00019051
22,0.17539,0.020118,0,6.9945e-05,4819200,2.3834e-05,-46671,2.1175e-05,-184440,-7.0494e-05,-4933300,0.0016529
23,0.19778,0.036937,0,7.23e-05,4981500,2.4118e-05,-136680,2.1594e-05,-267460,-7.3279e-05,-5182300,0.0021219
24,0.22926,0.039318,0,6.5505e-05,4513300,2.4005e-05,54461,1.8214e-05,-245540,-6.5868e-05,-4601300,0.0028058
25,0.26193,0.039532,0,5.4097e-05,3727300,1.8119e-05,-44415,1.6807e-05,-112410,-5.4478e-05,-3805300,0.0035676
26,0.29253,0.038168,0,4.5287e-05,3120300,1.5247e-05,-2698.3,1.4397e-05,-46714,-4.5406e-05,-3144800,0.0043214
27,0.32336,0.034611,0,3.741e-05,2577600,1.2743e-05,12628,1.1838e-05,-34282,-3.7459e-05,-2588100,0.0051135
28,0.35402,0.031683,0,3.0721e-05,2116700,1.033e-05,23867,1.013e-05,13479,-3.0628e-05,-2098000,0.0059296
29,0.38336,0.030899,0,2.3955e-05,1650500,8.3124e-06,31097,7.6268e-06,-4421.3,-2.3885e-05,-1636900,0.0067332
30,0.41182,0.030452,0,1.8499e-05,1274600,6.7503e-06,51970,5.693e-06,-2803,-1.8365e-05,-1249100,0.0075282
31,0.44017,0.03024,0,1.3826e-05,952600,5.2898e-06,57972,4.0846e-06,-4458.9,-1.3671e-05,-924310,0.0083321
32,0.46836,0.030218,0,9.8751e-06,680400,4.0106e-06,60522,2.7634e-06,-4087,-9.7024e-06,-649870,0.0091396
33,0.49653,0.030241,0,6.6415e-06,457600,2.9389e-06,60757,1.6928e-06,-3795.6,-6.4512e-06,-425690,0.0099526
34,0.52476,0.030206,0,4.1081e-06,283050,2.0757e-06,59270,8.5838e-07,-3795.3,-3.894e-06,-249990,0.010771
35,0.55297,0.030415,0,2.3011e-06,158550,1.4369e-06,57259,2.5894e-07,-3764.5,-2.0375e-06,-122730,0.011592
36,0.58118,0.030378,0,1.2209e-06,84120,9.9526e-07,52757,-1.0124e-07,-4046.3,-8.7019e-07,-43882,0.012413
37,0.037099,0.088995,0,0.00014664,10104000,8.4557e-05,2048200,6.477e-06,-1996700,-0.00013742,-9451100,7.6586e-05
38,0.037782,0.059889,0,0.00014822,10213000,8.5309e-05,2005100,5.8331e-06,-2112200,-0.00013916,-9623400,7.7907e-05
39,0.58108,0.06084,0,1.5599e-06,107470,1.3416e-06,73971,-2.4704e-07,-8325.4,-1.0056e-06,-47621,0.01242
40,0.58081,0.091279,0,1.5652e-06,107840,1.3428e-06,73721,-2.4636e-07,-8601.9,-1.0136e-06,-48351,0.012422
41,0.5811,0.12174,0,1.2277e-06,84589,1.0003e-06,53015,-1.0067e-07,-4018.3,-8.7578e-07,-44172,0.012438
42,0.55262,0.1218,0,2.3154e-06,159530,1.4363e-06,56642,2.6704e-07,-3929,-2.0566e-06,-124300,0.011609
43,0.52436,0.12171,0,4.1416e-06,285350,2.0804e-06,58699,8.7458e-07,-3766.3,-3.9309e-06,-252710,0.010787
44,0.49616,0.12176,0,6.6784e-06,460140,2.9348e-06,59369,1.7161e-06,-3763.6,-6.4939e-06,-429080,0.0099691
45,0.46792,0.12174,0,9.9403e-06,684880,4.0162e-06,59241,2.7961e-06,-3969,-9.7721e-06,-655060,0.0091542
46,0.43984,0.12166,0,1.3886e-05,956710,5.3154e-06,58598,4.1025e-06,-4234.2,-1.3729e-05,-927980,0.0083499
47,0.41202,0.12187,0,1.8497e-05,1274400,6.8057e-06,56745,5.6595e-06,-2632.8,-1.8349e-05,-1246400,0.0075611
48,0.38404,0.12232,0,2.3801e-05,1639900,8.4242e-06,49480,7.543e-06,3828.4,-2.3663e-05,-1612800,0.0067788
49,0.35577,0.12398,0,2.9859e-05,2057300,1.0256e-05,35448,9.6422e-06,3644.4,-2.976e-05,-2037600,0.0060031
50,0.32928,0.12412,0,3.6277e-05,2499500,1.2419e-05,29074,1.1599e-05,-13391,-3.6235e-05,-2491400,0.005293
51,0.30133,0.12226,0,4.2614e-05,2936100,1.4427e-05,5779,1.3522e-05,-41110,-4.2697e-05,-2953500,0.0045659
52,0.27376,0.11636,0,5.1145e-05,3523900,1.7119e-05,-33883,1.6017e-05,-91002,-5.1448e-05,-3586000,0.0038755
53,0.2443,0.11346,0,6.0839e-05,4191800,2.2595e-05,61594,1.6532e-05,-252470,-6.1182e-05,-4278400,0.0031711
54,0.20642,0.11312,0,7.1504e-05,4926600,2.5604e-05,-26686,1.9766e-05,-329150,-7.2281e-05,-5097600,0.0023268
55,0.18128,0.13043,0,6.8821e-05,4741700,2.5278e-05,65226,1.9143e-05,-252610,-6.9167e-05,-4827400,0.0018022
56,0.21867,0.074701,0,6.8149e-05,4695500,2.5524e-05,36582,1.7685e-05,-369500,-6.8779e-05,-4848700,0.00259
57,0.17819,0.078686,0,8.2446e-05,5680600,3.2984e-05,-265800,1.3026e-05,-1299700,-8.5278e-05,-6392300,0.0017505
58,0.25247,0.076898,0,5.6757e-05,3910500,1.9953e-05,-13572,1.6446e-05,-195270,-5.7226e-05,-4011800,0.0033613
59,0.28825,0.077176,0,4.5399e-05,3128000,1.5677e-05,14362,1.3988e-05,-73126,-4.5531e-05,-3156500,0.0042331
60,0.32398,0.064516,0,3.7978e-05,2616700,1.3238e-05,42673,1.19e-05,-26660,-3.7929e-05,-2608000,0.0051463
61,0.35403,0.062395,0,3.0033e-05,2069300,1.0576e-05,42780,9.3475e-06,-20839,-2.9968e-05,-2057600,0.0059464
62,0.38279,0.061422,0,2.4058e-05,1657600,8.7493e-06,62782,7.3901e-06,-7633,-2.3905e-05,-1628900,0.0067327
63,0.41143,0.060945,0,1.8641e-05,1284400,6.9934e-06,64416,5.5648e-06,-9594.3,-1.8482e-05,-1255300,0.0075313
64,0.43968,0.060707,0,1.3969e-05,962450,5.4788e-06,67810,4.0138e-06,-8084.6,-1.3789e-05,-930340,0.0083312
65,0.46761,0.0607,0,1.0027e-05,690860,4.2042e-06,70128,2.6851e-06,-8564.4,-9.8261e-06,-656710,0.0091302
66,0.49579,0.060637,0,6.7925e-06,468000,3.1465e-06,71806,1.6005e-06,-8280.7,-6.5607e-06,-431070,0.0099426
67,0.52412,0.060675,0,4.2935e-06,295820,2.3204e-06,72883,7.4952e-07,-8493,-4.011e-06,-255110,0.010763
68,0.55251,0.060719,0,2.5375e-06,174830,1.7177e-06,73758,1.3694e-07,-8130.8,-2.1574e-06,-126990,0.011589
69,0.55241,0.091236,0,2.5465e-06,175450,1.7239e-06,73985,1.3653e-07,-8247.2,-2.1651e-06,-127480,0.011595
70,0.4957,0.091197,0,6.8079e-06,469070,3.1631e-06,72486,1.5933e-06,-8838.9,-6.5737e-06,-431930,0.009949
71,0.46767,0.09119,0,1.0028e-05,690960,4.215e-06,71144,2.6809e-06,-8327.7,-9.8236e-06,-656120,0.009141
72,0.43969,0.091136,0,1.3973e-05,962750,5.4925e-06,68932,4.0088e-06,-7929.1,-1.3789e-05,-929950,0.0083405
73,0.41146,0.091226,0,1.8671e-05,1286400,7.0152e-06,65419,5.5672e-06,-9591.2,-1.8509e-05,-1256900,0.0075413
74,0.38307,0.092007,0,2.4041e-05,1656400,8.859e-06,74196,7.3378e-06,-4610,-2.3849e-05,-1620200,0.0067494
75,0.35546,0.092838,0,2.9434e-05,2028000,1.0832e-05,70900,8.7391e-06,-37497,-2.932e-05,-2009100,0.0059938
76,0.32855,0.094413,0,3.5828e-05,2468600,1.1937e-05,18067,1.1871e-05,14617,-3.5747e-05,-2452200,0.0052744
77,0.30648,0.097581,0,4.2125e-05,2902400,1.5043e-05,113810,1.3473e-05,32490,-4.1752e-05,-2828400,0.0046995
78,0.52416,0.091193,0,4.2925e-06,295750,2.3225e-06,73174,7.4836e-07,-8374.3,-4.0085e-06,-254800,0.010774
79,0.1499,0.12754,0,5.1813e-05,3569900,2.5677e-05,706620,1.1233e-05,-41666,-4.9311e-05,-3178100,0.0012077
80,0.11127,0.024372,0,7.8754e-05,5426100,4.2405e-05,1368400,1.4565e-05,-73825,-7.3445e-05,-4633200,0.00061875
81,0.081547,0.051696,0,0.00011773,8111500,4.7425e-05,-505560,1.6105e-05,-2128100,-0.00012245,-9305700,0.00035715
82,0.14661,0.024192,0,6.2699e-05,4319900,3.752e-05,1428300,8.6881e-06,-65347,-5.6459e-05,-3440300,0.0011194
83,0.15234,0.032956,0,0.00010117,6970900,4.5846e-05,915840,2.3589e-05,-237150,-9.8456e-05,-6559700,0.0012348
84,0.13637,0.066958,0,0.00016155,11131000,8.0096e-05,3023100,4.6929e-05,1304900,-0.00014942,-8867100,0.0010076
85,0.13591,0.092881,0,0.00021143,14567000,0.00011881,3387200,2.3749e-05,-1537200,-0.0001976,-13004000,0.00099969
86,0.14646,0.089478,0,0.00012698,8749200,7.3234e-05,3301100,3.0028e-05,1062900,-0.00011306,-6349800,0.0011735
87,0.10714,0.095831,0,0.00015366,10587000,7.0048e-05,1949400,4.3037e-05,550060,-0.00014649,-9268100,0.00061233
88,0.11445,0.079694,0,0.00017258,11891000,6.66e-05,518700,4.7141e-05,-489380,-0.00017204,-11844000,0.0007081
89,0.13509,0.090635,0,0.00023175,15968000,0.00010026,1304900,5.1736e-05,-1209100,-0.00022935,-15771000,0.0009885
90,0.12678,0.084027,0,0.00020324,14003000,0.00010815,3275100,3.6361e-05,-444050,-0.00019081,-12212000,0.00086986
91,0.12678,0.084027,0.00254,0.00020324,14003000,0.00019081,12212000,-3.6361e-05,444050,-0.00010815,-3275100,0.00086986
92,0.13509,0.090635,0.00254,0.00023175,15968000,0.00022935,15771000,-5.1736e-05,1209100,-0.00010026,-1304900,0.0009885
93,0.11445,0.079694,0.00254,0.00017258,11891000,0.00017204,11844000,-4.7141e-05,489380,-6.66e-05,-518700,0.0007081
94,0.10714,0.095831,0.00254,0.00015366,10587000,0.00014649,9268100,-4.3037e-05,-550060,-7.0048e-05,-1949400,0.00061233
95,0.14646,0.089478,0.00254,0.00012698,8749200,0.00011306,6349800,-3.0028e-05,-1062900,-7.3234e-05,-3301100,0.0011735
96,0.13591,0.092881,0.00254,0.00021143,14567000,0.0001976,13004000,-2.3749e-05,1537200,-0.00011881,-3387200,0.00099969
97,0.13637,0.066958,0.00254,0.00016155,11131000,0.00014942,8867100,-4.6929e-05,-1304900,-8.0096e-05,-3023100,0.0010076
98,0.15234,0.032956,0.00254,0.00010117,6970900,9.8456e-05,6559700,-2.3589e-05,237150,-4.5846e-05,-915840,0.0012348
99,0.14661,0.024192,0.00254,6.2699e-05,4319900,5.6459e-05,3440300,-8.6881e-06,65347,-3.752e-05,-1428300,0.0011194
100,0.081547,0.051696,0.00254,0.00011773,8111500,0.00012245,9305700,-1.6105e-05,2128100,-4.7425e-05,505560,0.00035715
101,0.11127,0.024372,0.00254,7.8754e-05,5426100,7.3445e-05,4633200,-1.4565e-05,73825,-4.2405e-05,-1368400,0.00061875
102,0.1499,0.12754,0.00254,5.1813e-05,3569900,4.9311e-05,3178100,-1.1233e-05,41666,-2.5677e-05,-706620,0.0012077
103,0.52416,0.091193,0.00254,4.2925e-06,295750,4.0085e-06,254800,-7.4836e-07,8374.3,-2.3225e-06,-73174,0.010774
104,0.30648,0.097581,0.00254,4.2125e-05,2902400,4.1752e-05,2828400,-1.3473e-05,-32490,-1.5043e-05,-113810,0.0046995
105,0.32855,0.094413,0.00254,3.5828e-05,2468600,3.5747e-05,2452200,-1.1871e-05,-14617,-1.1937e-05,-18067,0.0052744
