Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,6.7268,2.8082,0,0.00013694,1368.4,5.4536e-05,157.42,4.365e-05,75.629,-0.00013279,-1250.1,0.06005
2,6.0855,3.429,0,0.00019621,1960.8,8.7862e-05,268.93,4.8884e-05,-23.945,-0.00019039,-1821.8,0.048777
3,7.3236,2.5939,0,0.00010841,1083.3,4.292e-05,0.70552,2.3104e-05,-148.18,-0.00011015,-1149.4,0.07142
4,5.837,2.7657,0,0.00017042,1703,9.0998e-05,457.73,3.6086e-05,45.149,-0.00015807,-1413.7,0.044905
5,6.8219,4.057,0,9.907e-05,990.02,3.8333e-05,38.666,2.6446e-05,-50.651,-9.8971e-05,-992.99,0.061447
6,4.7461,0.62614,0,9.6001e-05,959.35,4.7278e-05,199.51,2.2386e-05,12.491,-9.1016e-05,-839.57,0.027846
7,7.0671,0.56088,0,6.3198e-05,631.55,2.9106e-05,109.02,1.6424e-05,13.739,-6.0568e-05,-564.75,0.064888
8,4.8513,4.7463,0,0.00010492,1048.5,4.7427e-05,163.05,2.7195e-05,11.04,-0.00010113,-953.12,0.030148
9,7.0939,5.3622,0,5.7599e-05,575.59,2.3208e-05,61.553,1.744e-05,18.214,-5.612e-05,-534.49,0.065586
10,7.5046,3.6008,0,9.2032e-05,919.69,3.7503e-05,56.071,2.3037e-05,-52.625,-9.149e-05,-913.14,0.075034
11,5.0502,5.3954,0,7.5098e-05,750.46,3.3502e-05,104.03,1.9058e-05,-4.5042,-7.2814e-05,-694.79,0.031543
12,8.0625,2.987,0,7.8389e-05,783.35,3.2099e-05,5.43,1.5164e-05,-121.81,-7.959e-05,-833.75,0.086622
13,4.8537,1.5867,0,0.0001116,1115.2,5.5144e-05,226.02,2.5056e-05,-0.043098,-0.00010602,-984.91,0.030451
14,3.7085,1.1876,0,0.0001025,1024.3,3.9104e-05,36.605,2.8038e-05,-46.543,-0.00010241,-1026.7,0.01784
15,5.186,3.1031,0,0.00017164,1715.2,6.8454e-05,39.107,3.9362e-05,-179.48,-0.00017298,-1774.9,0.035538
16,8.2802,2.0959,0,7.0184e-05,701.36,2.3565e-05,-23.958,2.0259e-05,-48.798,-7.1389e-05,-737.41,0.091128
17,4.5545,3.6634,0,0.0001159,1158.2,4.6791e-05,-32.206,1.9691e-05,-235.82,-0.00011911,-1278.7,0.027521
18,4.1079,5.2545,0,0.0001093,1092.3,4.1597e-05,86.642,3.4582e-05,33.936,-0.00010716,-1031,0.021327
19,1.3696,4.7768,0,0.00014113,1410.3,7.6819e-05,263.87,1.4361e-05,-205.41,-0.00013414,-1321.2,0.0024403
20,1.2702,1.2389,0,0.00014045,1403.5,7.6704e-05,263.31,1.3801e-05,-209.32,-0.00013343,-1315.5,0.0020953
21,2.5086,1.2261,0,0.00012509,1250.1,4.695e-05,-39.207,2.7569e-05,-184.83,-0.00012827,-1355.7,0.0082137
22,8.0517,1.0423,0,6.3937e-05,638.93,2.3786e-05,11.98,1.7548e-05,-34.884,-6.4198e-05,-649.09,0.085679
23,9.3254,1.1096,0,6.1404e-05,613.61,2.2339e-05,12.332,1.7826e-05,-21.576,-6.149e-05,-617.53,0.11384
24,10.456,1.1651,0,5.2983e-05,529.46,1.7988e-05,-3.5715,1.6297e-05,-16.277,-5.3309e-05,-539.27,0.14051
25,11.592,1.1725,0,4.4972e-05,449.41,1.5022e-05,-1.0618,1.4436e-05,-5.4621,-4.5081e-05,-452.65,0.16867
26,12.732,1.1803,0,3.7476e-05,374.5,1.2391e-05,-0.26736,1.2302e-05,-0.9361,-3.7496e-05,-375.1,0.19808
27,13.877,1.178,0,3.0539e-05,305.18,1.0352e-05,2.9421,9.8832e-06,-0.57833,-3.0497e-05,-303.98,0.22858
28,15,1.1766,0,2.4337e-05,243.2,8.5106e-06,5.3212,7.7039e-06,-0.73994,-2.4253e-05,-240.85,0.25926
29,16.126,1.1788,0,1.8867e-05,188.54,6.8119e-06,6.7121,5.8423e-06,-0.57335,-1.8752e-05,-185.37,0.29064
30,17.244,1.1817,0,1.4119e-05,141.09,5.3188e-06,7.6046,4.2258e-06,-0.60767,-1.3982e-05,-137.41,0.32229
31,18.366,1.1818,0,1.0085e-05,100.78,4.0233e-06,8.0744,2.8681e-06,-0.60511,-9.9295e-06,-96.761,0.35436
32,19.494,1.1917,0,6.7614e-06,67.567,2.9388e-06,8.33,1.7605e-06,-0.52285,-6.5849e-06,-63.227,0.38686
33,20.614,1.1937,0,4.1808e-06,41.779,2.0842e-06,8.3572,8.9046e-07,-0.61238,-3.9761e-06,-37.178,0.41929
34,21.746,1.1922,0,2.3242e-06,23.226,1.4329e-06,8.1251,2.7514e-07,-0.57355,-2.0701e-06,-18.195,0.45215
35,22.872,1.1952,0,1.2231e-06,12.222,9.9228e-07,7.5822,-9.7343e-08,-0.60475,-8.7757e-07,-6.4671,0.4849
36,1.3982,3.6193,0,0.00014531,1452.1,8.3913e-05,294.9,6.1852e-06,-289.12,-0.00013612,-1358.3,0.0027206
37,1.3796,2.4423,0,0.00014638,1462.8,8.4734e-05,296.12,5.6211e-06,-298.31,-0.00013705,-1370.3,0.0026483
38,22.861,2.3934,0,1.5568e-06,15.557,1.3315e-06,10.571,-2.3897e-07,-1.2289,-1.0149e-06,-7.0585,0.48467
39,22.858,3.6008,0,1.5597e-06,15.586,1.3341e-06,10.583,-2.4129e-07,-1.2536,-1.0161e-06,-7.0755,0.48462
40,22.865,4.7956,0,1.228e-06,12.272,9.9552e-07,7.6019,-9.6758e-08,-0.60511,-8.8205e-07,-6.5055,0.48482
41,21.74,4.7983,0,2.3322e-06,23.306,1.4346e-06,8.1111,2.7881e-07,-0.57304,-2.0792e-06,-18.29,0.45209
