NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
30971,5.1421,6,0,0.351412057657197,0.00048705,0.1
8906,5.0501,6,0,0.296481916380123,0.00048996,0.1
30046,5.0501,6,0.05,0.209434414416839,3.1131e-06,0.1
9153,5.0501,5.9091,0,0.142671611545841,0.00048915,0.1
8895,7.0739,6,0,0.468432303084473,0.00042586,0.1
30068,7.0739,6,0.05,0.21676600529845,9.6639e-06,0.1
30960,7.1659,6,0,0.185524781646503,0.00042301,0.1
9197,7.0739,5.9091,0,0.129276909970575,0.00042554,0.1
30949,9.1897,6,0,0.748468984367663,0.00036233,0.1
8883,9.2817,6,0,0.0943602269153747,0.00035965,0.1
30092,9.2817,6,0.05,0.0804841941602737,1.2464e-05,0.1
30089,9.1897,6,0.1,0.0766865945566885,0.00036233,0.1
8873,11.121,6,0,0.524081140026288,0.00030748,0.1
30112,11.121,6,0.05,0.202941241856035,1.3102e-05,0.1
30939,11.029,6,0,0.155009914655669,0.00031004,0.1
9285,11.121,5.9091,0,0.117967703462008,0.00030774,0.1
8851,15.169,6,0,0.424103261226517,0.00020058,0.1
30156,15.169,6,0.05,0.223476832033851,1.2562e-05,0.1
30916,15.261,6,0,0.215527886852812,0.00019827,0.1
9373,15.169,5.9091,0,0.13689201988682,0.00020104,0.1
30906,17.101,6,0,0.969235308987239,0.00015305,0.1
8841,17.009,6,0,0.0106509374613733,0.00015526,0.1
8840,17.193,6,0,0.0104218850428493,0.00015084,0.1
30175,17.101,6,0.1,0.0096918685085386,0.00015305,0.1
8818,21.24,6,0,0.357564505494234,5.8035e-05,0.1
30884,21.148,6,0,0.275049619610945,6.0058e-05,0.1
30222,21.24,6,0.05,0.223368775763492,8.6825e-06,0.1
9505,21.24,5.9091,0,0.144017099131329,5.8854e-05,0.1
30972,5.0749,6,0,0.521750797549058,0.00048868,0.2
8906,5.1672,6,0,0.194880134203584,0.00048581,0.2
30068,5.1672,6,0.05,0.156349682986062,4.0498e-06,0.2
30065,5.0749,6,0.1,0.127019385261296,0.00048868,0.2
30961,7.1059,6,0,0.842217328637117,0.00042478,0.2
8896,7.0135,6,0,0.0574460374446171,0.00042764,0.2
8895,7.1982,6,0,0.0506016521278958,0.00042193,0.2
30088,7.0135,6,0.05,0.0497349817903701,9.6983e-06,0.2
8884,9.2292,6,0,0.440108793548765,0.00036115,0.2
30112,9.2292,6,0.05,0.221947080339391,1.249e-05,0.2
30950,9.1368,6,0,0.203341404614311,0.00036384,0.2
9320,9.2292,5.9091,0,0.134602721497532,0.00036124,0.2
8874,11.076,6,0,0.489967713911476,0.00030874,0.2
30132,11.076,6,0.05,0.212024251922976,1.3124e-05,0.2
30939,11.168,6,0,0.172929781380516,0.00030619,0.2
9360,11.076,5.9091,0,0.125078252785032,0.000309,0.2
30917,15.23,6,0,0.468047984153996,0.00019905,0.2
8852,15.137,6,0,0.222879992454296,0.00020137,0.2
30176,15.137,6,0.05,0.174579424801462,1.2577e-05,0.2
30175,15.23,6,0.1,0.134492598590246,0.00019905,0.2
30907,17.076,6,0,0.534570244723964,0.00015364,0.2
8841,17.168,6,0,0.188671851079059,0.00015142,0.2
30198,17.168,6,0.05,0.152003667880284,1.1828e-05,0.2
30195,17.076,6,0.1,0.124754236316693,0.00015364,0.2
8819,21.23,6,0,0.432568527377827,5.8252e-05,0.2
30242,21.23,6,0.05,0.222554671267434,8.6975e-06,0.2
30885,21.138,6,0,0.209307351957029,6.0282e-05,0.2
9580,21.23,5.9091,0,0.135569449397711,5.9069e-05,0.2
8907,5.063,6,0,0.377957343298525,0.0004885,0.3
30972,5.1549,6,0,0.254725349764033,0.00048567,0.3
30066,5.063,6,0.05,0.224825282004585,4.1026e-06,0.3
11614,5.063,5.9091,0,0.142492024932858,0.0004878,0.3
8896,7.0854,6,0,0.614343844093651,0.00042531,0.3
30088,7.0854,6,0.05,0.172197429362093,1.0011e-05,0.3
