Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	0.88889	5.1429	0.	3.8771e-003
2	1.7778	5.1429	0.	1.6013e-002
3	2.6667	5.1429	0.	3.6952e-002
4	3.5556	5.1429	0.	6.649e-002
5	4.4444	5.1429	0.	0.10432
6	5.3333	5.1429	0.	0.15004
7	6.2222	5.1429	0.	0.20324
8	7.1111	5.1429	0.	0.2635
9	8.	5.1429	0.	0.33041
10	8.8889	5.1429	0.	0.40355
11	9.7778	5.1429	0.	0.48253
12	10.667	5.1429	0.	0.56693
13	11.556	5.1429	0.	0.65638
14	12.444	5.1429	0.	0.75048
15	13.333	5.1429	0.	0.84885
16	14.222	5.1429	0.	0.95112
17	15.111	5.1429	0.	1.0569
18	16.	5.1429	0.	1.1659
19	16.889	5.1429	0.	1.2778
20	17.778	5.1429	0.	1.3921
21	18.667	5.1429	0.	1.5085
22	19.556	5.1429	0.	1.6268
23	20.444	5.1429	0.	1.7466
24	21.333	5.1429	0.	1.8676
25	22.222	5.1429	0.	1.9895
26	23.111	5.1429	0.	2.1119
27	0.88889	4.2857	0.	4.3725e-003
28	1.7778	4.2857	0.	1.759e-002
29	2.6667	4.2857	0.	3.9479e-002
30	3.5556	4.2857	0.	6.9657e-002
31	4.4444	4.2857	0.	0.10786
32	5.3333	4.2857	0.	0.15375
33	6.2222	4.2857	0.	0.20699
34	7.1111	4.2857	0.	0.26719
35	8.	4.2857	0.	0.33398
36	8.8889	4.2857	0.	0.40697
37	9.7778	4.2857	0.	0.48576
38	10.667	4.2857	0.	0.56997
39	11.556	4.2857	0.	0.65921
40	12.444	4.2857	0.	0.75309
41	13.333	4.2857	0.	0.85125
42	14.222	4.2857	0.	0.95332
43	15.111	4.2857	0.	1.0589
44	16.	4.2857	0.	1.1677
45	16.889	4.2857	0.	1.2793
46	17.778	4.2857	0.	1.3934
47	18.667	4.2857	0.	1.5097
48	19.556	4.2857	0.	1.6278
49	20.444	4.2857	0.	1.7475
50	21.333	4.2857	0.	1.8683
51	22.222	4.2857	0.	1.9901
52	23.111	4.2857	0.	2.1125
53	0.88889	3.4286	0.	4.5548e-003
54	1.7778	3.4286	0.	1.8226e-002
55	2.6667	3.4286	0.	4.0588e-002
56	3.5556	3.4286	0.	7.1122e-002
57	4.4444	3.4286	0.	0.10954
58	5.3333	3.4286	0.	0.15555
59	6.2222	3.4286	0.	0.20883
60	7.1111	3.4286	0.	0.26902
61	8.	3.4286	0.	0.33576
62	8.8889	3.4286	0.	0.40867
63	9.7778	3.4286	0.	0.48737
64	10.667	3.4286	0.	0.57149
65	11.556	3.4286	0.	0.66062
66	12.444	3.4286	0.	0.7544
67	13.333	3.4286	0.	0.85246
68	14.222	3.4286	0.	0.95441
69	15.111	3.4286	0.	1.0599
70	16.	3.4286	0.	1.1686
71	16.889	3.4286	0.	1.2801
72	17.778	3.4286	0.	1.3941
73	18.667	3.4286	0.	1.5103
74	19.556	3.4286	0.	1.6284
75	20.444	3.4286	0.	1.7479
76	21.333	3.4286	0.	1.8687
77	22.222	3.4286	0.	1.9904
78	23.111	3.4286	0.	2.1128
79	0.88889	2.5714	0.	4.5548e-003
80	1.7778	2.5714	0.	1.8226e-002
81	2.6667	2.5714	0.	4.0588e-002
82	3.5556	2.5714	0.	7.1122e-002
83	4.4444	2.5714	0.	0.10954
84	5.3333	2.5714	0.	0.15555
85	6.2222	2.5714	0.	0.20883
86	7.1111	2.5714	0.	0.26902
87	8.	2.5714	0.	0.33576
88	8.8889	2.5714	0.	0.40867
89	9.7778	2.5714	0.	0.48737
90	10.667	2.5714	0.	0.57149
91	11.556	2.5714	0.	0.66062
92	12.444	2.5714	0.	0.7544
93	13.333	2.5714	0.	0.85246
94	14.222	2.5714	0.	0.95441
95	15.111	2.5714	0.	1.0599
96	16.	2.5714	0.	1.1686
97	16.889	2.5714	0.	1.2801
98	17.778	2.5714	0.	1.3941
99	18.667	2.5714	0.	1.5103
100	19.556	2.5714	0.	1.6284
101	20.444	2.5714	0.	1.7479
102	21.333	2.5714	0.	1.8687
103	22.222	2.5714	0.	1.9904
104	23.111	2.5714	0.	2.1128
105	0.88889	1.7143	0.	4.3725e-003
106	1.7778	1.7143	0.	1.759e-002
107	2.6667	1.7143	0.	3.9479e-002
108	3.5556	1.7143	0.	6.9657e-002
109	4.4444	1.7143	0.	0.10786
110	5.3333	1.7143	0.	0.15375
111	6.2222	1.7143	0.	0.20699
112	7.1111	1.7143	0.	0.26719
113	8.	1.7143	0.	0.33398
114	8.8889	1.7143	0.	0.40697
115	9.7778	1.7143	0.	0.48576
116	10.667	1.7143	0.	0.56997
117	11.556	1.7143	0.	0.65921
118	12.444	1.7143	0.	0.75309
119	13.333	1.7143	0.	0.85125
120	14.222	1.7143	0.	0.95332
121	15.111	1.7143	0.	1.0589
122	16.	1.7143	0.	1.1677
123	16.889	1.7143	0.	1.2793
124	17.778	1.7143	0.	1.3934
125	18.667	1.7143	0.	1.5097
126	19.556	1.7143	0.	1.6278
127	20.444	1.7143	0.	1.7475
128	21.333	1.7143	0.	1.8683
129	22.222	1.7143	0.	1.9901
130	23.111	1.7143	0.	2.1125
131	0.88889	0.85714	0.	3.8771e-003
132	1.7778	0.85714	0.	1.6013e-002
133	2.6667	0.85714	0.	3.6952e-002
134	3.5556	0.85714	0.	6.649e-002
135	4.4444	0.85714	0.	0.10432
136	5.3333	0.85714	0.	0.15004
137	6.2222	0.85714	0.	0.20324
138	7.1111	0.85714	0.	0.2635
139	8.	0.85714	0.	0.33041
140	8.8889	0.85714	0.	0.40355
141	9.7778	0.85714	0.	0.48253
142	10.667	0.85714	0.	0.56693
143	11.556	0.85714	0.	0.65638
144	12.444	0.85714	0.	0.75048
145	13.333	0.85714	0.	0.84885
146	14.222	0.85714	0.	0.95112
147	15.111	0.85714	0.	1.0569
148	16.	0.85714	0.	1.1659
149	16.889	0.85714	0.	1.2778
150	17.778	0.85714	0.	1.3921
