Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,17.606,2.9248,0,0.00022256,2224.1,0.00013206,864.94,4.7495e-05,229.53,-0.00019702,-1607.7,1.3626
2,18.461,3.9285,0,0.00023678,2366.2,9.8222e-05,197.94,6.1264e-05,-79.74,-0.00023354,-2294.8,1.4746
3,19.423,3.1664,0,0.00012772,1276.3,4.9529e-05,-37.696,2.5388e-05,-219.08,-0.00013112,-1395,1.6059
4,16.977,1.3198,0,0.00017354,1734.2,8.7546e-05,408.35,4.1179e-05,59.963,-0.00016293,-1473.6,1.2793
5,17.292,5.3859,0,0.00012106,1209.8,5.37e-05,183.12,3.2821e-05,26.245,-0.00011674,-1097.5,1.3169
6,18.95,4.764,0,8.5933e-05,858.74,3.6852e-05,92.102,2.1962e-05,-19.777,-8.4154e-05,-817.1,1.54
7,19.107,5.3661,0,6.2747e-05,627.03,2.5434e-05,51.521,1.724e-05,-10.043,-6.1814e-05,-604.02,1.5608
8,17.09,0.52164,0,0.00011954,1194.6,5.7996e-05,226.15,2.7345e-05,-4.1528,-0.00011408,-1066.8,1.2911
9,19.771,1.7034,0,8.1249e-05,811.93,3.0704e-05,10.595,2.0998e-05,-62.329,-8.1883e-05,-835.34,1.6536
10,19.957,5.1561,0,7.286e-05,728.1,2.7987e-05,42.165,2.1125e-05,-9.3896,-7.2165e-05,-710.34,1.6786
11,22.749,4.6401,0,2.8103e-05,280.84,1.1213e-05,21.511,7.8958e-06,-3.4128,-2.7712e-05,-270.96,2.0708
12,21.649,4.6655,0,4.561e-05,455.79,1.5395e-05,-3.1257,1.418e-05,-12.252,-4.5865e-05,-463.41,1.9155
