Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	18.	2.3333	0.	3803.5
2	18.	2.6667	0.	3178.6
3	18.	3.	0.	3036.1
4	18.	3.3333	0.	3178.6
5	18.	3.6667	0.	3803.5
6	18.167	2.3333	0.	3852.1
7	18.167	2.6667	0.	3108.1
8	18.167	3.	0.	2973.3
9	18.167	3.3333	0.	3108.1
10	18.167	3.6667	0.	3852.1
11	0.3	0.29976	0.	4763.7
12	0.3	0.59952	0.	5371.5
13	0.3	0.89929	0.	5942.
14	0.3	1.199	0.	6347.2
15	0.3	1.4988	0.	6626.2
16	0.3	1.7986	0.	6818.5
17	0.3	2.0983	0.	6948.2
18	0.3	2.3989	0.	7032.
19	0.3	2.6994	0.	7079.4
20	0.3	3.	0.	7094.7
21	0.3	3.3006	0.	7079.4
22	0.3	3.6011	0.	7032.
23	0.3	3.9017	0.	6948.2
24	0.3	4.2014	0.	6818.5
25	0.3	4.5012	0.	6626.2
26	0.3	4.801	0.	6347.2
27	0.3	5.1007	0.	5942.
28	0.3	5.4005	0.	5371.5
29	0.3	5.7002	0.	4763.7
30	0.6	0.29952	0.	5451.4
31	0.6	0.59905	0.	5204.1
32	0.6	0.89857	0.	5273.8
33	0.6	1.1981	0.	5446.9
34	0.6	1.4976	0.	5616.7
35	0.6	1.7971	0.	5755.5
36	0.6	2.0967	0.	5859.6
37	0.6	2.3978	0.	5931.4
38	0.6	2.6989	0.	5972.8
39	0.6	3.	0.	5986.4
40	0.6	3.3011	0.	5972.8
41	0.6	3.6022	0.	5931.4
42	0.6	3.9033	0.	5859.6
43	0.6	4.2029	0.	5755.5
44	0.6	4.5024	0.	5616.7
45	0.6	4.8019	0.	5446.9
46	0.6	5.1014	0.	5273.8
47	0.6	5.401	0.	5204.1
48	0.6	5.7005	0.	5451.4
49	0.9	0.29929	0.	5837.6
50	0.9	0.59857	0.	5609.7
51	0.9	0.89786	0.	5530.5
52	0.9	1.1971	0.	5559.1
53	0.9	1.4964	0.	5635.7
54	0.9	1.7957	0.	5720.6
55	0.9	2.095	0.	5794.4
56	0.9	2.3967	0.	5849.8
57	0.9	2.6983	0.	5883.5
58	0.9	3.	0.	5894.8
59	0.9	3.3017	0.	5883.5
60	0.9	3.6033	0.	5849.8
61	0.9	3.905	0.	5794.4
62	0.9	4.2043	0.	5720.6
63	0.9	4.5036	0.	5635.7
64	0.9	4.8029	0.	5559.1
65	0.9	5.1021	0.	5530.5
66	0.9	5.4014	0.	5609.7
67	0.9	5.7007	0.	5837.6
68	1.2	0.29905	0.	5946.2
69	1.2	0.5981	0.	5715.
70	1.2	0.89714	0.	5574.1
71	1.2	1.1962	0.	5514.5
72	1.2	1.4952	0.	5510.6
73	1.2	1.7943	0.	5535.5
74	1.2	2.0933	0.	5569.2
75	1.2	2.3956	0.	5599.8
