Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	18.365	3.7668	0.	536.76
2	18.229	2.757	0.	1370.
3	18.624	3.7833	0.	135.54
4	19.709	3.399	0.	451.67
5	3.7323	3.1338	0.	1072.8
6	18.517	3.2777	0.	1106.4
7	17.326	2.3889	0.	890.59
8	14.787	3.0395	0.	1007.5
9	11.232	2.8631	0.	90.838
10	7.4694	3.1296	0.	-245.72
11	21.452	2.7394	0.	-0.36334
12	18.007	3.3397	0.	1004.7
13	18.322	3.4793	0.	1076.2
14	18.567	2.6557	0.	816.68
15	16.614	1.9146	0.	-54.832
16	16.614	1.9146	0.1	2081.2
17	18.567	2.6557	0.1	1516.9
18	18.322	3.4793	0.1	2236.
19	18.007	3.3397	0.1	2521.
20	21.452	2.7394	0.1	471.32
21	7.4694	3.1296	0.1	4144.6
22	11.232	2.8631	0.1	2896.1
23	14.787	3.0395	0.1	918.16
24	17.326	2.3889	0.1	1782.4
25	18.517	3.2777	0.1	1633.5
26	3.7323	3.1338	0.1	4478.4
27	19.709	3.399	0.1	735.6
28	18.624	3.7833	0.1	1658.
29	18.229	2.757	0.1	1257.7
30	18.365	3.7668	0.1	2594.5
31	18.167	1.	0.1	1385.8
32	18.167	1.5	0.1	2150.6
33	18.167	2.	0.1	5168.1
34	18.	2.	0.1	3910.
35	18.	1.5	0.1	2435.7
36	18.	1.	0.1	180.75
37	18.167	5.	0.1	1330.6
38	18.167	4.5	0.1	1099.3
39	18.167	4.	0.1	6766.9
40	18.	4.	0.1	4814.8
41	18.	4.5	0.1	2612.8
42	18.	5.	0.1	1724.4
43	18.167	6.	0.1	745.3
44	20.111	6.	0.1	526.01
45	22.056	6.	0.1	288.75
46	24.	6.	0.1	257.47
47	24.	3.	0.1	295.38
48	2.6226e-014	3.	0.1	7349.3
49	3.937e-014	6.	0.1	7108.8
50	4.32	6.	0.1	4460.8
51	8.64	6.	0.1	3858.2
52	12.96	6.	0.1	2452.5
53	15.84	6.	0.1	1458.5
54	18.	6.	0.1	1223.4
55	24.	0.	0.1	300.25
56	21.083	0.	0.1	419.05
57	18.167	0.	0.1	599.41
58	18.	0.	0.1	1173.6
59	15.	2.3253e-030	0.1	1721.8
60	12.	1.8602e-030	0.1	2603.2
61	9.	1.3952e-030	0.1	3924.1
62	6.	9.3011e-031	0.1	4712.7
63	3.	4.6505e-031	0.1	4573.6
64	0.	0.	0.1	6355.7
65	3.	4.6505e-031	0.	1001.
66	6.	9.3011e-031	0.	-80.381
67	9.	1.3952e-030	0.	62.717
68	12.	1.8602e-030	0.	151.94
69	15.	2.3253e-030	0.	200.58
70	18.	0.	0.	3.6413
71	0.	0.	0.	-3042.9
72	21.083	0.	0.	73.501
73	18.167	0.	0.	-32.879
74	24.	0.	0.	13.902
75	15.84	6.	0.	365.01
76	12.96	6.	0.	87.449
77	8.64	6.	0.	-280.02
78	4.32	6.	0.	1075.5
79	18.	6.	0.	195.5
80	3.937e-014	6.	0.	-3393.3
81	2.6226e-014	3.	0.	-3601.6
82	24.	3.	0.	-0.17087
83	24.	6.	0.	30.93
84	22.056	6.	0.	58.467
85	20.111	6.	0.	189.7
86	18.167	6.	0.	-75.769
87	18.	4.5	0.	-560.61
88	18.	5.	0.	-256.12
89	18.	4.	0.	-619.22
90	18.167	5.	0.	5.4011
91	18.167	4.5	0.	460.8
92	18.167	4.	0.	7.8888
93	18.	1.5	0.	308.14
94	18.	1.	0.	993.93
95	18.	2.	0.	90.286
96	18.167	1.	0.	-53.719
97	18.167	1.5	0.	-188.91
98	18.167	2.	0.	-85.173
99	18.494	3.775	0.	315.29
100	18.343	3.6231	0.	692.28
101	18.365	3.7668	5.e-002	337.24
102	18.266	3.8834	0.	-19.096
103	18.373	3.0173	0.	1235.6
104	17.778	2.5729	0.	1114.5
105	18.398	2.7063	0.	1087.7
106	18.229	2.757	5.e-002	55.906
107	18.115	2.3785	0.	701.04
108	19.167	3.5911	0.	271.69
109	18.57	3.5305	0.	587.08
110	18.624	3.7833	5.e-002	82.029
111	18.395	4.1416	0.	265.85
112	19.113	3.3383	0.	778.75
113	20.581	3.0692	0.	220.79
114	19.138	3.0274	0.	622.49
115	19.709	3.399	5.e-002	19.901
116	19.91	4.6995	0.	308.92
117	18.938	4.1995	0.	109.95
118	18.938	2.4495	0.	-40.67
119	5.6008	3.1317	0.	412.75
120	3.7323	3.1338	5.e-002	65.255
121	3.3662	1.5669	0.	1036.8
122	4.0262	4.5669	0.	1074.2
123	1.8662	3.0669	0.	-1268.9
124	17.921	2.8333	0.	985.22
125	18.419	3.3785	0.	972.45
126	18.517	3.2777	5.e-002	172.48
127	17.666	2.8643	0.	876.55
128	16.97	2.1518	0.	415.5
129	17.326	2.3889	5.e-002	137.04
130	17.663	3.1944	0.	-207.75
131	17.663	1.9444	0.	447.94
132	17.663	1.6944	0.	796.54
133	17.663	2.1944	0.	480.77
134	13.01	2.9513	0.	430.67
135	15.701	2.4771	0.	463.34
136	14.787	3.0395	5.e-002	11.037
137	14.894	1.5198	0.	589.86
138	15.314	4.5198	0.	670.88
139	16.394	3.7698	0.	-23.72
140	16.394	4.0198	0.	341.39
141	16.394	3.5198	0.	-71.98
142	9.3509	2.9964	0.	-78.452
143	11.232	2.8631	5.e-002	12.575
144	10.116	1.4316	0.	76.247
145	11.616	1.4316	0.	22.755
146	12.096	4.4316	0.	87.196
147	7.4694	3.1296	5.e-002	25.722
148	6.7347	1.5648	0.	-196.49
149	8.0547	4.5648	0.	-267.56
150	21.452	2.7394	5.e-002	10.527
151	21.268	1.3697	0.	34.382
152	22.726	2.8697	0.	-1.8179
153	21.754	4.3697	0.	26.883
154	19.81	1.8697	0.	-37.134
155	18.164	3.4095	0.	925.49
156	18.007	3.3397	5.e-002	370.45
157	18.087	3.6699	0.	-41.287
158	18.322	3.4793	5.e-002	521.37
159	18.567	2.6557	5.e-002	121.94
160	18.367	2.3278	0.	-27.617
161	16.614	1.9146	5.e-002	85.383
162	17.307	0.95731	0.	-46.095
163	15.701	2.4771	0.1	1499.
164	16.97	2.1518	0.1	1931.5
165	17.307	0.95731	0.1	1620.8
166	19.138	3.0274	0.1	1114.5
167	18.398	2.7063	0.1	1380.3
168	18.367	2.3278	0.1	3161.9
169	18.164	3.4095	0.1	2328.1
170	18.419	3.3785	0.1	1928.4
171	18.343	3.6231	0.1	2384.7
172	17.666	2.8643	0.1	2089.8
173	18.087	3.6699	0.1	4515.3
174	20.581	3.0692	0.1	599.17
175	19.81	1.8697	0.1	904.57
176	21.754	4.3697	0.1	377.95
177	22.726	2.8697	0.1	382.91
178	21.268	1.3697	0.1	443.81
179	9.3509	2.9964	0.1	3517.1
180	5.6008	3.1317	0.1	4311.1
181	8.0547	4.5648	0.1	4000.2
182	6.7347	1.5648	0.1	4425.2
183	13.01	2.9513	0.1	1896.1
184	12.096	4.4316	0.1	2673.1
185	11.616	1.4316	0.1	2749.
186	10.116	1.4316	0.1	3409.2
187	16.394	3.5198	0.1	2642.1
188	16.394	3.7698	0.1	1638.4
189	16.394	4.0198	0.1	1287.
190	15.314	4.5198	0.1	1177.5
191	14.894	1.5198	0.1	1307.5
192	17.921	2.8333	0.1	1699.5
193	17.778	2.5729	0.1	1515.2
194	17.663	2.1944	0.1	2837.
195	17.663	1.9444	0.1	1965.3
196	17.663	1.6944	0.1	827.01
197	17.663	3.1944	0.1	3023.7
198	19.113	3.3383	0.1	1181.6
199	18.57	3.5305	0.1	1620.6
200	18.373	3.0173	0.1	1439.
201	1.8662	3.0669	0.1	5907.7
202	4.0262	4.5669	0.1	4462.4
203	3.3662	1.5669	0.1	4510.9
204	19.167	3.5911	0.1	1186.9
205	18.938	2.4495	0.1	1313.
206	18.938	4.1995	0.1	995.58
207	19.91	4.6995	0.1	619.74
208	18.494	3.775	0.1	2120.7
209	18.395	4.1416	0.1	1226.6
210	18.115	2.3785	0.1	2583.2
211	18.266	3.8834	0.1	4651.9
212	18.167	1.25	0.1	1765.4
213	18.167	0.5	0.1	990.07
214	18.167	1.	5.e-002	27.376
215	18.167	1.75	0.1	3655.8
216	18.167	1.5	5.e-002	90.127
217	18.083	2.	0.1	4231.5
218	18.167	2.	5.e-002	319.18
219	18.	1.75	0.1	2917.2
220	18.	2.	5.e-002	282.72
221	18.	1.25	0.1	1289.5
222	18.	1.5	5.e-002	255.22
223	18.	0.5	0.1	566.36
224	18.	1.	5.e-002	187.63
225	18.167	4.75	0.1	1154.7
226	18.167	5.5	0.1	985.49
227	18.167	5.	5.e-002	107.8
228	18.167	4.25	0.1	3684.9
229	18.167	4.5	5.e-002	194.56
230	18.083	4.	0.1	5312.5
231	18.167	4.	5.e-002	470.8
232	18.	4.25	0.1	3704.6
233	18.	4.	5.e-002	491.12
234	18.	4.75	0.1	2142.6
235	18.	4.5	5.e-002	76.724
236	18.	5.5	0.1	1394.2
237	18.	5.	5.e-002	52.52
238	19.139	6.	0.1	608.7
239	18.167	6.	5.e-002	42.657
240	21.083	6.	0.1	400.67
241	20.111	6.	5.e-002	25.456
242	23.028	6.	0.1	272.78
243	22.056	6.	5.e-002	7.8408
244	24.	4.5	0.1	276.38
245	24.	6.	5.e-002	15.207
246	24.	1.5	0.1	294.64
247	24.	3.	5.e-002	5.2319
248	3.9339e-014	4.5	0.1	7184.3
249	1.3113e-014	1.5	0.1	6818.4
250	2.6581e-014	3.	5.e-002	277.38
251	2.16	6.	0.1	5756.7
252	5.2451e-014	6.	5.e-002	529.1
253	6.48	6.	0.1	4158.5
254	4.32	6.	5.e-002	72.693
255	10.8	6.	0.1	3155.2
256	8.64	6.	5.e-002	88.671
257	14.4	6.	0.1	1953.7
258	12.96	6.	5.e-002	10.169
259	16.92	6.	0.1	1295.2
260	15.84	6.	5.e-002	73.353
261	18.	6.	5.e-002	45.697
262	22.542	0.	0.1	359.57
263	24.	0.	5.e-002	9.0171
264	19.625	0.	0.1	506.05
265	21.083	0.	5.e-002	5.7974
266	18.167	0.	5.e-002	24.919
267	16.5	2.5578e-030	0.1	1428.5
268	18.	2.7903e-030	5.e-002	145.23
269	13.5	2.0927e-030	0.1	2161.4
270	15.	0.	5.e-002	72.39
271	10.5	1.6277e-030	0.1	3263.5
272	12.	0.	5.e-002	24.671
273	7.5	1.1626e-030	0.1	4294.3
274	9.	0.	5.e-002	28.298
275	4.5	6.9758e-031	0.1	4635.3
276	6.	0.	5.e-002	61.049
277	1.5	2.3253e-031	0.1	5428.5
278	3.	0.	5.e-002	19.844
279	0.	0.	5.e-002	403.93
280	4.5	6.9758e-031	0.	426.58
281	1.5	2.3253e-031	0.	-1054.5
282	7.5	1.1626e-030	0.	-42.428
283	10.5	1.6277e-030	0.	9.9231
284	13.5	2.0927e-030	0.	174.87
285	16.5	2.5578e-030	0.	85.75
286	18.	0.5	0.	357.85
287	1.3113e-014	1.5	0.	-3352.2
288	19.625	0.	0.	-6.715
289	22.542	0.	0.	43.338
290	18.167	0.5	0.	-48.012
291	24.	1.5	0.	3.127
292	14.4	6.	0.	217.6
293	16.92	6.	0.	233.6
294	10.8	6.	0.	-102.61
295	6.48	6.	0.	383.63
296	2.16	6.	0.	-1186.6
297	18.	5.5	0.	-110.08
298	3.9339e-014	4.5	0.	-3542.
299	24.	4.5	0.	14.949
300	23.028	6.	0.	43.148
301	21.083	6.	0.	117.28
302	19.139	6.	0.	-17.573
303	18.167	5.5	0.	-37.586
304	18.	4.75	0.	-511.32
305	18.	4.25	0.	-708.76
306	18.083	4.	0.	-449.63
307	18.167	4.75	0.	221.42
308	18.167	4.25	0.	225.54
309	18.	1.25	0.	599.71
310	18.	1.75	0.	-36.685
311	18.083	2.	0.	-331.41
312	18.167	1.25	0.	-123.89
313	18.167	1.75	0.	-142.42
