Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	17.964	2.7809	0.	7.501e-005
2	18.875	3.2778	0.	-1.9105e-005
3	17.337	2.4878	0.	2.1181e-005
4	16.38	2.3243	0.	2.9303e-005
5	18.456	3.269	0.	5.4059e-005
6	19.717	3.476	0.	2.0183e-005
7	18.177	2.6738	0.	5.8039e-005
8	17.679	2.9938	0.	4.0376e-005
9	21.423	2.7161	0.	1.2885e-005
10	4.8724	3.0917	0.	5.7577e-005
11	9.7011	3.0163	0.	7.8006e-005
12	15.084	3.6693	0.	7.0452e-005
13	18.186	3.2511	0.	5.3916e-005
14	18.186	3.2511	0.1	-5.3916e-005
15	15.084	3.6693	0.1	-7.0452e-005
16	9.7011	3.0163	0.1	-7.8006e-005
17	4.8724	3.0917	0.1	-5.7577e-005
18	21.423	2.7161	0.1	-1.2885e-005
19	17.679	2.9938	0.1	-4.0376e-005
20	18.177	2.6738	0.1	-5.8039e-005
21	19.717	3.476	0.1	-2.0183e-005
22	18.456	3.269	0.1	-5.4059e-005
23	16.38	2.3243	0.1	-2.9303e-005
24	17.337	2.4878	0.1	-2.1181e-005
25	18.875	3.2778	0.1	1.9105e-005
26	17.964	2.7809	0.1	-7.501e-005
27	18.167	1.	0.1	-1.7671e-005
28	18.167	1.5	0.1	-1.8385e-005
29	18.167	2.	0.1	-7.8063e-005
30	18.	2.	0.1	-1.0317e-004
31	18.	1.5	0.1	-7.9832e-005
32	18.	1.	0.1	-4.4381e-005
33	18.167	5.	0.1	-2.2423e-005
34	18.167	4.5	0.1	-2.0598e-005
35	18.167	4.	0.1	-9.3914e-005
36	18.	4.	0.1	-1.0539e-004
37	18.	4.5	0.1	-5.4428e-005
38	18.	5.	0.1	-2.6772e-005
39	18.167	6.	0.1	2.7213e-006
40	20.111	6.	0.1	-1.7469e-005
41	22.056	6.	0.1	-9.331e-006
42	24.	6.	0.1	-3.1956e-006
43	24.	3.	0.1	-5.2e-006
44	2.6226e-014	3.	0.1	3.2203e-006
45	3.937e-014	6.	0.1	6.0088e-006
46	5.625	6.	0.1	-5.372e-005
47	11.25	6.	0.1	-6.8208e-005
48	15.188	6.	0.1	-6.3502e-005
49	18.	6.	0.1	-1.2967e-005
50	24.	0.	0.1	-8.5383e-006
51	21.083	0.	0.1	-8.7237e-006
52	18.167	0.	0.1	-1.816e-005
53	18.	0.	0.1	-2.7531e-005
54	15.75	2.4415e-030	0.1	-4.6436e-005
55	13.5	2.0927e-030	0.1	-7.6452e-005
56	9.	1.3952e-030	0.1	-8.3943e-005
57	4.5	6.9758e-031	0.1	-6.7055e-005
58	0.	0.	0.1	1.7898e-006
59	4.5	6.9758e-031	0.	6.7055e-005
60	9.	1.3952e-030	0.	8.3943e-005
61	13.5	2.0927e-030	0.	7.6452e-005
62	15.75	2.4415e-030	0.	4.6436e-005
63	18.	0.	0.	2.7531e-005
64	0.	0.	0.	-1.7898e-006
65	21.083	0.	0.	8.7237e-006
66	18.167	0.	0.	1.816e-005
67	24.	0.	0.	8.5383e-006
68	15.188	6.	0.	6.3502e-005
69	11.25	6.	0.	6.8208e-005
70	5.625	6.	0.	5.372e-005
71	18.	6.	0.	1.2967e-005
72	3.937e-014	6.	0.	-6.0088e-006
73	2.6226e-014	3.	0.	-3.2203e-006
74	24.	3.	0.	5.2e-006
75	24.	6.	0.	3.1956e-006
76	22.056	6.	0.	9.331e-006
77	20.111	6.	0.	1.7469e-005
78	18.167	6.	0.	-2.7213e-006
79	18.	4.5	0.	5.4428e-005
80	18.	5.	0.	2.6772e-005
81	18.	4.	0.	1.0539e-004
82	18.167	5.	0.	2.2423e-005
83	18.167	4.5	0.	2.0598e-005
84	18.167	4.	0.	9.3914e-005
85	18.	1.5	0.	7.9832e-005
86	18.	1.	0.	4.4381e-005
87	18.	2.	0.	1.0317e-004
88	18.167	1.	0.	1.7671e-005
89	18.167	1.5	0.	1.8385e-005
90	18.167	2.	0.	7.8063e-005
91	18.07	2.7273	0.	6.6979e-005
92	17.821	2.8874	0.	5.7617e-005
93	18.075	3.016	0.	6.4591e-005
94	17.964	2.7809	5.e-002	-8.6981e-013
95	17.982	2.3904	0.	8.9199e-005
96	18.665	3.2734	0.	1.755e-005
97	19.296	3.3769	0.	5.7042e-007
98	18.875	3.2778	5.e-002	-7.3633e-013
99	18.521	3.6389	0.	7.7741e-005
100	18.521	2.6389	0.	7.0359e-005
101	16.859	2.406	0.	2.5277e-005
102	17.508	2.7408	0.	3.0774e-005
103	17.337	2.4878	5.e-002	1.7326e-013
104	17.669	2.2439	0.	6.2204e-005
105	15.732	2.9968	0.	5.0329e-005
106	16.38	2.3243	5.e-002	-1.282e-012
107	16.065	1.1622	0.	3.8418e-005
108	17.19	3.4122	0.	4.215e-005
109	17.19	1.9122	0.	5.567e-005
110	17.19	1.6622	0.	3.7411e-005
111	18.316	2.9714	0.	5.6484e-005
112	18.321	3.26	0.	5.4115e-005
113	18.456	3.269	5.e-002	-4.9386e-013
114	18.311	3.6345	0.	1.0348e-004
115	20.57	3.096	0.	1.726e-005
116	19.717	3.476	5.e-002	6.0335e-013
117	19.914	4.738	0.	1.8909e-005
118	18.942	4.238	0.	2.9846e-005
119	18.942	3.988	0.	2.5731e-005
120	18.942	2.488	0.	2.0347e-005
121	18.177	2.6738	5.e-002	-8.7995e-013
122	18.172	2.3369	0.	9.4914e-005
123	17.679	2.9938	5.e-002	4.1036e-013
124	17.839	3.7469	0.	4.7741e-005
125	17.839	3.4969	0.	1.0921e-004
126	21.423	2.7161	5.e-002	5.7365e-013
127	21.253	1.358	0.	1.1629e-005
128	22.711	2.858	0.	9.9008e-006
129	21.739	4.358	0.	1.1729e-005
130	19.795	1.858	0.	1.1778e-005
131	7.2868	3.054	0.	6.7014e-005
132	4.8724	3.0917	5.e-002	-5.963e-014
133	4.6862	1.5459	0.	6.1743e-005
134	5.2487	4.5459	0.	5.4961e-005
135	2.4362	3.0459	0.	2.6875e-005
136	12.393	3.3428	0.	8.1452e-005
137	9.7011	3.0163	5.e-002	-9.3756e-014
138	9.3506	1.5082	0.	8.1577e-005
139	10.476	4.5082	0.	7.457e-005
140	15.084	3.6693	5.e-002	-6.1312e-013
141	14.292	1.8346	0.	7.3791e-005
142	15.136	4.8346	0.	7.015e-005
143	16.542	4.3346	0.	4.9875e-005
144	18.186	3.2511	5.e-002	2.3407e-012
145	18.093	3.6256	0.	1.1495e-004
146	18.321	3.26	0.1	-5.4115e-005
147	18.075	3.016	0.1	-6.4591e-005
148	18.093	3.6256	0.1	-1.1495e-004
149	12.393	3.3428	0.1	-8.1452e-005
150	15.732	2.9968	0.1	-5.0329e-005
151	16.542	4.3346	0.1	-4.9875e-005
152	15.136	4.8346	0.1	-7.015e-005
153	14.292	1.8346	0.1	-7.3791e-005
154	7.2868	3.054	0.1	-6.7014e-005
155	10.476	4.5082	0.1	-7.457e-005
156	9.3506	1.5082	0.1	-8.1577e-005
157	2.4362	3.0459	0.1	-2.6875e-005
158	5.2487	4.5459	0.1	-5.4961e-005
159	4.6862	1.5459	0.1	-6.1743e-005
160	20.57	3.096	0.1	-1.726e-005
161	19.795	1.858	0.1	-1.1778e-005
162	21.739	4.358	0.1	-1.1729e-005
163	22.711	2.858	0.1	-9.9008e-006
164	21.253	1.358	0.1	-1.1629e-005
165	17.508	2.7408	0.1	-3.0774e-005
166	17.821	2.8874	0.1	-5.7617e-005
167	17.839	3.4969	0.1	-1.0921e-004
