Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	18.67	3.2542	0.	-1.732e-004
2	16.639	2.0693	0.	-1.7813e-004
3	21.462	2.6563	0.	-4.4751e-005
4	18.129	3.0207	0.	-2.7204e-004
5	14.945	3.8347	0.	-2.0289e-004
6	10.35	2.9954	0.	-3.0739e-004
7	5.5874	2.9912	0.	-3.9552e-004
8	19.59	3.3674	0.	-8.9278e-005
9	17.777	2.9284	0.	-2.5493e-004
10	17.38	2.7033	0.	-2.0699e-004
11	17.957	2.7753	0.	-2.805e-004
12	19.775	4.6331	0.	-6.0899e-005
13	19.775	4.6331	0.1	-2.8389e-005
14	17.957	2.7753	0.1	-1.4639e-004
15	17.38	2.7033	0.1	-1.5807e-004
16	17.777	2.9284	0.1	-1.925e-004
17	19.59	3.3674	0.1	-5.6771e-005
18	5.5874	2.9912	0.1	-2.474e-004
19	10.35	2.9954	0.1	-9.1694e-005
20	14.945	3.8347	0.1	-8.7017e-005
21	18.129	3.0207	0.1	-2.0614e-004
22	21.462	2.6563	0.1	-1.7593e-005
23	16.639	2.0693	0.1	-1.7859e-004
24	18.67	3.2542	0.1	-1.5791e-004
25	18.167	1.	0.1	-4.9556e-005
26	18.167	1.5	0.1	-8.4182e-005
27	18.167	2.	0.1	-1.8647e-004
28	18.	2.	0.1	-2.3098e-004
29	18.	1.5	0.1	-1.648e-004
30	18.	1.	0.1	-6.4531e-005
31	18.167	5.	0.1	-3.0301e-005
32	18.167	4.5	0.1	-9.1105e-005
33	18.167	4.	0.1	-2.35e-004
34	18.	4.	0.1	-1.8495e-004
35	18.	4.5	0.1	-1.0472e-004
36	18.	5.	0.1	-8.3089e-005
37	18.167	6.	0.1	-4.2945e-005
38	21.083	6.	0.1	-1.4582e-005
39	24.	6.	0.1	-1.2573e-005
40	24.	3.	0.1	-1.1409e-005
41	2.6226e-014	3.	0.1	-7.7944e-006
42	3.937e-014	6.	0.1	-2.4154e-005
43	6.	6.	0.1	-2.3296e-004
44	12.	6.	0.1	-1.0306e-004
45	15.	6.	0.1	-9.6022e-005
46	18.	6.	0.1	-6.7932e-005
47	24.	0.	0.1	-1.2613e-005
48	21.083	0.	0.1	-1.997e-005
49	18.167	0.	0.1	-1.9899e-005
50	18.	0.	0.1	-7.8641e-005
51	15.	2.3253e-030	0.1	-6.7919e-005
52	12.	1.8602e-030	0.1	-9.701e-005
53	6.	9.3011e-031	0.1	-2.4355e-004
54	0.	0.	0.1	-1.838e-005
55	6.	9.3011e-031	0.	-3.9634e-004
56	12.	1.8602e-030	0.	-2.7863e-004
57	15.	2.3253e-030	0.	-1.6103e-004
58	18.	0.	0.	-1.7469e-004
59	0.	0.	0.	-4.5206e-004
60	21.083	0.	0.	-4.0816e-005
61	18.167	0.	0.	-5.8585e-005
62	24.	0.	0.	-2.9581e-005
63	15.	6.	0.	-2.1264e-004
64	12.	6.	0.	-2.7465e-004
65	6.	6.	0.	-3.9222e-004
66	18.	6.	0.	-1.4824e-004
67	3.937e-014	6.	0.	-4.5485e-004
68	2.6226e-014	3.	0.	-4.6412e-004
69	24.	3.	0.	-2.839e-005
70	24.	6.	0.	-3.5421e-005
71	21.083	6.	0.	-4.5013e-005
72	18.167	6.	0.	-6.5791e-005
73	18.	4.5	0.	-2.6139e-004
74	18.	5.	0.	-1.8065e-004
75	18.	4.	0.	-4.9587e-004
76	18.167	5.	0.	-9.4484e-005
77	18.167	4.5	0.	-2.2549e-004
78	18.167	4.	0.	-5.5775e-004
79	18.	1.5	0.	-2.741e-004
80	18.	1.	0.	-1.6859e-004
81	18.	2.	0.	-4.5878e-004
82	18.167	1.	0.	-1.2597e-004
83	18.167	1.5	0.	-2.2811e-004
84	18.167	2.	0.	-4.8471e-004
85	18.399	3.1374	0.	-2.2176e-004
86	19.13	3.3108	0.	-1.3111e-004
87	18.67	3.2542	5.e-002	-8.6295e-006
88	18.418	3.6271	0.	-3.5944e-004
89	18.418	2.6271	0.	-3.0854e-004
90	17.009	2.3863	0.	-1.9244e-004
91	16.639	2.0693	5.e-002	-1.3e-005
92	15.82	1.0347	0.	-1.6916e-004
93	17.32	3.5347	0.	-1.6999e-004
94	17.32	1.7847	0.	-2.1809e-004
95	17.32	1.5347	0.	-1.6971e-004
96	20.526	3.0118	0.	-6.6415e-005
97	21.462	2.6563	5.e-002	-1.3744e-006
98	21.272	1.3281	0.	-4.27e-005
99	22.731	2.8281	0.	-3.6544e-005
100	21.272	4.3281	0.	-4.4425e-005
101	19.814	1.8281	0.	-8.1785e-005
102	18.043	2.898	0.	-2.7622e-004
103	18.129	3.0207	5.e-002	-3.9367e-005
104	18.065	3.5103	0.	-3.8171e-004
105	18.148	2.5103	0.	-3.5803e-004
106	12.647	3.4151	0.	-2.5505e-004
107	14.945	3.8347	5.e-002	-1.4705e-005
108	14.972	1.9174	0.	-1.8036e-004
109	14.972	4.9174	0.	-2.0636e-004
110	16.472	4.4174	0.	-1.8689e-004
111	7.9685	2.9933	0.	-3.5131e-004
112	10.35	2.9954	5.e-002	-2.8282e-006
113	11.175	1.4977	0.	-2.9274e-004
114	11.175	4.4977	0.	-2.9062e-004
115	5.5874	2.9912	5.e-002	-1.918e-005
116	5.7937	1.4956	0.	-3.9581e-004
117	5.7937	4.4956	0.	-3.9361e-004
118	2.7937	2.9956	0.	-4.2849e-004
119	19.683	4.0003	0.	-7.498e-005
120	19.59	3.3674	5.e-002	-1.849e-006
121	18.879	3.9337	0.	-1.4986e-004
122	18.879	2.4337	0.	-1.4192e-004
123	17.578	2.8158	0.	-2.2903e-004
124	17.867	2.8519	0.	-2.6012e-004
125	17.777	2.9284	5.e-002	-6.6773e-005
126	17.889	3.4642	0.	-3.6439e-004
127	17.38	2.7033	5.e-002	-1.5502e-005
128	17.69	3.6016	0.	-2.2501e-004
129	17.69	2.3516	0.	-3.3219e-004
130	17.957	2.7753	5.e-002	-4.1868e-005
131	17.978	2.3877	0.	-3.6881e-004
132	19.775	4.6331	5.e-002	-3.2881e-006
133	20.429	5.3166	0.	-5.2904e-005
134	18.971	4.8166	0.	-7.5588e-005
135	19.683	4.0003	0.1	-4.2068e-005
136	18.971	4.8166	0.1	-2.7131e-005
137	20.429	5.3166	0.1	-1.9568e-005
138	17.867	2.8519	0.1	-1.6307e-004
139	18.043	2.898	0.1	-1.7467e-004
140	17.978	2.3877	0.1	-1.8608e-004
141	17.578	2.8158	0.1	-1.7142e-004
142	17.009	2.3863	0.1	-1.6714e-004
143	17.69	2.3516	0.1	-1.938e-004
144	17.69	3.6016	0.1	-1.2449e-004
145	17.889	3.4642	0.1	-1.4598e-004
146	20.526	3.0118	0.1	-3.6589e-005
147	19.13	3.3108	0.1	-1.0734e-004
148	18.879	2.4337	0.1	-4.8523e-005
149	18.879	3.9337	0.1	-5.2071e-005
150	7.9685	2.9933	0.1	-1.6905e-004
151	2.7937	2.9956	0.1	-1.2627e-004
152	5.7937	4.4956	0.1	-2.4008e-004
153	5.7937	1.4956	0.1	-2.4536e-004
154	12.647	3.4151	0.1	-8.6186e-005
155	11.175	4.4977	0.1	-9.6114e-005
156	11.175	1.4977	0.1	-9.2654e-005
157	16.472	4.4174	0.1	-7.5042e-005
158	14.972	4.9174	0.1	-8.0295e-005
159	14.972	1.9174	0.1	-7.5964e-005
160	18.399	3.1374	0.1	-1.8155e-004
161	18.148	2.5103	0.1	-1.4519e-004
162	18.065	3.5103	0.1	-1.6099e-004
163	19.814	1.8281	0.1	-3.056e-005
164	21.272	4.3281	0.1	-1.4302e-005
165	22.731	2.8281	0.1	-1.4408e-005
166	21.272	1.3281	0.1	-1.8659e-005
167	17.32	1.7847	0.1	-1.6504e-004
168	17.32	1.5347	0.1	-1.0271e-004
169	17.32	3.5347	0.1	-1.2067e-004
170	15.82	1.0347	0.1	-1.2243e-004
171	18.418	2.6271	0.1	-1.1797e-004
172	18.418	3.6271	0.1	-1.2682e-004
173	18.167	1.25	0.1	-6.668e-005
174	18.167	0.5	0.1	-3.4099e-005
175	18.167	1.	5.e-002	-3.6486e-006
176	18.167	1.75	0.1	-1.3409e-004
177	18.167	1.5	5.e-002	-1.0031e-005
178	18.083	2.	0.1	-1.6314e-004
179	18.167	2.	5.e-002	-4.1552e-005
180	18.	1.75	0.1	-1.8107e-004
181	18.	2.	5.e-002	-2.0727e-005
182	18.	1.25	0.1	-9.9735e-005
183	18.	1.5	5.e-002	-3.2879e-005
184	18.	0.5	0.1	-6.4839e-005
185	18.	1.	5.e-002	-9.6478e-006
186	18.167	4.75	0.1	-6.036e-005
187	18.167	5.5	0.1	-3.1147e-005
188	18.167	5.	5.e-002	-2.7288e-006
189	18.167	4.25	0.1	-1.6236e-004
190	18.167	4.5	5.e-002	-1.8317e-005
191	18.083	4.	0.1	-2.0909e-004
192	18.167	4.	5.e-002	-2.0824e-005
193	18.	4.25	0.1	-1.4115e-004
194	18.	4.	5.e-002	-5.8233e-005
195	18.	4.75	0.1	-9.3777e-005
196	18.	4.5	5.e-002	-3.9681e-005
197	18.	5.5	0.1	-6.8791e-005
198	18.	5.	5.e-002	-1.3698e-005
199	19.625	6.	0.1	-2.5117e-005
200	18.167	6.	5.e-002	-9.3502e-006
201	22.542	6.	0.1	-1.2834e-005
202	21.083	6.	5.e-002	-2.0968e-006
203	24.	4.5	0.1	-1.136e-005
204	24.	6.	5.e-002	-2.5393e-006
205	24.	1.5	0.1	-1.1848e-005
206	24.	3.	5.e-002	-1.6574e-006
207	3.9339e-014	4.5	0.1	-2.6738e-006
208	1.3113e-014	1.5	0.1	-1.8898e-006
209	2.6581e-014	3.	5.e-002	-6.0145e-005
210	3.	6.	0.1	-1.1912e-004
211	5.2451e-014	6.	5.e-002	-1.0046e-004
212	9.	6.	0.1	-1.5662e-004
213	6.	6.	5.e-002	-2.0471e-005
214	13.5	6.	0.1	-9.5398e-005
215	12.	6.	5.e-002	-2.7005e-005
216	16.5	6.	0.1	-7.8595e-005
217	15.	6.	5.e-002	-2.5241e-005
218	18.	6.	5.e-002	-2.5339e-005
219	22.542	0.	0.1	-1.6289e-005
220	24.	0.	5.e-002	-1.1892e-006
221	19.625	0.	0.1	-1.6827e-005
222	21.083	0.	5.e-002	-4.1833e-007
223	18.167	0.	5.e-002	-3.3758e-006
224	16.5	2.5578e-030	0.1	-7.2371e-005
225	18.	2.7903e-030	5.e-002	-1.4578e-005
226	13.5	2.0927e-030	0.1	-7.7292e-005
227	15.	0.	5.e-002	-5.8749e-006
228	9.	1.3952e-030	0.1	-1.679e-004
229	12.	0.	5.e-002	-2.1651e-005
230	3.	4.6505e-031	0.1	-1.2399e-004
231	6.	0.	5.e-002	-1.578e-005
232	0.	0.	5.e-002	-8.6968e-005
233	9.	1.3952e-030	0.	-3.3675e-004
234	3.	4.6505e-031	0.	-4.1828e-004
235	13.5	2.0927e-030	0.	-2.1761e-004
236	16.5	2.5578e-030	0.	-1.671e-004
237	18.	0.5	0.	-1.7137e-004
238	1.3113e-014	1.5	0.	-4.4622e-004
239	19.625	0.	0.	-4.8139e-005
240	22.542	0.	0.	-3.5188e-005
241	18.167	0.5	0.	-9.2245e-005
242	24.	1.5	0.	-2.8822e-005
243	13.5	6.	0.	-2.3971e-004
244	16.5	6.	0.	-1.7711e-004
245	9.	6.	0.	-3.3298e-004
246	3.	6.	0.	-4.1527e-004
247	18.	5.5	0.	-1.5794e-004
248	3.9339e-014	4.5	0.	-4.4537e-004
249	24.	4.5	0.	-3.1256e-005
250	22.542	6.	0.	-3.9973e-005
251	19.625	6.	0.	-5.3482e-005
252	18.167	5.5	0.	-8.0022e-005
253	18.	4.75	0.	-2.1906e-004
254	18.	4.25	0.	-3.7491e-004
255	18.083	4.	0.	-4.9792e-004
256	18.167	4.75	0.	-1.5961e-004
257	18.167	4.25	0.	-3.8833e-004
258	18.	1.25	0.	-2.2003e-004
259	18.	1.75	0.	-3.4911e-004
260	18.083	2.	0.	-4.5576e-004
261	18.167	1.25	0.	-1.7694e-004
262	18.167	1.75	0.	-3.5364e-004
