Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	2.6467	3.3453	0.	-493.48
2	1.8727	3.2345	0.	-304.18
3	0.99475	3.7468	0.	328.53
4	3.7734	3.403	0.	-574.86
5	3.338	1.706	0.	-141.36
6	2.6328	2.2824	0.	1198.1
7	2.1367	3.5192	0.	1684.5
8	17.681	2.9692	0.	-17.731
9	10.153	3.3518	0.	-484.19
10	6.8129	1.6908	0.	-104.13
11	4.9341	4.5551	0.	-234.85
12	4.9341	4.5551	0.1	234.85
13	6.8129	1.6908	0.1	104.13
14	10.153	3.3518	0.1	484.19
15	17.681	2.9692	0.1	17.731
16	2.1367	3.5192	0.1	-1684.5
17	2.6328	2.2824	0.1	-1198.1
18	3.338	1.706	0.1	141.36
19	3.7734	3.403	0.1	574.86
20	0.99475	3.7468	0.1	-328.53
21	1.8727	3.2345	0.1	304.18
22	2.6467	3.3453	0.1	493.48
23	2.1667	1.	0.1	1152.9
24	2.1667	1.5	0.1	602.3
25	2.1667	2.	0.1	-740.57
26	2.	2.	0.1	7493.8
27	2.	1.5	0.1	3863.3
28	2.	1.	0.1	2659.9
29	2.1667	5.	0.1	870.1
30	2.1667	4.5	0.1	1558.6
31	2.1667	4.	0.1	3871.9
32	2.	4.	0.1	4660.9
33	2.	4.5	0.1	2570.
34	2.	5.	0.1	1147.7
35	2.1667	6.	0.1	119.12
36	5.5781	6.	0.1	326.61
37	10.354	6.	0.1	235.32
38	17.177	6.	0.1	61.709
39	24.	6.	0.1	98.018
40	24.	3.	0.1	197.38
41	2.6226e-014	3.	0.1	3635.5
42	3.937e-014	6.	0.1	1742.4
43	1.	6.	0.1	-267.47
44	2.	6.	0.1	2265.9
45	24.	0.	0.1	311.99
46	18.542	0.	0.1	13.353
47	13.083	0.	0.1	98.182
48	7.625	0.	0.1	357.19
49	4.8958	0.	0.1	-216.43
50	2.1667	0.	0.1	436.22
51	2.	0.	0.1	1109.5
52	0.	0.	0.1	2738.7
53	2.	0.	0.	-1109.5
54	0.	0.	0.	-2738.7
55	4.8958	0.	0.	216.43
56	7.625	0.	0.	-357.19
57	13.083	0.	0.	-98.182
58	18.542	0.	0.	-13.353
59	2.1667	0.	0.	-436.22
60	24.	0.	0.	-311.99
61	1.	6.	0.	267.47
62	2.	6.	0.	-2265.9
63	3.937e-014	6.	0.	-1742.4
64	2.6226e-014	3.	0.	-3635.5
65	24.	3.	0.	-197.38
66	24.	6.	0.	-98.018
67	17.177	6.	0.	-61.709
68	10.354	6.	0.	-235.32
69	5.5781	6.	0.	-326.61
70	2.1667	6.	0.	-119.12
71	2.	4.5	0.	-2570.
72	2.	5.	0.	-1147.7
73	2.	4.	0.	-4660.9
74	2.1667	5.	0.	-870.1
75	2.1667	4.5	0.	-1558.6
76	2.1667	4.	0.	-3871.9
77	2.	1.5	0.	-3863.3
78	2.	1.	0.	-2659.9
79	2.	2.	0.	-7493.8
80	2.1667	1.	0.	-1152.9
81	2.1667	1.5	0.	-602.3
82	2.1667	2.	0.	740.57
83	3.2101	3.3741	0.	-516.39
84	2.6398	2.8139	0.	551.41
85	2.3917	3.4323	0.	631.32
86	2.6467	3.3453	5.e-002	1.53e-004
87	2.4067	3.6727	0.	-1405.5
