Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	8.	2.2	0.	-13346
2	8.	2.4	0.	-10672
3	8.	2.6	0.	-9506.5
4	8.	2.8	0.	-8960.2
5	8.	3.	0.	-8799.
6	8.	3.2	0.	-8960.2
7	8.	3.4	0.	-9506.5
8	8.	3.6	0.	-10672
9	8.	3.8	0.	-13346
10	8.1667	2.2	0.	-13400
11	8.1667	2.4	0.	-10654
12	8.1667	2.6	0.	-9470.7
13	8.1667	2.8	0.	-8918.1
14	8.1667	3.	0.	-8755.2
15	8.1667	3.2	0.	-8918.1
16	8.1667	3.4	0.	-9470.7
17	8.1667	3.6	0.	-10654
18	8.1667	3.8	0.	-13400
19	7.8	5.8	0.	-849.74
20	7.8	5.6	0.	-1168.3
21	7.8	5.4	0.	-1540.8
22	7.8	5.2	0.	-1949.4
23	7.8	5.	0.	-2417.1
24	7.8	4.8	0.	-2982.8
25	7.8	4.6	0.	-3737.3
26	7.8	4.4	0.	-4811.4
27	7.8	4.2	0.	-6933.
28	7.8	4.	0.	-9727.7
29	7.8	3.8	0.	-9990.6
30	7.8	3.6	0.	-9505.8
31	7.8	3.4	0.	-8896.4
32	7.8	3.2	0.	-8573.6
33	7.8	3.	0.	-8467.5
34	7.8	2.8	0.	-8573.6
35	7.8	2.6	0.	-8896.4
36	7.8	2.4	0.	-9505.8
37	7.8	2.2	0.	-9990.6
38	7.8	2.	0.	-9727.6
39	7.8	1.8	0.	-6933.
40	7.8	1.6	0.	-4811.4
41	7.8	1.4	0.	-3737.3
42	7.8	1.2	0.	-2982.8
43	7.8	1.	0.	-2417.1
44	7.8	0.8	0.	-1949.4
45	7.8	0.6	0.	-1540.8
46	7.8	0.4	0.	-1168.3
47	7.8	0.2	0.	-849.74
48	7.6	5.8	0.	-1351.
49	7.6	5.6	0.	-1536.3
50	7.6	5.4	0.	-1821.5
51	7.6	5.2	0.	-2176.3
52	7.6	5.	0.	-2604.1
53	7.6	4.8	0.	-3130.9
54	7.6	4.6	0.	-3799.2
55	7.6	4.4	0.	-4690.5
56	7.6	4.2	0.	-5800.
57	7.6	4.	0.	-6863.3
58	7.6	3.8	0.	-7687.3
59	7.6	3.6	0.	-7979.8
60	7.6	3.4	0.	-7968.6
61	7.6	3.2	0.	-7897.2
62	7.6	3.	0.	-7865.3
63	7.6	2.8	0.	-7897.2
64	7.6	2.6	0.	-7968.6
65	7.6	2.4	0.	-7979.8
66	7.6	2.2	0.	-7687.3
67	7.6	2.	0.	-6863.3
68	7.6	1.8	0.	-5800.
69	7.6	1.6	0.	-4690.5
70	7.6	1.4	0.	-3799.2
71	7.6	1.2	0.	-3130.9
72	7.6	1.	0.	-2604.1
73	7.6	0.8	0.	-2176.3
74	7.6	0.6	0.	-1821.5
75	7.6	0.4	0.	-1536.3
76	7.6	0.2	0.	-1351.
77	7.4	5.8	0.	-1863.7
78	7.4	5.6	0.	-2001.
79	7.4	5.4	0.	-2226.7
80	7.4	5.2	0.	-2529.2
81	7.4	5.	0.	-2907.8
82	7.4	4.8	0.	-3370.8
83	7.4	4.6	0.	-3933.1
