Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	8.1995	2.6785	0.	4.3443e-004
2	8.1112	3.3004	0.	4.4817e-004
3	9.3955	2.5414	0.	1.2399e-004
4	6.2935	2.7924	0.	1.5093e-004
5	9.0201	3.5607	0.	2.0875e-004
6	6.5446	1.0826	0.	1.6918e-004
7	8.7281	3.0933	0.	2.4918e-004
8	7.5912	2.7778	0.	3.8554e-004
9	8.5048	2.5765	0.	3.4461e-004
10	11.3	2.8748	0.	1.1191e-004
11	12.713	1.9248	0.	8.4294e-005
12	15.229	1.958	0.	6.8083e-005
13	17.484	1.9627	0.	4.8021e-005
14	19.675	1.9624	0.	3.4123e-005
15	21.855	1.9726	0.	2.2811e-005
16	21.945	3.9661	0.	2.2478e-005
17	19.864	3.9574	0.	3.3135e-005
18	17.763	3.9514	0.	4.6165e-005
19	15.682	3.9308	0.	6.5988e-005
20	13.768	4.0358	0.	7.9391e-005
21	11.994	4.3808	0.	9.4471e-005
22	10.14	4.678	0.	9.4964e-005
23	8.9634	4.0648	0.	2.3179e-004
24	1.8844	2.1066	0.	3.0923e-004
25	4.0014	2.4733	0.	1.8828e-004
26	5.2468	1.5698	0.	1.7033e-004
27	1.9195	4.0829	0.	3.1554e-004
28	5.7957	4.761	0.	1.5342e-004
29	3.7952	4.2982	0.	1.8182e-004
30	5.8096	3.6116	0.	1.4934e-004
31	9.9679	1.9619	0.	1.0242e-004
32	10.177	3.3469	0.	1.2206e-004
33	10.093	1.0276	0.	1.3157e-004
34	7.0605	2.1961	0.	1.8059e-004
35	7.0605	2.1961	0.1	4.6966e-004
36	10.093	1.0276	0.1	2.8721e-004
37	10.177	3.3469	0.1	3.2462e-004
38	9.9679	1.9619	0.1	3.0407e-004
39	5.8096	3.6116	0.1	4.2203e-004
40	3.7952	4.2982	0.1	4.9314e-004
41	5.7957	4.761	0.1	4.0741e-004
42	1.9195	4.0829	0.1	5.2021e-004
43	5.2468	1.5698	0.1	4.4993e-004
44	4.0014	2.4733	0.1	4.7161e-004
45	1.8844	2.1066	0.1	5.2139e-004
