Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	7.9039	2.7316	0.	8.7551e-004
2	8.5057	3.2092	0.	6.5653e-004
3	7.4786	2.2603	0.	4.6283e-004
4	7.5744	2.9645	0.	5.9186e-004
5	9.2152	3.2113	0.	3.4562e-004
6	6.5546	2.2254	0.	3.89e-004
7	8.0902	3.0732	0.	8.9285e-004
8	11.083	2.5396	0.	2.2764e-004
9	5.7988	3.4756	0.	4.309e-004
10	10.088	4.2074	0.	2.7313e-004
11	8.1714	2.613	0.	8.8119e-004
12	9.4357	2.5024	0.	3.2948e-004
13	9.4357	2.5024	0.1	3.2948e-004
14	8.1714	2.613	0.1	8.8119e-004
15	10.088	4.2074	0.1	2.7313e-004
16	5.7988	3.4756	0.1	4.309e-004
17	11.083	2.5396	0.1	2.2764e-004
18	8.0902	3.0732	0.1	8.9285e-004
19	6.5546	2.2254	0.1	3.89e-004
20	9.2152	3.2113	0.1	3.4562e-004
21	7.5744	2.9645	0.1	5.9186e-004
22	7.4786	2.2603	0.1	4.6283e-004
23	8.5057	3.2092	0.1	6.5653e-004
24	7.9039	2.7316	0.1	8.7551e-004
25	8.1667	5.	0.1	3.1498e-004
26	8.1667	4.5	0.1	4.3205e-004
27	8.1667	4.	0.1	1.1905e-003
28	8.	4.	0.1	1.3162e-003
29	8.	4.5	0.1	7.9805e-004
30	8.	5.	0.1	4.2002e-004
31	8.1667	1.	0.1	5.1438e-004
32	8.1667	1.5	0.1	5.6476e-004
33	8.1667	2.	0.1	1.463e-003
34	8.	2.	0.1	1.368e-003
35	8.	1.5	0.1	6.1602e-004
36	8.	1.	0.1	3.4268e-004
37	8.1667	6.	0.1	2.3034e-004
38	10.806	6.	0.1	2.3773e-004
39	13.444	6.	0.1	1.9565e-004
40	18.722	6.	0.1	1.1783e-004
41	24.	6.	0.1	5.2143e-005
42	24.	0.	0.1	5.4514e-005
43	18.722	0.	0.1	1.0649e-004
44	13.444	0.	0.1	2.2013e-004
45	10.806	0.	0.1	2.1451e-004
46	8.1667	0.	0.1	2.2199e-004
47	8.	0.	0.1	2.995e-004
48	6.	9.0989e-031	0.1	3.7164e-004
49	4.	6.0659e-031	0.1	4.5869e-004
50	0.	0.	0.1	3.7153e-004
51	3.937e-014	6.	0.1	3.4463e-004
52	4.	6.	0.1	4.9394e-004
53	6.	6.	0.1	3.8981e-004
54	8.	6.	0.1	3.5642e-004
55	6.	6.	0.	3.8981e-004
56	4.	6.	0.	4.9394e-004
57	8.	6.	0.	3.5642e-004
58	3.937e-014	6.	0.	3.4463e-004
59	4.	6.0659e-031	0.	4.5869e-004
60	6.	9.0989e-031	0.	3.7164e-004
61	8.	0.	0.	2.995e-004
62	0.	0.	0.	3.7153e-004
63	10.806	0.	0.	2.1451e-004
64	13.444	0.	0.	2.2013e-004
65	18.722	0.	0.	1.0649e-004
66	8.1667	0.	0.	2.2199e-004
67	24.	0.	0.	5.4514e-005
68	24.	6.	0.	5.2143e-005
69	18.722	6.	0.	1.1783e-004
70	13.444	6.	0.	1.9565e-004
71	10.806	6.	0.	2.3773e-004
72	8.1667	6.	0.	2.3034e-004
73	8.	1.5	0.	6.1602e-004
74	8.	1.	0.	3.4268e-004
75	8.	2.	0.	1.368e-003
76	8.1667	1.	0.	5.1438e-004
77	8.1667	1.5	0.	5.6476e-004
78	8.1667	2.	0.	1.463e-003
79	8.	4.5	0.	7.9805e-004
80	8.	5.	0.	4.2002e-004
81	8.	4.	0.	1.3162e-003
82	8.1667	5.	0.	3.1498e-004
83	8.1667	4.5	0.	4.3205e-004
84	8.1667	4.	0.	1.1905e-003
85	7.7391	2.848	0.	7.217e-004
86	7.9971	2.9024	0.	8.8265e-004
87	8.0376	2.6723	0.	8.7493e-004
88	7.9039	2.7316	5.e-002	2.8133e-005
89	7.9519	2.3658	0.	1.1133e-003
90	8.8605	3.2103	0.	4.9986e-004
91	8.298	3.1412	0.	7.7336e-004
92	8.3385	2.9111	0.	7.6589e-004
93	8.5057	3.2092	5.e-002	4.7173e-005
94	8.3362	3.6046	0.	9.1798e-004
95	7.5265	2.6124	0.	5.25e-004
96	7.0166	2.2428	0.	4.1994e-004
97	7.4786	2.2603	5.e-002	2.6548e-005
98	7.7393	2.1301	0.	9.017e-004
99	7.0645	2.5949	0.	4.838e-004
100	7.5744	2.9645	5.e-002	1.2509e-004
101	7.7872	3.4822	0.	9.0154e-004
102	9.6519	3.7094	0.	3.0917e-004
103	9.3255	2.8569	0.	3.3585e-004
104	9.2152	3.2113	5.e-002	3.265e-005
105	8.691	2.6057	0.	8.9032e-004
106	8.691	3.6057	0.	7.5963e-004
107	6.1767	2.8505	0.	4.0494e-004
108	6.5546	2.2254	5.e-002	1.8086e-005
109	6.2773	1.1127	0.	3.749e-004
110	7.2773	1.8627	0.	4.6661e-004
111	7.2773	1.6127	0.	3.4429e-004
112	7.2773	3.3627	0.	5.6091e-004
113	8.0902	3.0732	5.e-002	5.002e-005
114	8.0451	3.5366	0.	1.0782e-003
115	10.586	3.3735	0.	2.4958e-004
116	10.259	2.521	0.	2.7481e-004
117	11.083	2.5396	5.e-002	1.1434e-005
118	10.944	1.2698	0.	2.2078e-004
119	12.264	4.2698	0.	2.1112e-004
120	9.6247	1.7698	0.	3.5571e-004
121	5.7988	3.4756	5.e-002	2.9396e-005
122	5.8994	4.7378	0.	4.0592e-004
123	4.8994	1.7378	0.	4.4087e-004
124	6.8994	4.2378	0.	4.1604e-004
125	10.088	4.2074	5.e-002	1.7564e-005
126	10.447	5.1037	0.	2.5408e-004
127	9.1276	4.6037	0.	2.7954e-004
128	9.1276	4.3537	0.	3.2152e-004
129	8.1714	2.613	5.e-002	3.4978e-005
130	8.169	2.3065	0.	1.1413e-003
131	9.4357	2.5024	5.e-002	1.5466e-005
132	8.8012	2.0012	0.	4.1909e-004
133	10.259	2.521	0.1	2.7481e-004
134	9.3255	2.8569	0.1	3.3585e-004
135	8.8012	2.0012	0.1	4.1909e-004
136	8.3385	2.9111	0.1	7.6589e-004
137	8.0376	2.6723	0.1	8.7493e-004
138	8.169	2.3065	0.1	1.1413e-003
139	10.586	3.3735	0.1	2.4958e-004
140	9.6519	3.7094	0.1	3.0917e-004
141	9.1276	4.6037	0.1	2.7954e-004
142	9.1276	4.3537	0.1	3.2152e-004
143	10.447	5.1037	0.1	2.5408e-004
144	6.1767	2.8505	0.1	4.0494e-004
145	6.8994	4.2378	0.1	4.1604e-004
146	4.8994	1.7378	0.1	4.4087e-004
147	5.8994	4.7378	0.1	4.0592e-004
148	9.6247	1.7698	0.1	3.5571e-004
149	12.264	4.2698	0.1	2.1112e-004
150	10.944	1.2698	0.1	2.2078e-004
151	8.298	3.1412	0.1	7.7336e-004
152	7.9971	2.9024	0.1	8.8265e-004
153	8.0451	3.5366	0.1	1.0782e-003
154	7.0645	2.5949	0.1	4.838e-004
155	7.0166	2.2428	0.1	4.1994e-004
156	7.2773	3.3627	0.1	5.6091e-004
157	7.2773	1.8627	0.1	4.6661e-004
158	7.2773	1.6127	0.1	3.4429e-004
159	6.2773	1.1127	0.1	3.749e-004
160	8.8605	3.2103	0.1	4.9986e-004
161	8.691	3.6057	0.1	7.5963e-004
162	8.691	2.6057	0.1	8.9032e-004
163	7.5265	2.6124	0.1	5.25e-004
164	7.7391	2.848	0.1	7.217e-004
165	7.7872	3.4822	0.1	9.0154e-004
166	7.7393	2.1301	0.1	9.017e-004
167	8.3362	3.6046	0.1	9.1798e-004
168	7.9519	2.3658	0.1	1.1133e-003
169	8.1667	4.75	0.1	3.6875e-004
170	8.1667	5.5	0.1	2.7071e-004
171	8.1667	5.	5.e-002	1.6366e-005
172	8.1667	4.25	0.1	7.827e-004
173	8.1667	4.5	5.e-002	4.1277e-005
174	8.0833	4.	0.1	1.1947e-003
175	8.1667	4.	5.e-002	6.5737e-005
176	8.	4.25	0.1	1.0514e-003
177	8.	4.	5.e-002	1.3259e-004
178	8.	4.75	0.1	6.0852e-004
179	8.	4.5	5.e-002	7.4561e-005
180	8.	5.5	0.1	3.8461e-004
181	8.	5.	5.e-002	4.5604e-006
182	8.1667	1.25	0.1	5.3313e-004
183	8.1667	0.5	0.1	3.6128e-004
184	8.1667	1.	5.e-002	1.1772e-004
185	8.1667	1.75	0.1	1.0047e-003
186	8.1667	1.5	5.e-002	3.9538e-005
187	8.0833	2.	0.1	1.3303e-003
188	8.1667	2.	5.e-002	9.9678e-005
189	8.	1.75	0.1	9.5095e-004
190	8.	2.	5.e-002	4.6925e-005
191	8.	1.25	0.1	4.7736e-004
192	8.	1.5	5.e-002	1.0361e-004
193	8.	0.5	0.1	3.1164e-004
194	8.	1.	5.e-002	1.5369e-006
195	9.4861	6.	0.1	2.3233e-004
196	8.1667	6.	5.e-002	1.7371e-005
197	12.125	6.	0.1	2.1502e-004
198	10.806	6.	5.e-002	8.6253e-006
199	16.083	6.	0.1	1.5598e-004
200	13.444	3.	0.1	2.063e-004
201	13.444	6.	5.e-002	1.0582e-005
202	21.361	6.	0.1	8.4647e-005
203	18.722	3.	0.1	1.1033e-004
204	18.722	6.	5.e-002	6.5322e-006
205	24.	3.	0.1	5.0115e-005
206	24.	6.	5.e-002	4.5168e-006
207	21.361	0.	0.1	8.0065e-005
208	24.	0.	5.e-002	4.6006e-006
209	16.083	0.	0.1	1.6324e-004
210	18.722	0.	5.e-002	5.8188e-006
211	12.125	0.	0.1	2.1583e-004
212	13.444	0.	5.e-002	1.07e-005
213	9.4861	0.	0.1	1.9591e-004
214	10.806	0.	5.e-002	2.8317e-005
215	8.1667	0.	5.e-002	1.9979e-005
216	7.	1.0615e-030	0.1	3.3354e-004
217	8.	1.2132e-030	5.e-002	2.6317e-005
218	5.	7.5824e-031	0.1	3.9554e-004
