Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	5.1	2.1	0.	406.58
2	5.1	2.2	0.	382.25
3	5.1	2.3	0.	326.93
4	5.1	2.4	0.	284.81
5	5.1	2.5	0.	251.97
6	5.1	2.6	0.	227.85
7	5.1	2.7	0.	210.64
8	5.1	2.8	0.	199.13
9	5.1	2.9	0.	192.53
10	5.1	3.	0.	190.37
11	5.1	3.1	0.	192.53
12	5.1	3.2	0.	199.13
13	5.1	3.3	0.	210.64
14	5.1	3.4	0.	227.85
15	5.1	3.5	0.	251.97
16	5.1	3.6	0.	284.81
17	5.1	3.7	0.	326.93
18	5.1	3.8	0.	382.24
19	5.1	3.9	0.	406.58
20	5.2667	2.1	0.	227.62
21	5.2667	2.2	0.	325.78
22	5.2667	2.3	0.	296.72
23	5.2667	2.4	0.	266.36
24	5.2667	2.5	0.	239.87
25	5.2667	2.6	0.	219.47
26	5.2667	2.7	0.	204.54
27	5.2667	2.8	0.	194.42
28	5.2667	2.9	0.	188.57
29	5.2667	3.	0.	186.65
30	5.2667	3.1	0.	188.57
31	5.2667	3.2	0.	194.42
32	5.2667	3.3	0.	204.54
33	5.2667	3.4	0.	219.46
34	5.2667	3.5	0.	239.87
35	5.2667	3.6	0.	266.36
36	5.2667	3.7	0.	296.72
37	5.2667	3.8	0.	325.78
38	5.2667	3.9	0.	227.62
39	5.	5.9	0.	30.826
40	5.	5.8	0.	49.159
41	5.	5.7	0.	78.677
42	5.	5.6	0.	112.89
43	5.	5.5	0.	150.38
44	5.	5.4	0.	191.
45	5.	5.3	0.	234.91
46	5.	5.2	0.	282.53
47	5.	5.1	0.	334.46
48	5.	5.	0.	391.56
49	5.	4.9	0.	454.98
50	5.	4.8	0.	526.34
51	5.	4.7	0.	607.88
52	5.	4.6	0.	702.88
53	5.	4.5	0.	816.08
54	5.	4.4	0.	955.48
55	5.	4.3	0.	1129.4
56	5.	4.2	0.	1365.
57	5.	4.1	0.	1545.2
58	5.	4.	0.	1434.
59	5.	3.9	0.	613.12
60	5.	3.8	0.	381.14
61	5.	3.7	0.	299.78
62	5.	3.6	0.	257.85
63	5.	3.5	0.	228.87
64	5.	3.4	0.	207.99
65	5.	3.3	0.	193.11
66	5.	3.2	0.	183.11
67	5.	3.1	0.	177.33
68	5.	3.	0.	175.45
69	5.	2.9	0.	177.33
70	5.	2.8	0.	183.11
71	5.	2.7	0.	193.11
72	5.	2.6	0.	207.99
73	5.	2.5	0.	228.87
74	5.	2.4	0.	257.85
75	5.	2.3	0.	299.78
76	5.	2.2	0.	381.14
77	5.	2.1	0.	613.12
78	5.	2.	0.	1434.
79	5.	1.9	0.	1545.2
80	5.	1.8	0.	1365.
81	5.	1.7	0.	1129.4
82	5.	1.6	0.	955.48
83	5.	1.5	0.	816.08
84	5.	1.4	0.	702.88
85	5.	1.3	0.	607.88
86	5.	1.2	0.	526.34
87	5.	1.1	0.	454.98
88	5.	1.	0.	391.56
89	5.	0.9	0.	334.46
90	5.	0.8	0.	282.53
91	5.	0.7	0.	234.91
92	5.	0.6	0.	191.
93	5.	0.5	0.	150.38
94	5.	0.4	0.	112.89
95	5.	0.3	0.	78.677
96	5.	0.2	0.	49.159
97	5.	0.1	0.	30.826
98	4.9	5.9	0.	24.926
99	4.9	5.8	0.	27.802
100	4.9	5.7	0.	46.168
101	4.9	5.6	0.	72.681
102	4.9	5.5	0.	104.07
103	4.9	5.4	0.	139.09
104	4.9	5.3	0.	177.31
105	4.9	5.2	0.	218.76
106	4.9	5.1	0.	263.68
107	4.9	5.	0.	312.52
108	4.9	4.9	0.	365.91
109	4.9	4.8	0.	424.62
110	4.9	4.7	0.	489.63
111	4.9	4.6	0.	561.94
112	4.9	4.5	0.	642.2
113	4.9	4.4	0.	729.78
114	4.9	4.3	0.	816.24
115	4.9	4.2	0.	875.53
116	4.9	4.1	0.	873.81
117	4.9	4.	0.	660.27
118	4.9	3.9	0.	449.5
119	4.9	3.8	0.	306.16
120	4.9	3.7	0.	245.24
121	4.9	3.6	0.	211.22
122	4.9	3.5	0.	189.61
123	4.9	3.4	0.	174.21
124	4.9	3.3	0.	163.18
125	4.9	3.2	0.	155.68
126	4.9	3.1	0.	151.31
127	4.9	3.	0.	149.87
128	4.9	2.9	0.	151.31
129	4.9	2.8	0.	155.68
130	4.9	2.7	0.	163.18
131	4.9	2.6	0.	174.21
132	4.9	2.5	0.	189.61
133	4.9	2.4	0.	211.22
134	4.9	2.3	0.	245.24
135	4.9	2.2	0.	306.16
136	4.9	2.1	0.	449.5
137	4.9	2.	0.	660.27
138	4.9	1.9	0.	873.81
139	4.9	1.8	0.	875.53
140	4.9	1.7	0.	816.24
141	4.9	1.6	0.	729.78
142	4.9	1.5	0.	642.2
143	4.9	1.4	0.	561.94
144	4.9	1.3	0.	489.63
145	4.9	1.2	0.	424.63
146	4.9	1.1	0.	365.91
147	4.9	1.	0.	312.52
148	4.9	0.9	0.	263.68
149	4.9	0.8	0.	218.76
150	4.9	0.7	0.	177.31
151	4.9	0.6	0.	139.09
152	4.9	0.5	0.	104.07
153	4.9	0.4	0.	72.681
154	4.9	0.3	0.	46.168
155	4.9	0.2	0.	27.802
156	4.9	0.1	0.	24.926
157	4.8	5.9	0.	24.992
158	4.8	5.8	0.	23.674
159	4.8	5.7	0.	34.888
160	4.8	5.6	0.	54.56
161	4.8	5.5	0.	80.205
162	4.8	5.4	0.	110.2
163	4.8	5.3	0.	143.67
164	4.8	5.2	0.	180.2
165	4.8	5.1	0.	219.68
166	4.8	5.	0.	262.13
167	4.8	4.9	0.	307.67
168	4.8	4.8	0.	356.35
169	4.8	4.7	0.	408.05
170	4.8	4.6	0.	462.09
171	4.8	4.5	0.	516.48
172	4.8	4.4	0.	566.23
173	4.8	4.3	0.	601.07
174	4.8	4.2	0.	600.52
175	4.8	4.1	0.	540.05
176	4.8	4.	0.	428.22
177	4.8	3.9	0.	305.99
178	4.8	3.8	0.	225.74
179	4.8	3.7	0.	182.07
180	4.8	3.6	0.	158.08
181	4.8	3.5	0.	143.2
182	4.8	3.4	0.	133.04
183	4.8	3.3	0.	125.82
184	4.8	3.2	0.	120.9
185	4.8	3.1	0.	118.02
186	4.8	3.	0.	117.06
187	4.8	2.9	0.	118.02
188	4.8	2.8	0.	120.9
189	4.8	2.7	0.	125.82
190	4.8	2.6	0.	133.04
191	4.8	2.5	0.	143.21
192	4.8	2.4	0.	158.08
193	4.8	2.3	0.	182.08
194	4.8	2.2	0.	225.74
195	4.8	2.1	0.	305.99
196	4.8	2.	0.	428.22
197	4.8	1.9	0.	540.05
198	4.8	1.8	0.	600.52
199	4.8	1.7	0.	601.07
200	4.8	1.6	0.	566.23
201	4.8	1.5	0.	516.48
202	4.8	1.4	0.	462.09
203	4.8	1.3	0.	408.05
204	4.8	1.2	0.	356.35
205	4.8	1.1	0.	307.67
206	4.8	1.	0.	262.13
207	4.8	0.9	0.	219.68
208	4.8	0.8	0.	180.2
209	4.8	0.7	0.	143.67
210	4.8	0.6	0.	110.2
211	4.8	0.5	0.	80.205
212	4.8	0.4	0.	54.56
213	4.8	0.3	0.	34.888
214	4.8	0.2	0.	23.674
215	4.8	0.1	0.	24.992
216	4.7	5.9	0.	25.446
217	4.7	5.8	0.	23.521
218	4.7	5.7	0.	31.033
219	4.7	5.6	0.	45.483
220	4.7	5.5	0.	65.642
221	4.7	5.4	0.	90.295
222	4.7	5.3	0.	118.5
223	4.7	5.2	0.	149.62
224	4.7	5.1	0.	183.23
225	4.7	5.	0.	219.01
226	4.7	4.9	0.	256.63
227	4.7	4.8	0.	295.58
228	4.7	4.7	0.	334.99
229	4.7	4.6	0.	373.26
230	4.7	4.5	0.	407.41
231	4.7	4.4	0.	432.25
232	4.7	4.3	0.	439.7
233	4.7	4.2	0.	419.65
234	4.7	4.1	0.	366.18
235	4.7	4.	0.	289.41
236	4.7	3.9	0.	214.12
237	4.7	3.8	0.	158.7
238	4.7	3.7	0.	125.78
239	4.7	3.6	0.	107.4
240	4.7	3.5	0.	96.774
241	4.7	3.4	0.	90.112
242	4.7	3.3	0.	85.679
243	4.7	3.2	0.	82.757
244	4.7	3.1	0.	81.066
245	4.7	3.	0.	80.51
246	4.7	2.9	0.	81.066
247	4.7	2.8	0.	82.757
248	4.7	2.7	0.	85.68
249	4.7	2.6	0.	90.112
250	4.7	2.5	0.	96.775
251	4.7	2.4	0.	107.4
252	4.7	2.3	0.	125.78
253	4.7	2.2	0.	158.7
254	4.7	2.1	0.	214.12
255	4.7	2.	0.	289.41
256	4.7	1.9	0.	366.18
257	4.7	1.8	0.	419.65
258	4.7	1.7	0.	439.7
259	4.7	1.6	0.	432.25
260	4.7	1.5	0.	407.41
261	4.7	1.4	0.	373.26
262	4.7	1.3	0.	334.99
263	4.7	1.2	0.	295.58
264	4.7	1.1	0.	256.63
265	4.7	1.	0.	219.01
266	4.7	0.9	0.	183.23
267	4.7	0.8	0.	149.62
268	4.7	0.7	0.	118.5
269	4.7	0.6	0.	90.295
270	4.7	0.5	0.	65.643
271	4.7	0.4	0.	45.483
272	4.7	0.3	0.	31.033
273	4.7	0.2	0.	23.521
274	4.7	0.1	0.	25.446
275	4.6	5.9	0.	25.416
276	4.6	5.8	0.	24.199
277	4.6	5.7	0.	29.977
278	4.6	5.6	0.	40.943
279	4.6	5.5	0.	56.639
280	4.6	5.4	0.	76.368
281	4.6	5.3	0.	99.381
282	4.6	5.2	0.	125.01
283	4.6	5.1	0.	152.67
284	4.6	5.	0.	181.81
285	4.6	4.9	0.	211.79
286	4.6	4.8	0.	241.77
287	4.6	4.7	0.	270.53
288	4.6	4.6	0.	296.16
289	4.6	4.5	0.	315.81
290	4.6	4.4	0.	325.45
291	4.6	4.3	0.	320.12
292	4.6	4.2	0.	295.65
293	4.6	4.1	0.	252.35
294	4.6	4.	0.	198.15
295	4.6	3.9	0.	145.78
296	4.6	3.8	0.	105.19
297	4.6	3.7	0.	78.593
298	4.6	3.6	0.	63.005
299	4.6	3.5	0.	54.231
