Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,5.043,2.2139,0,0.00033591,3356.8,0.00014925,571.25,9.6751e-05,176.8,-0.00032144,-2965.3,0.035693
2,5.4533,3.6915,0,0.00025619,2560.1,0.00010438,303.41,7.8307e-05,107.47,-0.00024863,-2349,0.042454
3,5.7518,3.6496,0,0.0001837,1835.7,6.168e-05,-4.6313,5.8399e-05,-29.28,-0.00018426,-1852.5,0.047841
4,5.7241,2.3853,0,0.0001935,1933.7,6.763e-05,6.0275,5.7946e-05,-66.738,-0.00019443,-1963,0.047369
5,4.7518,2.1891,0,0.00023002,2298.6,9.0097e-05,147.84,6.4966e-05,-40.988,-0.00022762,-2239.4,0.031571
6,5.4944,3.3907,0,0.00022868,2285.3,8.859e-05,144.65,6.6134e-05,-24.079,-0.00022616,-2220.3,0.043438
7,6.1828,1.0276,0,7.6016e-05,759.63,2.7573e-05,35.269,2.4083e-05,9.0476,-7.5228e-05,-737.13,0.054994
8,4.1702,4.9335,0,0.00010304,1029.6,3.8405e-05,55.278,3.1541e-05,3.71,-0.00010193,-999.18,0.023145
9,4.6927,3.4866,0,0.00020384,2037,7.1237e-05,35.312,6.3743e-05,-20.991,-0.00020353,-2029.2,0.031099
10,6.0081,0.49199,0,5.0935e-05,509,2.1507e-05,59.729,1.4143e-05,4.4025,-4.9618e-05,-474.68,0.050711
11,6.2457,4.637,0,8.8669e-05,886.08,3.1692e-05,38.756,2.8683e-05,16.15,-8.7713e-05,-858.41,0.056588
12,4.2743,2.0192,0,0.00015007,1499.6,5.114e-05,10.001,4.7691e-05,-15.92,-0.00015015,-1502.4,0.025475
13,6.1895,2.1905,0,0.00012016,1200.8,4.2626e-05,14.182,3.5865e-05,-36.621,-0.00012046,-1211.2,0.056157
14,6.2389,3.5836,0,0.00012656,1264.7,4.5495e-05,-2.2635,3.5103e-05,-80.346,-0.00012778,-1304.2,0.057227
15,4.1957,1.7276,0,0.00013283,1327.4,4.8658e-05,58.947,4.1002e-05,1.4272,-0.00013171,-1296.3,0.02429
16,6.1348,1.8209,0,0.00010987,1098,3.8535e-05,31.984,3.5326e-05,7.8717,-0.00010918,-1077.9,0.054813
17,6.1392,2.6823,0,0.00013725,1371.5,4.987e-05,0.59044,3.7409e-05,-93.032,-0.00013858,-1415.3,0.05537
18,3.6919,1.8637,0,0.00012447,1243.8,4.4262e-05,2.2284,3.5792e-05,-61.414,-0.00012535,-1272.2,0.01909
19,5.4929,3.0743,0,0.00021396,2138.2,8.1075e-05,109.97,6.2707e-05,-28.035,-0.00021223,-2093.8,0.043535
20,6.6028,3.1552,0,0.00011405,1139.8,4.3521e-05,-3.0508,2.6983e-05,-127.31,-0.00011576,-1199.8,0.064697
21,3.1448,1.9297,0,0.00012452,1244.3,4.8476e-05,7.4306,2.8722e-05,-141,-0.00012612,-1304.4,0.014035
22,7.2765,1.7758,0,8.1774e-05,817.18,3.0104e-05,6.5463,2.2178e-05,-53.008,-8.2402e-05,-838.78,0.078794
23,7.3188,1.192,0,7.7326e-05,772.73,2.6309e-05,4.387,2.4577e-05,-8.6201,-7.739e-05,-774.77,0.079367
24,7.2167,2.3324,0,8.6219e-05,861.59,3.2518e-05,-5.1573,2.0824e-05,-93.025,-8.7552e-05,-907.32,0.077686
25,6.8204,4.5665,0,8.3222e-05,831.65,2.8531e-05,-0.15458,2.5629e-05,-21.96,-8.3577e-05,-842.49,0.068645
26,3.6958,4.139,0,0.00012156,1214.7,4.4311e-05,-2.6903,3.2576e-05,-90.865,-0.00012291,-1259.1,0.019121
27,3.0673,3.3835,0,0.00012582,1257.4,5.1563e-05,-6.155,2.2776e-05,-222.45,-0.00012831,-1357.7,0.013588
28,3.2803,1.1945,0,0.00011639,1163.1,4.2324e-05,10.581,3.2621e-05,-62.322,-0.0001171,-1187.3,0.014679
29,7.4398,4.4597,0,7.8767e-05,787.13,2.7886e-05,3.1836,2.3034e-05,-33.272,-7.9215e-05,-801.54,0.082241
30,2.5384,3.2969,0,0.00012651,1264.2,5.5244e-05,0.22821,1.6781e-05,-288.76,-0.00012891,-1383.4,0.009435
31,3.12,4.7188,0,0.000122,1219.1,4.4945e-05,7.429,3.2806e-05,-83.779,-0.00012304,-1254.7,0.013383
32,7.966,1.2517,0,7.3155e-05,731.04,2.5332e-05,1.8374,2.2275e-05,-21.132,-7.3456e-05,-740.42,0.09408
33,8.0473,4.2829,0,7.3165e-05,731.15,2.6325e-05,3.2397,2.0682e-05,-39.159,-7.3684e-05,-748.19,0.096186
34,2.5112,4.6934,0,0.00012726,1271.8,4.9422e-05,-3.1253,2.8541e-05,-160.02,-0.00012931,-1346,0.0087564
35,1.9069,4.6824,0,0.00013279,1327,5.5914e-05,19.717,2.3754e-05,-221.93,-0.00013457,-1411.5,0.0050855
36,1.2682,1.3057,0,0.00013494,1348.5,5.6691e-05,-57.098,1.6526e-05,-358.88,-0.00013946,-1530.9,0.0022494
37,1.9102,1.2884,0,0.0001328,1327,5.5518e-05,17.728,2.433e-05,-216.61,-0.00013462,-1410.9,0.0050892
38,8.6174,1.2841,0,6.7922e-05,678.75,2.3427e-05,0.6824,2.0749e-05,-19.437,-6.8219e-05,-687.9,0.10948
39,9.2758,1.2856,0,6.271e-05,626.67,2.1411e-05,-0.15845,1.9459e-05,-14.822,-6.2952e-05,-634.03,0.12562
40,9.943,1.275,0,5.7458e-05,574.19,1.9455e-05,-0.33815,1.8091e-05,-10.587,-5.7637e-05,-579.58,0.14252
41,10.619,1.2693,0,5.2286e-05,522.5,1.7548e-05,-0.16048,1.6743e-05,-6.2065,-5.2392e-05,-525.66,0.16018
42,11.288,1.2693,0,4.7365e-05,473.32,1.5735e-05,-0.12865,1.5441e-05,-2.3393,-4.7406e-05,-474.55,0.17812
43,11.957,1.2693,0,4.2672e-05,426.43,1.4151e-05,0.71677,1.403e-05,-0.19399,-4.2663e-05,-426.17,0.19649
44,12.626,1.2693,0,3.8219e-05,381.92,1.288e-05,3.0456,1.2438e-05,-0.28057,-3.8171e-05,-380.53,0.21523
45,13.295,1.2693,0,3.3998e-05,339.74,1.1633e-05,4.8015,1.0959e-05,-0.26315,-3.3918e-05,-337.45,0.23432
46,13.964,1.2693,0,3.0014e-05,299.93,1.0431e-05,6.1466,9.5744e-06,-0.28711,-2.9909e-05,-296.95,0.25371
47,14.633,1.2693,0,2.6275e-05,262.56,9.2811e-06,7.1631,8.2885e-06,-0.29495,-2.615e-05,-259.05,0.27337
48,15.302,1.2693,0,2.2783e-05,227.67,8.1918e-06,7.9228,7.0965e-06,-0.30658,-2.2642e-05,-223.75,0.29325
49,15.971,1.2693,0,1.9542e-05,195.29,7.1689e-06,8.4891,5.9972e-06,-0.31477,-1.9388e-05,-191.05,0.31334
50,16.64,1.2693,0,1.6555e-05,165.44,6.217e-06,8.9068,4.9888e-06,-0.32173,-1.639e-05,-160.95,0.3336
51,17.31,1.2693,0,1.3824e-05,138.15,5.3397e-06,9.2106,4.0704e-06,-0.32638,-1.3649e-05,-133.46,0.35401
52,17.979,1.2693,0,1.1351e-05,113.43,4.5393e-06,9.4248,3.2408e-06,-0.33138,-1.1165e-05,-108.57,0.37453
53,18.648,1.2693,0,9.1365e-06,91.302,3.8153e-06,9.5653,2.5041e-06,-0.28621,-8.9387e-06,-86.263,0.39515
54,19.317,1.2693,0,7.1737e-06,71.688,3.1769e-06,9.6908,1.8407e-06,-0.34875,-6.9619e-06,-66.488,0.41585
55,20.004,1.2796,0,5.4433e-06,54.395,2.6032e-06,9.7117,1.2603e-06,-0.37832,-5.2138e-06,-49.022,0.43719
56,20.692,1.2979,0,3.9946e-06,39.918,2.1169e-06,9.7427,7.7595e-07,-0.33254,-3.7379e-06,-34.248,0.45859
57,21.372,1.3164,0,2.8275e-06,28.256,1.7146e-06,9.7188,3.8221e-07,-0.29256,-2.5307e-06,-22.179,0.47975
58,22.04,1.3209,0,1.9545e-06,19.532,1.3891e-06,9.4724,8.301e-08,-0.34128,-1.6045e-06,-13.02,0.50057
59,1.2773,3.9871,0,0.00013604,1359.4,6.0826e-05,-67.251,7.9356e-06,-464.65,-0.00014065,-1581.1,0.0024067
60,1.2861,3.3036,0,0.00013768,1375.9,6.309e-05,-65.974,4.9099e-06,-503.12,-0.00014205,-1607.3,0.0024856
61,1.2809,2.64,0,0.00013778,1376.8,6.3058e-05,-65.816,5.1029e-06,-501.27,-0.00014216,-1607.7,0.0024637
62,1.2762,1.9687,0,0.00013603,1359.4,6.0756e-05,-66.499,8.1614e-06,-461.67,-0.00014063,-1579.7,0.002397
63,22.707,2.0096,0,1.5603e-06,15.592,1.3491e-06,11.258,-1.8266e-07,-0.25085,-1.0126e-06,-6.487,0.52142
64,22.691,2.6891,0,1.674e-06,16.729,1.4589e-06,12.273,-2.1005e-07,-0.26704,-1.0691e-06,-6.7214,0.52091
65,22.674,3.3635,0,1.6826e-06,16.814,1.4621e-06,12.264,-2.0586e-07,-0.26887,-1.0811e-06,-6.8447,0.52036
66,22.676,4.0438,0,1.5656e-06,15.645,1.344e-06,11.135,-1.718e-07,-0.25498,-1.0302e-06,-6.7047,0.5204
67,21.998,4.7233,0,1.9838e-06,19.824,1.3845e-06,9.2517,1.0717e-07,-0.34576,-1.6495e-06,-13.545,0.49922
68,21.324,4.7307,0,2.8893e-06,28.873,1.7212e-06,9.4904,4.1195e-07,-0.34659,-2.6051e-06,-23.015,0.47819
69,20.655,4.7307,0,4.0583e-06,40.555,2.1285e-06,9.6294,8.0612e-07,-0.30678,-3.8073e-06,-34.97,0.45736
70,19.986,4.7307,0,5.4876e-06,54.838,2.6158e-06,9.7032,1.2785e-06,-0.34504,-5.2588e-06,-49.464,0.43655
71,19.317,4.7307,0,7.1808e-06,71.759,3.1785e-06,9.6808,1.8434e-06,-0.35076,-6.9693e-06,-66.566,0.41579
72,18.648,4.7307,0,9.1377e-06,91.314,3.817e-06,9.5775,2.5032e-06,-0.29421,-8.9396e-06,-86.271,0.39509
73,17.979,4.7307,0,1.1349e-05,113.42,4.5386e-06,9.429,3.2411e-06,-0.3197,-1.1163e-05,-108.55,0.37447
74,17.31,4.7307,0,1.3824e-05,138.15,5.3397e-06,9.2191,4.071e-06,-0.3135,-1.3648e-05,-133.45,0.35394
