Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	5.0893	2.5213	0.	2531.3
2	5.4139	3.3868	0.	2028.6
3	6.3312	2.6784	0.	1125.7
4	6.1686	3.7403	0.	1158.5
5	4.5241	2.0111	0.	1476.
6	9.176	2.7749	0.	616.45
7	4.8671	3.1049	0.	2050.4
8	5.325	2.6032	0.	2205.4
9	22.09	2.0488	0.	22.59
10	22.127	4.0267	0.	22.29
11	20.311	4.1459	0.	49.537
12	18.448	4.3472	0.	101.95
13	16.524	4.3781	0.	173.19
14	14.655	4.3472	0.	263.35
15	12.758	4.3987	0.	373.74
16	10.858	4.4461	0.	502.27
17	8.9502	4.3991	0.	592.49
18	7.6272	3.6505	0.	785.7
19	6.7658	4.3403	0.	746.75
20	7.3258	1.1503	0.	649.65
21	9.1385	1.3406	0.	631.88
22	10.89	1.3775	0.	498.33
23	12.764	1.4596	0.	373.87
24	14.636	1.4671	0.	264.58
25	16.504	1.4895	0.	172.99
26	18.38	1.6596	0.	104.82
27	20.186	2.1729	0.	55.491
28	3.5618	1.5805	0.	1060.6
29	2.0779	2.2326	0.	1311.
30	1.6064	4.1896	0.	1385.5
31	3.2207	4.68	0.	1057.9
32	4.6264	2.9034	0.	1619.2
33	4.1338	3.2813	0.	1320.6
34	5.8046	3.0752	0.	1840.5
35	6.6678	3.3673	0.	809.1
36	7.3958	2.3562	0.	675.08
37	18.349	2.8487	0.	105.99
38	16.497	2.9562	0.	173.14
39	14.635	2.9328	0.	263.83
40	12.749	2.9137	0.	372.46
41	10.863	2.906	0.	498.43
42	3.5884	3.7057	0.	1126.3
43	7.0848	5.1647	0.	721.61
44	7.0848	5.1647	0.1	721.61
45	3.5884	3.7057	0.1	1126.3
46	10.863	2.906	0.1	498.43
47	12.749	2.9137	0.1	372.46
48	14.635	2.9328	0.1	263.83
49	16.497	2.9562	0.1	173.14
50	18.349	2.8487	0.1	105.99
51	7.3958	2.3562	0.1	675.08
52	6.6678	3.3673	0.1	809.1
53	5.8046	3.0752	0.1	1840.5
54	4.1338	3.2813	0.1	1320.6
55	4.6264	2.9034	0.1	1619.2
56	3.2207	4.68	0.1	1057.9
57	1.6064	4.1896	0.1	1385.5
58	2.0779	2.2326	0.1	1311.
59	3.5618	1.5805	0.1	1060.6
60	20.186	2.1729	0.1	55.491
61	18.38	1.6596	0.1	104.82
62	16.504	1.4895	0.1	172.99
63	14.636	1.4671	0.1	264.58
64	12.764	1.4596	0.1	373.87
65	10.89	1.3775	0.1	498.33
66	9.1385	1.3406	0.1	631.88
67	7.3258	1.1503	0.1	649.65
68	6.7658	4.3403	0.1	746.75
69	7.6272	3.6505	0.1	785.7
70	8.9502	4.3991	0.1	592.49
71	10.858	4.4461	0.1	502.27
72	12.758	4.3987	0.1	373.74
73	14.655	4.3472	0.1	263.35
74	16.524	4.3781	0.1	173.19
75	18.448	4.3472	0.1	101.95
76	20.311	4.1459	0.1	49.537
77	22.127	4.0267	0.1	22.29
78	22.09	2.0488	0.1	22.59
79	5.325	2.6032	0.1	2205.4
80	4.8671	3.1049	0.1	2050.4
81	9.176	2.7749	0.1	616.45
82	4.5241	2.0111	0.1	1476.
83	6.1686	3.7403	0.1	1158.5
84	6.3312	2.6784	0.1	1125.7
85	5.4139	3.3868	0.1	2028.6
86	5.0893	2.5213	0.1	2531.3
87	5.2667	5.	0.1	732.26
88	5.2667	4.5	0.1	1420.5
89	5.2667	4.	0.1	3509.3
90	5.1	4.	0.1	3557.9
91	5.1	4.5	0.1	1897.6
92	5.1	5.	0.1	1159.2
93	5.2667	1.	0.1	932.93
94	5.2667	1.5	0.1	1752.5
95	5.2667	2.	0.1	3497.1
96	5.1	2.	0.1	4694.2
97	5.1	1.5	0.1	1607.8
98	5.1	1.	0.1	1396.4
99	5.2667	6.	0.1	555.09
