Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	5.0893	2.5213	0.	1.1559e-004
2	5.4139	3.3868	0.	9.488e-005
3	6.3312	2.6784	0.	4.2564e-005
4	6.1686	3.7403	0.	4.2801e-005
5	4.5241	2.0111	0.	8.9561e-005
6	9.176	2.7749	0.	2.2703e-005
7	4.8671	3.1049	0.	8.6361e-005
8	5.325	2.6032	0.	1.0456e-004
9	22.09	2.0488	0.	1.5303e-006
10	22.127	4.0267	0.	1.5074e-006
11	20.311	4.1459	0.	2.3764e-006
12	18.448	4.3472	0.	4.0412e-006
13	16.524	4.3781	0.	6.3984e-006
14	14.655	4.3472	0.	9.1729e-006
15	12.758	4.3987	0.	1.2388e-005
16	10.858	4.4461	0.	1.717e-005
17	8.9502	4.3991	0.	2.3325e-005
18	7.6272	3.6505	0.	3.0335e-005
19	6.7658	4.3403	0.	2.9243e-005
20	7.3258	1.1503	0.	2.5856e-005
21	9.1385	1.3406	0.	2.2445e-005
22	10.89	1.3775	0.	1.6389e-005
23	12.764	1.4596	0.	1.2414e-005
24	14.636	1.4671	0.	9.1404e-006
25	16.504	1.4895	0.	6.3232e-006
26	18.38	1.6596	0.	4.0136e-006
27	20.186	2.1729	0.	2.4638e-006
28	3.5618	1.5805	0.	3.7423e-005
29	2.0779	2.2326	0.	7.6084e-005
30	1.6064	4.1896	0.	8.1261e-005
31	3.2207	4.68	0.	3.3698e-005
32	4.6264	2.9034	0.	6.8269e-005
33	4.1338	3.2813	0.	5.4861e-005
34	5.8046	3.0752	0.	6.8959e-005
35	6.6678	3.3673	0.	3.0146e-005
36	7.3958	2.3562	0.	2.2976e-005
37	18.349	2.8487	0.	4.1637e-006
38	16.497	2.9562	0.	6.4163e-006
39	14.635	2.9328	0.	9.1468e-006
40	12.749	2.9137	0.	1.2224e-005
41	10.863	2.906	0.	1.7589e-005
42	3.5884	3.7057	0.	3.9643e-005
43	7.0848	5.1647	0.	3.0807e-005
