Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	5.0893	2.5213	0.	-2276.3
2	5.4139	3.3868	0.	-1788.3
3	6.3312	2.6784	0.	-1171.4
4	6.1686	3.7403	0.	-1194.1
5	4.5241	2.0111	0.	-1154.1
6	9.176	2.7749	0.	-623.14
7	4.8671	3.1049	0.	-2001.3
8	5.325	2.6032	0.	-1936.4
9	22.09	2.0488	0.	-17.518
10	22.127	4.0267	0.	-17.154
11	20.311	4.1459	0.	-46.073
12	18.448	4.3472	0.	-98.758
13	16.524	4.3781	0.	-170.64
14	14.655	4.3472	0.	-262.35
15	12.758	4.3987	0.	-377.56
16	10.858	4.4461	0.	-506.74
17	8.9502	4.3991	0.	-611.
18	7.6272	3.6505	0.	-775.3
19	6.7658	4.3403	0.	-828.03
20	7.3258	1.1503	0.	-627.44
21	9.1385	1.3406	0.	-618.82
22	10.89	1.3775	0.	-504.46
23	12.764	1.4596	0.	-373.93
24	14.636	1.4671	0.	-263.37
25	16.504	1.4895	0.	-171.57
26	18.38	1.6596	0.	-102.43
27	20.186	2.1729	0.	-54.792
28	3.5618	1.5805	0.	-1061.
29	2.0779	2.2326	0.	-1188.
30	1.6064	4.1896	0.	-1230.8
31	3.2207	4.68	0.	-1144.2
32	4.6264	2.9034	0.	-1594.8
33	4.1338	3.2813	0.	-1347.6
34	5.8046	3.0752	0.	-1780.2
35	6.6678	3.3673	0.	-797.15
36	7.3958	2.3562	0.	-750.99
37	18.349	2.8487	0.	-104.63
38	16.497	2.9562	0.	-171.5
39	14.635	2.9328	0.	-263.03
40	12.749	2.9137	0.	-375.39
41	10.863	2.906	0.	-505.69
42	3.5884	3.7057	0.	-1251.3
43	7.0848	5.1647	0.	-668.83
44	7.0848	5.1647	0.1	-89.998
45	3.5884	3.7057	0.1	76.495
46	10.863	2.906	0.1	-2.9175
47	12.749	2.9137	0.1	2.7515
48	14.635	2.9328	0.1	-3.8365
49	16.497	2.9562	0.1	-6.367
50	18.349	2.8487	0.1	-5.8322
51	7.3958	2.3562	0.1	52.085
52	6.6678	3.3673	0.1	-34.152
53	5.8046	3.0752	0.1	-105.47
54	4.1338	3.2813	0.1	-59.158
55	4.6264	2.9034	0.1	-123.67
56	3.2207	4.68	0.1	73.65
57	1.6064	4.1896	0.1	-342.47
58	2.0779	2.2326	0.1	-300.62
59	3.5618	1.5805	0.1	-17.47
60	20.186	2.1729	0.1	-4.9406
61	18.38	1.6596	0.1	-5.8306
62	16.504	1.4895	0.1	-5.5653
63	14.636	1.4671	0.1	-3.91
64	12.764	1.4596	0.1	-0.4641
65	10.89	1.3775	0.1	5.0687
66	9.1385	1.3406	0.1	-21.497
67	7.3258	1.1503	0.1	-48.69
68	6.7658	4.3403	0.1	29.521
69	7.6272	3.6505	0.1	-39.794
70	8.9502	4.3991	0.1	-12.964
71	10.858	4.4461	0.1	-1.0095
72	12.758	4.3987	0.1	2.5001
73	14.655	4.3472	0.1	-4.2962
74	16.524	4.3781	0.1	-6.9082
75	18.448	4.3472	0.1	-7.3026
76	20.311	4.1459	0.1	-7.7523
77	22.127	4.0267	0.1	-8.5149
78	22.09	2.0488	0.1	-8.5112
79	5.325	2.6032	0.1	-427.58
80	4.8671	3.1049	0.1	-170.08
81	9.176	2.7749	0.1	-12.17
82	4.5241	2.0111	0.1	-511.45
83	6.1686	3.7403	0.1	-6.4047
84	6.3312	2.6784	0.1	-4.5517
85	5.4139	3.3868	0.1	-379.28
86	5.0893	2.5213	0.1	-420.
87	5.2667	5.	0.1	57.21
88	5.2667	4.5	0.1	-137.93
89	5.2667	4.	0.1	163.93
90	5.1	4.	0.1	374.23
91	5.1	4.5	0.1	161.42
92	5.1	5.	0.1	83.398
93	5.2667	1.	0.1	70.688
94	5.2667	1.5	0.1	89.051
95	5.2667	2.	0.1	458.96
96	5.1	2.	0.1	343.08
97	5.1	1.5	0.1	-62.19
98	5.1	1.	0.1	-29.966
99	5.2667	6.	0.1	8.3232
100	7.14	6.	0.1	-47.417
101	9.0133	6.	0.1	-27.728
102	10.887	6.	0.1	-6.0484
103	12.76	6.	0.1	2.2893
104	14.633	6.	0.1	-4.5916
105	16.507	6.	0.1	-9.7636
106	18.38	6.	0.1	-9.1339
107	20.253	6.	0.1	-9.207
108	22.127	6.	0.1	-10.147
109	24.	6.	0.1	-6.4412
110	24.	4.	0.1	-6.1612
111	24.	2.	0.1	-6.1919
112	1.7484e-014	2.	0.1	973.4
113	3.4968e-014	4.	0.1	968.54
114	24.	0.	0.1	-6.987
115	22.127	0.	0.1	-12.758
116	20.253	0.	0.1	-11.486
117	18.38	0.	0.1	-9.1909
118	16.507	0.	0.1	-8.5292
119	14.633	0.	0.1	-7.6193
120	12.76	0.	0.1	-6.1081
121	10.887	0.	0.1	-3.9505
122	9.0133	0.	0.1	-24.596
123	7.14	0.	0.1	-73.907
124	5.2667	0.	0.1	-82.843
125	5.1	0.	0.1	128.02
126	3.4	1.4558e-030	0.1	-28.009
127	1.7	7.2791e-031	0.1	-293.5
128	0.	0.	0.1	787.04
129	3.937e-014	6.	0.1	717.74
130	1.7	6.	0.1	-262.15
131	3.4	6.	0.1	25.421
132	5.1	6.	0.1	20.606
133	3.4	6.	0.	-1044.3
134	1.7	6.	0.	-1230.1
135	5.1	6.	0.	-846.36
136	3.937e-014	6.	0.	-1593.3
137	1.7	7.2791e-031	0.	-1151.5
138	3.4	1.4558e-030	0.	-1022.1
139	5.1	0.	0.	-784.82
140	0.	0.	0.	-1673.5
141	7.14	0.	0.	-527.01
142	9.0133	0.	0.	-620.22
143	10.887	0.	0.	-503.55
144	12.76	0.	0.	-375.31
145	14.633	0.	0.	-264.4
146	16.507	0.	0.	-171.11
147	18.38	0.	0.	-98.883
148	20.253	0.	0.	-42.316
149	22.127	0.	0.	-15.735
150	5.2667	0.	0.	-596.81
151	24.	0.	0.	-5.6811
152	3.4968e-014	4.	0.	-1979.1
153	1.7484e-014	2.	0.	-1986.7
154	24.	2.	0.	-7.6765
155	24.	4.	0.	-7.4359
156	24.	6.	0.	-4.46
157	22.127	6.	0.	-14.719
158	20.253	6.	0.	-44.127
159	18.38	6.	0.	-99.053
160	16.507	6.	0.	-172.01
161	14.633	6.	0.	-265.02
162	12.76	6.	0.	-381.07
163	10.887	6.	0.	-516.59
164	9.0133	6.	0.	-599.29
165	7.14	6.	0.	-549.57
166	5.2667	6.	0.	-574.15
167	5.1	1.5	0.	-1611.8
168	5.1	1.	0.	-1451.
169	5.1	2.	0.	-5248.8
170	5.2667	1.	0.	-1018.3
171	5.2667	1.5	0.	-1884.6
172	5.2667	2.	0.	-4033.4
173	5.1	4.5	0.	-2076.4
174	5.1	5.	0.	-1274.7
175	5.1	4.	0.	-3981.2
176	5.2667	5.	0.	-811.51
177	5.2667	4.5	0.	-1408.6
178	5.2667	4.	0.	-3805.1
179	4.9782	2.8131	0.	-2138.7
180	5.2071	2.5623	0.	-2099.4
181	5.0893	2.5213	5.e-002	-89.838
182	5.0946	2.2607	0.	-3744.2
183	5.1405	3.2458	0.	-1893.6
184	5.6092	3.231	0.	-1782.3
185	5.4139	3.3868	5.e-002	-50.316
186	5.3403	3.6934	0.	-2761.6
187	6.0679	2.8768	0.	-1475.3
188	6.4995	3.0229	0.	-984.14
189	6.8635	2.5173	0.	-961.05
190	6.3312	2.6784	5.e-002	-54.641
191	5.799	2.3392	0.	-2582.
192	6.4672	4.0403	0.	-1010.9
193	5.9866	3.4078	0.	-1485.2
194	6.4182	3.5538	0.	-992.56
195	6.1686	3.7403	5.e-002	-49.231
196	5.7176	3.8701	0.	-2480.2
197	4.043	1.7958	0.	-1103.9
198	4.5753	2.4573	0.	-1359.8
199	4.5241	2.0111	5.e-002	-57.212
200	4.812	1.7556	0.	-1365.6
