Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	5.0893	2.5213	0.	3.3836e-002
2	5.4139	3.3868	0.	3.8728e-002
3	6.3312	2.6784	0.	5.4497e-002
4	6.1686	3.7403	0.	5.136e-002
5	4.5241	2.0111	0.	2.623e-002
6	9.176	2.7749	0.	0.11399
7	4.8671	3.1049	0.	3.102e-002
8	5.325	2.6032	0.	3.7346e-002
9	22.09	2.0488	0.	0.46805
10	22.127	4.0267	0.	0.46914
11	20.311	4.1459	0.	0.41598
12	18.448	4.3472	0.	0.36176
13	16.524	4.3781	0.	0.30648
14	14.655	4.3472	0.	0.25402
15	12.758	4.3987	0.	0.2026
16	10.858	4.4461	0.	0.15382
17	8.9502	4.3991	0.	0.10853
18	7.6272	3.6505	0.	8.0016e-002
19	6.7658	4.3403	0.	6.2305e-002
20	7.3258	1.1503	0.	7.32e-002
21	9.1385	1.3406	0.	0.11265
22	10.89	1.3775	0.	0.15453
23	12.764	1.4596	0.	0.20274
24	14.636	1.4671	0.	0.25346
25	16.504	1.4895	0.	0.30589
26	18.38	1.6596	0.	0.3598
27	20.186	2.1729	0.	0.41236
28	3.5618	1.5805	0.	1.6188e-002
29	2.0779	2.2326	0.	5.7397e-003
30	1.6064	4.1896	0.	3.3766e-003
31	3.2207	4.68	0.	1.3074e-002
32	4.6264	2.9034	0.	2.7973e-002
33	4.1338	3.2813	0.	2.2273e-002
34	5.8046	3.0752	0.	4.5172e-002
35	6.6678	3.3673	0.	6.0865e-002
36	7.3958	2.3562	0.	7.5275e-002
37	18.349	2.8487	0.	0.35896
38	16.497	2.9562	0.	0.30586
39	14.635	2.9328	0.	0.25364
40	12.749	2.9137	0.	0.20261
41	10.863	2.906	0.	0.15425
42	3.5884	3.7057	0.	1.6749e-002
43	7.0848	5.1647	0.	6.8012e-002
44	7.0848	5.1647	0.1	6.8012e-002
45	3.5884	3.7057	0.1	1.6749e-002
46	10.863	2.906	0.1	0.15425
47	12.749	2.9137	0.1	0.20261
48	14.635	2.9328	0.1	0.25364
49	16.497	2.9562	0.1	0.30586
50	18.349	2.8487	0.1	0.35896
51	7.3958	2.3562	0.1	7.5275e-002
52	6.6678	3.3673	0.1	6.0865e-002
53	5.8046	3.0752	0.1	4.5172e-002
54	4.1338	3.2813	0.1	2.2273e-002
55	4.6264	2.9034	0.1	2.7973e-002
56	3.2207	4.68	0.1	1.3074e-002
57	1.6064	4.1896	0.1	3.3766e-003
58	2.0779	2.2326	0.1	5.7397e-003
59	3.5618	1.5805	0.1	1.6188e-002
60	20.186	2.1729	0.1	0.41236
61	18.38	1.6596	0.1	0.3598
62	16.504	1.4895	0.1	0.30589
63	14.636	1.4671	0.1	0.25346
64	12.764	1.4596	0.1	0.20274
65	10.89	1.3775	0.1	0.15453
66	9.1385	1.3406	0.1	0.11265
67	7.3258	1.1503	0.1	7.32e-002
68	6.7658	4.3403	0.1	6.2305e-002
69	7.6272	3.6505	0.1	8.0016e-002
70	8.9502	4.3991	0.1	0.10853
71	10.858	4.4461	0.1	0.15382
72	12.758	4.3987	0.1	0.2026
73	14.655	4.3472	0.1	0.25402
74	16.524	4.3781	0.1	0.30648
75	18.448	4.3472	0.1	0.36176
76	20.311	4.1459	0.1	0.41598
77	22.127	4.0267	0.1	0.46914
78	22.09	2.0488	0.1	0.46805
79	5.325	2.6032	0.1	3.7346e-002
80	4.8671	3.1049	0.1	3.102e-002
81	9.176	2.7749	0.1	0.11399
82	4.5241	2.0111	0.1	2.623e-002
83	6.1686	3.7403	0.1	5.136e-002
84	6.3312	2.6784	0.1	5.4497e-002
85	5.4139	3.3868	0.1	3.8728e-002
86	5.0893	2.5213	0.1	3.3836e-002
87	5.2667	5.	0.1	3.3494e-002
88	5.2667	4.5	0.1	3.4538e-002
89	5.2667	4.	0.1	3.5633e-002
90	5.1	4.	0.1	3.3191e-002
91	5.1	4.5	0.1	3.2073e-002
92	5.1	5.	0.1	3.0917e-002
93	5.2667	1.	0.1	3.3496e-002
94	5.2667	1.5	0.1	3.454e-002
95	5.2667	2.	0.1	3.5604e-002
96	5.1	2.	0.1	3.3183e-002
97	5.1	1.5	0.1	3.2017e-002
98	5.1	1.	0.1	3.0796e-002
99	5.2667	6.	0.1	3.1529e-002
100	7.14	6.	0.1	6.8217e-002
101	9.0133	6.	0.1	0.10874
102	10.887	6.	0.1	0.15347
103	12.76	6.	0.1	0.20181
104	14.633	6.	0.1	0.25276
105	16.507	6.	0.1	0.30554
106	18.38	6.	0.1	0.3595
107	20.253	6.	0.1	0.41411
108	22.127	6.	0.1	0.46901
109	24.	6.	0.1	0.52401
110	24.	4.	0.1	0.52409
111	24.	2.	0.1	0.5241
112	1.7484e-014	2.	0.1	0.
113	3.4968e-014	4.	0.1	0.
114	24.	0.	0.1	0.52403
115	22.127	0.	0.1	0.46902
116	20.253	0.	0.1	0.41412
117	18.38	0.	0.1	0.35951
118	16.507	0.	0.1	0.30556
119	14.633	0.	0.1	0.25278
120	12.76	0.	0.1	0.20182
121	10.887	0.	0.1	0.15346
122	9.0133	0.	0.1	0.10859
123	7.14	0.	0.1	6.8139e-002
124	5.2667	0.	0.1	3.1574e-002
125	5.1	0.	0.1	2.8314e-002
126	3.4	1.4558e-030	0.1	1.3033e-002
127	1.7	7.2791e-031	0.1	3.1728e-003
128	0.	0.	0.1	0.
129	3.937e-014	6.	0.1	0.
130	1.7	6.	0.1	3.0789e-003
131	3.4	6.	0.1	1.2992e-002
132	5.1	6.	0.1	2.8586e-002
133	3.4	6.	0.	1.2992e-002
134	1.7	6.	0.	3.0789e-003
135	5.1	6.	0.	2.8586e-002
136	3.937e-014	6.	0.	0.
137	1.7	7.2791e-031	0.	3.1728e-003
138	3.4	1.4558e-030	0.	1.3033e-002
139	5.1	0.	0.	2.8314e-002
140	0.	0.	0.	0.
141	7.14	0.	0.	6.8139e-002
142	9.0133	0.	0.	0.10859
143	10.887	0.	0.	0.15346
144	12.76	0.	0.	0.20182
145	14.633	0.	0.	0.25278
146	16.507	0.	0.	0.30556
147	18.38	0.	0.	0.35951
148	20.253	0.	0.	0.41412
149	22.127	0.	0.	0.46902
150	5.2667	0.	0.	3.1574e-002
151	24.	0.	0.	0.52403
152	3.4968e-014	4.	0.	0.
153	1.7484e-014	2.	0.	0.
154	24.	2.	0.	0.5241
155	24.	4.	0.	0.52409
156	24.	6.	0.	0.52401
157	22.127	6.	0.	0.46901
158	20.253	6.	0.	0.41411
159	18.38	6.	0.	0.3595
160	16.507	6.	0.	0.30554
161	14.633	6.	0.	0.25276
162	12.76	6.	0.	0.20181
163	10.887	6.	0.	0.15347
164	9.0133	6.	0.	0.10874
165	7.14	6.	0.	6.8217e-002
166	5.2667	6.	0.	3.1529e-002
167	5.1	1.5	0.	3.2017e-002
168	5.1	1.	0.	3.0796e-002
169	5.1	2.	0.	3.3183e-002
170	5.2667	1.	0.	3.3496e-002
171	5.2667	1.5	0.	3.454e-002
172	5.2667	2.	0.	3.5604e-002
173	5.1	4.5	0.	3.2073e-002
174	5.1	5.	0.	3.0917e-002
175	5.1	4.	0.	3.3191e-002
176	5.2667	5.	0.	3.3494e-002
177	5.2667	4.5	0.	3.4538e-002
178	5.2667	4.	0.	3.5633e-002
179	4.9782	2.8131	0.	3.2489e-002
180	5.2071	2.5623	0.	3.5562e-002
181	5.0893	2.5213	5.e-002	3.3827e-002
182	5.0946	2.2607	0.	3.3576e-002
183	5.1405	3.2458	0.	3.4739e-002
184	5.6092	3.231	0.	4.1898e-002
185	5.4139	3.3868	5.e-002	3.8719e-002
186	5.3403	3.6934	0.	3.7296e-002
187	6.0679	2.8768	0.	4.9739e-002
188	6.4995	3.0229	0.	5.7691e-002
189	6.8635	2.5173	0.	6.464e-002
190	6.3312	2.6784	5.e-002	5.4489e-002
191	5.799	2.3392	0.	4.4812e-002
192	6.4672	4.0403	0.	5.6752e-002
193	5.9866	3.4078	0.	4.8233e-002
194	6.4182	3.5538	0.	5.6068e-002
195	6.1686	3.7403	5.e-002	5.135e-002
196	5.7176	3.8701	0.	4.3266e-002
197	4.043	1.7958	0.	2.0939e-002
198	4.5753	2.4573	0.	2.7211e-002
199	4.5241	2.0111	5.e-002	2.6224e-002
200	4.812	1.7556	0.	2.9161e-002
201	9.0631	3.587	0.	0.11136
202	9.1573	2.0577	0.	0.11342
203	8.2859	2.5655	0.	9.4113e-002
204	10.019	2.8405	0.	0.13372
205	9.176	2.7749	5.e-002	0.11398
206	5.096	2.854	0.	3.4135e-002
207	4.7468	3.0041	0.	2.9471e-002
208	4.8671	3.1049	5.e-002	3.1012e-002
209	4.9836	3.5524	0.	3.2304e-002
210	5.5648	2.8392	0.	4.12e-002
211	5.325	2.6032	5.e-002	3.7337e-002
212	5.2958	2.3016	0.	3.657e-002
213	22.108	3.0377	0.	0.46861
214	21.138	2.1109	0.	0.44018
215	22.09	2.0488	5.e-002	0.46805
216	22.108	1.0244	0.	0.46855
217	23.045	2.0244	0.	0.49607
218	21.219	4.0863	0.	0.44254
219	22.127	4.0267	5.e-002	0.46914
220	23.064	4.0133	0.	0.49661
221	22.127	5.0133	0.	0.46909
222	19.379	4.2465	0.	0.38881
223	20.249	3.1594	0.	0.4142
224	20.311	4.1459	5.e-002	0.41598
225	20.282	5.073	0.	0.41506
226	17.486	4.3626	0.	0.334
227	18.398	3.5979	0.	0.36038
228	18.448	4.3472	5.e-002	0.36175
229	18.414	5.1736	0.	0.36065
230	15.589	4.3626	0.	0.28007
231	16.511	3.6671	0.	0.3062
232	16.524	4.3781	5.e-002	0.30648
233	16.515	5.189	0.	0.30605
234	13.706	4.3729	0.	0.22803
235	14.645	3.64	0.	0.25387
236	14.655	4.3472	5.e-002	0.25401
237	14.644	5.1736	0.	0.25345
238	11.808	4.4224	0.	0.17782
239	12.753	3.6562	0.	0.20267
