Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	5.4909	3.2277	0.	3.6285e-002
2	4.7282	2.8577	0.	2.6668e-002
3	6.2982	2.9901	0.	4.9049e-002
4	3.5822	2.4916	0.	1.5449e-002
5	5.7495	2.9506	0.	4.0262e-002
6	5.2804	2.9151	0.	3.347e-002
7	5.4886	2.5649	0.	3.6327e-002
8	21.324	3.1765	0.	0.4024
9	18.648	3.3531	0.	0.33132
10	15.971	3.3531	0.	0.26166
11	13.295	3.3531	0.	0.19482
12	10.619	3.1765	0.	0.13294
13	7.9397	3.0218	0.	7.836e-002
14	2.1855	3.6479	0.	5.8666e-003
15	2.1855	3.6479	0.1	5.8666e-003
16	7.9397	3.0218	0.1	7.836e-002
17	10.619	3.1765	0.1	0.13294
18	13.295	3.3531	0.1	0.19482
19	15.971	3.3531	0.1	0.26166
20	18.648	3.3531	0.1	0.33132
21	21.324	3.1765	0.1	0.4024
22	5.4886	2.5649	0.1	3.6327e-002
23	5.2804	2.9151	0.1	3.347e-002
24	5.7495	2.9506	0.1	4.0262e-002
25	3.5822	2.4916	0.1	1.5449e-002
26	6.2982	2.9901	0.1	4.9049e-002
27	4.7282	2.8577	0.1	2.6668e-002
28	5.4909	3.2277	0.1	3.6285e-002
29	5.2667	5.	0.1	3.0172e-002
30	5.2667	4.5	0.1	3.1014e-002
31	5.2667	4.	0.1	3.2093e-002
32	5.1	4.	0.1	2.9876e-002
33	5.1	4.5	0.1	2.8861e-002
34	5.1	5.	0.1	2.7905e-002
35	5.2667	1.	0.1	3.143e-002
36	5.2667	1.5	0.1	3.2048e-002
37	5.2667	2.	0.1	3.2642e-002
38	5.1	2.	0.1	3.0399e-002
39	5.1	1.5	0.1	2.9487e-002
40	5.1	1.	0.1	2.8707e-002
41	5.2667	6.	0.1	2.8405e-002
42	7.9429	6.	0.1	7.5837e-002
43	10.619	6.	0.1	0.13095
44	13.295	6.	0.1	0.19327
45	15.971	6.	0.1	0.26039
46	18.648	6.	0.1	0.33028
47	21.324	6.	0.1	0.40149
48	24.	6.	0.1	0.47312
49	24.	3.	0.1	0.47396
50	2.6226e-014	3.	0.1	0.
51	24.	0.	0.1	0.47473
52	21.324	0.	0.1	0.40308
53	18.648	0.	0.1	0.33187
54	15.971	0.	0.1	0.262
55	13.295	0.	0.1	0.19491
56	10.619	0.	0.1	0.13262
57	7.9429	0.	0.1	7.7579e-002
58	5.2667	0.	0.1	2.9978e-002
59	5.1	0.	0.1	2.7188e-002
60	2.55	1.0919e-030	0.1	7.4356e-003
61	0.	0.	0.1	0.
62	3.937e-014	6.	0.1	0.
63	2.55	6.	0.1	6.9932e-003
64	5.1	6.	0.1	2.5937e-002
65	2.55	6.	0.	6.9932e-003
66	5.1	6.	0.	2.5937e-002
67	3.937e-014	6.	0.	0.
68	2.55	1.0919e-030	0.	7.4356e-003
69	5.1	0.	0.	2.7188e-002
70	0.	0.	0.	0.
71	7.9429	0.	0.	7.7579e-002
