Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	5.1546	2.6656	0.	495.93
2	5.2829	3.4468	0.	119.97
3	4.6589	2.8677	0.	201.09
4	3.9014	2.0031	0.	248.43
5	5.1842	3.4309	0.	199.47
6	5.7301	3.2027	0.	355.15
7	20.878	3.	0.	5.7158
8	17.756	3.0545	0.	5.2761
9	14.65	3.0001	0.	-8.737
10	11.578	3.0035	0.	11.339
11	6.7174	3.9263	0.	147.57
12	2.426	3.9259	0.	304.12
13	7.0013	3.0472	0.	276.58
14	4.9693	3.2757	0.	150.31
15	5.1137	3.1295	0.	140.86
16	5.3735	3.2641	0.	216.68
17	8.6577	2.4682	0.	-5.99
18	8.6577	2.4682	0.1	555.4
19	5.3735	3.2641	0.1	1830.2
20	5.1137	3.1295	0.1	2131.4
21	4.9693	3.2757	0.1	2021.7
22	7.0013	3.0472	0.1	657.55
23	2.426	3.9259	0.1	1006.1
24	6.7174	3.9263	0.1	650.35
25	11.578	3.0035	0.1	445.69
26	14.65	3.0001	0.1	271.23
27	17.756	3.0545	0.1	128.75
28	20.878	3.	0.1	44.946
29	5.7301	3.2027	0.1	1303.4
30	5.1842	3.4309	0.1	2152.8
31	3.9014	2.0031	0.1	1062.3
32	4.6589	2.8677	0.1	1704.8
33	5.2829	3.4468	0.1	1846.
34	5.1546	2.6656	0.1	1863.6
35	5.2667	5.	0.1	1138.3
36	5.2667	4.5	0.1	1881.9
37	5.2667	4.	0.1	4055.2
38	5.1	4.	0.1	4419.9
39	5.1	4.5	0.1	998.42
40	5.1	5.	0.1	1450.5
41	5.2667	1.	0.1	1234.7
42	5.2667	1.5	0.1	1720.5
43	5.2667	2.	0.1	3290.2
44	5.1	2.	0.1	4856.9
45	5.1	1.5	0.1	1692.9
46	5.1	1.	0.1	1020.
47	5.2667	6.	0.1	635.81
48	8.3889	6.	0.1	547.87
49	11.511	6.	0.1	456.27
50	14.633	6.	0.1	274.82
51	17.756	6.	0.1	130.33
52	20.878	6.	0.1	45.52
53	24.	6.	0.1	23.155
54	24.	3.	0.1	19.296
55	2.6226e-014	3.	0.1	1848.7
56	24.	0.	0.1	25.925
57	20.878	0.	0.1	47.359
58	17.756	0.	0.1	128.68
59	14.633	0.	0.1	276.19
60	11.511	0.	0.1	458.85
61	8.3889	0.	0.1	486.56
62	5.2667	0.	0.1	642.85
63	5.1	0.	0.1	1110.
64	2.55	1.0919e-030	0.1	920.46
65	0.	0.	0.1	1785.3
66	3.937e-014	6.	0.1	1645.
67	2.55	6.	0.1	921.59
68	5.1	6.	0.1	1228.4
69	2.55	6.	0.	334.59
70	5.1	6.	0.	-48.385
71	3.937e-014	6.	0.	-751.19
72	2.55	1.0919e-030	0.	323.55
73	5.1	0.	0.	78.298
74	0.	0.	0.	-814.31
75	8.3889	0.	0.	39.825
76	11.511	0.	0.	17.066
77	14.633	0.	0.	0.6641
78	17.756	0.	0.	12.562
79	20.878	0.	0.	12.391
80	5.2667	0.	0.	63.614
81	24.	0.	0.	1.4194
82	2.6226e-014	3.	0.	-894.02
83	24.	3.	0.	-5.1397
84	24.	6.	0.	4.9118
85	20.878	6.	0.	11.851
86	17.756	6.	0.	5.3085
87	14.633	6.	0.	-3.9524
88	11.511	6.	0.	19.456
89	8.3889	6.	0.	17.111
90	5.2667	6.	0.	191.91
91	5.1	1.5	0.	-141.74
92	5.1	1.	0.	-50.77
93	5.1	2.	0.	-348.7
94	5.2667	1.	0.	-15.619
95	5.2667	1.5	0.	-53.279
96	5.2667	2.	0.	-546.01
97	5.1	4.5	0.	992.3
98	5.1	5.	0.	30.262
99	5.1	4.	0.	-92.757
100	5.2667	5.	0.	-177.29
101	5.2667	4.5	0.	-95.53
102	5.2667	4.	0.	-265.95
103	4.9067	2.7667	0.	345.03
104	5.4424	2.9342	0.	423.13
105	5.1342	2.8975	0.	311.24
106	5.1546	2.6656	5.e-002	40.882
107	5.1273	2.3328	0.	-39.465
108	5.2336	3.4389	0.	149.98
109	5.3282	3.3555	0.	163.8
110	5.2829	3.4468	5.e-002	144.7
111	5.2748	3.7234	0.	-90.282
112	4.2801	2.4354	0.	218.93
113	4.8141	3.0717	0.	166.07
114	4.6589	2.8677	5.e-002	16.714
115	4.8794	2.4339	0.	-206.03
116	4.8794	3.6839	0.	413.94
117	4.8794	3.4339	0.	-102.97
118	3.9014	2.0031	5.e-002	57.93
119	3.2257	1.0016	0.	181.7
120	4.5007	1.7516	0.	15.989
121	4.5007	1.5016	0.	10.197
122	4.5007	3.5016	0.	39.818
123	5.149	3.2802	0.	151.53
124	5.1842	3.4309	5.e-002	202.38
125	5.1421	3.7154	0.	-0.47557
126	6.2238	3.5645	0.	241.65
127	5.5518	3.2334	0.	280.13
128	5.7301	3.2027	5.e-002	66.706
129	5.4984	2.6014	0.	-249.24
130	5.4984	3.6014	0.	-164.92
131	19.317	3.0273	0.	5.4958
132	20.878	3.	5.e-002	1.368
133	20.878	1.5	0.	7.4481
134	22.439	3.	0.	0.25863
135	20.878	4.5	0.	7.9034
136	16.203	3.0273	0.	-3.3117
137	17.756	3.0545	5.e-002	1.5433
138	17.756	1.5273	0.	7.75
139	17.756	4.5273	0.	4.7051
140	13.114	3.0018	0.	1.0791
141	14.65	3.0001	5.e-002	1.7969
142	14.642	1.5001	0.	-6.4589
143	14.642	4.5001	0.	-6.5125
144	10.118	2.7359	0.	2.3719
145	11.578	3.0035	5.e-002	9.272
146	11.545	1.5018	0.	14.187
147	11.545	4.5018	0.	15.374
148	6.8593	3.4868	0.	193.24
149	6.7174	3.9263	5.e-002	39.488
150	7.5531	4.9632	0.	54.305
151	5.992	4.4632	0.	-49.985
152	5.992	4.2132	0.	-25.949
153	2.426	3.9259	5.e-002	20.765
154	2.488	4.9629	0.	318.88
155	2.488	1.9629	0.	313.37
156	1.213	3.4629	0.	-300.3
157	3.763	4.4629	0.	162.71
158	7.8295	2.7577	0.	95.703
159	7.0013	3.0472	5.e-002	62.707
