Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	5.1546	2.6656	0.	5.9054e-005
2	5.2829	3.4468	0.	6.5762e-005
3	4.6589	2.8677	0.	3.739e-005
4	3.9014	2.0031	0.	3.0095e-005
5	5.1842	3.4309	0.	6.6226e-005
6	5.7301	3.2027	0.	2.433e-005
7	20.878	3.	0.	6.5017e-007
8	17.756	3.0545	0.	3.5543e-006
9	14.65	3.0001	0.	8.0113e-006
10	11.578	3.0035	0.	1.1464e-005
11	6.7174	3.9263	0.	2.1404e-005
12	2.426	3.9259	0.	5.0887e-006
13	7.0013	3.0472	0.	1.9369e-005
14	4.9693	3.2757	0.	6.0183e-005
15	5.1137	3.1295	0.	6.7553e-005
16	5.3735	3.2641	0.	4.3522e-005
17	8.6577	2.4682	0.	7.4787e-006
18	8.6577	2.4682	0.1	-7.4787e-006
19	5.3735	3.2641	0.1	-4.3522e-005
20	5.1137	3.1295	0.1	-6.7553e-005
21	4.9693	3.2757	0.1	-6.0183e-005
22	7.0013	3.0472	0.1	-1.9369e-005
23	2.426	3.9259	0.1	-5.0887e-006
24	6.7174	3.9263	0.1	-2.1404e-005
25	11.578	3.0035	0.1	-1.1464e-005
26	14.65	3.0001	0.1	-8.0113e-006
27	17.756	3.0545	0.1	-3.5543e-006
28	20.878	3.	0.1	-6.5017e-007
29	5.7301	3.2027	0.1	-2.433e-005
30	5.1842	3.4309	0.1	-6.6226e-005
31	3.9014	2.0031	0.1	-3.0095e-005
32	4.6589	2.8677	0.1	-3.739e-005
33	5.2829	3.4468	0.1	-6.5762e-005
34	5.1546	2.6656	0.1	-5.9054e-005
35	5.2667	5.	0.1	-6.1532e-006
36	5.2667	4.5	0.1	-4.8622e-005
37	5.2667	4.	0.1	-6.5535e-005
38	5.1	4.	0.1	-4.5282e-005
39	5.1	4.5	0.1	-4.7453e-005
40	5.1	5.	0.1	-2.1451e-005
41	5.2667	1.	0.1	-2.805e-005
42	5.2667	1.5	0.1	-4.4007e-006
43	5.2667	2.	0.1	-5.5498e-005
44	5.1	2.	0.1	-9.1094e-005
45	5.1	1.5	0.1	-2.9206e-005
46	5.1	1.	0.1	-1.0322e-005
47	5.2667	6.	0.1	-1.4835e-005
48	8.3889	6.	0.1	-5.8511e-006
49	11.511	6.	0.1	-9.0351e-006
50	14.633	6.	0.1	-7.1888e-006
51	17.756	6.	0.1	-3.6793e-006
52	20.878	6.	0.1	-4.1666e-007
53	24.	6.	0.1	1.7091e-007
54	24.	3.	0.1	-1.3936e-007
55	2.6226e-014	3.	0.1	1.4157e-006
56	24.	0.	0.1	-2.717e-007
57	20.878	0.	0.1	-5.4888e-007
58	17.756	0.	0.1	-3.2946e-006
59	14.633	0.	0.1	-7.345e-006
60	11.511	0.	0.1	-1.324e-005
61	8.3889	0.	0.1	-1.4131e-005
62	5.2667	0.	0.1	-8.1424e-006
63	5.1	0.	0.1	-1.4283e-005
64	2.55	1.0919e-030	0.1	8.952e-007
65	0.	0.	0.1	2.321e-007
66	3.937e-014	6.	0.1	5.527e-006
67	2.55	6.	0.1	-8.0062e-006
68	5.1	6.	0.1	3.8207e-006
69	2.55	6.	0.	8.0062e-006
70	5.1	6.	0.	-3.8207e-006
71	3.937e-014	6.	0.	-5.527e-006
72	2.55	1.0919e-030	0.	-8.952e-007
73	5.1	0.	0.	1.4283e-005
74	0.	0.	0.	-2.321e-007
75	8.3889	0.	0.	1.4131e-005
76	11.511	0.	0.	1.324e-005
77	14.633	0.	0.	7.345e-006
78	17.756	0.	0.	3.2946e-006
79	20.878	0.	0.	5.4888e-007
80	5.2667	0.	0.	8.1424e-006
81	24.	0.	0.	2.717e-007
82	2.6226e-014	3.	0.	-1.4157e-006
83	24.	3.	0.	1.3936e-007
84	24.	6.	0.	-1.7091e-007
85	20.878	6.	0.	4.1666e-007
86	17.756	6.	0.	3.6793e-006
87	14.633	6.	0.	7.1888e-006
88	11.511	6.	0.	9.0351e-006
89	8.3889	6.	0.	5.8511e-006
90	5.2667	6.	0.	1.4835e-005
91	5.1	1.5	0.	2.9206e-005
92	5.1	1.	0.	1.0322e-005
93	5.1	2.	0.	9.1094e-005
94	5.2667	1.	0.	2.805e-005
95	5.2667	1.5	0.	4.4007e-006
96	5.2667	2.	0.	5.5498e-005
97	5.1	4.5	0.	4.7453e-005
98	5.1	5.	0.	2.1451e-005
99	5.1	4.	0.	4.5282e-005
100	5.2667	5.	0.	6.1532e-006
101	5.2667	4.5	0.	4.8622e-005
102	5.2667	4.	0.	6.5535e-005
103	4.9067	2.7667	0.	4.8507e-005
104	5.4424	2.9342	0.	4.1844e-005
105	5.1342	2.8975	0.	6.332e-005
106	5.1546	2.6656	5.e-002	-6.4315e-014
107	5.1273	2.3328	0.	8.9571e-005
108	5.2336	3.4389	0.	6.5571e-005
109	5.3282	3.3555	0.	5.4649e-005
110	5.2829	3.4468	5.e-002	-4.0851e-021
111	5.2748	3.7234	0.	6.7088e-005
112	4.2801	2.4354	0.	3.4274e-005
113	4.8141	3.0717	0.	4.9069e-005
114	4.6589	2.8677	5.e-002	-9.4883e-014
115	4.8794	2.4339	0.	8.1705e-005
116	4.8794	3.6839	0.	3.0692e-005
117	4.8794	3.4339	0.	4.9043e-005
118	3.9014	2.0031	5.e-002	7.6669e-013
119	3.2257	1.0016	0.	2.8222e-005
120	4.5007	1.7516	0.	2.8935e-005
121	4.5007	1.5016	0.	2.9248e-005
122	4.5007	3.5016	0.	2.39e-005
123	5.149	3.2802	0.	6.8707e-005
124	5.1842	3.4309	5.e-002	1.0151e-012
125	5.1421	3.7154	0.	5.3886e-005
126	6.2238	3.5645	0.	2.4093e-005
127	5.5518	3.2334	0.	3.4622e-005
128	5.7301	3.2027	5.e-002	-1.8832e-021
129	5.4984	2.6014	0.	5.0722e-005
130	5.4984	3.6014	0.	7.2226e-005
131	19.317	3.0273	0.	2.1012e-006
132	20.878	3.	5.e-002	1.4211e-013
133	20.878	1.5	0.	5.9721e-007
134	22.439	3.	0.	3.9116e-007
135	20.878	4.5	0.	5.3391e-007
136	16.203	3.0273	0.	5.9929e-006
137	17.756	3.0545	5.e-002	2.2729e-013
138	17.756	1.5273	0.	3.4244e-006
139	17.756	4.5273	0.	3.6174e-006
140	13.114	3.0018	0.	9.765e-006
141	14.65	3.0001	5.e-002	6.1604e-014
142	14.642	1.5001	0.	7.8805e-006
143	14.642	4.5001	0.	7.5893e-006
144	10.118	2.7359	0.	9.5116e-006
145	11.578	3.0035	5.e-002	-2.6176e-022
146	11.545	1.5018	0.	1.2294e-005
147	11.545	4.5018	0.	1.0218e-005
148	6.8593	3.4868	0.	2.289e-005
149	6.7174	3.9263	5.e-002	1.4496e-012
150	7.5531	4.9632	0.	1.735e-005
151	5.992	4.4632	0.	1.4894e-005
152	5.992	4.2132	0.	3.4395e-005
153	2.426	3.9259	5.e-002	-2.2338e-013
154	2.488	4.9629	0.	6.4503e-006
155	2.488	1.9629	0.	1.9244e-006
156	1.213	3.4629	0.	2.4017e-006
157	3.763	4.4629	0.	7.9152e-006
158	7.8295	2.7577	0.	1.8653e-005
159	7.0013	3.0472	5.e-002	6.4547e-014
160	6.134	2.2736	0.	1.5969e-005
161	6.134	2.5236	0.	4.2313e-005
162	5.0415	3.2026	0.	6.3947e-005
163	4.9693	3.2757	5.e-002	-2.9217e-021
164	5.0347	3.6379	0.	5.4264e-005
165	5.2436	3.1968	0.	5.615e-005
166	5.1137	3.1295	5.e-002	9.0653e-013
167	5.3735	3.2641	5.e-002	-2.5834e-021
168	8.6577	2.4682	5.e-002	7.8448e-014
169	8.5233	1.2341	0.	1.3561e-005
170	8.5233	4.2341	0.	6.7203e-006
171	6.9622	1.7341	0.	1.599e-005
172	7.8295	2.7577	0.1	-1.8653e-005
173	10.118	2.7359	0.1	-9.5116e-006
174	6.9622	1.7341	0.1	-1.599e-005
175	8.5233	4.2341	0.1	-6.7203e-006
176	8.5233	1.2341	0.1	-1.3561e-005
177	5.2436	3.1968	0.1	-5.615e-005
178	5.5518	3.2334	0.1	-3.4622e-005
179	5.3282	3.3555	0.1	-5.4649e-005
180	5.0415	3.2026	0.1	-6.3947e-005
181	5.149	3.2802	0.1	-6.8707e-005
182	5.1342	2.8975	0.1	-6.332e-005
183	4.8141	3.0717	0.1	-4.9069e-005
184	5.0347	3.6379	0.1	-5.4264e-005
185	6.8593	3.4868	0.1	-2.289e-005
186	6.134	2.2736	0.1	-1.5969e-005
187	6.134	2.5236	0.1	-4.2313e-005
188	3.763	4.4629	0.1	-7.9152e-006
189	1.213	3.4629	0.1	-2.4017e-006
190	2.488	1.9629	0.1	-1.9244e-006
191	2.488	4.9629	0.1	-6.4503e-006
192	6.2238	3.5645	0.1	-2.4093e-005
193	5.992	4.4632	0.1	-1.4894e-005
194	5.992	4.2132	0.1	-3.4395e-005
195	7.5531	4.9632	0.1	-1.735e-005
196	13.114	3.0018	0.1	-9.765e-006
197	11.545	4.5018	0.1	-1.0218e-005
198	11.545	1.5018	0.1	-1.2294e-005
199	16.203	3.0273	0.1	-5.9929e-006
200	14.642	4.5001	0.1	-7.5893e-006
201	14.642	1.5001	0.1	-7.8805e-006
202	19.317	3.0273	0.1	-2.1012e-006
203	17.756	4.5273	0.1	-3.6174e-006
204	17.756	1.5273	0.1	-3.4244e-006
205	20.878	4.5	0.1	-5.3391e-007
206	22.439	3.	0.1	-3.9116e-007
207	20.878	1.5	0.1	-5.9721e-007
208	5.4424	2.9342	0.1	-4.1844e-005
209	5.4984	3.6014	0.1	-7.2226e-005
210	5.4984	2.6014	0.1	-5.0722e-005
211	5.2336	3.4389	0.1	-6.5571e-005
212	5.1421	3.7154	0.1	-5.3886e-005
213	4.2801	2.4354	0.1	-3.4274e-005
214	4.5007	3.5016	0.1	-2.39e-005
215	4.5007	1.7516	0.1	-2.8935e-005
216	4.5007	1.5016	0.1	-2.9248e-005
217	3.2257	1.0016	0.1	-2.8222e-005
218	4.9067	2.7667	0.1	-4.8507e-005
219	4.8794	3.4339	0.1	-4.9043e-005
220	4.8794	3.6839	0.1	-3.0692e-005
221	4.8794	2.4339	0.1	-8.1705e-005
222	5.2748	3.7234	0.1	-6.7088e-005
223	5.1273	2.3328	0.1	-8.9571e-005
224	5.2667	4.75	0.1	-2.8327e-005
225	5.2667	5.5	0.1	-2.0813e-005
226	5.2667	5.	5.e-002	5.9755e-014
227	5.2667	4.25	0.1	-4.6521e-005
228	5.2667	4.5	5.e-002	-3.449e-021
229	5.1833	4.	0.1	-3.7361e-005
230	5.2667	4.	5.e-002	-1.3844e-020
231	5.1	4.25	0.1	-3.9142e-005
232	5.1	4.	5.e-002	-3.1439e-013
233	5.1	4.75	0.1	-3.6949e-005
234	5.1	4.5	5.e-002	-5.9572e-021
235	5.1	5.5	0.1	-2.7452e-005
236	5.1	5.	5.e-002	-1.1832e-020
237	5.2667	1.25	0.1	-1.7832e-005
238	5.2667	0.5	0.1	-2.2047e-005
239	5.2667	1.	5.e-002	-5.6149e-021
240	5.2667	1.75	0.1	-2.956e-005
241	5.2667	1.5	5.e-002	-1.3488e-021
242	5.1833	2.	0.1	-5.4183e-005
243	5.2667	2.	5.e-002	-7.205e-022
244	5.1	1.75	0.1	-5.7607e-005
245	5.1	2.	5.e-002	1.9485e-012
246	5.1	1.25	0.1	-2.8613e-005
247	5.1	1.5	5.e-002	-3.4829e-021
248	5.1	0.5	0.1	-2.4028e-005
249	5.1	1.	5.e-002	-4.6098e-015
250	6.8278	6.	0.1	-1.8214e-005
251	5.2667	6.	5.e-002	-1.5591e-013
252	9.95	6.	0.1	-7.4447e-006
253	8.3889	6.	5.e-002	-1.5156e-013
254	13.072	6.	0.1	-8.11e-006
255	11.511	6.	5.e-002	-4.8808e-022
256	16.194	6.	0.1	-6.0423e-006
257	14.633	6.	5.e-002	1.087e-013
258	19.317	6.	0.1	-2.0466e-006
259	17.756	6.	5.e-002	1.5287e-013
260	22.439	6.	0.1	-1.1761e-007
261	20.878	6.	5.e-002	2.5705e-013
262	24.	4.5	0.1	1.539e-008
263	24.	6.	5.e-002	-5.4545e-013
264	24.	1.5	0.1	-2.0532e-007
265	24.	3.	5.e-002	1.5332e-013
266	1.3113e-014	1.5	0.1	2.1643e-007
267	3.9339e-014	4.5	0.1	4.0643e-006
268	2.6581e-014	3.	5.e-002	-2.1073e-021
269	22.439	0.	0.1	-4.0688e-007
270	24.	0.	5.e-002	-5.1131e-013
271	19.317	0.	0.1	-1.9167e-006
272	20.878	0.	5.e-002	2.7736e-013
273	16.194	0.	0.1	-5.3211e-006
274	17.756	0.	5.e-002	2.3497e-013
275	13.072	0.	0.1	-1.1473e-005
276	14.633	0.	5.e-002	2.8826e-014
277	9.95	0.	0.1	-1.5127e-005
278	11.511	0.	5.e-002	4.0331e-013
279	6.8278	0.	0.1	-1.0934e-005
280	8.3889	0.	5.e-002	5.5788e-014
281	5.2667	0.	5.e-002	1.8349e-012
282	3.825	1.6378e-030	0.1	-2.1373e-005
283	5.1	2.1837e-030	5.e-002	-1.9287e-021
284	1.275	5.4593e-031	0.1	3.5376e-007
285	2.55	0.	5.e-002	-9.9395e-022
286	0.	0.	5.e-002	-5.5337e-021
287	1.275	6.	0.1	-3.5509e-006
288	5.2451e-014	6.	5.e-002	4.7947e-013
289	3.825	6.	0.1	-2.4758e-005
290	2.55	6.	5.e-002	-8.4002e-022
291	5.1	6.	5.e-002	-2.4555e-021
292	3.825	6.	0.	2.4758e-005
293	1.275	6.	0.	3.5509e-006
294	5.1	5.5	0.	2.7452e-005
295	3.9339e-014	4.5	0.	-4.0643e-006
296	3.825	1.6378e-030	0.	2.1373e-005
297	1.275	5.4593e-031	0.	-3.5376e-007
298	5.1	0.5	0.	2.4028e-005
299	1.3113e-014	1.5	0.	-2.1643e-007
300	9.95	0.	0.	1.5127e-005
301	6.8278	0.	0.	1.0934e-005
302	13.072	0.	0.	1.1473e-005
303	16.194	0.	0.	5.3211e-006
304	19.317	0.	0.	1.9167e-006
305	22.439	0.	0.	4.0688e-007
306	5.2667	0.5	0.	2.2047e-005
307	24.	1.5	0.	2.0532e-007
308	24.	4.5	0.	-1.539e-008
309	22.439	6.	0.	1.1761e-007
310	19.317	6.	0.	2.0466e-006
311	16.194	6.	0.	6.0423e-006
312	13.072	6.	0.	8.11e-006
313	9.95	6.	0.	7.4447e-006
314	6.8278	6.	0.	1.8214e-005
315	5.2667	5.5	0.	2.0813e-005
316	5.1	1.25	0.	2.8613e-005
317	5.1	1.75	0.	5.7607e-005
318	5.1833	2.	0.	5.4183e-005
319	5.2667	1.25	0.	1.7832e-005
320	5.2667	1.75	0.	2.956e-005
321	5.1	4.75	0.	3.6949e-005
322	5.1	4.25	0.	3.9142e-005
323	5.1833	4.	0.	3.7361e-005
324	5.2667	4.75	0.	2.8327e-005
325	5.2667	4.25	0.	4.6521e-005
