Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
1,5.1546,2.6656,0,0.00022043,2202.8,0.00010659,495.93,5.9054e-05,138.79,-0.00020745,-1863.6,0.032665
2,5.2829,3.4468,0,0.00019513,1950,7.0074e-05,119.97,6.5762e-05,87.573,-0.00019158,-1846,0.033923
3,4.6589,2.8677,0,0.00017677,1766.4,8.0469e-05,201.09,3.739e-05,-122.58,-0.00017319,-1704.8,0.026352
4,3.9014,2.0031,0,0.0001218,1217.1,5.888e-05,248.43,3.0095e-05,32.149,-0.00011557,-1062.3,0.018493
5,5.1842,3.4309,0,0.00022682,2266.7,9.0487e-05,199.47,6.6226e-05,17.188,-0.00022259,-2152.8,0.032556
6,5.7301,3.2027,0,0.00014932,1492.2,8.0885e-05,355.15,2.433e-05,-69.781,-0.00013985,-1303.4,0.040956
7,20.878,3,0,4.5839e-06,45.807,2.2692e-06,5.7158,6.5017e-07,-6.4487,-4.4735e-06,-44.946,0.40322
8,17.756,3.0545,0,1.2919e-05,129.1,4.9525e-06,5.2761,3.5543e-06,-5.2295,-1.2886e-05,-128.75,0.31824
9,14.65,3.0001,0,2.6089e-05,260.71,8.4896e-06,-8.737,8.0113e-06,-12.331,-2.6446e-05,-271.23,0.23627
10,11.578,3.0035,0,4.3865e-05,438.35,1.6803e-05,11.339,1.1464e-05,-28.776,-4.4024e-05,-445.69,0.16017
11,6.7174,3.9263,0,7.536e-05,753.08,3.466e-05,147.57,2.1404e-05,47.973,-7.1538e-05,-650.35,0.057033
12,2.426,3.9259,0,0.00011482,1147.4,6.9628e-05,304.12,5.0887e-06,-180.81,-0.00010475,-1006.1,0.0071295
13,7.0013,3.0472,0,8.4982e-05,849.23,4.7152e-05,276.58,1.9369e-05,67.836,-7.7175e-05,-657.55,0.062986
14,4.9693,3.2757,0,0.00020952,2093.8,8.2337e-05,150.31,6.0183e-05,-16.15,-0.00020674,-2021.7,0.029865
15,5.1137,3.1295,0,0.0002215,2213.5,8.388e-05,140.86,6.7553e-05,18.185,-0.00021854,-2131.4,0.031915
16,5.3735,3.2641,0,0.00019105,1909.2,8.534e-05,216.68,4.3522e-05,-97.525,-0.00018708,-1830.2,0.035457
17,8.6577,2.4682,0,5.0566e-05,505.32,2.1391e-05,-5.99,7.4787e-06,-110.52,-5.173e-05,-555.4,0.095836
18,8.6577,2.4682,0.1,5.0566e-05,505.32,5.173e-05,555.4,-7.4787e-06,110.52,-2.1391e-05,5.99,0.095836
19,5.3735,3.2641,0.1,0.00019105,1909.2,0.00018708,1830.2,-4.3522e-05,97.525,-8.534e-05,-216.68,0.035457
20,5.1137,3.1295,0.1,0.0002215,2213.5,0.00021854,2131.4,-6.7553e-05,-18.185,-8.388e-05,-140.86,0.031915
21,4.9693,3.2757,0.1,0.00020952,2093.8,0.00020674,2021.7,-6.0183e-05,16.15,-8.2337e-05,-150.31,0.029865
22,7.0013,3.0472,0.1,8.4982e-05,849.23,7.7175e-05,657.55,-1.9369e-05,-67.836,-4.7152e-05,-276.58,0.062986
23,2.426,3.9259,0.1,0.00011482,1147.4,0.00010475,1006.1,-5.0887e-06,180.81,-6.9628e-05,-304.12,0.0071295
24,6.7174,3.9263,0.1,7.536e-05,753.08,7.1538e-05,650.35,-2.1404e-05,-47.973,-3.466e-05,-147.57,0.057033
25,11.578,3.0035,0.1,4.3865e-05,438.35,4.4024e-05,445.69,-1.1464e-05,28.776,-1.6803e-05,-11.339,0.16017
26,14.65,3.0001,0.1,2.6089e-05,260.71,2.6446e-05,271.23,-8.0113e-06,12.331,-8.4896e-06,8.737,0.23627
27,17.756,3.0545,0.1,1.2919e-05,129.1,1.2886e-05,128.75,-3.5543e-06,5.2295,-4.9525e-06,-5.2761,0.31824
28,20.878,3,0.1,4.5839e-06,45.807,4.4735e-06,44.946,-6.5017e-07,6.4487,-2.2692e-06,-5.7158,0.40322
29,5.7301,3.2027,0.1,0.00014932,1492.2,0.00013985,1303.4,-2.433e-05,69.781,-8.0885e-05,-355.15,0.040956
30,5.1842,3.4309,0.1,0.00022682,2266.7,0.00022259,2152.8,-6.6226e-05,-17.188,-9.0487e-05,-199.47,0.032556
31,3.9014,2.0031,0.1,0.0001218,1217.1,0.00011557,1062.3,-3.0095e-05,-32.149,-5.888e-05,-248.43,0.018493
32,4.6589,2.8677,0.1,0.00017677,1766.4,0.00017319,1704.8,-3.739e-05,122.58,-8.0469e-05,-201.09,0.026352
33,5.2829,3.4468,0.1,0.00019513,1950,0.00019158,1846,-6.5762e-05,-87.573,-7.0074e-05,-119.97,0.033923
34,5.1546,2.6656,0.1,0.00022043,2202.8,0.00020745,1863.6,-5.9054e-05,-138.79,-0.00010659,-495.93,0.032665
35,5.2667,5,0.1,8.8037e-05,879.76,9.5749e-05,1138.3,-6.1532e-06,372.66,-3.2155e-05,177.29,0.030362
36,5.2667,4.5,0.1,0.00017531,1751.9,0.00017966,1881.9,-4.8622e-05,166.67,-5.8091e-05,95.53,0.031496
37,5.2667,4,0.1,0.00035661,3563.7,0.00037156,4055.2,-6.5535e-05,771.09,-0.00013277,265.95,0.032715
38,5.1,4,0.1,0.00039437,3940.9,0.000405,4419.9,-4.5282e-05,1036.7,-0.00017091,92.757,0.030471
39,5.1,4.5,0.1,0.00017896,1788.3,0.00014827,998.42,-4.7453e-05,-472.18,-0.00011668,-992.3,0.029563
