Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
1	2.6462	3.526	0.	-7.4237e-004
2	1.9019	2.9007	0.	-1.0247e-003
3	1.1678	3.4337	0.	-8.9712e-004
4	3.4151	3.6246	0.	-5.7295e-004
5	2.4446	2.0573	0.	-1.1429e-003
6	3.2497	1.4375	0.	-4.8758e-004
7	4.2996	4.6746	0.	-4.5295e-004
8	2.2374	2.9794	0.	-1.0497e-003
9	2.4229	3.2625	0.	-1.2854e-003
10	19.117	2.9826	0.	-1.1456e-004
11	14.303	3.0637	0.	-2.0937e-004
12	8.1806	3.2963	0.	-2.7977e-004
13	2.7388	2.7066	0.	-8.2507e-004
14	1.8108	2.9017	0.	-1.0159e-003
15	2.5695	1.6826	0.	-5.7483e-004
16	1.8564	2.9012	0.	-1.0694e-003
17	5.345	1.9702	0.	-3.9548e-004
18	5.345	1.9702	0.1	-1.5757e-004
19	1.8564	2.9012	0.1	-4.619e-004
20	2.5695	1.6826	0.1	-5.9562e-004
21	1.8108	2.9017	0.1	-4.0761e-004
22	2.7388	2.7066	0.1	-3.1006e-004
23	8.1806	3.2963	0.1	-1.1477e-004
24	14.303	3.0637	0.1	-7.5647e-005
25	19.117	2.9826	0.1	-5.0753e-005
26	2.4229	3.2625	0.1	-4.4425e-004
27	2.2374	2.9794	0.1	-4.6486e-004
28	4.2996	4.6746	0.1	-2.1219e-004
29	3.2497	1.4375	0.1	-2.7163e-004
30	2.4446	2.0573	0.1	-4.4746e-004
31	3.4151	3.6246	0.1	-2.0838e-004
32	1.1678	3.4337	0.1	-5.5217e-004
33	1.9019	2.9007	0.1	-4.4708e-004
34	2.6462	3.526	0.1	-3.4341e-004
35	2.1667	1.	0.1	-1.9221e-004
36	2.1667	1.5	0.1	-4.2179e-004
37	2.1667	2.	0.1	-7.7682e-004
38	2.	2.	0.1	-1.0064e-003
39	2.	1.5	0.1	-5.8075e-004
40	2.	1.	0.1	-5.5488e-004
41	2.1667	5.	0.1	-1.9838e-004
42	2.1667	4.5	0.1	-3.297e-004
43	2.1667	4.	0.1	-8.1018e-004
44	2.	4.	0.1	-7.3345e-004
45	2.	4.5	0.1	-7.1836e-004
46	2.	5.	0.1	-1.3446e-004
47	2.1667	6.	0.1	-1.8111e-004
48	4.7867	6.	0.1	-1.8263e-004
49	8.28	6.	0.1	-1.1291e-004
50	13.52	6.	0.1	-8.8902e-005
51	18.76	6.	0.1	-4.4552e-005
52	24.	6.	0.1	-2.644e-005
53	24.	3.	0.1	-3.0303e-005
54	3.2782e-014	3.75	0.1	-1.0203e-005
55	3.937e-014	6.	0.1	-1.628e-005
56	1.	6.	0.1	-1.6016e-004
57	2.	6.	0.1	-1.703e-004
58	24.	0.	0.1	-3.7629e-005
59	19.633	0.	0.1	-6.1139e-005
60	15.267	0.	0.1	-7.566e-005
61	10.9	0.	0.1	-1.0552e-004
62	6.5333	0.	0.1	-2.2173e-004
63	4.35	0.	0.1	-1.643e-004
64	2.1667	0.	0.1	-1.2649e-004
65	2.	0.	0.1	-2.3458e-004
66	0.	0.	0.1	-2.7434e-005
67	2.	0.	0.	-3.1926e-004
68	0.	0.	0.	-3.1926e-004
69	4.35	0.	0.	-3.5116e-004
70	6.5333	0.	0.	-3.5271e-004
71	10.9	0.	0.	-2.5732e-004
72	15.267	0.	0.	-1.9314e-004
73	19.633	0.	0.	-1.0077e-004
74	2.1667	0.	0.	-3.4873e-004
75	24.	0.	0.	-6.1102e-005
76	1.	6.	0.	-3.1503e-004
77	2.	6.	0.	-3.578e-004
78	3.937e-014	6.	0.	-2.5489e-004
79	3.2782e-014	3.75	0.	-4.4232e-004
80	24.	3.	0.	-6.2009e-005
81	24.	6.	0.	-6.8018e-005
82	18.76	6.	0.	-1.2908e-004
83	13.52	6.	0.	-2.2031e-004
84	8.28	6.	0.	-2.6723e-004
85	4.7867	6.	0.	-3.7911e-004
86	2.1667	6.	0.	-4.4151e-004
87	2.	4.5	0.	-1.1324e-003
88	2.	5.	0.	-3.3715e-004
89	2.	4.	0.	-1.8757e-003
90	2.1667	5.	0.	-5.4829e-004
91	2.1667	4.5	0.	-1.0414e-003
92	2.1667	4.	0.	-2.3922e-003
93	2.	1.5	0.	-9.6148e-004
94	2.	1.	0.	-8.8876e-004
95	2.	2.	0.	-1.9076e-003
96	2.1667	1.	0.	-4.9191e-004
97	2.1667	1.5	0.	-5.5608e-004
98	2.1667	2.	0.	-1.9977e-003
99	3.0306	3.5753	0.	-6.5246e-004
100	2.5345	3.3943	0.	-1.0095e-003
101	2.6462	3.526	5.e-002	-1.0057e-004
102	2.4064	3.763	0.	-1.5487e-003
103	1.5349	3.1672	0.	-9.5066e-004
104	2.0697	2.9401	0.	-1.0343e-003
105	1.8791	2.901	0.	-1.0465e-003
106	1.9019	2.9007	5.e-002	-1.4237e-004
107	1.951	2.4503	0.	-1.398e-003
108	1.7026	3.2066	0.	-9.6972e-004
109	1.4893	3.1677	0.	-9.4862e-004
110	1.5121	3.1675	0.	-9.6847e-004
111	1.1678	3.4337	5.e-002	-2.2885e-004
112	1.0839	4.7169	0.	-5.9846e-004
113	0.58392	3.5919	0.	-6.5884e-004
114	1.5839	3.9669	0.	-9.4536e-004
115	1.5839	4.2169	0.	-5.7482e-004
116	1.5839	3.7169	0.	-1.3793e-003
117	1.5839	2.4669	0.	-7.7865e-004
118	3.8573	4.1496	0.	-5.1236e-004
119	3.077	3.1656	0.	-6.9071e-004
120	4.3801	2.7974	0.	-4.816e-004
121	3.4151	3.6246	5.e-002	-3.6908e-005
122	2.7909	4.0623	0.	-7.8886e-004
123	2.5917	2.3819	0.	-9.7163e-004
124	2.5071	1.8699	0.	-8.5698e-004
125	2.4446	2.0573	5.e-002	-1.1477e-004
126	2.3057	2.0286	0.	-1.561e-003
127	2.9942	2.072	0.	-6.4538e-004
128	2.9096	1.56	0.	-5.3073e-004
129	4.2973	1.7038	0.	-4.3308e-004
130	3.2497	1.4375	5.e-002	-2.4268e-005
131	3.7998	0.71873	0.	-4.128e-004
132	2.7082	1.2187	0.	-4.8261e-004
133	6.2401	3.9855	0.	-3.635e-004
134	4.2996	4.6746	5.e-002	-6.2055e-005
135	4.5431	5.3373	0.	-4.1537e-004
136	3.2331	4.8373	0.	-4.9178e-004
137	2.3302	3.121	0.	-1.1575e-003
138	2.4881	2.843	0.	-9.3411e-004
139	2.2374	2.9794	5.e-002	-4.9994e-005
140	2.2021	2.4897	0.	-1.5211e-003
141	2.5809	2.9845	0.	-1.0477e-003
142	2.4229	3.2625	5.e-002	-2.0633e-005
143	2.2115	3.6313	0.	-1.5275e-003
144	16.71	3.0231	0.	-1.6139e-004
145	19.117	2.9826	5.e-002	-1.9543e-006
146	19.375	1.4913	0.	-1.074e-004
147	21.559	2.9913	0.	-8.8283e-005
148	18.939	4.4913	0.	-1.2162e-004
149	11.242	3.18	0.	-2.4402e-004
150	14.303	3.0637	5.e-002	-2.8202e-006
151	14.785	1.5319	0.	-2.0105e-004
152	13.912	4.5319	0.	-2.1473e-004
153	6.7628	2.6333	0.	-3.3757e-004
154	8.1806	3.2963	5.e-002	-1.2427e-005
155	9.5403	1.6482	0.	-2.6826e-004
156	8.2303	4.6482	0.	-2.735e-004
157	2.7388	2.7066	5.e-002	-7.2311e-005
158	1.8336	2.9015	0.	-1.0416e-003
159	1.8108	2.9017	5.e-002	-1.172e-004
160	1.9054	2.4509	0.	-1.3953e-003
161	2.5695	1.6826	5.e-002	-7.5821e-005
162	2.3681	1.5913	0.	-5.0551e-004
163	1.8564	2.9012	5.e-002	-1.9943e-004
164	1.9282	2.4506	0.	-1.4312e-003
165	5.345	1.9702	5.e-002	-2.5211e-005
166	5.9392	0.98509	0.	-3.7311e-004
167	6.7628	2.6333	0.1	-1.3096e-004
168	4.2973	1.7038	0.1	-1.8677e-004
169	4.3801	2.7974	0.1	-1.6941e-004
170	5.9392	0.98509	0.1	-1.7648e-004
