Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	4.9196	2.6754	0.	2092.
2	5.5839	3.5374	0.	1594.1
3	4.4901	2.6612	0.	1521.3
4	6.0563	3.676	0.	1145.1
5	3.8685	2.0742	0.	1069.1
6	7.0066	4.0882	0.	771.33
7	5.3268	3.518	0.	2457.4
8	5.1931	2.6302	0.	2423.4
9	19.316	3.0081	0.	94.302
10	14.605	2.9646	0.	287.27
11	9.214	2.7411	0.	500.46
12	2.3523	3.8372	0.	1318.9
13	6.4363	2.275	0.	923.02
14	5.8334	2.6664	0.	1420.1
15	4.98	3.2193	0.	2011.4
16	5.2171	3.1008	0.	2218.3
17	5.4619	2.9394	0.	1980.3
18	7.2294	1.3919	0.	727.71
19	7.2294	1.3919	0.1	727.71
20	5.4619	2.9394	0.1	1980.3
21	5.2171	3.1008	0.1	2218.3
22	4.98	3.2193	0.1	2011.4
23	5.8334	2.6664	0.1	1420.1
24	6.4363	2.275	0.1	923.02
25	2.3523	3.8372	0.1	1318.9
26	9.214	2.7411	0.1	500.46
27	14.605	2.9646	0.1	287.27
28	19.316	3.0081	0.1	94.302
29	5.1931	2.6302	0.1	2423.4
30	5.3268	3.518	0.1	2457.4
31	7.0066	4.0882	0.1	771.33
32	3.8685	2.0742	0.1	1069.1
33	6.0563	3.676	0.1	1145.1
34	4.4901	2.6612	0.1	1521.3
35	5.5839	3.5374	0.1	1594.1
36	4.9196	2.6754	0.1	2092.
37	5.2667	5.	0.1	1129.6
38	5.2667	4.5	0.1	1467.
39	5.2667	4.	0.1	4646.2
40	5.1	4.	0.1	4257.4
41	5.1	4.5	0.1	1816.1
42	5.1	5.	0.1	1086.
43	5.2667	1.	0.1	922.67
44	5.2667	1.5	0.1	1581.8
45	5.2667	2.	0.1	3654.5
46	5.1	2.	0.1	3807.3
47	5.1	1.5	0.1	1555.3
48	5.1	1.	0.1	625.59
49	5.2667	6.	0.1	551.84
50	7.6083	6.	0.1	580.64
51	9.95	6.	0.1	477.88
52	14.633	6.	0.1	286.64
53	19.317	6.	0.1	101.8
54	24.	6.	0.1	39.823
55	24.	3.	0.1	24.258
56	2.6226e-014	3.	0.1	945.82
57	24.	0.	0.1	39.33
58	19.317	0.	0.1	99.486
59	14.633	0.	0.1	286.87
60	9.95	0.	0.1	498.45
61	7.6083	0.	0.1	565.97
62	5.2667	0.	0.1	561.21
63	5.1	0.	0.1	1100.5
64	2.55	1.0919e-030	0.1	1105.6
65	0.	0.	0.1	935.47
66	3.937e-014	6.	0.1	852.47
67	2.55	6.	0.1	1229.8
68	5.1	6.	0.1	1130.
69	2.55	6.	0.	1229.8
70	5.1	6.	0.	1130.
71	3.937e-014	6.	0.	852.47
72	2.55	1.0919e-030	0.	1105.6
73	5.1	0.	0.	1100.5
74	0.	0.	0.	935.47
75	7.6083	0.	0.	565.96
76	9.95	0.	0.	498.45
77	14.633	0.	0.	286.87
78	19.317	0.	0.	99.486
79	5.2667	0.	0.	561.21
80	24.	0.	0.	39.33
81	2.6226e-014	3.	0.	945.82
82	24.	3.	0.	24.257
83	24.	6.	0.	39.822
84	19.317	6.	0.	101.8
85	14.633	6.	0.	286.64
86	9.95	6.	0.	477.88
87	7.6083	6.	0.	580.64
88	5.2667	6.	0.	551.84
89	5.1	1.5	0.	1555.3
90	5.1	1.	0.	625.59
91	5.1	2.	0.	3807.3
92	5.2667	1.	0.	922.67
93	5.2667	1.5	0.	1581.8
94	5.2667	2.	0.	3654.5
95	5.1	4.5	0.	1816.1
96	5.1	5.	0.	1086.
97	5.1	4.	0.	4257.4
98	5.2667	5.	0.	1129.6
99	5.2667	4.5	0.	1467.
100	5.2667	4.	0.	4646.2
101	4.7049	2.6683	0.	1805.7
102	5.0564	2.6528	0.	2250.7
103	5.0684	2.8881	0.	2149.6
104	4.9196	2.6754	5.e-002	32.371
105	5.0098	2.3377	0.	2925.5
106	5.8201	3.6067	0.	1363.3
107	5.4554	3.5277	0.	2020.1
108	5.5229	3.2384	0.	1769.5
109	5.5839	3.5374	5.e-002	205.19
110	5.4253	3.7687	0.	3089.8
111	4.1793	2.3677	0.	1293.5
112	4.7351	2.9402	0.	1758.3
113	4.4901	2.6612	5.e-002	76.071
114	4.7951	2.3306	0.	2647.5
115	4.7951	3.5806	0.	1485.3
116	4.7951	3.3306	0.	2773.4
117	6.5315	3.8821	0.	954.7
118	5.9449	3.1712	0.	1266.5
119	6.0563	3.676	5.e-002	62.345
120	5.6615	4.088	0.	1247.1
121	3.1104	2.9557	0.	1167.3
122	3.8685	2.0742	5.e-002	1.1583
123	3.2092	1.0371	0.	1061.
124	4.4842	1.7871	0.	1204.3
125	4.4842	1.5371	0.	791.59
126	4.4842	3.5371	0.	1050.
127	8.1103	3.4147	0.	631.47
128	6.7215	3.1816	0.	826.11
129	7.0066	4.0882	5.e-002	33.551
130	7.3075	5.0441	0.	674.81
131	6.1367	4.5441	0.	927.63
132	5.272	3.3094	0.	2323.5
133	5.3268	3.518	5.e-002	118.04
134	5.2134	3.759	0.	3217.4
135	5.3275	2.7848	0.	2188.8
136	5.1931	2.6302	5.e-002	77.479
137	5.2299	2.3151	0.	2976.1
138	16.961	2.9864	0.	189.98
139	19.316	3.0081	5.e-002	1.8278
140	19.316	1.504	0.	95.348
141	21.658	3.004	0.	58.755
142	19.316	4.504	0.	95.877
143	11.91	2.8529	0.	393.44
144	14.605	2.9646	5.e-002	4.4733
145	14.619	1.4823	0.	286.49
146	14.619	4.4823	0.	286.1
147	8.2217	2.0665	0.	612.1
148	9.214	2.7411	5.e-002	12.896
149	9.582	1.3706	0.	498.19
150	9.582	4.3706	0.	487.67
151	2.3523	3.8372	5.e-002	33.56
152	2.4512	4.9186	0.	1269.4
153	2.4512	1.9186	0.	1207.9
154	1.1762	3.4186	0.	1115.2
155	3.7262	4.4186	0.	1186.2
156	6.1349	2.4707	0.	1160.8
157	6.8328	1.8335	0.	823.7
158	6.4363	2.275	5.e-002	24.911
159	5.8515	1.8875	0.	1216.7
160	5.6477	2.8029	0.	1693.7
161	5.8334	2.6664	5.e-002	128.82
162	5.55	2.3332	0.	2504.7
163	5.0986	3.16	0.	2114.3
164	4.98	3.2193	5.e-002	124.95
165	5.04	3.6096	0.	3056.1
166	5.3395	3.0201	0.	2097.8
167	5.2171	3.1008	5.e-002	44.532
168	5.4619	2.9394	5.e-002	32.915
169	7.2294	1.3919	5.e-002	35.495
170	7.4188	0.69597	0.	645.45
171	6.248	1.196	0.	785.46
172	6.8328	1.8335	0.1	823.7
173	8.2217	2.0665	0.1	612.1
174	6.248	1.196	0.1	785.46
175	7.4188	0.69597	0.1	645.45
176	5.3395	3.0201	0.1	2097.8
177	5.6477	2.8029	0.1	1693.7
178	5.3275	2.7848	0.1	2188.8
179	5.5229	3.2384	0.1	1769.5
180	5.0986	3.16	0.1	2114.3
181	5.272	3.3094	0.1	2323.5
182	5.0684	2.8881	0.1	2149.6
183	4.7351	2.9402	0.1	1758.3
184	5.04	3.6096	0.1	3056.1
185	6.1349	2.4707	0.1	1160.8
186	5.9449	3.1712	0.1	1266.5
187	5.55	2.3332	0.1	2504.7
188	6.7215	3.1816	0.1	826.11
189	5.8515	1.8875	0.1	1216.7
190	3.1104	2.9557	0.1	1167.3
