Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	4.9198	2.6752	0.	2.0959e-004
2	5.584	3.5316	0.	1.5956e-004
3	4.4894	2.6602	0.	1.5208e-004
4	6.0572	3.6709	0.	1.1431e-004
5	3.8684	2.0742	0.	1.0698e-004
6	6.997	4.0836	0.	7.7504e-005
7	5.3264	3.5132	0.	2.4519e-004
8	5.1943	2.6289	0.	2.4267e-004
9	19.343	2.9994	0.	9.3852e-006
10	14.608	2.9614	0.	2.872e-005
11	9.1931	2.763	0.	5.0072e-005
12	2.3523	3.8373	0.	1.3198e-004
13	6.4457	2.2798	0.	9.201e-005
14	5.8356	2.6708	0.	1.4181e-004
15	4.9801	3.2205	0.	2.0149e-004
16	5.2157	3.0995	0.	2.2205e-004
17	5.4645	2.9372	0.	1.9764e-004
18	7.2248	1.4053	0.	7.3167e-005
19	7.2248	1.4053	0.1	7.3167e-005
20	5.4645	2.9372	0.1	1.9764e-004
21	5.2157	3.0995	0.1	2.2205e-004
22	4.9801	3.2205	0.1	2.0149e-004
23	5.8356	2.6708	0.1	1.4181e-004
24	6.4457	2.2798	0.1	9.201e-005
25	2.3523	3.8373	0.1	1.3198e-004
26	9.1931	2.763	0.1	5.0072e-005
27	14.608	2.9614	0.1	2.872e-005
28	19.343	2.9994	0.1	9.3852e-006
29	5.1943	2.6289	0.1	2.4267e-004
30	5.3264	3.5132	0.1	2.4519e-004
31	6.997	4.0836	0.1	7.7504e-005
32	3.8684	2.0742	0.1	1.0698e-004
33	6.0572	3.6709	0.1	1.1431e-004
34	4.4894	2.6602	0.1	1.5208e-004
35	5.584	3.5316	0.1	1.5956e-004
36	4.9198	2.6752	0.1	2.0959e-004
37	5.2667	5.	0.1	1.1271e-004
38	5.2667	4.5	0.1	1.4749e-004
39	5.2667	4.	0.1	4.6428e-004
40	5.1	4.	0.1	4.2556e-004
41	5.1	4.5	0.1	1.8197e-004
42	5.1	5.	0.1	1.0869e-004
43	5.2667	1.	0.1	9.2363e-005
44	5.2667	1.5	0.1	1.5876e-004
45	5.2667	2.	0.1	3.6523e-004
46	5.1	2.	0.1	3.8062e-004
47	5.1	1.5	0.1	1.5563e-004
48	5.1	1.	0.1	6.2569e-005
49	5.2667	6.	0.1	5.535e-005
50	7.6083	6.	0.1	5.8129e-005
51	9.95	6.	0.1	4.7749e-005
52	14.633	6.	0.1	2.8665e-005
53	19.317	6.	0.1	1.0138e-005
54	24.	6.	0.1	3.9477e-006
55	24.	3.	0.1	2.4269e-006
56	2.6226e-014	3.	0.1	9.4649e-005
57	24.	0.	0.1	3.8608e-006
58	19.317	0.	0.1	9.9194e-006
59	14.633	0.	0.1	2.8675e-005
60	9.95	0.	0.1	4.9793e-005
61	7.6083	0.	0.1	5.6741e-005
62	5.2667	0.	0.1	5.6279e-005
63	5.1	0.	0.1	1.1012e-004
64	2.55	1.0919e-030	0.1	1.1064e-004
65	0.	0.	0.1	9.3611e-005
66	3.937e-014	6.	0.1	8.5308e-005
67	2.55	6.	0.1	1.2307e-004
68	5.1	6.	0.1	1.1309e-004
69	2.55	6.	0.	1.2307e-004
70	5.1	6.	0.	1.1309e-004
71	3.937e-014	6.	0.	8.5308e-005
72	2.55	1.0919e-030	0.	1.1064e-004
73	5.1	0.	0.	1.1012e-004
74	0.	0.	0.	9.3611e-005
75	7.6083	0.	0.	5.6741e-005
76	9.95	0.	0.	4.9793e-005
77	14.633	0.	0.	2.8675e-005
78	19.317	0.	0.	9.9194e-006
79	5.2667	0.	0.	5.6279e-005
80	24.	0.	0.	3.8607e-006
81	2.6226e-014	3.	0.	9.4649e-005
82	24.	3.	0.	2.4269e-006
83	24.	6.	0.	3.9477e-006
84	19.317	6.	0.	1.0138e-005
85	14.633	6.	0.	2.8665e-005
86	9.95	6.	0.	4.7749e-005
87	7.6083	6.	0.	5.8129e-005
88	5.2667	6.	0.	5.535e-005
89	5.1	1.5	0.	1.5563e-004
90	5.1	1.	0.	6.2569e-005
91	5.1	2.	0.	3.8062e-004
92	5.2667	1.	0.	9.2363e-005
93	5.2667	1.5	0.	1.5876e-004
94	5.2667	2.	0.	3.6523e-004
95	5.1	4.5	0.	1.8197e-004
96	5.1	5.	0.	1.0869e-004
97	5.1	4.	0.	4.2556e-004
98	5.2667	5.	0.	1.1271e-004
99	5.2667	4.5	0.	1.4749e-004
100	5.2667	4.	0.	4.6428e-004
101	4.7046	2.6677	0.	1.8074e-004
102	5.0571	2.6521	0.	2.2542e-004
103	5.0677	2.8874	0.	2.1525e-004
104	4.9198	2.6752	5.e-002	3.3492e-006
105	5.0099	2.3376	0.	2.9271e-004
106	5.8206	3.6012	0.	1.3633e-004
107	5.4552	3.5224	0.	2.0182e-004
108	5.5242	3.2344	0.	1.7682e-004
109	5.584	3.5316	5.e-002	2.0243e-005
110	5.4253	3.7658	0.	3.0894e-004
111	4.1789	2.3672	0.	1.2936e-004
112	4.7348	2.9403	0.	1.7596e-004
113	4.4894	2.6602	5.e-002	7.5985e-006
114	4.7947	2.3301	0.	2.6468e-004
115	4.7947	3.5801	0.	1.4865e-004
116	4.7947	3.3301	0.	2.7719e-004
117	6.5271	3.8772	0.	9.5563e-005
118	5.9464	3.1709	0.	1.2648e-004
119	6.0572	3.6709	5.e-002	5.9664e-006
120	5.6619	4.0855	0.	1.25e-004
121	3.1104	2.9558	0.	1.1681e-004
122	3.8684	2.0742	5.e-002	1.2246e-007
123	3.2092	1.0371	0.	1.0617e-004
124	4.4842	1.7871	0.	1.2051e-004
125	4.4842	1.5371	0.	7.9194e-005
126	4.4842	3.5371	0.	1.0508e-004
127	8.095	3.4233	0.	6.3325e-005
