Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	4.9198	2.6752	0.	115.24
2	5.584	3.5316	0.	-16.166
3	4.4894	2.6602	0.	-51.771
4	6.0572	3.6709	0.	-30.806
5	3.8684	2.0742	0.	28.649
6	6.997	4.0836	0.	24.632
7	5.3264	3.5132	0.	-201.8
8	5.1943	2.6289	0.	-89.263
9	19.343	2.9994	0.	-19.568
10	14.608	2.9614	0.	-4.8542
11	9.1931	2.763	0.	-67.867
12	2.3523	3.8373	0.	-195.75
13	6.4457	2.2798	0.	-96.951
14	5.8356	2.6708	0.	-52.51
15	4.9801	3.2205	0.	-90.008
16	5.2157	3.0995	0.	25.01
17	5.4645	2.9372	0.	-30.571
18	7.2248	1.4053	0.	4.0787
19	7.2248	1.4053	0.1	-4.0787
20	5.4645	2.9372	0.1	30.571
21	5.2157	3.0995	0.1	-25.01
22	4.9801	3.2205	0.1	90.008
23	5.8356	2.6708	0.1	52.51
24	6.4457	2.2798	0.1	96.951
25	2.3523	3.8373	0.1	195.75
26	9.1931	2.763	0.1	67.867
27	14.608	2.9614	0.1	4.8542
28	19.343	2.9994	0.1	19.568
29	5.1943	2.6289	0.1	89.263
30	5.3264	3.5132	0.1	201.8
31	6.997	4.0836	0.1	-24.632
32	3.8684	2.0742	0.1	-28.649
33	6.0572	3.6709	0.1	30.806
34	4.4894	2.6602	0.1	51.771
35	5.584	3.5316	0.1	16.166
36	4.9198	2.6752	0.1	-115.24
37	5.2667	5.	0.1	172.77
38	5.2667	4.5	0.1	273.3
39	5.2667	4.	0.1	471.27
40	5.1	4.	0.1	1028.4
41	5.1	4.5	0.1	33.974
42	5.1	5.	0.1	226.78
43	5.2667	1.	0.1	151.64
44	5.2667	1.5	0.1	204.77
45	5.2667	2.	0.1	690.54
46	5.1	2.	0.1	438.98
47	5.1	1.5	0.1	267.01
48	5.1	1.	0.1	372.99
49	5.2667	6.	0.1	140.07
50	7.6083	6.	0.1	17.663
51	9.95	6.	0.1	3.5792
52	14.633	6.	0.1	-0.84109
53	19.317	6.	0.1	19.703
54	24.	6.	0.1	12.876
55	24.	3.	0.1	15.565
56	2.6226e-014	3.	0.1	924.54
57	24.	0.	0.1	14.21
58	19.317	0.	0.1	19.627
59	14.633	0.	0.1	10.649
60	9.95	0.	0.1	5.1752
61	7.6083	0.	0.1	8.6106
62	5.2667	0.	0.1	100.04
63	5.1	0.	0.1	239.77
64	2.55	1.0919e-030	0.1	150.56
65	0.	0.	0.1	882.57
66	3.937e-014	6.	0.1	848.06
67	2.55	6.	0.1	146.81
68	5.1	6.	0.1	223.4
69	2.55	6.	0.	-146.81
70	5.1	6.	0.	-223.4
71	3.937e-014	6.	0.	-848.06
72	2.55	1.0919e-030	0.	-150.56
73	5.1	0.	0.	-239.77
74	0.	0.	0.	-882.57
75	7.6083	0.	0.	-8.6106
76	9.95	0.	0.	-5.1752
77	14.633	0.	0.	-10.649
78	19.317	0.	0.	-19.627
79	5.2667	0.	0.	-100.04
80	24.	0.	0.	-14.21
81	2.6226e-014	3.	0.	-924.54
82	24.	3.	0.	-15.565
83	24.	6.	0.	-12.876
84	19.317	6.	0.	-19.703
85	14.633	6.	0.	0.84109
86	9.95	6.	0.	-3.5792
87	7.6083	6.	0.	-17.663
88	5.2667	6.	0.	-140.07
89	5.1	1.5	0.	-267.01
90	5.1	1.	0.	-372.99
91	5.1	2.	0.	-438.98
92	5.2667	1.	0.	-151.64
93	5.2667	1.5	0.	-204.77
94	5.2667	2.	0.	-690.54
95	5.1	4.5	0.	-33.974
96	5.1	5.	0.	-226.78
97	5.1	4.	0.	-1028.4
98	5.2667	5.	0.	-172.77
99	5.2667	4.5	0.	-273.3
100	5.2667	4.	0.	-471.27
101	4.7046	2.6677	0.	34.511
102	5.0571	2.6521	0.	13.437
103	5.0677	2.8874	0.	73.775
104	4.9198	2.6752	5.e-002	1.9844e-005
105	5.0099	2.3376	0.	-134.88
106	5.8206	3.6012	0.	-16.817
107	5.4552	3.5224	0.	-95.862
108	5.5242	3.2344	0.	-29.809
109	5.584	3.5316	5.e-002	1.5849e-005
110	5.4253	3.7658	0.	-235.86
111	4.1789	2.3672	0.	-10.971
112	4.7348	2.9403	0.	-63.52
113	4.4894	2.6602	5.e-002	3.5387e-005
114	4.7947	2.3301	0.	-204.29
115	4.7947	3.5801	0.	-48.846
116	4.7947	3.3301	0.	-521.25
117	6.5271	3.8772	0.	9.3413
118	5.9464	3.1709	0.	-31.942
119	6.0572	3.6709	5.e-002	4.579e-005
120	5.6619	4.0855	0.	-91.343
121	3.1104	2.9558	0.	-75.025
122	3.8684	2.0742	5.e-002	3.5676e-005
123	3.2092	1.0371	0.	-47.434
124	4.4842	1.7871	0.	-141.55
125	4.4842	1.5371	0.	-184.64
126	4.4842	3.5371	0.	-101.53
127	8.095	3.4233	0.	-21.402
128	6.7213	3.1817	0.	-48.233
129	6.997	4.0836	5.e-002	3.4077e-006
130	7.3026	5.0418	0.	9.193
131	6.1318	4.5418	0.	-88.584
132	5.2711	3.3064	0.	-80.989
133	5.3264	3.5132	5.e-002	6.1329e-006
134	5.2132	3.7566	0.	-716.2
135	5.3294	2.783	0.	0.63084
136	5.1943	2.6289	5.e-002	7.9022e-006
137	5.2305	2.3145	0.	-259.87
138	16.976	2.9804	0.	-8.7366
139	19.343	2.9994	5.e-002	4.071e-006
140	19.33	1.4997	0.	-19.588
141	21.671	2.9997	0.	-16.627
142	19.33	4.4997	0.	-19.635
143	11.901	2.8622	0.	-36.326
144	14.608	2.9614	5.e-002	4.0656e-006
145	14.621	1.4807	0.	-8.1042
146	14.621	4.4807	0.	-1.9738
147	8.2089	2.0842	0.	-31.273
148	9.1931	2.763	5.e-002	8.5565e-007
149	9.5716	1.3815	0.	-30.28
150	9.5716	4.3815	0.	-26.522
151	2.3523	3.8373	5.e-002	-3.0032e-006
152	2.4512	4.9187	0.	-172.78
153	2.4512	1.9187	0.	-175.2
154	1.1762	3.4187	0.	-560.63
155	3.7262	4.4187	0.	-200.26
156	6.1407	2.4753	0.	-33.382
157	6.8353	1.8426	0.	-42.976
158	6.4457	2.2798	5.e-002	1.3551e-005
159	5.8562	1.8899	0.	-171.7
160	5.65	2.804	0.	10.591
161	5.8356	2.6708	5.e-002	1.7842e-005
162	5.5511	2.3354	0.	-310.14
163	5.0979	3.16	0.	-31.042
164	4.9801	3.2205	5.e-002	9.7144e-006
165	5.0401	3.6102	0.	-597.2
166	5.3401	3.0184	0.	17.276
167	5.2157	3.0995	5.e-002	3.1268e-005
168	5.4645	2.9372	5.e-002	1.5564e-005
169	7.2248	1.4053	5.e-002	3.0078e-006
170	7.4166	0.70266	0.	8.7519
171	6.2457	1.2027	0.	-95.803
172	6.8353	1.8426	0.1	42.976
173	8.2089	2.0842	0.1	31.273
174	6.2457	1.2027	0.1	95.803
175	7.4166	0.70266	0.1	-8.7519
176	5.3401	3.0184	0.1	-17.276
177	5.65	2.804	0.1	-10.591
178	5.3294	2.783	0.1	-0.63085
179	5.5242	3.2344	0.1	29.809
180	5.0979	3.16	0.1	31.042
181	5.2711	3.3064	0.1	80.989
182	5.0677	2.8874	0.1	-73.775
183	4.7348	2.9403	0.1	63.52
184	5.0401	3.6102	0.1	597.2
185	6.1407	2.4753	0.1	33.382
186	5.9464	3.1709	0.1	31.942
187	5.5511	2.3354	0.1	310.14
188	6.7213	3.1817	0.1	48.233
189	5.8562	1.8899	0.1	171.7
190	3.1104	2.9558	0.1	75.025
191	3.7262	4.4187	0.1	200.26
192	1.1762	3.4187	0.1	560.63
193	2.4512	1.9187	0.1	175.2
194	2.4512	4.9187	0.1	172.78
195	11.901	2.8622	0.1	36.326
196	8.095	3.4233	0.1	21.402
197	9.5716	4.3815	0.1	26.522
198	9.5716	1.3815	0.1	30.28
199	16.976	2.9804	0.1	8.7366
200	14.621	4.4807	0.1	1.9738
201	14.621	1.4807	0.1	8.1042
202	19.33	4.4997	0.1	19.635
203	21.671	2.9997	0.1	16.627
204	19.33	1.4997	0.1	19.588
205	5.0571	2.6521	0.1	-13.437
206	5.2305	2.3145	0.1	259.87
207	5.4552	3.5224	0.1	95.862
208	5.2132	3.7566	0.1	716.2
209	6.5271	3.8772	0.1	-9.3413
210	6.1318	4.5418	0.1	88.584
211	7.3026	5.0418	0.1	-9.193
212	4.1789	2.3672	0.1	10.971
213	4.4842	3.5371	0.1	101.53
