Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
1	4.9198	2.6752	0.	9.3831e-005
2	5.584	3.5316	0.	5.5962e-005
3	4.4894	2.6602	0.	6.5468e-005
4	6.0572	3.6709	0.	5.185e-005
5	3.8684	2.0742	0.	3.857e-005
6	6.997	4.0836	0.	2.8799e-005
7	5.3264	3.5132	0.	9.4338e-005
8	5.1943	2.6289	0.	1.1314e-004
9	19.343	2.9994	0.	4.1158e-006
10	14.608	2.9614	0.	9.9063e-006
11	9.1931	2.763	0.	1.9315e-005
12	2.3523	3.8373	0.	7.7206e-005
13	6.4457	2.2798	0.	3.7739e-005
14	5.8356	2.6708	0.	5.7908e-005
15	4.9801	3.2205	0.	6.8543e-005
16	5.2157	3.0995	0.	7.8007e-005
17	5.4645	2.9372	0.	7.4293e-005
18	7.2248	1.4053	0.	2.7833e-005
19	7.2248	1.4053	0.1	7.2204e-005
20	5.4645	2.9372	0.1	1.9632e-004
21	5.2157	3.0995	0.1	2.2037e-004
22	4.9801	3.2205	0.1	2.0344e-004
23	5.8356	2.6708	0.1	1.4027e-004
24	6.4457	2.2798	0.1	9.2391e-005
25	2.3523	3.8373	0.1	1.2221e-004
26	9.1931	2.763	0.1	5.1033e-005
27	14.608	2.9614	0.1	2.8757e-005
28	19.343	2.9994	0.1	9.5206e-006
29	5.1943	2.6289	0.1	2.3508e-004
30	5.3264	3.5132	0.1	2.4693e-004
31	6.997	4.0836	0.1	7.6138e-005
32	3.8684	2.0742	0.1	1.0551e-004
33	6.0572	3.6709	0.1	1.1105e-004
34	4.4894	2.6602	0.1	1.4922e-004
35	5.584	3.5316	0.1	1.5927e-004
36	4.9198	2.6752	0.1	2.0022e-004
37	5.2667	5.	0.1	1.1674e-004
38	5.2667	4.5	0.1	1.5225e-004
39	5.2667	4.	0.1	4.76e-004
40	5.1	4.	0.1	4.3721e-004
41	5.1	4.5	0.1	1.5528e-004
42	5.1	5.	0.1	1.1263e-004
43	5.2667	1.	0.1	9.6476e-005
44	5.2667	1.5	0.1	1.6534e-004
45	5.2667	2.	0.1	3.8086e-004
46	5.1	2.	0.1	3.9319e-004
47	5.1	1.5	0.1	1.6312e-004
48	5.1	1.	0.1	6.8114e-005
49	5.2667	6.	0.1	5.8379e-005
50	7.6083	6.	0.1	5.6988e-005
51	9.95	6.	0.1	4.7459e-005
52	14.633	6.	0.1	2.8618e-005
53	19.317	6.	0.1	1.0083e-005
54	24.	6.	0.1	4.2632e-006
55	24.	3.	0.1	2.9173e-006
56	2.6226e-014	3.	0.1	1.2598e-004
57	24.	0.	0.1	4.0923e-006
58	19.317	0.	0.1	9.9206e-006
