Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
1	4.9198	2.6752	0.	6.0185e-005
2	5.584	3.5316	0.	4.9793e-005
3	4.4894	2.6602	0.	3.7755e-005
4	6.0572	3.6709	0.	2.7077e-005
5	3.8684	2.0742	0.	3.4903e-005
6	6.997	4.0836	0.	2.498e-005
7	5.3264	3.5132	0.	6.153e-005
8	5.1943	2.6289	0.	5.4035e-005
9	19.343	2.9994	0.	1.3404e-006
10	14.608	2.9614	0.	8.9568e-006
11	9.1931	2.763	0.	1.1038e-005
12	2.3523	3.8373	0.	8.9443e-006
13	6.4457	2.2798	0.	2.037e-005
14	5.8356	2.6708	0.	3.7019e-005
15	4.9801	3.2205	0.	6.0362e-005
16	5.2157	3.0995	0.	7.1811e-005
17	5.4645	2.9372	0.	5.8038e-005
18	7.2248	1.4053	0.	2.213e-005
19	7.2248	1.4053	0.1	-2.213e-005
20	5.4645	2.9372	0.1	-5.8038e-005
21	5.2157	3.0995	0.1	-7.1811e-005
22	4.9801	3.2205	0.1	-6.0362e-005
23	5.8356	2.6708	0.1	-3.7019e-005
24	6.4457	2.2798	0.1	-2.037e-005
25	2.3523	3.8373	0.1	-8.9443e-006
26	9.1931	2.763	0.1	-1.1038e-005
27	14.608	2.9614	0.1	-8.9568e-006
28	19.343	2.9994	0.1	-1.3404e-006
29	5.1943	2.6289	0.1	-5.4035e-005
30	5.3264	3.5132	0.1	-6.153e-005
31	6.997	4.0836	0.1	-2.498e-005
32	3.8684	2.0742	0.1	-3.4903e-005
33	6.0572	3.6709	0.1	-2.7077e-005
34	4.4894	2.6602	0.1	-3.7755e-005
35	5.584	3.5316	0.1	-4.9793e-005
36	4.9198	2.6752	0.1	-6.0185e-005
37	5.2667	5.	0.1	-2.6668e-005
38	5.2667	4.5	0.1	-2.8915e-005
39	5.2667	4.	0.1	-1.2571e-004
40	5.1	4.	0.1	-5.7139e-005
41	5.1	4.5	0.1	-1.4142e-005
42	5.1	5.	0.1	-1.961e-005
43	5.2667	1.	0.1	-2.2584e-005
44	5.2667	1.5	0.1	-4.4332e-005
45	5.2667	2.	0.1	-7.7903e-005
46	5.1	2.	0.1	-1.042e-004
47	5.1	1.5	0.1	-3.806e-005
48	5.1	1.	0.1	4.4771e-006
49	5.2667	6.	0.1	-9.5087e-006
50	7.6083	6.	0.1	-1.4546e-005
51	9.95	6.	0.1	-1.4535e-005
52	14.633	6.	0.1	-9.4325e-006
53	19.317	6.	0.1	-1.2588e-006
54	24.	6.	0.1	-5.8255e-007
55	24.	3.	0.1	-1.7255e-007
56	2.6226e-014	3.	0.1	5.8148e-007
57	24.	0.	0.1	-2.8837e-007
58	19.317	0.	0.1	-1.2855e-006
59	14.633	0.	0.1	-8.4308e-006
60	9.95	0.	0.1	-1.5261e-005
61	7.6083	0.	0.1	-1.4982e-005
62	5.2667	0.	0.1	-1.2007e-005
63	5.1	0.	0.1	-8.6145e-006
64	2.55	1.0919e-030	0.1	-2.7926e-006
65	0.	0.	0.1	6.117e-007
66	3.937e-014	6.	0.1	6.9788e-006
67	2.55	6.	0.1	-1.2011e-005
68	5.1	6.	0.1	-2.3548e-005
69	2.55	6.	0.	1.2011e-005
70	5.1	6.	0.	2.3548e-005
71	3.937e-014	6.	0.	-6.9788e-006
72	2.55	1.0919e-030	0.	2.7926e-006
73	5.1	0.	0.	8.6145e-006
74	0.	0.	0.	-6.117e-007
