Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Stress (psi)
1	2.6611	3.3694	0.	-111.26
2	1.8887	3.2127	0.	-390.69
3	0.99902	3.7532	0.	335.74
4	3.615	3.5032	0.	-644.04
5	3.2462	1.7501	0.	-187.42
6	2.6186	2.2859	0.	1307.3
7	2.1481	3.5178	0.	1413.7
8	17.779	2.951	0.	-5.9756
9	10.163	3.193	0.	-461.84
10	6.7292	1.6228	0.	-124.07
11	4.8581	4.5921	0.	-390.29
12	4.8581	4.5921	0.1	390.29
13	6.7292	1.6228	0.1	124.07
14	10.163	3.193	0.1	461.84
15	17.779	2.951	0.1	5.9756
16	2.1481	3.5178	0.1	-1413.7
17	2.6186	2.2859	0.1	-1307.3
18	3.2462	1.7501	0.1	187.42
19	3.615	3.5032	0.1	644.04
20	0.99902	3.7532	0.1	-335.74
21	1.8887	3.2127	0.1	390.69
22	2.6611	3.3694	0.1	111.26
23	2.1667	1.	0.1	1195.3
24	2.1667	1.5	0.1	504.52
25	2.1667	2.	0.1	-538.53
26	2.	2.	0.1	7521.3
27	2.	1.5	0.1	3847.5
28	2.	1.	0.1	2663.2
29	2.1667	5.	0.1	738.54
30	2.1667	4.5	0.1	1586.2
31	2.1667	4.	0.1	3713.3
32	2.	4.	0.1	4730.3
33	2.	4.5	0.1	2515.4
34	2.	5.	0.1	1115.7
35	2.1667	6.	0.1	121.06
36	5.5781	6.	0.1	398.47
37	10.354	6.	0.1	228.59
38	17.177	6.	0.1	78.353
39	24.	6.	0.1	82.737
40	24.	3.	0.1	199.97
41	2.6226e-014	3.	0.1	3639.3
42	3.937e-014	6.	0.1	1728.3
43	1.	6.	0.1	-285.54
44	2.	6.	0.1	2265.2
45	24.	0.	0.1	324.9
46	18.542	0.	0.1	14.598
47	13.083	0.	0.1	90.509
48	7.625	0.	0.1	347.49
49	4.8958	0.	0.1	-182.23
50	2.1667	0.	0.1	410.86
51	2.	0.	0.1	1113.6
52	0.	0.	0.1	2745.7
53	2.	0.	0.	-1113.6
54	0.	0.	0.	-2745.7
55	4.8958	0.	0.	182.23
56	7.625	0.	0.	-347.49
57	13.083	0.	0.	-90.509
58	18.542	0.	0.	-14.598
59	2.1667	0.	0.	-410.86
60	24.	0.	0.	-324.9
61	1.	6.	0.	285.54
62	2.	6.	0.	-2265.2
63	3.937e-014	6.	0.	-1728.3
64	2.6226e-014	3.	0.	-3639.3
65	24.	3.	0.	-199.97
66	24.	6.	0.	-82.737
67	17.177	6.	0.	-78.353
68	10.354	6.	0.	-228.59
69	5.5781	6.	0.	-398.47
70	2.1667	6.	0.	-121.06
