Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	5.1674	2.9981	0.	-2110.2
2	5.2348	3.4814	0.	-2279.4
3	5.6306	3.4056	0.	-1514.4
4	3.7355	1.9012	0.	-981.16
5	6.1799	3.4272	0.	-995.91
6	4.4203	2.7438	0.	-1445.6
7	5.1075	3.515	0.	-2506.6
8	5.3521	3.3344	0.	-2106.9
9	16.385	2.912	0.	-210.26
10	8.2473	1.7177	0.	-548.83
11	2.311	3.7984	0.	-1184.2
12	7.3562	3.4726	0.	-601.38
13	4.8958	2.8625	0.	-2102.9
14	4.8278	3.2193	0.	-2061.3
15	5.2993	2.7931	0.	-2086.8
16	5.0797	2.6598	0.	-2220.
17	4.9704	3.1714	0.	-2311.9
18	5.1	3.1694	0.	-2091.2
19	11.025	2.3672	0.	-394.24
20	11.025	2.3672	0.1	-3.1465
21	5.1	3.1694	0.1	-38.878
22	4.9704	3.1714	0.1	16.616
23	5.0797	2.6598	0.1	-106.21
24	5.2993	2.7931	0.1	-244.13
25	4.8278	3.2193	0.1	-6.904
26	4.8958	2.8625	0.1	-193.95
27	7.3562	3.4726	0.1	3.4716
28	2.311	3.7984	0.1	-310.98
29	8.2473	1.7177	0.1	-37.69
30	16.385	2.912	0.1	12.579
31	5.3521	3.3344	0.1	-106.45
32	5.1075	3.515	0.1	-74.065
33	4.4203	2.7438	0.1	-35.457
34	6.1799	3.4272	0.1	-163.48
35	3.7355	1.9012	0.1	-69.726
36	5.6306	3.4056	0.1	-180.78
37	5.2348	3.4814	0.1	-161.
38	5.1674	2.9981	0.1	-156.86
39	5.2667	5.	0.1	85.795
40	5.2667	4.5	0.1	-80.428
41	5.2667	4.	0.1	212.96
42	5.1	4.	0.1	44.061
43	5.1	4.5	0.1	-603.35
44	5.1	5.	0.1	90.034
45	5.2667	1.	0.1	86.879
46	5.2667	1.5	0.1	175.45
47	5.2667	2.	0.1	318.41
48	5.1	2.	0.1	440.4
49	5.1	1.5	0.1	60.195
50	5.1	1.	0.1	174.14
51	5.2667	6.	0.1	59.768
52	8.3889	6.	0.1	-46.417
53	11.511	6.	0.1	10.925
54	17.756	6.	0.1	-59.022
55	24.	6.	0.1	-0.38109
56	24.	3.	0.1	22.401
57	2.6226e-014	3.	0.1	920.07
58	24.	0.	0.1	1.3017
