Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	5.1674	2.9981	0.	2.21e-004
2	5.2348	3.4814	0.	2.3513e-004
3	5.6306	3.4056	0.	1.5732e-004
4	3.7355	1.9012	0.	1.0357e-004
5	6.1799	3.4272	0.	1.0463e-004
6	4.4203	2.7438	0.	1.4331e-004
7	5.1075	3.515	0.	2.4581e-004
8	5.3521	3.3344	0.	2.1959e-004
9	16.385	2.912	0.	1.9533e-005
10	8.2473	1.7177	0.	5.7144e-005
11	2.311	3.7984	0.	1.3164e-004
12	7.3562	3.4726	0.	5.9616e-005
13	4.8958	2.8625	0.	2.1755e-004
14	4.8278	3.2193	0.	2.0354e-004
15	5.2993	2.7931	0.	2.2694e-004
16	5.0797	2.6598	0.	2.2892e-004
17	4.9704	3.1714	0.	2.2514e-004
18	5.1	3.1694	0.	2.0666e-004
19	11.025	2.3672	0.	3.8523e-005
20	11.025	2.3672	0.1	3.8523e-005
21	5.1	3.1694	0.1	2.0666e-004
22	4.9704	3.1714	0.1	2.2514e-004
23	5.0797	2.6598	0.1	2.2892e-004
24	5.2993	2.7931	0.1	2.2694e-004
25	4.8278	3.2193	0.1	2.0354e-004
26	4.8958	2.8625	0.1	2.1755e-004
27	7.3562	3.4726	0.1	5.9616e-005
28	2.311	3.7984	0.1	1.3164e-004
29	8.2473	1.7177	0.1	5.7144e-005
30	16.385	2.912	0.1	1.9533e-005
31	5.3521	3.3344	0.1	2.1959e-004
32	5.1075	3.515	0.1	2.4581e-004
33	4.4203	2.7438	0.1	1.4331e-004
34	6.1799	3.4272	0.1	1.0463e-004
35	3.7355	1.9012	0.1	1.0357e-004
36	5.6306	3.4056	0.1	1.5732e-004
37	5.2348	3.4814	0.1	2.3513e-004
38	5.1674	2.9981	0.1	2.21e-004
39	5.2667	5.	0.1	1.1872e-004
40	5.2667	4.5	0.1	1.5255e-004
41	5.2667	4.	0.1	4.0235e-004
42	5.1	4.	0.1	4.5474e-004
43	5.1	4.5	0.1	1.7775e-004
44	5.1	5.	0.1	1.0868e-004
45	5.2667	1.	0.1	7.9822e-005
46	5.2667	1.5	0.1	1.7307e-004
47	5.2667	2.	0.1	3.1188e-004
48	5.1	2.	0.1	3.3842e-004
49	5.1	1.5	0.1	1.443e-004
50	5.1	1.	0.1	7.1085e-005
51	5.2667	6.	0.1	5.0138e-005
52	8.3889	6.	0.1	5.3162e-005
53	11.511	6.	0.1	3.7751e-005
54	17.756	6.	0.1	1.9532e-005
55	24.	6.	0.1	1.152e-005
56	24.	3.	0.1	9.8304e-006
57	2.6226e-014	3.	0.1	9.4931e-005
58	24.	0.	0.1	1.0392e-005
59	17.756	0.	0.1	1.6891e-005
60	11.511	0.	0.1	3.7779e-005
61	8.3889	0.	0.1	5.4429e-005
62	5.2667	0.	0.1	6.1551e-005
63	5.1	0.	0.1	1.0887e-004
64	2.55	1.0919e-030	0.1	1.1453e-004
65	0.	0.	0.1	9.3842e-005
66	3.937e-014	6.	0.1	8.5058e-005
67	2.55	6.	0.1	1.2278e-004
68	5.1	6.	0.1	1.122e-004
69	2.55	6.	0.	1.2278e-004
70	5.1	6.	0.	1.122e-004
71	3.937e-014	6.	0.	8.5058e-005
72	2.55	1.0919e-030	0.	1.1453e-004
73	5.1	0.	0.	1.0887e-004
74	0.	0.	0.	9.3842e-005
75	8.3889	0.	0.	5.4429e-005
76	11.511	0.	0.	3.7779e-005
77	17.756	0.	0.	1.6891e-005
78	5.2667	0.	0.	6.1551e-005
79	24.	0.	0.	1.0392e-005
80	2.6226e-014	3.	0.	9.4931e-005
81	24.	3.	0.	9.8304e-006
82	24.	6.	0.	1.152e-005
83	17.756	6.	0.	1.9532e-005
84	11.511	6.	0.	3.7751e-005
85	8.3889	6.	0.	5.3162e-005
86	5.2667	6.	0.	5.0138e-005
87	5.1	1.5	0.	1.443e-004
88	5.1	1.	0.	7.1085e-005
89	5.1	2.	0.	3.3842e-004
90	5.2667	1.	0.	7.9822e-005
91	5.2667	1.5	0.	1.7307e-004
92	5.2667	2.	0.	3.1188e-004
93	5.1	4.5	0.	1.7775e-004
94	5.1	5.	0.	1.0868e-004
95	5.1	4.	0.	4.5474e-004
96	5.2667	5.	0.	1.1872e-004
97	5.2667	4.5	0.	1.5255e-004
98	5.2667	4.	0.	4.0235e-004
99	5.2597	3.1662	0.	2.1983e-004
100	5.0316	2.9303	0.	2.1839e-004
101	5.2334	2.8956	0.	2.2386e-004
102	5.1337	3.0837	0.	2.1332e-004
103	5.1674	2.9981	5.e-002	1.1371e-005
104	5.1711	3.4982	0.	2.3893e-004
105	5.2934	3.4079	0.	2.27e-004
106	5.1674	3.3254	0.	2.2022e-004
107	5.2348	3.4814	5.e-002	1.1065e-005
108	5.2507	3.7407	0.	3.1534e-004
109	5.9053	3.4164	0.	1.3058e-004
110	5.4913	3.37	0.	1.8734e-004
111	5.465	3.0993	0.	1.9118e-004
112	5.6306	3.4056	5.e-002	2.2709e-005
113	5.4487	3.7028	0.	2.7491e-004
114	4.0779	2.3225	0.	1.2333e-004
115	3.0233	2.8498	0.	1.1514e-004
116	3.7355	1.9012	5.e-002	2.5269e-006
117	3.1427	0.95062	0.	1.0658e-004
118	4.4177	1.7006	0.	1.1431e-004
119	4.4177	1.4506	0.	8.3619e-005
120	4.4177	3.4506	0.	1.0398e-004
121	6.768	3.4499	0.	8.1501e-005
122	6.1799	3.4272	5.e-002	6.3143e-006
123	5.7233	2.7136	0.	2.0119e-004
124	5.7233	3.9636	0.	1.2202e-004
125	4.6581	2.8031	0.	1.7981e-004
126	4.624	2.9816	0.	1.7318e-004
127	4.4203	2.7438	5.e-002	9.5358e-006
128	4.7601	2.3719	0.	2.3996e-004
129	4.7601	3.6219	0.	1.4587e-004
130	5.0389	3.3432	0.	2.35e-004
131	5.1075	3.515	5.e-002	3.07e-005
132	5.1037	3.7575	0.	3.3969e-004
133	5.3521	3.3344	5.e-002	3.3641e-006
134	13.705	2.6396	0.	2.8911e-005
135	16.385	2.912	5.e-002	4.9778e-007
136	17.07	1.456	0.	1.8116e-005
137	20.192	2.956	0.	1.4606e-005
138	17.07	4.456	0.	1.8833e-005
139	13.948	4.456	0.	2.7488e-005
140	7.8017	2.5951	0.	5.8278e-005
141	9.6361	2.0424	0.	4.7631e-005
142	8.2473	1.7177	5.e-002	7.9678e-007
143	8.3181	0.85883	0.	5.5597e-005
144	6.757	1.3588	0.	6.5801e-005
145	2.311	3.7984	5.e-002	2.9852e-006
146	2.4305	4.8992	0.	1.2678e-004
147	2.4305	1.8992	0.	1.2266e-004
148	1.1555	3.3992	0.	1.1154e-004
149	3.7055	4.3992	0.	1.1893e-004
150	7.3562	3.4726	5.e-002	1.7131e-006
151	7.8725	4.7363	0.	5.6321e-005
152	6.3114	2.4863	0.	1.1193e-004
153	6.3114	4.2363	0.	8.6508e-005
154	4.9878	2.7611	0.	2.2285e-004
155	4.9331	3.0169	0.	2.1996e-004
156	4.8958	2.8625	5.e-002	2.0296e-005
157	4.8991	3.1954	0.	2.1429e-004
158	4.8278	3.2193	5.e-002	3.6422e-006
159	4.9639	3.6097	0.	3.1765e-004
160	5.1895	2.7265	0.	2.2755e-004
161	5.2993	2.7931	5.e-002	2.1889e-006
162	5.283	2.3965	0.	2.6497e-004
163	5.0797	2.6598	5.e-002	9.7513e-006
164	5.0899	2.3299	0.	2.8328e-004
165	5.0352	3.1704	0.	2.1566e-004
166	4.9704	3.1714	5.e-002	6.9702e-006
167	5.1	3.1694	5.e-002	1.5052e-005
168	11.025	2.3672	5.e-002	3.5783e-006
169	11.268	1.1836	0.	3.8088e-005
170	9.7068	4.1836	0.	4.561e-005
171	9.6361	2.0424	0.1	4.7631e-005
