Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1	7.4522	2.6951	0.	5.9256e-004
2	8.6166	3.2622	0.	5.849e-004
3	9.0079	1.3946	0.	3.8404e-004
4	7.368	1.4779	0.	4.612e-004
5	6.3523	2.5837	0.	5.4064e-004
6	9.705	3.3268	0.	4.3748e-004
7	6.9158	0.57993	0.	3.023e-004
8	9.1404	0.53844	0.	2.688e-004
9	7.0074	4.713	0.	4.5216e-004
10	9.2945	5.3708	0.	2.3899e-004
11	7.1807	5.3965	0.	3.174e-004
12	5.8262	0.83672	0.	4.3015e-004
13	6.2481	3.4037	0.	5.0576e-004
14	6.2069	5.1992	0.	3.9348e-004
15	5.204	4.687	0.	4.5182e-004
16	3.7312	4.7379	0.	5.0572e-004
17	1.2158	4.7829	0.	5.6844e-004
18	1.1811	1.2087	0.	5.6703e-004
19	2.3728	1.204	0.	5.2882e-004
20	3.5867	1.1853	0.	5.1021e-004
21	4.8057	1.1109	0.	4.7469e-004
22	10.05	0.7779	0.	2.6758e-004
23	10.899	1.2958	0.	2.9861e-004
24	12.374	1.2023	0.	2.7272e-004
25	13.656	1.2101	0.	2.3612e-004
26	14.86	1.2116	0.	2.0726e-004
27	16.03	1.2197	0.	1.7859e-004
28	17.179	1.224	0.	1.5119e-004
29	18.315	1.219	0.	1.2482e-004
30	19.453	1.2085	0.	9.9236e-005
31	20.593	1.1989	0.	7.4443e-005
32	21.73	1.1942	0.	5.0804e-005
33	22.864	1.1954	0.	2.905e-005
34	1.241	3.5929	0.	5.9729e-004
35	1.224	2.4098	0.	5.9781e-004
36	22.855	2.3937	0.	3.2205e-005
37	22.856	3.6022	0.	3.2189e-005
38	22.858	4.8089	0.	2.9172e-005
39	21.724	4.7972	0.	5.0947e-005
40	20.584	4.7977	0.	7.4557e-005
41	19.456	4.8075	0.	9.9091e-005
42	18.332	4.8346	0.	1.2456e-004
43	17.182	4.8217	0.	1.5119e-004
44	16.03	4.8117	0.	1.7858e-004
45	14.869	4.7951	0.	2.0667e-004
46	13.695	4.7804	0.	2.353e-004
47	12.511	4.7815	0.	2.6478e-004
48	11.429	4.8759	0.	2.8844e-004
49	10.307	5.0896	0.	2.9881e-004
50	5.0839	3.4509	0.	4.6103e-004
51	3.8191	3.5133	0.	4.8722e-004
52	2.5109	3.58	0.	5.0511e-004
53	2.4605	2.3935	0.	5.0773e-004
54	3.7323	2.349	0.	4.8693e-004
55	11.014	2.406	0.	3.0013e-004
56	12.301	2.3789	0.	2.6919e-004
57	13.584	2.3962	0.	2.3626e-004
58	14.822	2.4088	0.	2.0641e-004
59	16.	2.4269	0.	1.7799e-004
60	17.154	2.4353	0.	1.51e-004
61	18.298	2.4281	0.	1.2478e-004
62	19.443	2.4112	0.	9.9454e-005
63	20.586	2.3975	0.	7.5286e-005
64	21.719	2.398	0.	5.2625e-005
65	21.709	3.596	0.	5.2797e-005
66	20.577	3.5926	0.	7.5413e-005
67	19.437	3.6111	0.	9.9512e-005
