Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	7.4522	2.6951	0.	5921.5
2	8.6166	3.2622	0.	5845.
3	9.0079	1.3946	0.	3837.7
4	7.368	1.4779	0.	4608.8
5	6.3523	2.5837	0.	5402.7
6	9.705	3.3268	0.	4371.8
7	6.9158	0.57993	0.	3021.
8	9.1404	0.53844	0.	2686.1
9	7.0074	4.713	0.	4518.4
10	9.2945	5.3708	0.	2388.2
11	7.1807	5.3965	0.	3171.8
12	5.8262	0.83672	0.	4298.5
13	6.2481	3.4037	0.	5054.1
14	6.2069	5.1992	0.	3932.1
15	5.204	4.687	0.	4515.
16	3.7312	4.7379	0.	5053.7
17	1.2158	4.7829	0.	5680.4
18	1.1811	1.2087	0.	5666.4
19	2.3728	1.204	0.	5284.6
20	3.5867	1.1853	0.	5098.5
21	4.8057	1.1109	0.	4743.6
22	10.05	0.7779	0.	2673.9
23	10.899	1.2958	0.	2984.1
24	12.374	1.2023	0.	2725.3
25	13.656	1.2101	0.	2359.5
26	14.86	1.2116	0.	2071.2
27	16.03	1.2197	0.	1784.7
28	17.179	1.224	0.	1510.9
29	18.315	1.219	0.	1247.4
30	19.453	1.2085	0.	991.67
31	20.593	1.1989	0.	743.91
32	21.73	1.1942	0.	507.69
33	22.864	1.1954	0.	290.3
34	1.241	3.5929	0.	5968.7
35	1.224	2.4098	0.	5974.
36	22.855	2.3937	0.	321.82
37	22.856	3.6022	0.	321.67
38	22.858	4.8089	0.	291.52
39	21.724	4.7972	0.	509.12
40	20.584	4.7977	0.	745.05
41	19.456	4.8075	0.	990.23
42	18.332	4.8346	0.	1244.7
43	17.182	4.8217	0.	1510.9
44	16.03	4.8117	0.	1784.6
45	14.869	4.7951	0.	2065.2
46	13.695	4.7804	0.	2351.4
47	12.511	4.7815	0.	2646.
48	11.429	4.8759	0.	2882.4
49	10.307	5.0896	0.	2986.
50	5.0839	3.4509	0.	4607.1
51	3.8191	3.5133	0.	4868.9
52	2.5109	3.58	0.	5047.7
53	2.4605	2.3935	0.	5073.8
54	3.7323	2.349	0.	4865.9
55	11.014	2.406	0.	2999.2
56	12.301	2.3789	0.	2690.
57	13.584	2.3962	0.	2361.
58	14.822	2.4088	0.	2062.6
59	16.	2.4269	0.	1778.7
60	17.154	2.4353	0.	1508.9
61	18.298	2.4281	0.	1246.9
62	19.443	2.4112	0.	993.85
63	20.586	2.3975	0.	752.34
64	21.719	2.398	0.	525.89
65	21.709	3.596	0.	527.61
66	20.577	3.5926	0.	753.61
67	19.437	3.6111	0.	994.44
68	18.304	3.6243	0.	1246.6
69	17.162	3.6271	0.	1507.6
70	16.	3.6158	0.	1779.2
71	14.824	3.606	0.	2059.8
72	13.608	3.5851	0.	2351.9
73	11.029	3.655	0.	2924.3
74	5.0795	2.226	0.	4459.9
75	12.357	3.5712	0.	2657.6
76	9.119	4.8144	0.	2932.3
77	8.8956	4.4129	0.	3698.6
78	9.3334	3.9288	0.	3967.3
79	7.0564	1.0852	0.	3358.5
80	6.7878	1.9714	0.	4514.8
81	2.446	4.765	0.	5249.6
82	7.3644	5.0428	0.	2810.9
83	6.4932	4.123	0.	4626.6
84	8.8314	1.006	0.	2433.7
85	9.5568	1.8446	0.	3617.6
86	8.6585	2.6429	0.	5703.
87	7.4615	3.3243	0.	5877.4
88	9.7733	2.5478	0.	4169.
89	6.1507	1.5064	0.	4748.5
90	10.07	4.3763	0.	3394.4
91	10.07	4.3763	0.1	3394.4
92	6.1507	1.5064	0.1	4748.5
93	9.7733	2.5478	0.1	4169.
94	7.4615	3.3243	0.1	5877.4
95	8.6585	2.6429	0.1	5703.
96	9.5568	1.8446	0.1	3617.6
97	8.8314	1.006	0.1	2433.7
98	6.4932	4.123	0.1	4626.6
99	7.3644	5.0428	0.1	2810.9
100	2.446	4.765	0.1	5249.6
101	6.7878	1.9714	0.1	4514.8
102	7.0564	1.0852	0.1	3358.5
103	9.3334	3.9288	0.1	3967.3
104	8.8956	4.4129	0.1	3698.6
105	9.119	4.8144	0.1	2932.3
106	12.357	3.5712	0.1	2657.6
107	5.0795	2.226	0.1	4459.9
108	11.029	3.655	0.1	2924.3
109	13.608	3.5851	0.1	2351.9
110	14.824	3.606	0.1	2059.8
111	16.	3.6158	0.1	1779.2
112	17.162	3.6271	0.1	1507.6
113	18.304	3.6243	0.1	1246.6
114	19.437	3.6111	0.1	994.44
115	20.577	3.5926	0.1	753.61
116	21.709	3.596	0.1	527.61
117	21.719	2.398	0.1	525.89
118	20.586	2.3975	0.1	752.34
119	19.443	2.4112	0.1	993.85
120	18.298	2.4281	0.1	1246.9
121	17.154	2.4353	0.1	1508.9
122	16.	2.4269	0.1	1778.7
123	14.822	2.4088	0.1	2062.6
124	13.584	2.3962	0.1	2361.
125	12.301	2.3789	0.1	2690.
126	11.014	2.406	0.1	2999.2
127	3.7323	2.349	0.1	4865.9
128	2.4605	2.3935	0.1	5073.8
129	2.5109	3.58	0.1	5047.7
130	3.8191	3.5133	0.1	4868.9
131	5.0839	3.4509	0.1	4607.1
132	10.307	5.0896	0.1	2986.
133	11.429	4.8759	0.1	2882.4
134	12.511	4.7815	0.1	2646.
135	13.695	4.7804	0.1	2351.4
136	14.869	4.7951	0.1	2065.2
137	16.03	4.8117	0.1	1784.6
138	17.182	4.8217	0.1	1510.9
139	18.332	4.8346	0.1	1244.7
140	19.456	4.8075	0.1	990.23
141	20.584	4.7977	0.1	745.05
142	21.724	4.7972	0.1	509.12
143	22.858	4.8089	0.1	291.52
144	22.856	3.6022	0.1	321.67
145	22.855	2.3937	0.1	321.82
146	1.224	2.4098	0.1	5974.
147	1.241	3.5929	0.1	5968.7
