Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
1	7.4522	2.6951	0.	1430.5
2	8.6166	3.2622	0.	1486.8
3	9.0079	1.3946	0.	520.69
4	7.368	1.4779	0.	699.02
5	6.3523	2.5837	0.	247.05
6	9.705	3.3268	0.	112.33
7	6.9158	0.57993	0.	310.9
8	9.1404	0.53844	0.	437.13
9	7.0074	4.713	0.	840.52
10	9.2945	5.3708	0.	247.17
11	7.1807	5.3965	0.	560.16
12	5.8262	0.83672	0.	225.87
13	6.2481	3.4037	0.	36.161
14	6.2069	5.1992	0.	109.33
15	5.204	4.687	0.	-22.411
16	3.7312	4.7379	0.	73.987
17	1.2158	4.7829	0.	1019.
18	1.1811	1.2087	0.	1015.2
19	2.3728	1.204	0.	-202.12
20	3.5867	1.1853	0.	57.757
21	4.8057	1.1109	0.	-43.607
22	10.05	0.7779	0.	-14.679
23	10.899	1.2958	0.	-37.971
24	12.374	1.2023	0.	40.303
25	13.656	1.2101	0.	-18.361
26	14.86	1.2116	0.	2.5941
27	16.03	1.2197	0.	-1.4626
28	17.179	1.224	0.	4.9426
29	18.315	1.219	0.	14.743
30	19.453	1.2085	0.	24.189
31	20.593	1.1989	0.	35.216
32	21.73	1.1942	0.	53.294
33	22.864	1.1954	0.	74.581
34	1.241	3.5929	0.	1162.2
35	1.224	2.4098	0.	1161.1
36	22.855	2.3937	0.	108.58
37	22.856	3.6022	0.	108.32
38	22.858	4.8089	0.	73.901
39	21.724	4.7972	0.	53.506
40	20.584	4.7977	0.	35.469
41	19.456	4.8075	0.	24.769
42	18.332	4.8346	0.	15.032
43	17.182	4.8217	0.	6.3066
44	16.03	4.8117	0.	-0.41538
45	14.869	4.7951	0.	-1.2457
46	13.695	4.7804	0.	-4.6701
47	12.511	4.7815	0.	13.695
48	11.429	4.8759	0.	-1.0546
49	10.307	5.0896	0.	178.55
50	5.0839	3.4509	0.	-78.301
51	3.8191	3.5133	0.	112.26
52	2.5109	3.58	0.	-257.41
53	2.4605	2.3935	0.	-238.49
54	3.7323	2.349	0.	97.603
55	11.014	2.406	0.	-85.43
56	12.301	2.3789	0.	18.324
57	13.584	2.3962	0.	-6.3662
58	14.822	2.4088	0.	3.7356
59	16.	2.4269	0.	-1.7843
60	17.154	2.4353	0.	-0.38381
61	18.298	2.4281	0.	13.128
62	19.443	2.4112	0.	27.463
63	20.586	2.3975	0.	45.3
64	21.719	2.398	0.	73.948
65	21.709	3.596	0.	73.58
66	20.577	3.5926	0.	44.663
67	19.437	3.6111	0.	26.724
68	18.304	3.6243	0.	12.916
69	17.162	3.6271	0.	0.31501
70	16.	3.6158	0.	-1.5688
71	14.824	3.606	0.	-1.2092
72	13.608	3.5851	0.	0.43708
73	11.029	3.655	0.	-34.782
74	5.0795	2.226	0.	21.042
75	12.357	3.5712	0.	18.198
76	9.119	4.8144	0.	515.94
77	8.8956	4.4129	0.	231.48
78	9.3334	3.9288	0.	-1.5231
79	7.0564	1.0852	0.	508.37
80	6.7878	1.9714	0.	-13.915
81	2.446	4.765	0.	-217.34
82	7.3644	5.0428	0.	740.96
83	6.4932	4.123	0.	15.516
84	8.8314	1.006	0.	910.78
85	9.5568	1.8446	0.	-120.4
86	8.6585	2.6429	0.	1574.4
87	7.4615	3.3243	0.	1441.2
88	9.7733	2.5478	0.	11.173
89	6.1507	1.5064	0.	406.58
90	10.07	4.3763	0.	87.732
91	10.07	4.3763	0.1	3345.4
92	6.1507	1.5064	0.1	4477.4
93	9.7733	2.5478	0.1	4450.4
94	7.4615	3.3243	0.1	4933.9
95	8.6585	2.6429	0.1	4639.9
96	9.5568	1.8446	0.1	3969.9
97	8.8314	1.006	0.1	1846.3
98	6.4932	4.123	0.1	4825.8
99	7.3644	5.0428	0.1	2375.8
100	2.446	4.765	0.1	5749.9
101	6.7878	1.9714	0.1	4774.7
102	7.0564	1.0852	0.1	3159.4
103	9.3334	3.9288	0.1	4199.3
104	8.8956	4.4129	0.1	3648.4
105	9.119	4.8144	0.1	2688.3
106	12.357	3.5712	0.1	2712.7
107	5.0795	2.226	0.1	4680.9
108	11.029	3.655	0.1	3111.7
109	13.608	3.5851	0.1	2392.2
110	14.824	3.606	0.1	2080.2
111	16.	3.6158	0.1	1787.9
112	17.162	3.6271	0.1	1508.
113	18.304	3.6243	0.1	1240.9
114	19.437	3.6111	0.1	982.08
115	20.577	3.5926	0.1	731.88
116	21.709	3.596	0.1	487.82
117	21.719	2.398	0.1	485.73
118	20.586	2.3975	0.1	730.34
119	19.443	2.4112	0.1	980.88
120	18.298	2.4281	0.1	1241.3
121	17.154	2.4353	0.1	1509.9
122	16.	2.4269	0.1	1788.5
123	14.822	2.4088	0.1	2082.6
124	13.584	2.3962	0.1	2407.2
125	12.301	2.3789	0.1	2746.4
126	11.014	2.406	0.1	3188.1
127	3.7323	2.349	0.1	5100.1
128	2.4605	2.3935	0.1	5767.2
129	2.5109	3.58	0.1	5752.6
130	3.8191	3.5133	0.1	5101.2
131	5.0839	3.4509	0.1	4870.1
132	10.307	5.0896	0.1	2863.4
133	11.429	4.8759	0.1	2900.9
134	12.511	4.7815	0.1	2672.8
135	13.695	4.7804	0.1	2376.5
136	14.869	4.7951	0.1	2075.8
137	16.03	4.8117	0.1	1787.7
138	17.182	4.8217	0.1	1508.3
139	18.332	4.8346	0.1	1237.3
140	19.456	4.8075	0.1	977.82
141	20.584	4.7977	0.1	726.92
142	21.724	4.7972	0.1	479.19
143	22.858	4.8089	0.1	250.46
144	22.856	3.6022	0.1	256.86
145	22.855	2.3937	0.1	256.92
146	1.224	2.4098	0.1	5645.3
147	1.241	3.5929	0.1	5638.2
148	22.864	1.1954	0.1	248.63
149	21.73	1.1942	0.1	478.02
150	20.593	1.1989	0.1	725.92
151	19.453	1.2085	0.1	979.45
152	18.315	1.219	0.1	1240.2
153	17.179	1.224	0.1	1508.8
154	16.03	1.2197	0.1	1789.6
155	14.86	1.2116	0.1	2080.3
156	13.656	1.2101	0.1	2396.2
157	12.374	1.2023	0.1	2756.3
158	10.899	1.2958	0.1	3064.1
159	10.05	0.7779	0.1	2802.6
160	4.8057	1.1109	0.1	4825.1
161	3.5867	1.1853	0.1	5234.1
162	2.3728	1.204	0.1	5773.6
163	1.1811	1.2087	0.1	5355.6
164	1.2158	4.7829	0.1	5365.6
165	3.7312	4.7379	0.1	5201.1
166	5.204	4.687	0.1	4613.6
167	6.2069	5.1992	0.1	3879.3
168	6.2481	3.4037	0.1	5235.5
169	5.8262	0.83672	0.1	4150.1
170	7.1807	5.3965	0.1	2843.4
171	9.2945	5.3708	0.1	2247.9
172	7.0074	4.713	0.1	4029.1
173	9.1404	0.53844	0.1	2408.7
174	6.9158	0.57993	0.1	2823.8
175	9.705	3.3268	0.1	4547.
176	6.3523	2.5837	0.1	5430.
177	7.368	1.4779	0.1	4261.9
178	9.0079	1.3946	0.1	3568.7
179	8.6166	3.2622	0.1	4935.6
180	7.4522	2.6951	0.1	5072.5
181	8.1667	5.5	0.1	2200.6
182	8.1667	5.	0.1	3448.2
183	8.1667	4.5	0.1	6088.5
184	8.1667	4.	0.1	10416
185	8.	4.	0.1	9658.5
186	8.	4.5	0.1	4403.7
187	8.	5.	0.1	3738.2
188	8.	5.5	0.1	1670.6
189	8.1667	0.5	0.1	1709.3
190	8.1667	1.	0.1	3127.7
191	8.1667	1.5	0.1	4879.
192	8.1667	2.	0.1	9962.6
193	8.	2.	0.1	9866.5
194	8.	1.5	0.1	5866.2
195	8.	1.	0.1	3588.1
196	8.	0.5	0.1	2580.4
197	8.1667	6.	0.1	1621.2
198	9.2976	6.	0.1	1999.7
199	10.429	6.	0.1	2702.4
200	11.56	6.	0.1	2801.2
201	12.69	6.	0.1	2614.5
202	13.821	6.	0.1	2357.8
203	14.952	6.	0.1	2070.9
204	16.083	6.	0.1	1785.6
205	17.214	6.	0.1	1507.8
206	18.345	6.	0.1	1239.
207	19.476	6.	0.1	973.02
208	20.607	6.	0.1	714.89
209	21.738	6.	0.1	459.86
210	22.869	6.	0.1	219.58
211	24.	6.	0.1	95.763
212	24.	4.8	0.1	130.49
213	24.	3.6	0.1	138.83
214	24.	2.4	0.1	138.68
215	24.	1.2	0.1	129.94
216	1.049e-014	1.2	0.1	7750.2
217	2.0981e-014	2.4	0.1	8162.6
218	3.1471e-014	3.6	0.1	8173.
219	4.1961e-014	4.8	0.1	7760.1
220	24.	0.	0.1	95.892
221	22.869	0.	0.1	219.33
222	21.738	0.	0.1	459.95
223	20.607	0.	0.1	716.45
224	19.476	0.	0.1	974.17
225	18.345	0.	0.1	1237.6
226	17.214	0.	0.1	1508.5
227	16.083	0.	0.1	1787.1
228	14.952	0.	0.1	2072.3
229	13.821	0.	0.1	2384.6
230	12.69	0.	0.1	2666.4
231	11.56	0.	0.1	2814.1
232	10.429	0.	0.1	2710.3
233	9.2976	0.	0.1	2137.2
234	8.1667	0.	0.1	1716.7
235	8.	0.	0.1	1921.8
236	6.8571	1.0399e-030	0.1	2753.9
