Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	7.4522	2.6951	0.	0.29242
2	8.6166	3.2622	0.	0.3904
3	9.0079	1.3946	0.	0.42242
4	7.368	1.4779	0.	0.28056
5	6.3523	2.5837	0.	0.21418
6	9.705	3.3268	0.	0.49546
7	6.9158	0.57993	0.	0.24292
8	9.1404	0.53844	0.	0.43124
9	7.0074	4.713	0.	0.2541
10	9.2945	5.3708	0.	0.44858
11	7.1807	5.3965	0.	0.26147
12	5.8262	0.83672	0.	0.17557
13	6.2481	3.4037	0.	0.20759
14	6.2069	5.1992	0.	0.19877
15	5.204	4.687	0.	0.14294
16	3.7312	4.7379	0.	7.371e-002
17	1.2158	4.7829	0.	7.6146e-003
18	1.1811	1.2087	0.	7.17e-003
19	2.3728	1.204	0.	2.9413e-002
20	3.5867	1.1853	0.	6.7782e-002
21	4.8057	1.1109	0.	0.1212
22	10.05	0.7779	0.	0.52603
23	10.899	1.2958	0.	0.61936
24	12.374	1.2023	0.	0.78781
25	13.656	1.2101	0.	0.94416
26	14.86	1.2116	0.	1.098
27	16.03	1.2197	0.	1.2534
28	17.179	1.224	0.	1.4107
29	18.315	1.219	0.	1.5702
30	19.453	1.2085	0.	1.7331
31	20.593	1.1989	0.	1.8988
32	21.73	1.1942	0.	2.066
33	22.864	1.1954	0.	2.234
34	1.241	3.5929	0.	8.5702e-003
35	1.224	2.4098	0.	8.3364e-003
36	22.855	2.3937	0.	2.2337
37	22.856	3.6022	0.	2.2344
38	22.858	4.8089	0.	2.2345
39	21.724	4.7972	0.	2.0665
40	20.584	4.7977	0.	1.8989
41	19.456	4.8075	0.	1.7349
42	18.332	4.8346	0.	1.5739
43	17.182	4.8217	0.	1.4124
44	16.03	4.8117	0.	1.2548
45	14.869	4.7951	0.	1.1006
46	13.695	4.7804	0.	0.95037
47	12.511	4.7815	0.	0.8055
48	11.429	4.8759	0.	0.67929
49	10.307	5.0896	0.	0.55509
50	5.0839	3.4509	0.	0.1395
51	3.8191	3.5133	0.	7.9949e-002
52	2.5109	3.58	0.	3.4979e-002
53	2.4605	2.3935	0.	3.3571e-002
54	3.7323	2.349	0.	7.6284e-002
55	11.014	2.406	0.	0.63441
56	12.301	2.3789	0.	0.78169
57	13.584	2.3962	0.	0.93759
58	14.822	2.4088	0.	1.0954
59	16.	2.4269	0.	1.2515
60	17.154	2.4353	0.	1.4092
61	18.298	2.4281	0.	1.5695
62	19.443	2.4112	0.	1.7331
63	20.586	2.3975	0.	1.899
64	21.719	2.398	0.	2.0655
65	21.709	3.596	0.	2.0646
