Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
91	0.12678	8.4027e-002	2.54e-003	-5.0091e-007
92	0.13509	9.0635e-002	2.54e-003	-8.7528e-007
93	0.11445	7.9694e-002	2.54e-003	-3.7073e-007
94	0.10714	9.5831e-002	2.54e-003	-9.7947e-007
95	0.14646	8.9478e-002	2.54e-003	-2.2745e-007
96	0.13591	9.2881e-002	2.54e-003	-1.0025e-006
97	0.13637	6.6958e-002	2.54e-003	9.2225e-007
98	0.15234	3.2956e-002	2.54e-003	1.5694e-006
99	0.14661	2.4192e-002	2.54e-003	2.0036e-006
100	8.1547e-002	5.1696e-002	2.54e-003	5.0912e-007
101	0.11127	2.4372e-002	2.54e-003	2.1038e-006
102	0.1499	0.12754	2.54e-003	-1.1909e-006
103	0.52416	9.1193e-002	2.54e-003	3.413e-007
104	0.30648	9.7581e-002	2.54e-003	8.5866e-008
105	0.32855	9.4413e-002	2.54e-003	1.4828e-007
106	0.35546	9.2838e-002	2.54e-003	1.9401e-007
107	0.38307	9.2007e-002	2.54e-003	2.3513e-007
108	0.41146	9.1226e-002	2.54e-003	2.7063e-007
109	0.43969	9.1136e-002	2.54e-003	2.9498e-007
110	0.46767	9.119e-002	2.54e-003	3.1342e-007
111	0.4957	9.1197e-002	2.54e-003	3.2885e-007
112	0.55241	9.1236e-002	2.54e-003	3.502e-007
113	0.55251	6.0719e-002	2.54e-003	4.0584e-007
114	0.52412	6.0675e-002	2.54e-003	4.1526e-007
115	0.49579	6.0637e-002	2.54e-003	4.2836e-007
116	0.46761	6.07e-002	2.54e-003	4.444e-007
117	0.43968	6.0707e-002	2.54e-003	4.6424e-007
118	0.41143	6.0945e-002	2.54e-003	4.8798e-007
119	0.38279	6.1422e-002	2.54e-003	5.1539e-007
120	0.35403	6.2395e-002	2.54e-003	5.3624e-007
121	0.32398	6.4516e-002	2.54e-003	5.1123e-007
122	0.28825	7.7176e-002	2.54e-003	3.4984e-007
123	0.25247	7.6898e-002	2.54e-003	3.438e-007
124	0.17819	7.8686e-002	2.54e-003	3.0631e-007
125	0.21867	7.4701e-002	2.54e-003	3.8259e-007
126	0.18128	0.13043	2.54e-003	-7.4849e-007
127	0.20642	0.11312	2.54e-003	-2.8313e-007
128	0.2443	0.11346	2.54e-003	-2.4093e-007
129	0.27376	0.11636	2.54e-003	-2.3495e-007
130	0.30133	0.12226	2.54e-003	-2.5938e-007
131	0.32928	0.12412	2.54e-003	-2.0712e-007
132	0.35577	0.12398	2.54e-003	-1.2252e-007
133	0.38404	0.12232	2.54e-003	-1.8546e-008
134	0.41202	0.12187	2.54e-003	6.2635e-008
135	0.43984	0.12166	2.54e-003	1.311e-007
136	0.46792	0.12174	2.54e-003	1.8871e-007
137	0.49616	0.12176	2.54e-003	2.3684e-007
138	0.52436	0.12171	2.54e-003	2.7476e-007
139	0.55262	0.1218	2.54e-003	3.0173e-007
140	0.5811	0.12174	2.54e-003	3.1876e-007
141	0.58081	9.1279e-002	2.54e-003	3.5582e-007
142	0.58108	6.084e-002	2.54e-003	3.9979e-007
143	3.7782e-002	5.9889e-002	2.54e-003	1.261e-007
144	3.7099e-002	8.8995e-002	2.54e-003	-2.3296e-009
145	0.58118	3.0378e-002	2.54e-003	4.3669e-007
146	0.55297	3.0415e-002	2.54e-003	4.5348e-007
147	0.52476	3.0206e-002	2.54e-003	4.8104e-007
148	0.49653	3.0241e-002	2.54e-003	5.19e-007
149	0.46836	3.0218e-002	2.54e-003	5.6769e-007
150	0.44017	3.024e-002	2.54e-003	6.2633e-007
151	0.41182	3.0452e-002	2.54e-003	6.9362e-007
152	0.38336	3.0899e-002	2.54e-003	7.6655e-007
153	0.35402	3.1683e-002	2.54e-003	8.4398e-007
154	0.32336	3.4611e-002	2.54e-003	8.9927e-007
155	0.29253	3.8168e-002	2.54e-003	9.2846e-007
156	0.26193	3.9532e-002	2.54e-003	9.7465e-007
157	0.22926	3.9318e-002	2.54e-003	1.0475e-006
158	0.19778	3.6937e-002	2.54e-003	1.1194e-006
159	0.17539	2.0118e-002	2.54e-003	1.588e-006
160	6.1336e-002	2.5758e-002	2.54e-003	8.665e-007
161	3.2186e-002	3.0988e-002	2.54e-003	2.7715e-007
162	3.1274e-002	0.11938	2.54e-003	-2.8264e-007
163	5.9476e-002	0.12265	2.54e-003	-8.5821e-007
164	8.0173e-002	0.12808	2.54e-003	-1.4207e-006
165	8.5667e-002	1.9569e-002	2.54e-003	1.5815e-006
166	7.4429e-002	8.6078e-002	2.54e-003	-1.176e-007
167	9.0676e-002	0.10794	2.54e-003	-8.7985e-007
168	0.17667	9.9057e-002	2.54e-003	-9.6276e-008
169	0.15452	0.13879	2.54e-003	-1.2479e-006
170	0.11501	0.10754	2.54e-003	-1.821e-006
171	0.10765	0.12054	2.54e-003	-1.9041e-006
172	0.10252	0.13562	2.54e-003	-2.1417e-006
173	0.15181	1.52e-002	2.54e-003	2.0289e-006
174	9.9903e-002	3.4255e-002	2.54e-003	1.3896e-006
175	0.10612	1.3436e-002	2.54e-003	2.1661e-006
176	0.15952	0.11662	2.54e-003	-7.0732e-007
177	0.12419	9.5188e-002	2.54e-003	-1.6981e-006
178	0.16139	4.6338e-002	2.54e-003	1.0933e-006
179	0.14586	7.9814e-002	2.54e-003	2.4134e-007
180	0.15681	6.607e-002	2.54e-003	7.6801e-007
253	0.13123	0.1397	2.54e-003	-1.7946e-006
254	0.13123	0.127	2.54e-003	-2.0464e-006
255	0.13123	0.1143	2.54e-003	-2.1563e-006
256	0.13123	0.1016	2.54e-003	-1.7101e-006
257	0.127	0.1016	2.54e-003	-2.6837e-006
258	0.127	0.1143	2.54e-003	-3.3842e-006
259	0.127	0.127	2.54e-003	-3.1843e-006
260	0.127	0.1397	2.54e-003	-2.9856e-006
261	0.13123	1.27e-002	2.54e-003	2.5655e-006
262	0.13123	2.54e-002	2.54e-003	2.8485e-006
263	0.13123	3.81e-002	2.54e-003	3.0908e-006
264	0.13123	5.08e-002	2.54e-003	2.4774e-006
265	0.127	5.08e-002	2.54e-003	2.0273e-006
266	0.127	3.81e-002	2.54e-003	3.0405e-006
267	0.127	2.54e-002	2.54e-003	3.1293e-006
268	0.127	1.27e-002	2.54e-003	2.8117e-006
269	0.13123	0.1524	2.54e-003	-1.7855e-006
270	0.15937	0.1524	2.54e-003	-1.4025e-006
271	0.18751	0.1524	2.54e-003	-1.2659e-006
272	0.21565	0.1524	2.54e-003	-1.1317e-006
273	0.24379	0.1524	2.54e-003	-9.5014e-007
274	0.27193	0.1524	2.54e-003	-8.5597e-007
275	0.30007	0.1524	2.54e-003	-7.1096e-007
276	0.32821	0.1524	2.54e-003	-5.4217e-007
277	0.35635	0.1524	2.54e-003	-3.9567e-007
278	0.38449	0.1524	2.54e-003	-2.5435e-007
279	0.41263	0.1524	2.54e-003	-1.2577e-007
280	0.44076	0.1524	2.54e-003	-1.1951e-008
281	0.4689	0.1524	2.54e-003	8.6054e-008
282	0.49704	0.1524	2.54e-003	1.6665e-007
283	0.52518	0.1524	2.54e-003	2.2924e-007
284	0.55332	0.1524	2.54e-003	2.7401e-007
285	0.58146	0.1524	2.54e-003	3.0106e-007
286	0.6096	0.1524	2.54e-003	3.1264e-007
287	0.6096	0.12192	2.54e-003	3.2664e-007
288	0.6096	9.144e-002	2.54e-003	3.585e-007
289	0.6096	6.096e-002	2.54e-003	3.9671e-007
290	0.6096	3.048e-002	2.54e-003	4.2869e-007
291	2.6645e-016	3.048e-002	2.54e-003	0.
292	5.3291e-016	6.096e-002	2.54e-003	0.
293	7.9936e-016	9.144e-002	2.54e-003	0.
294	1.0658e-015	0.12192	2.54e-003	0.
295	0.6096	0.	2.54e-003	4.4259e-007
296	0.58146	0.	2.54e-003	4.5422e-007
297	0.55332	0.	2.54e-003	4.8116e-007
298	0.52518	0.	2.54e-003	5.2587e-007
299	0.49704	0.	2.54e-003	5.8854e-007
300	0.4689	0.	2.54e-003	6.687e-007
301	0.44076	0.	2.54e-003	7.6617e-007
302	0.41263	0.	2.54e-003	8.8011e-007
303	0.38449	0.	2.54e-003	1.0082e-006
304	0.35635	0.	2.54e-003	1.1516e-006
305	0.32821	0.	2.54e-003	1.3143e-006
306	0.30007	0.	2.54e-003	1.4625e-006
307	0.27193	0.	2.54e-003	1.5978e-006
308	0.24379	0.	2.54e-003	1.731e-006
309	0.21565	0.	2.54e-003	1.9296e-006
310	0.18751	0.	2.54e-003	2.0056e-006
311	0.15937	0.	2.54e-003	2.1798e-006
312	0.13123	0.	2.54e-003	2.56e-006
313	0.127	0.	2.54e-003	2.7885e-006
314	0.1016	-1.7256e-032	2.54e-003	2.4325e-006
315	7.62e-002	-1.2942e-032	2.54e-003	2.12e-006
316	5.08e-002	-8.6282e-033	2.54e-003	1.6836e-006
317	2.54e-002	-4.3141e-033	2.54e-003	7.9061e-007
318	0.	0.	2.54e-003	0.
319	1.e-015	0.1524	2.54e-003	0.
320	2.54e-002	0.1524	2.54e-003	-8.2146e-007
321	5.08e-002	0.1524	2.54e-003	-1.7055e-006
322	7.62e-002	0.1524	2.54e-003	-2.244e-006
323	0.1016	0.1524	2.54e-003	-2.593e-006
324	0.127	0.1524	2.54e-003	-2.9313e-006
629	0.11696	8.9929e-002	2.54e-003	-9.9864e-007
630	0.13157	7.5493e-002	2.54e-003	2.7069e-007
631	0.12548	8.9607e-002	2.54e-003	-1.1228e-006
632	0.13632	8.192e-002	2.54e-003	-1.8521e-007
633	0.1355	9.1758e-002	2.54e-003	-9.3285e-007
634	0.12964	9.2911e-002	2.54e-003	-1.3628e-006
635	0.14048	8.5224e-002	2.54e-003	-2.0615e-007
636	0.1108	8.7762e-002	2.54e-003	-7.4132e-007
637	0.12541	7.3326e-002	2.54e-003	4.2374e-007
638	9.4438e-002	8.2886e-002	2.54e-003	-4.6391e-007
639	0.12072	6.5247e-002	2.54e-003	8.9058e-007
640	9.8909e-002	0.10189	2.54e-003	-8.7333e-007
641	0.11108	0.10169	2.54e-003	-1.4043e-006
642	0.14118	9.118e-002	2.54e-003	-6.262e-007
643	0.16232	8.4082e-002	2.54e-003	2.3967e-007
644	0.14616	8.4646e-002	2.54e-003	3.3308e-008
645	0.13885	9.5539e-002	2.54e-003	-9.6579e-007
646	0.13145	9.7241e-002	2.54e-003	-1.6826e-006
647	0.14659	6.6514e-002	2.54e-003	8.8655e-007
648	0.1338	5.8879e-002	2.54e-003	1.655e-006
649	0.14947	2.8574e-002	2.54e-003	1.815e-006
650	0.16386	2.6537e-002	2.54e-003	1.5919e-006
651	0.15686	3.9647e-002	2.54e-003	1.3238e-006
652	0.14178	3.5528e-002	2.54e-003	2.0764e-006
653	0.14921	1.9696e-002	2.54e-003	2.0208e-006
654	0.13892	2.4796e-002	2.54e-003	2.38e-006
655	5.9665e-002	5.5792e-002	2.54e-003	3.5013e-007
656	7.1442e-002	3.8727e-002	2.54e-003	6.4844e-007
657	7.7988e-002	6.8887e-002	2.54e-003	2.1572e-007
658	9.0725e-002	4.2975e-002	2.54e-003	9.3152e-007
659	0.10427	5.1248e-002	2.54e-003	1.1472e-006
660	0.10558	2.9313e-002	2.54e-003	1.7603e-006
661	0.10869	1.8904e-002	2.54e-003	2.1525e-006
662	0.11913	2.4886e-002	2.54e-003	2.5375e-006
663	0.15221	0.13317	2.54e-003	-1.2245e-006
664	0.15471	0.12208	2.54e-003	-9.846e-007
665	0.14057	0.12727	2.54e-003	-1.5409e-006
666	0.50993	9.1195e-002	2.54e-003	3.3554e-007
667	0.53828	9.1214e-002	2.54e-003	3.4617e-007
668	0.52414	7.5934e-002	2.54e-003	3.7826e-007
669	0.52426	0.10645	2.54e-003	3.0785e-007
670	0.31752	9.5997e-002	2.54e-003	1.2996e-007
671	0.29736	8.7378e-002	2.54e-003	2.1359e-007
672	0.30391	0.10992	2.54e-003	-9.1083e-008
673	0.342	9.3626e-002	2.54e-003	1.7319e-007
674	0.32627	7.9465e-002	2.54e-003	3.2877e-007
675	0.32892	0.10927	2.54e-003	-2.8258e-008
676	0.36926	9.2423e-002	2.54e-003	2.1588e-007
677	0.35474	7.7617e-002	2.54e-003	3.6565e-007
678	0.35561	0.10841	2.54e-003	3.5734e-008
679	0.39726	9.1616e-002	2.54e-003	2.5389e-007
680	0.38293	7.6714e-002	2.54e-003	3.7539e-007
681	0.38355	0.10716	2.54e-003	1.0782e-007
682	0.42558	9.1181e-002	2.54e-003	2.8341e-007
683	0.41144	7.6085e-002	2.54e-003	3.7935e-007
684	0.41174	0.10655	2.54e-003	1.6658e-007
685	0.45368	9.1163e-002	2.54e-003	3.0462e-007
686	0.43969	7.5922e-002	2.54e-003	3.796e-007
687	0.43977	0.1064	2.54e-003	2.1286e-007
688	0.48168	9.1193e-002	2.54e-003	3.2161e-007
689	0.46764	7.5945e-002	2.54e-003	3.789e-007
690	0.46779	0.10646	2.54e-003	2.509e-007
691	0.49574	7.5917e-002	2.54e-003	3.7863e-007
692	0.49593	0.10648	2.54e-003	2.8263e-007
693	0.55246	7.5977e-002	2.54e-003	3.7803e-007
694	0.55251	0.10652	2.54e-003	3.2575e-007
695	0.56661	9.1257e-002	2.54e-003	3.534e-007
696	0.53831	6.0697e-002	2.54e-003	4.1004e-007
697	0.5668	6.0779e-002	2.54e-003	4.0239e-007
698	0.55274	4.5567e-002	2.54e-003	4.2986e-007
699	0.50995	6.0656e-002	2.54e-003	4.2126e-007
700	0.52444	4.5441e-002	2.54e-003	4.4835e-007
701	0.4817	6.0669e-002	2.54e-003	4.358e-007
702	0.49616	4.5439e-002	2.54e-003	4.7381e-007
