Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent (von-Mises) Stress (psi)
1	4.103	3.5142	0.	1255.3
2	3.3445	2.6812	0.	1471.4
3	3.9015	4.2004	0.	1246.1
4	0.98291	0.81637	0.	904.39
5	3.5811	0.68077	0.	889.67
6	1.597	4.0398	0.	1701.7
7	3.2711	5.4745	0.	811.57
8	0.87197	4.3272	0.	1251.6
9	4.6324	1.5491	0.	1098.8
10	4.6556	0.75325	0.	1052.1
11	5.8203	0.88028	0.	956.56
12	6.9412	1.0489	0.	846.29
13	8.0393	1.1463	0.	739.34
14	9.1761	1.1731	0.	645.28
15	10.33	1.1686	0.	551.1
16	11.469	1.1744	0.	465.22
17	12.611	1.1751	0.	386.33
18	13.747	1.176	0.	314.93
19	14.887	1.1765	0.	250.95
20	16.022	1.1787	0.	194.36
21	17.16	1.1809	0.	145.24
22	18.296	1.184	0.	103.6
23	19.434	1.185	0.	69.483
24	20.573	1.186	0.	42.856
25	21.715	1.1921	0.	23.76
26	22.859	1.1975	0.	12.452
27	22.856	2.4017	0.	15.78
28	22.852	3.6	0.	15.811
29	22.857	4.7984	0.	12.464
30	21.712	4.8008	0.	23.849
31	20.571	4.7904	0.	42.902
32	19.432	4.7767	0.	69.619
33	18.291	4.744	0.	103.78
34	17.154	4.7152	0.	145.5
35	16.018	4.7007	0.	194.56
36	14.884	4.695	0.	250.98
37	13.748	4.694	0.	314.77
38	12.613	4.6935	0.	385.8
39	11.468	4.7252	0.	464.32
40	10.306	4.7517	0.	552.06
41	9.1131	4.7374	0.	650.01
42	7.8809	4.6859	0.	749.95
43	6.6204	4.688	0.	864.7
44	5.1746	4.7154	0.	956.25
45	4.2781	5.2637	0.	1025.7
46	5.1759	3.5672	0.	994.78
47	5.7454	1.7746	0.	920.81
48	6.8169	2.1424	0.	848.64
49	7.9292	2.3225	0.	744.15
50	9.1199	2.3466	0.	639.94
51	10.297	2.3458	0.	550.1
52	11.459	2.3514	0.	464.
53	12.607	2.356	0.	385.71
54	13.744	2.3572	0.	314.71
55	14.884	2.3593	0.	251.08
56	16.019	2.3617	0.	194.71
57	17.157	2.3646	0.	145.76
58	18.294	2.3666	0.	104.29
59	19.431	2.3705	0.	70.48
60	20.569	2.386	0.	44.292
61	21.706	2.4015	0.	26.073
62	21.706	3.5968	0.	26.069
63	20.562	3.5828	0.	44.416
64	19.429	3.573	0.	70.55
65	18.287	3.55	0.	104.53
66	17.152	3.5409	0.	145.95
67	16.017	3.5322	0.	194.81
68	14.881	3.5267	0.	251.16
69	13.744	3.5239	0.	314.74
70	12.607	3.5229	0.	385.59
71	11.458	3.5192	0.	463.62
72	10.303	3.5143	0.	549.15
73	9.0828	3.5372	0.	643.23
74	7.8114	3.4903	0.	757.66
75	6.3648	3.3118	0.	850.73
76	3.0554	5.0831	0.	783.13
77	3.5046	4.7149	0.	1198.7
78	1.1168	1.3595	0.	1141.2
79	1.9308	3.8889	0.	2992.4
80	2.606	2.6139	0.	2251.2
81	3.1731	3.4688	0.	1557.7
82	2.9999	2.0151	0.	1516.9
83	3.5786	1.5193	0.	1071.3
84	4.0148	2.5756	0.	1346.5
85	4.6359	2.4106	0.	1104.7
86	5.374	2.3198	0.	1019.
87	2.7578	3.435	0.	1532.6
88	2.7247	3.0831	0.	2054.8
89	2.1387	3.8537	0.	4003.2
90	2.1387	3.8537	0.1	4003.2
91	2.7247	3.0831	0.1	2054.8
92	2.7578	3.435	0.1	1532.6
93	5.374	2.3198	0.1	1019.
94	4.6359	2.4106	0.1	1104.7
95	4.0148	2.5756	0.1	1346.5
96	3.5786	1.5193	0.1	1071.3
97	2.9999	2.0151	0.1	1516.9
98	3.1731	3.4688	0.1	1557.7
99	2.606	2.6139	0.1	2251.2
100	1.9308	3.8889	0.1	2992.4
101	1.1168	1.3595	0.1	1141.2
102	3.5046	4.7149	0.1	1198.7
103	3.0554	5.0831	0.1	783.13
104	6.3648	3.3118	0.1	850.73
105	7.8114	3.4903	0.1	757.66
106	9.0828	3.5372	0.1	643.23
107	10.303	3.5143	0.1	549.15
108	11.458	3.5192	0.1	463.62
109	12.607	3.5229	0.1	385.59
110	13.744	3.5239	0.1	314.74
111	14.881	3.5267	0.1	251.16
112	16.017	3.5322	0.1	194.81
113	17.152	3.5409	0.1	145.95
114	18.287	3.55	0.1	104.53
115	19.429	3.573	0.1	70.55
116	20.562	3.5828	0.1	44.416
117	21.706	3.5968	0.1	26.069
118	21.706	2.4015	0.1	26.073
119	20.569	2.386	0.1	44.292
120	19.431	2.3705	0.1	70.48
121	18.294	2.3666	0.1	104.29
122	17.157	2.3646	0.1	145.76
123	16.019	2.3617	0.1	194.71
124	14.884	2.3593	0.1	251.08
125	13.744	2.3572	0.1	314.71
126	12.607	2.356	0.1	385.71
127	11.459	2.3514	0.1	464.
128	10.297	2.3458	0.1	550.1
129	9.1199	2.3466	0.1	639.94
130	7.9292	2.3225	0.1	744.15
131	6.8169	2.1424	0.1	848.64
132	5.7454	1.7746	0.1	920.81
133	5.1759	3.5672	0.1	994.78
134	4.2781	5.2637	0.1	1025.7
135	5.1746	4.7154	0.1	956.25
136	6.6204	4.688	0.1	864.7
137	7.8809	4.6859	0.1	749.95
138	9.1131	4.7374	0.1	650.01
139	10.306	4.7517	0.1	552.06
140	11.468	4.7252	0.1	464.32
141	12.613	4.6935	0.1	385.8
142	13.748	4.694	0.1	314.77
143	14.884	4.695	0.1	250.98
144	16.018	4.7007	0.1	194.56
145	17.154	4.7152	0.1	145.5
146	18.291	4.744	0.1	103.78
147	19.432	4.7767	0.1	69.619
148	20.571	4.7904	0.1	42.902
149	21.712	4.8008	0.1	23.849
150	22.857	4.7984	0.1	12.464
151	22.852	3.6	0.1	15.811
152	22.856	2.4017	0.1	15.78
153	22.859	1.1975	0.1	12.452
154	21.715	1.1921	0.1	23.76
155	20.573	1.186	0.1	42.856
156	19.434	1.185	0.1	69.483
157	18.296	1.184	0.1	103.6
158	17.16	1.1809	0.1	145.24
159	16.022	1.1787	0.1	194.36
160	14.887	1.1765	0.1	250.95
161	13.747	1.176	0.1	314.93
162	12.611	1.1751	0.1	386.33
163	11.469	1.1744	0.1	465.22
164	10.33	1.1686	0.1	551.1
165	9.1761	1.1731	0.1	645.28
166	8.0393	1.1463	0.1	739.34
167	6.9412	1.0489	0.1	846.29
168	5.8203	0.88028	0.1	956.56
169	4.6556	0.75325	0.1	1052.1
170	4.6324	1.5491	0.1	1098.8
171	0.87197	4.3272	0.1	1251.6
172	3.2711	5.4745	0.1	811.57
173	1.597	4.0398	0.1	1701.7
174	3.5811	0.68077	0.1	889.67
175	0.98291	0.81637	0.1	904.39
176	3.9015	4.2004	0.1	1246.1
177	3.3445	2.6812	0.1	1471.4
178	4.103	3.5142	0.1	1255.3
179	2.3867	4.	0.	2785.9
180	2.3867	4.5	0.	1577.9
181	2.3867	5.	0.	1431.6
182	2.3867	5.5	0.	407.41
183	2.22	4.	0.	5959.8
184	2.22	5.5	0.	824.41
185	2.22	5.	0.	1195.7
186	2.22	4.5	0.	2213.2
187	2.3867	2.	0.	4882.7
188	2.3867	1.5	0.	2676.9
189	2.3867	1.	0.	1572.5
190	2.3867	0.5	0.	813.
191	2.22	2.	0.	3620.3
192	2.22	0.5	0.	949.88
193	2.22	1.	0.	1913.3
194	2.22	1.5	0.	1584.2
