Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	3.4766	2.6071	0.	-1341.3
2	1.5915	5.2393	0.	-815.3
3	3.3952	5.4476	0.	-779.49
4	1.0182	0.85759	0.	-623.71
5	1.1545	2.1929	0.	-1118.1
6	3.4929	0.56733	0.	-804.13
7	0.90238	4.8904	0.	-865.56
8	4.4987	0.83071	0.	-1030.2
9	5.5062	1.0597	0.	-981.08
10	6.6838	1.1398	0.	-876.83
11	7.8416	1.1899	0.	-764.57
12	9.0235	1.2046	0.	-659.6
13	10.21	1.1913	0.	-560.74
14	11.383	1.1855	0.	-470.09
15	12.54	1.1844	0.	-388.52
16	13.689	1.1845	0.	-315.07
17	14.834	1.1834	0.	-249.86
18	15.98	1.1827	0.	-192.26
19	17.131	1.1778	0.	-142.19
20	18.274	1.1795	0.	-99.949
21	19.419	1.1788	0.	-65.374
22	20.562	1.1918	0.	-38.332
23	21.708	1.1976	0.	-18.756
24	22.859	1.1915	0.	-6.6715
25	22.837	2.3969	0.	-7.3863
26	22.818	3.5969	0.	-7.5678
27	22.809	4.7994	0.	-7.182
28	21.618	4.7927	0.	-20.239
29	20.434	4.7949	0.	-41.192
30	19.251	4.7932	0.	-70.248
31	18.067	4.7908	0.	-107.33
32	16.885	4.7887	0.	-152.57
33	15.702	4.7872	0.	-205.93
34	14.518	4.7864	0.	-267.55
35	13.333	4.7857	0.	-337.46
36	12.143	4.766	0.	-415.78
37	10.936	4.7585	0.	-503.55
38	9.7225	4.7468	0.	-599.88
39	8.4815	4.7492	0.	-712.16
40	7.137	4.7409	0.	-824.69
41	5.6148	4.6386	0.	-936.13
42	4.3783	5.2402	0.	-1076.1
43	5.0937	2.1044	0.	-1026.
44	6.3137	2.2912	0.	-894.13
45	7.549	2.3741	0.	-791.91
46	8.7952	2.3883	0.	-680.46
47	10.018	2.3806	0.	-574.42
48	11.217	2.3689	0.	-481.6
49	12.406	2.3715	0.	-396.94
50	13.569	2.3787	0.	-322.03
51	14.73	2.3783	0.	-255.23
52	15.89	2.3773	0.	-196.35
53	17.047	2.3777	0.	-145.49
54	18.204	2.3797	0.	-102.33
55	19.359	2.3839	0.	-67.037
56	20.515	2.39	0.	-39.487
57	21.671	2.3895	0.	-19.707
58	21.646	3.5966	0.	-20.085
59	20.47	3.5855	0.	-40.513
60	19.302	3.5922	0.	-68.648
61	18.134	3.589	0.	-104.75
62	16.965	3.5868	0.	-148.82
63	15.794	3.5857	0.	-200.95
64	14.623	3.5855	0.	-261.04
65	13.449	3.5822	0.	-329.37
66	11.07	3.5672	0.	-491.66
67	9.856	3.5584	0.	-587.46
68	8.5978	3.5614	0.	-700.67
